h/dp :,1.5
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0918565,0.0777916,0.071464,13.3866,12.0235,11.8048

id,r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.05,0.05,,0.473431,0.529685,0.562282,,2.38668,2.38668,,2.94671,2.94671,,3.12481,3.12481,,-134.403,-136.396,-137.161
1,0.15,0.05,,0.639368,0.7083,0.73631,,0.911691,3.22321,,0.692892,3.97039,,0.591275,4.11907,,-149.153,-158.934,-162.496
2,0.25,0.05,,0.683108,0.73002,0.751674,,0.134084,3.44372,,1.10328e-15,4.09695,,1.05211e-15,4.21198,,-164.705,-172.792,-174.322
3,0.35,0.05,,0.687848,0.73002,0.751674,,0.00768196,3.46761,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.497,-172.792,-174.322
4,0.45,0.05,,0.688059,0.73002,0.751674,,0.000173463,3.46868,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.798,-172.792,-174.322
5,0.55,0.05,,0.688063,0.73002,0.751674,,1.5589e-06,3.4687,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.806,-172.792,-174.322
6,0.65,0.05,,0.688063,0.73002,0.751674,,5.61785e-09,3.4687,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.806,-172.792,-174.322
7,0.75,0.05,,0.688063,0.73002,0.751674,,8.16379e-12,3.4687,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.806,-172.792,-174.322
8,0.85,0.05,,0.688063,0.73002,0.751674,,4.46478e-15,3.4687,,-9.02056e-17,4.09695,,1.36176e-16,4.21198,,-168.806,-172.792,-174.322
9,0.95,0.05,,0.688063,0.73002,0.751674,,-2.30648e-15,3.4687,,-2.23953e-15,4.09695,,-1.91297e-15,4.21198,,-168.806,-172.792,-174.322
10,1.05,0.05,,0.688063,0.73002,0.751674,,-2.95261e-15,3.4687,,-3.42087e-15,4.09695,,-5.54418e-15,4.21198,,-168.806,-172.792,-174.322
11,1.15,0.05,,0.688063,0.73002,0.751674,,-1.33522e-15,3.4687,,-1.25594e-15,4.09695,,-1.4086e-15,4.21198,,-168.806,-172.792,-174.322
12,1.25,0.05,,0.688063,0.73002,0.751674,,-2.28214e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
13,1.35,0.05,,0.688063,0.73002,0.751674,,-5.77771e-17,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
14,1.45,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
15,1.55,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
16,1.65,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
17,1.75,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
18,1.85,0.05,,0.688063,0.73002,0.751674,,1.64268e-16,3.4687,,1.31839e-16,4.09695,,-6.245e-17,4.21198,,-168.806,-172.792,-174.322
