h/dr :,1.8
h/dz :,1.8
L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.104177,0.0907378,0.0849207,14.7339,13.4588,12.9303

r,z,,PGauss,PCubic,PWedn,,dPGaussR,dPGaussZ,,dPCubicR,dPCubicZ,,dPWednR,dPWednZ,,drhodtGauss,drhodtCubic,drhodtWedn
0,0,,0.43128,0.474825,0.500417,,1.94899,1.94899,,2.38905,2.38905,,2.60025,2.60025,,-32.836,-34.2297,-35.0925
0,0.1,,0.582459,0.645462,0.67176,,2.63218,1.01579,,3.25595,0.936131,,3.497,0.857837,,-44.3461,-46.5579,-47.2319
0,0.2,,0.642351,0.688134,0.707222,,2.90283,0.276383,,3.48208,0.0977833,,3.69353,0.0511578,,-48.906,-49.5791,-49.7197
0,0.3,,0.655149,0.689938,0.707966,,2.96067,0.0393736,,3.49302,5.84602e-16,,3.6983,9.8619e-16,,-49.8805,-49.6885,-49.7674
0,0.4,,0.656624,0.689938,0.707966,,2.96734,0.00294744,,3.49302,-7.63278e-16,,3.6983,-5.82867e-16,,-49.9928,-49.6885,-49.7674
0,0.5,,0.656716,0.689938,0.707966,,2.96775,0.000116371,,3.49302,-1.13277e-15,,3.6983,-1.53263e-15,,-49.9998,-49.6885,-49.7674
0,0.6,,0.656719,0.689938,0.707966,,2.96776,2.43179e-06,,3.49302,1.27155e-15,,3.6983,1.81712e-15,,-50,-49.6885,-49.7674
0,0.7,,0.656719,0.689938,0.707966,,2.96776,2.69788e-08,,3.49302,1.84575e-15,,3.6983,1.83881e-15,,-50,-49.6885,-49.7674
0,0.8,,0.656719,0.689938,0.707966,,2.96776,1.59319e-10,,3.49302,1.38778e-17,,3.6983,-4.85723e-17,,-50,-49.6885,-49.7674
0,0.9,,0.656719,0.689938,0.707966,,2.96776,5.00417e-13,,3.49302,-2.20657e-15,,3.6983,-1.80411e-15,,-50,-49.6885,-49.7674
0,1,,0.656719,0.689938,0.707966,,2.96776,-1.27957e-16,,3.49302,-1.97932e-15,,3.6983,-2.71224e-15,,-50,-49.6885,-49.7674
0,1.1,,0.656719,0.689938,0.707966,,2.96776,6.93364e-16,,3.49302,1.26288e-15,,3.6983,1.36696e-15,,-50,-49.6885,-49.7674
0,1.2,,0.656719,0.689938,0.707966,,2.96776,1.23988e-15,,3.49302,2.17534e-15,,3.6983,3.39399e-15,,-50,-49.6885,-49.7674
0,1.3,,0.656719,0.689938,0.707966,,2.96776,8.30626e-16,,3.49302,1.09981e-15,,3.6983,-1.32706e-16,,-50,-49.6885,-49.7674
0,1.4,,0.656719,0.689938,0.707966,,2.96776,-8.51972e-16,,3.49302,-1.09981e-15,,3.6983,-7.54605e-17,,-50,-49.6885,-49.7674
0,1.5,,0.656719,0.689938,0.707966,,2.96776,-8.07098e-16,,3.49302,-1.91167e-15,,3.6983,-3.15113e-15,,-50,-49.6885,-49.7674
0,1.6,,0.656719,0.689938,0.707966,,2.96776,3.68724e-17,,3.49302,9.71445e-17,,3.6983,-1.59595e-16,,-50,-49.6885,-49.7674
0,1.7,,0.656719,0.689938,0.707966,,2.96776,9.04207e-16,,3.49302,1.9533e-15,,3.6983,2.9499e-15,,-50,-49.6885,-49.7674
0,1.8,,0.656719,0.689938,0.707966,,2.96776,7.75004e-16,,3.49302,1.09981e-15,,3.6983,-1.32706e-16,,-50,-49.6885,-49.7674
0,1.9,,0.656719,0.689938,0.707966,,2.96776,-9.39855e-16,,3.49302,-1.09981e-15,,3.6983,-7.54605e-17,,-50,-49.6885,-49.7674
0,2,,0.656719,0.689938,0.707966,,2.96776,-1.8476e-15,,3.49302,-2.71658e-15,,3.6983,-3.81726e-15,,-50,-49.6885,-49.7674
0,2.1,,0.656719,0.689938,0.707966,,2.96776,-1.70966e-15,,3.49302,-3.02536e-15,,3.6983,-3.17801e-15,,-50,-49.6885,-49.7674
0,2.2,,0.656719,0.689938,0.707966,,2.96776,8.98174e-16,,3.49302,8.04912e-16,,3.6983,4.02456e-16,,-50,-49.6885,-49.7674
0,2.3,,0.656719,0.689938,0.707966,,2.96776,3.92112e-15,,3.49302,6.31439e-15,,3.6983,6.245e-15,,-50,-49.6885,-49.7674
0,2.4,,0.656719,0.689938,0.707966,,2.96776,2.76815e-15,,3.49302,4.71151e-15,,3.6983,6.49741e-15,,-50,-49.6885,-49.7674
0,2.5,,0.656719,0.689938,0.707966,,2.96776,-2.68924e-15,,3.49302,-4.80865e-15,,3.6983,-6.8166e-15,,-50,-49.6885,-49.7674
0,2.6,,0.656719,0.689938,0.707966,,2.96776,-3.89905e-15,,3.49302,-6.41154e-15,,3.6983,-6.56419e-15,,-50,-49.6885,-49.7674
0,2.7,,0.656719,0.689938,0.707966,,2.96776,-7.35998e-17,,3.49302,2.77556e-17,,3.6983,6.93889e-17,,-50,-49.6885,-49.7674
0,2.8,,0.656719,0.689938,0.707966,,2.96776,3.91321e-15,,3.49302,6.31439e-15,,3.6983,6.245e-15,,-50,-49.6885,-49.7674
0,2.9,,0.656719,0.689938,0.707966,,2.96776,2.65713e-15,,3.49302,4.71151e-15,,3.6983,6.49741e-15,,-50,-49.6885,-49.7674
0,3,,0.656719,0.689938,0.707966,,2.96776,-2.68924e-15,,3.49302,-4.80865e-15,,3.6983,-6.8166e-15,,-50,-49.6885,-49.7674
0,3.1,,0.656719,0.689938,0.707966,,2.96776,-3.89905e-15,,3.49302,-6.41154e-15,,3.6983,-6.56419e-15,,-50,-49.6885,-49.7674
0,3.2,,0.656719,0.689938,0.707966,,2.96776,-7.35998e-17,,3.49302,2.77556e-17,,3.6983,6.93889e-17,,-50,-49.6885,-49.7674
0,3.3,,0.656719,0.689938,0.707966,,2.96776,3.91321e-15,,3.49302,6.31439e-15,,3.6983,6.245e-15,,-50,-49.6885,-49.7674
0,3.4,,0.656719,0.689938,0.707966,,2.96776,2.65713e-15,,3.49302,4.71151e-15,,3.6983,6.49741e-15,,-50,-49.6885,-49.7674
0,3.5,,0.656719,0.689938,0.707966,,2.96776,-2.68924e-15,,3.49302,-4.80865e-15,,3.6983,-6.8166e-15,,-50,-49.6885,-49.7674
0,3.6,,0.656719,0.689938,0.707966,,2.96776,-3.90697e-15,,3.49302,-6.41154e-15,,3.6983,-6.56419e-15,,-50,-49.6885,-49.7674
0,3.7,,0.656719,0.689938,0.707966,,2.96776,-3.57205e-16,,3.49302,2.77556e-17,,3.6983,6.93889e-17,,-50,-49.6885,-49.7674
0,3.8,,0.656719,0.689938,0.707966,,2.96776,2.22652e-15,,3.49302,4.53804e-15,,3.6983,5.19029e-15,,-50,-49.6885,-49.7674
0,3.9,,0.656719,0.689938,0.707966,,2.96776,2.47622e-17,,3.49302,-2.08167e-17,,3.6983,1.32099e-15,,-50,-49.6885,-49.7674
0,4,,0.656719,0.689938,0.707966,,2.96776,-5.01373e-13,,3.49302,-1.57166e-15,,3.6983,-6.09842e-15,,-50,-49.6885,-49.7674
0,4.1,,0.656719,0.689938,0.707966,,2.96776,-1.59315e-10,,3.49302,7.91381e-15,,3.6983,1.23851e-14,,-50,-49.6885,-49.7674
0,4.2,,0.656719,0.689938,0.707966,,2.96776,-2.69788e-08,,3.49302,-1.94289e-16,,3.6983,6.93889e-17,,-50,-49.6885,-49.7674
0,4.3,,0.656719,0.689938,0.707966,,2.96776,-2.43179e-06,,3.49302,-9.39873e-15,,3.6983,-1.35369e-14,,-50,-49.6885,-49.7674
0,4.4,,0.656716,0.689938,0.707966,,2.96775,-0.000116371,,3.49302,-2.9525e-15,,3.6983,1.01915e-15,,-49.9998,-49.6885,-49.7674
0,4.5,,0.656624,0.689938,0.707966,,2.96734,-0.00294744,,3.49302,-2.94903e-16,,3.6983,-3.15633e-15,,-49.9928,-49.6885,-49.7674
0,4.6,,0.655149,0.689938,0.707966,,2.96067,-0.0393736,,3.49302,-6.59195e-17,,3.6983,3.01755e-15,,-49.8805,-49.6885,-49.7674
0,4.7,,0.642351,0.688134,0.707222,,2.90283,-0.276383,,3.48208,-0.0977833,,3.69353,-0.0511578,,-48.906,-49.5791,-49.7197
0,4.8,,0.582459,0.645462,0.67176,,2.63218,-1.01579,,3.25595,-0.936131,,3.497,-0.857837,,-44.3461,-46.5579,-47.2319
0,4.9,,0.43128,0.474825,0.500417,,1.94899,-1.94899,,2.38905,-2.38905,,2.60025,-2.60025,,-32.836,-34.2297,-35.0925
0.1,0,,0.582459,0.645462,0.67176,,1.01579,2.63218,,0.936131,3.25595,,0.857837,3.497,,-42.168,-48.7589,-52.5166
0.1,0.1,,0.786631,0.877545,0.903182,,1.37185,1.37185,,1.26926,1.26926,,1.16073,1.16073,,-56.9493,-66.4248,-70.5947
0.1,0.2,,0.867517,0.935482,0.950988,,1.51292,0.373264,,1.34523,0.130591,,1.21297,0.0654658,,-62.8052,-70.9476,-74.5253
0.1,0.3,,0.884802,0.937791,0.951902,,1.54306,0.0531754,,1.34523,9.17669e-16,,1.21297,8.75168e-16,,-64.0565,-71.1663,-74.6207
0.1,0.4,,0.886794,0.937791,0.951902,,1.54653,0.00398061,,1.34523,-1.20737e-15,,1.21297,-1.02696e-15,,-64.2008,-71.1663,-74.6207
