dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70
Nboundary,70
Nfluid,1400
Nparticles,1470
Apolar,0.238789
Bpolar,0.00165812

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
1.03207,1.06052,1.07685,0,0,0

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.005,0,0.005,0,boundary,,0.538078,0.575084,0.590783,,281.326,8.87242e-14,,366.517,1.55431e-13,,405.336,2.95763e-13,,0,0,0,
1,0.005,0.0897598,0.00497987,0.000448197,boundary,,0.653706,0.698168,0.717137,,294.059,26.4658,,382.583,34.4331,,430.314,38.729,,0,0,0,
2,0.005,0.17952,0.00491965,0.000892784,boundary,,0.787452,0.840227,0.862737,,290.089,52.6434,,383.852,69.6589,,433.233,78.6203,,0,0,0,
3,0.005,0.269279,0.00481981,0.00133018,boundary,,0.941724,1.00504,1.03136,,269.432,74.3586,,363.276,100.258,,414.191,114.309,,0,0,0,
4,0.005,0.359039,0.00468117,0.00175687,boundary,,1.12003,1.19476,1.22574,,234.589,88.0426,,324.695,121.86,,374.418,140.521,,0,0,0,
5,0.005,0.448799,0.00450484,0.00216942,boundary,,1.32771,1.41474,1.45137,,188.931,90.9844,,272.577,131.266,,319.265,153.75,,0,0,0,
6,0.005,0.538559,0.00429224,0.0025645,boundary,,1.57425,1.67182,1.71449,,134.584,80.4104,,211.226,126.201,,254.613,152.124,,0,0,0,
7,0.005,0.628319,0.00404508,0.00293893,boundary,,1.87811,1.97717,2.02528,,72.4871,52.665,,144.198,104.766,,183.202,133.104,,0,0,0,
8,0.005,0.718078,0.00376536,0.00328969,boundary,,2.25889,2.358,2.40642,,11.5734,10.1114,,66.4053,58.0165,,102.566,89.6088,,0,0,0,
9,0.005,0.807838,0.00345531,0.00361397,boundary,,2.70272,2.85089,2.90039,,-30.1917,-31.578,,-6.08582,-6.36527,,20.2981,21.2301,,0,0,0,
10,0.005,0.897598,0.00311745,0.00390916,boundary,,3.15077,3.41742,3.49084,,-44.8713,-56.2668,,-46.7214,-58.5868,,-32.5368,-40.7999,,0,0,0,
11,0.005,0.987358,0.00275448,0.00417287,boundary,,3.53764,3.96533,4.08691,,-40.3815,-61.1754,,-53.6082,-81.2129,,-49.3162,-74.7108,,0,0,0,
12,0.005,1.07712,0.00236934,0.00440298,boundary,,3.82754,4.41155,4.60093,,-28.7397,-53.4073,,-41.7006,-77.4927,,-43.8538,-81.4941,,0,0,0,
13,0.005,1.16688,0.00196513,0.00459764,boundary,,4.01777,4.72597,4.98959,,-17.5483,-41.0562,,-26.661,-62.3766,,-30.7616,-71.9704,,0,0,0,
14,0.005,1.25664,0.00154508,0.00475528,boundary,,4.12478,4.91998,5.25033,,-9.46062,-29.1168,,-14.8084,-45.5755,,-18.3101,-56.3528,,0,0,0,
15,0.005,1.3464,0.0011126,0.00487464,boundary,,4.17056,5.02055,5.40294,,-4.4677,-19.5743,,-7.14845,-31.3194,,-9.31079,-40.7932,,0,0,0,
16,0.005,1.43616,0.000671166,0.00495475,boundary,,4.17527,5.05551,5.47417,,-1.71837,-12.6855,,-2.79114,-20.605,,-3.78658,-27.9537,,0,0,0,
17,0.005,1.52592,0.000224324,0.00499497,boundary,,4.15463,5.04795,5.48922,,-0.359757,-8.01062,,-0.590567,-13.15,,-0.826534,-18.4042,,0,0,0,
18,0.005,1.61568,-0.000224324,0.00499497,boundary,,4.11986,5.01507,5.46848,,0.222901,-4.96329,,0.368902,-8.21424,,0.52805,-11.758,,0,0,0,
19,0.005,1.70544,-0.000671166,0.00495475,boundary,,4.07819,4.96877,5.42694,,0.411035,-3.03438,,0.684367,-5.0522,,0.994226,-7.33967,,0,0,0,
20,0.005,1.7952,-0.0011126,0.00487464,boundary,,4.02693,4.91693,5.37501,,0.425477,-1.86414,,0.699898,-3.06645,,1.02665,-4.49804,,0,0,0,
