dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,20
Ntheta,70.2481
Nboundary,71
Nfluid,1420
Nparticles,1491
Apolar,0.238789
Bpolar,0.00165812

ID,r,theta,x,y,Type
0,0.005,0,0.005,0,boundary
1,0.005,0.0894427,0.00498001,0.000446618,boundary
2,0.005,0.178885,0.00492021,0.000889665,boundary
3,0.005,0.268328,0.00482108,0.0013256,boundary
4,0.005,0.357771,0.0046834,0.00175094,boundary
5,0.005,0.447214,0.00450828,0.00216227,boundary
6,0.005,0.536656,0.00429711,0.00255633,boundary
7,0.005,0.626099,0.0040516,0.00292994,boundary
8,0.005,0.715542,0.00377369,0.00328013,boundary
9,0.005,0.804984,0.00346561,0.0036041,boundary
10,0.005,0.894427,0.00312983,0.00389925,boundary
11,0.005,0.98387,0.00276902,0.00416323,boundary
12,0.005,1.07331,0.00238608,0.00439393,boundary
13,0.005,1.16276,0.00198406,0.0045895,boundary
14,0.005,1.2522,0.00156618,0.00474838,boundary
15,0.005,1.34164,0.00113578,0.00486929,boundary
16,0.005,1.43108,0.000696294,0.00495128,boundary
17,0.005,1.52053,0.000251245,0.00499368,boundary
18,0.005,1.60997,-0.000195813,0.00499616,boundary
19,0.005,1.69941,-0.000641305,0.0049587,boundary
20,0.005,1.78885,-0.00108167,0.0048816,boundary
21,0.005,1.8783,-0.00151339,0.00476547,boundary
22,0.005,1.96774,-0.00193301,0.00461123,boundary
23,0.005,2.05718,-0.00233717,0.00442014,boundary
24,0.005,2.14663,-0.00272265,0.00419371,boundary
25,0.005,2.23607,-0.00308636,0.00393375,boundary
26,0.005,2.32551,-0.0034254,0.00364234,boundary
27,0.005,2.41495,-0.00373706,0.00332181,boundary
28,0.005,2.5044,-0.00401883,0.00297472,boundary
29,0.005,2.59384,-0.00426848,0.00260385,boundary
30,0.005,2.68328,-0.00448401,0.00221217,boundary
31,0.005,2.77272,-0.00466368,0.0018028,boundary
32,0.005,2.86217,-0.00480607,0.00137902,boundary
33,0.005,2.95161,-0.00491004,0.000944211,boundary
34,0.005,3.04105,-0.00497475,0.000501855,boundary
35,0.005,3.1305,-0.00499969,5.54863e-05,boundary
36,0.005,3.21994,-0.00498466,-0.000391326,boundary
37,0.005,3.30938,-0.00492978,-0.000835009,boundary
38,0.005,3.39882,-0.00483549,-0.00127202,boundary
39,0.005,3.48827,-0.00470254,-0.00169885,boundary
40,0.005,3.57771,-0.004532,-0.00211211,boundary
41,0.005,3.66715,-0.00432522,-0.00250848,boundary
42,0.005,3.75659,-0.00408386,-0.0028848,boundary
43,0.005,3.84604,-0.00380986,-0.00323805,boundary
44,0.005,3.93548,-0.00350539,-0.00356542,boundary
45,0.005,4.02492,-0.00317291,-0.00386428,boundary
46,0.005,4.11437,-0.00281505,-0.00413225,boundary
47,0.005,4.20381,-0.00243469,-0.00436718,boundary
48,0.005,4.29325,-0.00203487,-0.0045672,boundary
49,0.005,4.38269,-0.00161878,-0.0047307,boundary
50,0.005,4.47214,-0.00118974,-0.00485639,boundary
51,0.005,4.56158,-0.000751196,-0.00494325,boundary
52,0.005,4.65102,-0.000306645,-0.00499059,boundary
53,0.005,4.74046,0.000140357,-0.00499803,boundary
54,0.005,4.82991,0.000586238,-0.00496551,boundary
55,0.005,4.91935,0.00102743,-0.0048933,boundary
56,0.005,5.00879,0.00146041,-0.00478197,boundary
57,0.005,5.09823,0.00188172,-0.0046324,boundary
58,0.005,5.18768,0.00228798,-0.0044458,boundary
59,0.005,5.27712,0.00267594,-0.00422366,boundary
60,0.005,5.36656,0.00304252,-0.00396775,boundary
61,0.005,5.45601,0.00338477,-0.00368012,boundary
62,0.005,5.54545,0.00369996,-0.00336307,boundary
63,0.005,5.63489,0.00398558,-0.00301914,boundary
64,0.005,5.72433,0.00423932,-0.00265106,boundary
65,0.005,5.81378,0.00445918,-0.00226179,boundary
66,0.005,5.90322,0.00464339,-0.00185444,boundary
67,0.005,5.99266,0.00479047,-0.00143227,boundary
68,0.005,6.0821,0.00489926,-0.00099864,boundary
69,0.005,6.17155,0.00496887,-0.00055703,boundary
70,0.005,6.26099,0.00499877,-0.000110966,boundary
71,0.00544721,0,0.00544721,0,fluid
72,0.00544721,0.0894427,0.00542544,0.000486564,fluid
73,0.00544721,0.178885,0.00536029,0.000969239,fluid
74,0.00544721,0.268328,0.00525229,0.00144416,fluid
75,0.00544721,0.357771,0.00510229,0.00190754,fluid
76,0.00544721,0.447214,0.00491151,0.00235567,fluid
77,0.00544721,0.536656,0.00468146,0.00278497,fluid
78,0.00544721,0.626099,0.00441398,0.003192,fluid
79,0.00544721,0.715542,0.00411122,0.00357352,fluid
80,0.00544721,0.804984,0.00377559,0.00392646,fluid
81,0.00544721,0.894427,0.00340977,0.00424801,fluid
82,0.00544721,0.98387,0.00301669,0.0045356,fluid
83,0.00544721,1.07331,0.0025995,0.00478694,fluid
84,0.00544721,1.16276,0.00216152,0.005,fluid
85,0.00544721,1.2522,0.00170626,0.00517308,fluid
86,0.00544721,1.34164,0.00123736,0.00530482,fluid
87,0.00544721,1.43108,0.000758572,0.00539414,fluid
88,0.00544721,1.52053,0.000273717,0.00544033,fluid
89,0.00544721,1.60997,-0.000213327,0.00544303,fluid
90,0.00544721,1.69941,-0.000698665,0.00540222,fluid
91,0.00544721,1.78885,-0.00117842,0.00531822,fluid
92,0.00544721,1.8783,-0.00164875,0.0051917,fluid
93,0.00544721,1.96774,-0.0021059,0.00502368,fluid
94,0.00544721,2.05718,-0.00254621,0.00481549,fluid
