h/dp :,1.2
L2norm Pressure,KE,dr0,Nparticles
19627.8,0.00628789,0.000447214,4200

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.005,0,,1000,0,0,,0.0005,0,,0,0,boundary
1,0.00497987,0.000448197,,1000,0,0,,0.000497987,0,,0,0,boundary
2,0.00491965,0.000892784,,1000,0,0,,0.000491965,0,,0,0,boundary
3,0.00481981,0.00133018,,1000,0,0,,0.000481981,0,,0,0,boundary
4,0.00468117,0.00175687,,1000,0,0,,0.000468117,0,,0,0,boundary
5,0.00450484,0.00216942,,1000,0,0,,0.000450484,0,,0,0,boundary
6,0.00429224,0.0025645,,1000,0,0,,0.000429224,0,,0,0,boundary
7,0.00404508,0.00293893,,1000,0,0,,0.000404508,0,,0,0,boundary
8,0.00376536,0.00328969,,1000,0,0,,0.000376536,0,,0,0,boundary
9,0.00345531,0.00361397,,1000,0,0,,0.000345531,0,,0,0,boundary
10,0.00311745,0.00390916,,1000,0,0,,0.000311745,0,,0,0,boundary
11,0.00275448,0.00417287,,1000,0,0,,0.000275448,0,,0,0,boundary
12,0.00236934,0.00440298,,1000,0,0,,0.000236934,0,,0,0,boundary
13,0.00196513,0.00459764,,1000,0,0,,0.000196513,0,,0,0,boundary
14,0.00154508,0.00475528,,1000,0,0,,0.000154508,0,,0,0,boundary
15,0.0011126,0.00487464,,1000,0,0,,0.00011126,0,,0,0,boundary
16,0.000671166,0.00495475,,1000,0,0,,6.71166e-05,0,,0,0,boundary
17,0.000224324,0.00499497,,1000,0,0,,2.24324e-05,0,,0,0,boundary
18,-0.000224324,0.00499497,,1000,0,0,,-2.24324e-05,0,,0,0,boundary
19,-0.000671166,0.00495475,,1000,0,0,,-6.71166e-05,0,,0,0,boundary
20,-0.0011126,0.00487464,,1000,0,0,,-0.00011126,0,,0,0,boundary
21,-0.00154508,0.00475528,,1000,0,0,,-0.000154508,0,,0,0,boundary
22,-0.00196513,0.00459764,,1000,0,0,,-0.000196513,0,,0,0,boundary
23,-0.00236934,0.00440298,,1000,0,0,,-0.000236934,0,,0,0,boundary
24,-0.00275448,0.00417287,,1000,0,0,,-0.000275448,0,,0,0,boundary
25,-0.00311745,0.00390916,,1000,0,0,,-0.000311745,0,,0,0,boundary
26,-0.00345531,0.00361397,,1000,0,0,,-0.000345531,0,,0,0,boundary
27,-0.00376536,0.00328969,,1000,0,0,,-0.000376536,0,,0,0,boundary
28,-0.00404508,0.00293893,,1000,0,0,,-0.000404508,0,,0,0,boundary
29,-0.00429224,0.0025645,,1000,0,0,,-0.000429224,0,,0,0,boundary
30,-0.00450484,0.00216942,,1000,0,0,,-0.000450484,0,,0,0,boundary
31,-0.00468117,0.00175687,,1000,0,0,,-0.000468117,0,,0,0,boundary
32,-0.00481981,0.00133018,,1000,0,0,,-0.000481981,0,,0,0,boundary
33,-0.00491965,0.000892784,,1000,0,0,,-0.000491965,0,,0,0,boundary
34,-0.00497987,0.000448197,,1000,0,0,,-0.000497987,0,,0,0,boundary
35,-0.005,6.12323e-19,,1000,0,0,,-0.0005,0,,0,0,boundary
36,-0.00497987,-0.000448197,,1000,0,0,,-0.000497987,0,,0,0,boundary
37,-0.00491965,-0.000892784,,1000,0,0,,-0.000491965,0,,0,0,boundary
38,-0.00481981,-0.00133018,,1000,0,0,,-0.000481981,0,,0,0,boundary
39,-0.00468117,-0.00175687,,1000,0,0,,-0.000468117,0,,0,0,boundary
40,-0.00450484,-0.00216942,,1000,0,0,,-0.000450484,0,,0,0,boundary
41,-0.00429224,-0.0025645,,1000,0,0,,-0.000429224,0,,0,0,boundary
42,-0.00404508,-0.00293893,,1000,0,0,,-0.000404508,0,,0,0,boundary
43,-0.00376536,-0.00328969,,1000,0,0,,-0.000376536,0,,0,0,boundary
44,-0.00345531,-0.00361397,,1000,0,0,,-0.000345531,0,,0,0,boundary
45,-0.00311745,-0.00390916,,1000,0,0,,-0.000311745,0,,0,0,boundary
46,-0.00275448,-0.00417287,,1000,0,0,,-0.000275448,0,,0,0,boundary
47,-0.00236934,-0.00440298,,1000,0,0,,-0.000236934,0,,0,0,boundary
48,-0.00196513,-0.00459764,,1000,0,0,,-0.000196513,0,,0,0,boundary
49,-0.00154508,-0.00475528,,1000,0,0,,-0.000154508,0,,0,0,boundary
50,-0.0011126,-0.00487464,,1000,0,0,,-0.00011126,0,,0,0,boundary
