dr0,0.000447214
r0,0.005
R,0.2
R/r0,40
Nr,60
Ntheta,70
Nboundary,70
Nfluid,4200
Nparticles,4270
Apolar,0.0536778
Bpolar,0.00810983

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0943825,0.0899719,0.083827,10.9521,11.4058,12.4217

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.005,0,0.005,0,boundary,,0.521452,0.519869,0.557809,,1087.41,3.29203e-12,,1070.21,5.05906e-12,,982.159,5.17275e-12,,-50.8067,-49.3022,-45.5139,
1,0.005,0.0897598,0.00497987,0.000448197,boundary,,0.521452,0.519869,0.557809,,1083.03,97.4743,,1065.9,95.9326,,978.205,88.0401,,-50.8171,-49.2868,-45.4899,
2,0.005,0.17952,0.00491965,0.000892784,boundary,,0.521452,0.519869,0.557809,,1069.93,194.164,,1053.01,191.093,,966.375,175.371,,-50.8483,-49.241,-45.4187,
3,0.005,0.269279,0.00481981,0.00133018,boundary,,0.521452,0.519869,0.557809,,1048.22,289.29,,1031.64,284.714,,946.765,261.291,,-50.899,-49.1664,-45.3027,
4,0.005,0.359039,0.00468117,0.00175687,boundary,,0.521452,0.519869,0.557809,,1018.07,382.087,,1001.96,376.044,,919.532,345.106,,-50.9678,-49.0653,-45.1454,
5,0.005,0.448799,0.00450484,0.00216942,boundary,,0.521452,0.519869,0.557809,,979.718,471.807,,964.223,464.345,,884.895,426.143,,-51.0524,-48.9409,-44.952,
6,0.005,0.538559,0.00429224,0.0025645,boundary,,0.521452,0.519869,0.557809,,933.482,557.729,,918.717,548.908,,843.133,503.749,,-51.1501,-48.7973,-44.7287,
7,0.005,0.628319,0.00404508,0.00293893,boundary,,0.521452,0.519869,0.557809,,879.729,639.161,,865.815,629.052,,794.583,577.299,,-51.2577,-48.6391,-44.4827,
8,0.005,0.718078,0.00376536,0.00328969,boundary,,0.521452,0.519869,0.557809,,818.894,715.446,,805.942,704.13,,739.636,646.201,,-51.3717,-48.4714,-44.2219,
9,0.005,0.807838,0.00345531,0.00361397,boundary,,0.521452,0.519869,0.557809,,751.465,785.971,,739.58,773.54,,678.733,709.9,,-51.4886,-48.2995,-43.9546,
10,0.005,0.897598,0.00311745,0.00390916,boundary,,0.521452,0.519869,0.557809,,677.986,850.168,,667.263,836.721,,612.366,767.883,,-51.6046,-48.129,-43.6895,
11,0.005,0.987358,0.00275448,0.00417287,boundary,,0.521452,0.519869,0.557809,,599.048,907.519,,589.573,893.166,,541.069,819.684,,-51.7159,-47.9654,-43.435,
12,0.005,1.07712,0.00236934,0.00440298,boundary,,0.521452,0.519869,0.557809,,515.287,957.564,,507.137,942.419,,465.414,864.885,,-51.8189,-47.8139,-43.1994,
13,0.005,1.16688,0.00196513,0.00459764,boundary,,0.521452,0.519869,0.557809,,427.377,999.899,,420.618,984.085,,386.013,903.123,,-51.9104,-47.6793,-42.9902,
14,0.005,1.25664,0.00154508,0.00475528,boundary,,0.521452,0.519869,0.557809,,336.027,1034.18,,330.712,1017.83,,303.504,934.089,,-51.9874,-47.5661,-42.8142,
15,0.005,1.3464,0.0011126,0.00487464,boundary,,0.521452,0.519869,0.557809,,241.97,1060.14,,238.143,1043.37,,218.551,957.534,,-52.0474,-47.4779,-42.677,
16,0.005,1.43616,0.000671166,0.00495475,boundary,,0.521452,0.519869,0.557809,,145.966,1077.56,,143.657,1060.52,,131.838,973.27,,-52.0885,-47.4174,-42.583,
17,0.005,1.52592,0.000224324,0.00499497,boundary,,0.521452,0.519869,0.557809,,48.7863,1086.31,,48.0146,1069.13,,44.0644,981.17,,-52.1094,-47.3867,-42.5352,
