dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,100
Ntheta,222
Nboundary,222
Nfluid,22200
Nparticles,22422
Apolar,0.0406364
Bpolar,0.0340993

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
0.0784165,0.0755933,0.0742859,0,0,0

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.05,0,0.05,0,boundary,,0.509298,0.509746,0.511678,,258.262,-1.52485e-12,,305.269,-1.32871e-12,,309.739,-9.02389e-13,,0,0,0,
1,0.05,0.0283026,0.04998,0.00141494,boundary,,0.509298,0.509746,0.511678,,258.159,7.30852,,305.147,8.63876,,309.614,8.76525,,0,0,0,
2,0.05,0.0566053,0.0499199,0.00282875,boundary,,0.509298,0.509746,0.511678,,257.848,14.6112,,304.78,17.2706,,309.242,17.5235,,0,0,0,
3,0.05,0.0849079,0.0498199,0.0042403,boundary,,0.509298,0.509746,0.511678,,257.332,21.9022,,304.169,25.8886,,308.623,26.2677,,0,0,0,
4,0.05,0.113211,0.0496799,0.00564844,boundary,,0.509298,0.509746,0.511678,,256.609,29.1756,,303.315,34.4859,,307.756,34.9908,,0,0,0,
5,0.05,0.141513,0.0495002,0.00705207,boundary,,0.509298,0.509746,0.511678,,255.68,36.4256,,302.217,43.0555,,306.642,43.6859,,0,0,0,
6,0.05,0.169816,0.0492808,0.00845004,boundary,,0.509298,0.509746,0.511678,,254.547,43.6465,,300.878,51.5907,,305.283,52.3461,,0,0,0,
7,0.05,0.198118,0.0490219,0.00984125,boundary,,0.509298,0.509746,0.511678,,253.21,50.8324,,299.297,60.0845,,303.68,60.9643,,0,0,0,
8,0.05,0.226421,0.0487238,0.0112246,boundary,,0.509298,0.509746,0.511678,,251.67,57.9776,,297.477,68.5302,,301.833,69.5336,,0,0,0,
9,0.05,0.254724,0.0483866,0.0125989,boundary,,0.509298,0.509746,0.511678,,249.929,65.0764,,295.419,76.921,,299.744,78.0473,,0,0,0,
10,0.05,0.283026,0.0480107,0.0139631,boundary,,0.509298,0.509746,0.511678,,247.987,72.123,,293.124,85.2502,,297.415,86.4985,,0,0,0,
11,0.05,0.311329,0.0475964,0.0153162,boundary,,0.509298,0.509746,0.511678,,245.847,79.1119,,290.594,93.5112,,294.849,94.8803,,0,0,0,
12,0.05,0.339632,0.0471439,0.016657,boundary,,0.509298,0.509746,0.511678,,243.509,86.0374,,287.831,101.697,,292.045,103.186,,0,0,0,
13,0.05,0.367934,0.0466536,0.0179844,boundary,,0.509298,0.509746,0.511678,,240.977,92.8939,,284.838,109.802,,289.008,111.409,,0,0,0,
14,0.05,0.396237,0.046126,0.0192975,boundary,,0.509298,0.509746,0.511678,,238.252,99.6761,,281.617,117.818,,285.74,119.543,,0,0,0,
15,0.05,0.42454,0.0455614,0.0205951,boundary,,0.509298,0.509746,0.511678,,235.336,106.378,,278.17,125.741,,282.243,127.582,,0,0,0,
16,0.05,0.452842,0.0449604,0.0218762,boundary,,0.509298,0.509746,0.511678,,232.231,112.996,,274.5,133.562,,278.519,135.518,,0,0,0,
17,0.05,0.481145,0.0443233,0.0231397,boundary,,0.509298,0.509746,0.511678,,228.94,119.522,,270.61,141.277,,274.573,143.345,,0,0,0,
18,0.05,0.509447,0.0436507,0.0243847,boundary,,0.509298,0.509746,0.511678,,225.466,125.953,,266.504,148.878,,270.406,151.058,,0,0,0,
19,0.05,0.53775,0.0429432,0.0256102,boundary,,0.509298,0.509746,0.511678,,221.812,132.283,,262.184,156.36,,266.023,158.65,,0,0,0,
20,0.05,0.566053,0.0422012,0.0268152,boundary,,0.509298,0.509746,0.511678,,217.979,138.507,,257.654,163.717,,261.427,166.114,,0,0,0,
21,0.05,0.594355,0.0414255,0.0279987,boundary,,0.509298,0.509746,0.511678,,213.973,144.62,,252.918,170.943,,256.621,173.446,,0,0,0,
22,0.05,0.622658,0.0406166,0.0291598,boundary,,0.509298,0.509746,0.511678,,209.794,150.617,,247.979,178.032,,251.61,180.638,,0,0,0,
23,0.05,0.650961,0.0397751,0.0302975,boundary,,0.509298,0.509746,0.511678,,205.448,156.494,,242.842,184.978,,246.398,187.686,,0,0,0,
24,0.05,0.679263,0.0389018,0.031411,boundary,,0.509298,0.509746,0.511678,,200.937,162.245,,237.51,191.776,,240.988,194.584,,0,0,0,
25,0.05,0.707566,0.0379973,0.0324993,boundary,,0.509298,0.509746,0.511678,,196.265,167.867,,231.988,198.42,,235.385,201.326,,0,0,0,
