dr0,0.00141421
r0,0.005
R,0.2
R/r0,40
Nr,200
Ntheta,22
Nboundary,22
Nfluid,4400
Nparticles,4422
Apolar,-0.00400483
Bpolar,-0.353835

L2normPGauss,L2normPCubic,L2normPWedn,L2normdrhodtGauss,L2normdrhodtCubic,L2normdrhodtWedn
1.95553,2.56748,2.8827,171.837,208.887,228.118

ID,r,theta,x,y,Type,,PGauss,PCubic,PWed,,dPGaussX,dPGaussY,,dPCubicX,dPCubicY,,dPWednX,dPWednY,,drhodtGauss,drhodtCubic,drhodtWedn
0,0.005,0,0.005,0,boundary,,0.550947,0.550043,0.591076,,332.819,1.08579e-13,,330.424,1.10134e-13,,311.7,1.61648e-13,,-52.6787,-52.5413,-50.2262,
1,0.005,0.285599,0.00479746,0.00140866,boundary,,0.550947,0.550043,0.591076,,319.337,93.7659,,317.039,93.0911,,299.074,87.816,,-52.9822,-52.0965,-49.5697,
2,0.005,0.571199,0.00420627,0.0027032,boundary,,0.550947,0.550043,0.591076,,279.985,179.935,,277.97,178.641,,262.219,168.518,,-53.7964,-50.9035,-47.8086,
3,0.005,0.856798,0.0032743,0.00377875,boundary,,0.550947,0.550043,0.591076,,217.95,251.528,,216.381,249.718,,204.12,235.567,,-54.8627,-49.3411,-45.5021,
4,0.005,1.1424,0.00207708,0.00454816,boundary,,0.550947,0.550043,0.591076,,138.258,302.743,,137.263,300.564,,129.485,283.532,,-55.8426,-47.9052,-43.3824,
5,0.005,1.428,0.000711574,0.00494911,boundary,,0.550947,0.550043,0.591076,,47.3651,329.431,,47.0242,327.06,,44.3595,308.527,,-56.425,-47.0517,-42.1226,
6,0.005,1.7136,-0.000711574,0.00494911,boundary,,0.550947,0.550043,0.591076,,-47.3651,329.431,,-47.0242,327.06,,-44.3595,308.527,,-56.425,-47.0517,-42.1226,
7,0.005,1.9992,-0.00207708,0.00454816,boundary,,0.550947,0.550043,0.591076,,-138.258,302.743,,-137.263,300.564,,-129.485,283.532,,-55.8426,-47.9052,-43.3824,
8,0.005,2.28479,-0.0032743,0.00377875,boundary,,0.550947,0.550043,0.591076,,-217.95,251.528,,-216.381,249.718,,-204.12,235.567,,-54.8627,-49.3411,-45.5021,
9,0.005,2.57039,-0.00420627,0.0027032,boundary,,0.550947,0.550043,0.591076,,-279.985,179.935,,-277.97,178.641,,-262.219,168.518,,-53.7964,-50.9035,-47.8086,
