dr0,0.00141421
r0,0.005
R,0.1
R/r0,20
Nr,20
Ntheta,22.2144
Nboundary,23
Nfluid,460
Nparticles,483
Apolar,0.107899
Bpolar,0.0124125

ID,r,theta,x,y,Type
0,0.005,0,0.005,0,boundary
1,0.005,0.282843,0.00480133,0.00139543,boundary
2,0.005,0.565685,0.00422111,0.00267997,boundary
3,0.005,0.848528,0.00330544,0.00375154,boundary
4,0.005,1.13137,0.0021271,0.00452498,boundary
5,0.005,1.41421,0.000779718,0.00493883,boundary
6,0.005,1.69706,-0.000629624,0.0049602,boundary
7,0.005,1.9799,-0.00198893,0.00458739,boundary
8,0.005,2.26274,-0.00319018,0.00385003,boundary
9,0.005,2.54558,-0.00413791,0.00280672,boundary
10,0.005,2.82843,-0.00475682,0.00154036,boundary
11,0.005,3.11127,-0.0049977,0.000151591,boundary
12,0.005,3.39411,-0.00484143,-0.00124922,boundary
13,0.005,3.67696,-0.00430042,-0.00255076,boundary
14,0.005,3.9598,-0.00341766,-0.0036496,boundary
15,0.005,4.24264,-0.00226331,-0.00445841,boundary
16,0.005,4.52548,-0.000929096,-0.00491292,boundary
17,0.005,4.80833,0.00047895,-0.00497701,boundary
18,0.005,5.09117,0.00184894,-0.00464558,boundary
19,0.005,5.37401,0.00307199,-0.00394498,boundary
20,0.005,5.65685,0.00405092,-0.00293088,boundary
21,0.005,5.9397,0.00470793,-0.00168387,boundary
22,0.005,6.22254,0.00499081,-0.000303042,boundary
23,0.00641421,0,0.00641421,0,fluid
24,0.00641421,0.282843,0.00615935,0.00179012,fluid
25,0.00641421,0.565685,0.00541502,0.00343798,fluid
26,0.00641421,0.848528,0.00424036,0.00481264,fluid
27,0.00641421,1.13137,0.00272873,0.00580484,fluid
28,0.00641421,1.41421,0.00100026,0.00633574,fluid
29,0.00641421,1.69706,-0.000807708,0.00636316,fluid
30,0.00641421,1.9799,-0.00255149,0.0058849,fluid
31,0.00641421,2.26274,-0.0040925,0.00493898,fluid
32,0.00641421,2.54558,-0.00530829,0.00360058,fluid
33,0.00641421,2.82843,-0.00610225,0.00197604,fluid
34,0.00641421,3.11127,-0.00641126,0.000194467,fluid
35,0.00641421,3.39411,-0.00621079,-0.00160256,fluid
36,0.00641421,3.67696,-0.00551676,-0.00327223,fluid
37,0.00641421,3.9598,-0.00438432,-0.00468186,fluid
38,0.00641421,4.24264,-0.00290347,-0.00571944,fluid
39,0.00641421,4.52548,-0.00119188,-0.0063025,fluid
40,0.00641421,4.80833,0.000614418,-0.00638472,fluid
41,0.00641421,5.09117,0.00237189,-0.00595955,fluid
42,0.00641421,5.37401,0.00394088,-0.00506079,fluid
43,0.00641421,5.65685,0.00519669,-0.00375986,fluid
44,0.00641421,5.9397,0.00603953,-0.00216014,fluid
45,0.00641421,6.22254,0.00640242,-0.000388756,fluid
46,0.00798956,0,0.00798956,0,fluid
47,0.00798956,0.282843,0.0076721,0.00222978,fluid
48,0.00798956,0.565685,0.00674495,0.00428236,fluid
49,0.00798956,0.848528,0.0052818,0.00599463,fluid
50,0.00798956,1.13137,0.00339891,0.00723052,fluid
51,0.00798956,1.41421,0.00124592,0.00789181,fluid
52,0.00798956,1.69706,-0.00100608,0.00792596,fluid
53,0.00798956,1.9799,-0.00317813,0.00733024,fluid
54,0.00798956,2.26274,-0.00509763,0.00615201,fluid
55,0.00798956,2.54558,-0.00661202,0.00448488,fluid
56,0.00798956,2.82843,-0.00760097,0.00246136,fluid
57,0.00798956,3.11127,-0.00798588,0.000242229,fluid
58,0.00798956,3.39411,-0.00773617,-0.00199615,fluid
59,0.00798956,3.67696,-0.00687169,-0.0040759,fluid
60,0.00798956,3.9598,-0.00546112,-0.00583174,fluid
