dr0,0.00141421
r0,0.05
R,2
R/r0,40
Nr,20
Ntheta,222.144
Nboundary,223
Nfluid,4460
Nparticles,4683
Apolar,0.311157
Bpolar,0.00387451

ID,r,theta,x,y,Type
0,0.05,0,0.05,0,boundary
1,0.05,0.0282843,0.04998,0.00141403,boundary
2,0.05,0.0565685,0.04992,0.00282692,boundary
3,0.05,0.0848528,0.0498201,0.00423755,boundary
4,0.05,0.113137,0.0496803,0.00564479,boundary
5,0.05,0.141421,0.0495008,0.00704752,boundary
6,0.05,0.169706,0.0492817,0.00844461,boundary
7,0.05,0.19799,0.0490232,0.00983494,boundary
8,0.05,0.226274,0.0487255,0.0112174,boundary
9,0.05,0.254558,0.0483887,0.0125909,boundary
10,0.05,0.282843,0.0480133,0.0139543,boundary
11,0.05,0.311127,0.0475995,0.0153066,boundary
12,0.05,0.339411,0.0471475,0.0166466,boundary
13,0.05,0.367696,0.0466579,0.0179733,boundary
14,0.05,0.39598,0.046131,0.0192856,boundary
15,0.05,0.424264,0.0455671,0.0205825,boundary
16,0.05,0.452548,0.0449668,0.0218629,boundary
17,0.05,0.480833,0.0443305,0.0231259,boundary
18,0.05,0.509117,0.0436588,0.0243703,boundary
19,0.05,0.537401,0.0429521,0.0255953,boundary
20,0.05,0.565685,0.0422111,0.0267997,boundary
21,0.05,0.59397,0.0414363,0.0279828,boundary
22,0.05,0.622254,0.0406283,0.0291434,boundary
23,0.05,0.650538,0.0397879,0.0302807,boundary
24,0.05,0.678823,0.0389156,0.0313939,boundary
25,0.05,0.707107,0.0380122,0.0324818,boundary
26,0.05,0.735391,0.0370784,0.0335439,boundary
27,0.05,0.763675,0.036115,0.034579,boundary
28,0.05,0.79196,0.0351226,0.0355866,boundary
29,0.05,0.820244,0.0341021,0.0365656,boundary
30,0.05,0.848528,0.0330544,0.0375154,boundary
31,0.05,0.876812,0.0319802,0.0384352,boundary
32,0.05,0.905097,0.0308805,0.0393242,boundary
33,0.05,0.933381,0.029756,0.0401818,boundary
34,0.05,0.961665,0.0286078,0.0410073,boundary
35,0.05,0.989949,0.0274366,0.0417999,boundary
36,0.05,1.01823,0.0262435,0.0425591,boundary
37,0.05,1.04652,0.0250294,0.0432843,boundary
38,0.05,1.0748,0.0237953,0.0439748,boundary
39,0.05,1.10309,0.0225422,0.0446302,boundary
40,0.05,1.13137,0.021271,0.0452498,boundary
41,0.05,1.15966,0.0199828,0.0458333,boundary
42,0.05,1.18794,0.0186786,0.0463801,boundary
43,0.05,1.21622,0.0173595,0.0468897,boundary
44,0.05,1.24451,0.0160265,0.0473619,boundary
45,0.05,1.27279,0.0146806,0.0477962,boundary
46,0.05,1.30108,0.0133231,0.0481923,boundary
47,0.05,1.32936,0.0119548,0.0485498,boundary
48,0.05,1.35765,0.010577,0.0488685,boundary
49,0.05,1.38593,0.00919079,0.049148,boundary
50,0.05,1.41421,0.00779718,0.0493883,boundary
51,0.05,1.4425,0.00639734,0.0495891,boundary
52,0.05,1.47078,0.00499238,0.0497501,boundary
53,0.05,1.49907,0.00358342,0.0498714,boundary
54,0.05,1.52735,0.0021716,0.0499528,boundary
55,0.05,1.55563,0.000758041,0.0499943,boundary
56,0.05,1.58392,-0.000656124,0.0499957,boundary
57,0.05,1.6122,-0.00206977,0.0499571,boundary
58,0.05,1.64049,-0.00348175,0.0498786,boundary
59,0.05,1.66877,-0.00489095,0.0497602,boundary
60,0.05,1.69706,-0.00629624,0.049602,boundary
61,0.05,1.72534,-0.00769649,0.0494041,boundary
62,0.05,1.75362,-0.00909058,0.0491667,boundary
63,0.05,1.78191,-0.0104774,0.0488899,boundary
64,0.05,1.81019,-0.0118558,0.0485741,boundary
65,0.05,1.83848,-0.0132248,0.0482193,boundary
66,0.05,1.86676,-0.0145832,0.047826,boundary
67,0.05,1.89505,-0.0159299,0.0473945,boundary
68,0.05,1.92333,-0.0172639,0.046925,boundary
69,0.05,1.95161,-0.018584,0.046418,boundary
70,0.05,1.9799,-0.0198893,0.0458739,boundary
71,0.05,2.00818,-0.0211787,0.0452931,boundary
72,0.05,2.03647,-0.0224511,0.044676,boundary
73,0.05,2.06475,-0.0237056,0.0440232,boundary
74,0.05,2.09304,-0.0249411,0.0433352,boundary
75,0.05,2.12132,-0.0261567,0.0426125,boundary
76,0.05,2.1496,-0.0273513,0.0418558,boundary
77,0.05,2.17789,-0.0285241,0.0410655,boundary
78,0.05,2.20617,-0.029674,0.0402424,boundary
79,0.05,2.23446,-0.0308002,0.0393871,boundary
80,0.05,2.26274,-0.0319018,0.0385003,boundary
81,0.05,2.29103,-0.0329779,0.0375827,boundary
82,0.05,2.31931,-0.0340275,0.0366351,boundary
83,0.05,2.34759,-0.03505,0.0356581,boundary
84,0.05,2.37588,-0.0360444,0.0346526,boundary
85,0.05,2.40416,-0.03701,0.0336194,boundary
86,0.05,2.43245,-0.0379459,0.0325593,boundary
87,0.05,2.46073,-0.0388516,0.0314731,boundary
88,0.05,2.48902,-0.0397261,0.0303618,boundary
89,0.05,2.5173,-0.0405688,0.0292262,boundary
90,0.05,2.54558,-0.0413791,0.0280672,boundary
91,0.05,2.57387,-0.0421564,0.0268857,boundary
92,0.05,2.60215,-0.0428998,0.0256828,boundary
93,0.05,2.63044,-0.043609,0.0244593,boundary
94,0.05,2.65872,-0.0442833,0.0232162,boundary
95,0.05,2.68701,-0.0449221,0.0219546,boundary
96,0.05,2.71529,-0.045525,0.0206754,boundary
97,0.05,2.74357,-0.0460915,0.0193796,boundary
98,0.05,2.77186,-0.0466212,0.0180684,boundary
99,0.05,2.80014,-0.0471135,0.0167427,boundary
100,0.05,2.82843,-0.0475682,0.0154036,boundary
101,0.05,2.85671,-0.0479848,0.0140522,boundary
102,0.05,2.885,-0.048363,0.0126895,boundary
103,0.05,2.91328,-0.0487025,0.0113167,boundary
104,0.05,2.94156,-0.049003,0.00993486,boundary
105,0.05,2.96985,-0.0492644,0.00854506,boundary
106,0.05,2.99813,-0.0494864,0.00714842,boundary
107,0.05,3.02642,-0.0496687,0.00574606,boundary
108,0.05,3.0547,-0.0498114,0.0043391,boundary
109,0.05,3.08299,-0.0499142,0.00292868,boundary
110,0.05,3.11127,-0.049977,0.00151591,boundary
111,0.05,3.13955,-0.0499999,0.000101927,boundary
112,0.05,3.16784,-0.0499828,-0.00131214,boundary
113,0.05,3.19612,-0.0499257,-0.00272515,boundary
114,0.05,3.22441,-0.0498286,-0.00413598,boundary
115,0.05,3.25269,-0.0496917,-0.00554351,boundary
116,0.05,3.28098,-0.0495151,-0.0069466,boundary
117,0.05,3.30926,-0.0492988,-0.00834413,boundary
118,0.05,3.33754,-0.0490431,-0.00973499,boundary
119,0.05,3.36583,-0.0487482,-0.0111181,boundary
120,0.05,3.39411,-0.0484143,-0.0124922,boundary
121,0.05,3.4224,-0.0480416,-0.0138564,boundary
122,0.05,3.45068,-0.0476306,-0.0152095,boundary
123,0.05,3.47897,-0.0471814,-0.0165505,boundary
124,0.05,3.50725,-0.0466945,-0.0178781,boundary
125,0.05,3.53553,-0.0461702,-0.0191915,boundary
126,0.05,3.56382,-0.045609,-0.0204896,boundary
127,0.05,3.5921,-0.0450113,-0.0217712,boundary
128,0.05,3.62039,-0.0443776,-0.0230355,boundary
129,0.05,3.64867,-0.0437084,-0.0242813,boundary
130,0.05,3.67696,-0.0430042,-0.0255076,boundary
