t,FxPressure,FyPressure,FxViscous,FyViscous,Fx,Fy,CD,CL
0,-3.02746e-11,1.32291e-11,0.17562,-1.92988e-17,0.17562,1.32291e-11,0.0140496,1.05833e-12
6.36362e-05,253.507,7.21497e-11,0.175758,-5.04154e-18,253.683,7.21497e-11,20.2947,5.77198e-12
0.000127267,488.532,1.21214e-11,0.176231,3.95734e-18,488.708,1.21214e-11,39.0966,9.69714e-13
0.000190881,696.175,1.86007e-11,0.177011,6.93889e-18,696.352,1.86007e-11,55.7082,1.48805e-12
0.000254467,869.047,9.20153e-13,0.178055,4.17418e-18,869.225,9.20157e-13,69.538,7.36126e-14
0.000318017,1001.56,3.09486e-11,0.179313,6.12574e-18,1001.74,3.09486e-11,80.1395,2.47589e-12
0.000381524,1090.15,1.23834e-11,0.180724,3.84892e-18,1090.33,1.23834e-11,87.2263,9.90675e-13
0.000444983,1133.31,1.29359e-11,0.182227,-6.34258e-18,1133.49,1.29359e-11,90.6793,1.03487e-12
0.00050839,1131.63,2.74816e-11,0.183758,-1.40946e-18,1131.81,2.74816e-11,90.5448,2.19853e-12
0.000571743,1087.63,2.96665e-11,0.185254,-1.78351e-17,1087.81,2.96665e-11,87.0251,2.37332e-12
0.000635044,1005.58,1.4122e-13,0.186661,-4.11997e-18,1005.76,1.41216e-13,80.4612,1.12973e-14
0.000698295,891.186,1.59206e-11,0.187927,-6.55942e-18,891.374,1.59206e-11,71.3099,1.27365e-12
0.000761502,751.277,8.95617e-12,0.189012,7.04731e-18,751.466,8.95618e-12,60.1173,7.16494e-13
0.000824669,593.417,4.43712e-11,0.189887,1.60462e-17,593.607,4.43712e-11,47.4886,3.5497e-12
0.000887805,425.535,1.21934e-11,0.190532,4.29886e-17,425.726,1.21934e-11,34.0581,9.75472e-13
0.000950918,255.546,1.21898e-11,0.19094,7.38884e-17,255.737,1.21899e-11,20.4589,9.7519e-13
0.00101402,90.9933,1.78776e-11,0.191115,1.04842e-16,91.1844,1.78777e-11,7.29475,1.43022e-12
0.00107711,-61.2669,3.31863e-11,0.191071,1.28044e-16,-61.0758,3.31865e-11,-4.88606,2.65492e-12
0.0011402,-195.343,-1.54233e-11,0.190831,1.63931e-16,-195.152,-1.54231e-11,-15.6122,-1.23385e-12
0.0012033,-306.531,-2.22383e-11,0.190424,2.01445e-16,-306.341,-2.22381e-11,-24.5073,-1.77905e-12
0.00126642,-391.471,-1.43355e-11,0.189888,2.46548e-16,-391.281,-1.43353e-11,-31.3025,-1.14682e-12
0.00132955,-448.236,4.10958e-11,0.189261,2.69912e-16,-448.047,4.10961e-11,-35.8437,3.28769e-12
0.00139271,-476.356,8.06288e-12,0.188585,3.00107e-16,-476.168,8.06318e-12,-38.0934,6.45055e-13
0.00145588,-476.769,2.60227e-11,0.1879,3.29326e-16,-476.581,2.60231e-11,-38.1265,2.08185e-12
0.00151909,-451.705,-1.78029e-11,0.187243,3.53884e-16,-451.518,-1.78025e-11,-36.1214,-1.4242e-12
0.00158231,-404.512,5.55584e-11,0.186647,3.59955e-16,-404.325,5.55588e-11,-32.346,4.4447e-12
0.00164556,-339.435,9.48075e-12,0.186139,3.73399e-16,-339.249,9.48112e-12,-27.1399,7.5849e-13
0.00170882,-261.352,-1.91122e-11,0.18574,3.8126e-16,-261.166,-1.91118e-11,-20.8933,-1.52894e-12
0.00177209,-175.498,-7.60614e-12,0.185462,3.72966e-16,-175.313,-7.60576e-12,-14.025,-6.08461e-13
0.00183537,-87.1676,2.2187e-11,0.18531,3.48137e-16,-86.9823,2.21873e-11,-6.95859,1.77499e-12
0.00189865,-1.43905,2.08814e-11,0.185281,3.61473e-16,-1.25377,2.08818e-11,-0.100301,1.67054e-12
0.00196193,77.079,-1.9333e-11,0.185365,3.64075e-16,77.2644,-1.93326e-11,6.18115,-1.54661e-12
0.0020252,144.464,-4.92733e-11,0.185546,3.59521e-16,144.65,-4.92729e-11,11.572,-3.94184e-12
0.00208846,197.649,2.7526e-11,0.185804,3.56594e-16,197.835,2.75263e-11,15.8268,2.20211e-12
