h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
0,436.923,0.00447214,2100

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
0,0.05,0,,1000,0,1.30695e-09,,0,0,0,,0,0,0,boundary
1,0.0497987,0.00448197,,1000,0,3.92086e-09,,0,0,0,,0,0,0,boundary
2,0.0491965,0.00892784,,1000,0,3.92086e-09,,0,0,0,,0,0,0,boundary
3,0.0481981,0.0133018,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
4,0.0468117,0.0175687,,1000,0,0,,0,0,0,,0,0,0,boundary
5,0.0450484,0.0216942,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
6,0.0429224,0.025645,,1000,0,-2.17826e-10,,0,0,0,,0,0,0,boundary
7,0.0404508,0.0293893,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
8,0.0376536,0.0328969,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
9,0.0345531,0.0361397,,1000,0,8.71303e-10,,0,0,0,,0,0,0,boundary
10,0.0311745,0.0390916,,1000,0,-2.17826e-10,,0,0,0,,0,0,0,boundary
11,0.0275448,0.0417287,,1000,0,8.71303e-10,,0,0,0,,0,0,0,boundary
12,0.0236934,0.0440298,,1000,0,-1.08913e-09,,0,0,0,,0,0,0,boundary
13,0.0196513,0.0459764,,1000,0,-8.71303e-10,,0,0,0,,0,0,0,boundary
14,0.0154508,0.0475528,,1000,0,8.71303e-10,,0,0,0,,0,0,0,boundary
15,0.011126,0.0487464,,1000,0,3.04956e-09,,0,0,0,,0,0,0,boundary
16,0.00671166,0.0495475,,1000,0,3.04956e-09,,0,0,0,,0,0,0,boundary
17,0.00224324,0.0499497,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
18,-0.00224324,0.0499497,,1000,0,4.35652e-10,,0,0,0,,0,0,0,boundary
19,-0.00671166,0.0495475,,1000,0,1.30695e-09,,0,0,0,,0,0,0,boundary
20,-0.011126,0.0487464,,1000,0,-1.08913e-09,,0,0,0,,0,0,0,boundary
