h/dp :,2
L2norm Pressure,KE,dr0,Nparticles
19883.7,392.162,0.0141421,440

t,16
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,1000,0,0,,0,0,,0,0,boundary
1,0.0479746,0.0140866,,1000,0,0,,0,0,,0,0,boundary
2,0.0420627,0.027032,,1000,0,0,,0,0,,0,0,boundary
3,0.032743,0.0377875,,1000,0,0,,0,0,,0,0,boundary
4,0.0207708,0.0454816,,1000,0,0,,0,0,,0,0,boundary
5,0.00711574,0.0494911,,1000,0,0,,0,0,,0,0,boundary
6,-0.00711574,0.0494911,,1000,0,0,,0,0,,0,0,boundary
7,-0.0207708,0.0454816,,1000,0,0,,0,0,,0,0,boundary
8,-0.032743,0.0377875,,1000,0,0,,0,0,,0,0,boundary
9,-0.0420627,0.027032,,1000,0,0,,0,0,,0,0,boundary
10,-0.0479746,0.0140866,,1000,0,0,,0,0,,0,0,boundary
11,-0.05,6.12323e-18,,1000,0,0,,0,0,,0,0,boundary
12,-0.0479746,-0.0140866,,1000,0,0,,0,0,,0,0,boundary
13,-0.0420627,-0.027032,,1000,0,0,,0,0,,0,0,boundary
14,-0.032743,-0.0377875,,1000,0,0,,0,0,,0,0,boundary
15,-0.0207708,-0.0454816,,1000,0,0,,0,0,,0,0,boundary
16,-0.00711574,-0.0494911,,1000,0,0,,0,0,,0,0,boundary
17,0.00711574,-0.0494911,,1000,0,0,,0,0,,0,0,boundary
18,0.0207708,-0.0454816,,1000,0,0,,0,0,,0,0,boundary
19,0.032743,-0.0377875,,1000,0,0,,0,0,,0,0,boundary
20,0.0420627,-0.027032,,1000,0,0,,0,0,,0,0,boundary
21,0.0479746,-0.0140866,,1000,0,0,,0,0,,0,0,boundary
22,0.0641421,0,,999.958,6.69653e-05,-82.8062,,0.519335,-2.80162e-14,,-0.00128293,1.50701e-12,fluid
23,0.0615439,0.0180709,,999.957,0.000110378,-85.0317,,0.482937,0.106532,,-0.000820617,-0.000578969,fluid
24,0.0539598,0.0346779,,999.963,0.000104168,-72.1578,,0.463314,0.0926754,,-0.00043354,-0.000197597,fluid
25,0.0420042,0.0484754,,999.972,6.75947e-05,-54.664,,0.480419,0.0787151,,-0.000506795,1.61207e-05,fluid
26,0.0266456,0.0583457,,999.984,-2.94297e-06,-32.1668,,0.50905,0.0678317,,-0.000530431,-6.951e-06,fluid
27,0.00912838,0.0634893,,999.999,-8.21426e-05,-2.14978,,0.52954,0.0560634,,-0.000606739,-3.24808e-05,fluid
28,-0.00912838,0.0634893,,1000.01,2.27929e-05,21.9474,,0.548376,0.0483723,,-0.000806727,-0.000113638,fluid
29,-0.0266456,0.0583457,,1000.02,3.75145e-05,37.3314,,0.558299,0.0470093,,-0.000787487,-5.12591e-05,fluid
30,-0.0420042,0.0484754,,1000.02,-9.06587e-05,35.2807,,0.556042,0.0390753,,-0.000667346,0.000141083,fluid
31,-0.0539598,0.0346779,,1000.02,-9.65411e-05,39.1372,,0.554561,0.0261964,,-0.000786088,3.54851e-05,fluid
32,-0.0615439,0.0180709,,1000.02,4.85555e-06,45.3989,,0.553218,0.0160736,,-0.000815859,-1.5496e-05,fluid
33,-0.0641421,7.85515e-18,,1000.02,4.99051e-05,46.1959,,0.550138,9.07042e-15,,-0.000819414,-9.21346e-14,fluid
34,-0.0615439,-0.0180709,,1000.02,4.85558e-06,45.3989,,0.553218,-0.0160736,,-0.000815859,1.5496e-05,fluid
35,-0.0539598,-0.0346779,,1000.02,-9.6541e-05,39.1372,,0.554561,-0.0261964,,-0.000786088,-3.54851e-05,fluid
36,-0.0420042,-0.0484754,,1000.02,-9.06588e-05,35.2807,,0.556042,-0.0390753,,-0.000667346,-0.000141083,fluid
37,-0.0266456,-0.0583457,,1000.02,3.75144e-05,37.3314,,0.558299,-0.0470093,,-0.000787487,5.12591e-05,fluid
38,-0.00912838,-0.0634893,,1000.01,2.2793e-05,21.9474,,0.548376,-0.0483723,,-0.000806727,0.000113638,fluid
39,0.00912838,-0.0634893,,999.999,-8.21426e-05,-2.14978,,0.52954,-0.0560634,,-0.000606739,3.24808e-05,fluid
40,0.0266456,-0.0583457,,999.984,-2.94302e-06,-32.1668,,0.50905,-0.0678317,,-0.000530431,6.95101e-06,fluid
41,0.0420042,-0.0484754,,999.972,6.75949e-05,-54.664,,0.480419,-0.0787151,,-0.000506795,-1.61207e-05,fluid
42,0.0539598,-0.0346779,,999.963,0.000104168,-72.1578,,0.463314,-0.0926754,,-0.00043354,0.000197597,fluid
43,0.0615439,-0.0180709,,999.957,0.000110378,-85.0317,,0.482937,-0.106532,,-0.000820617,0.000578969,fluid
44,0.0798956,0,,999.941,1.81556e-05,-116.173,,0.321503,1.53989e-14,,-0.000743351,1.11668e-12,fluid
45,0.0766592,0.0225092,,999.962,-2.20069e-05,-75.2962,,0.348829,0.000312119,,-0.000557437,-7.40838e-05,fluid
46,0.0672124,0.0431948,,999.986,2.26956e-06,-27.8492,,0.407869,0.00231328,,-0.000416041,2.6114e-05,fluid
47,0.0523205,0.060381,,999.995,5.71411e-05,-10.5334,,0.473625,0.0113593,,-0.000483476,2.08317e-05,fluid
48,0.0331898,0.0726756,,999.999,-4.44979e-05,-1.4042,,0.51657,0.0301269,,-0.000520756,-2.57736e-05,fluid
49,0.0113703,0.0790823,,1000.01,5.21959e-05,12.3372,,0.531533,0.0442603,,-0.000678415,-0.000104366,fluid
50,-0.0113703,0.0790823,,1000.01,0.000130898,20.9091,,0.529626,0.0599995,,-0.000622614,-0.000116432,fluid
51,-0.0331898,0.0726756,,1000.02,-0.000274209,46.2557,,0.507872,0.0700724,,-0.000382202,0.00010751,fluid
52,-0.0523205,0.060381,,1000.03,-0.000143158,67.7811,,0.482974,0.0641671,,-0.0006963,-0.000104565,fluid
53,-0.0672124,0.0431948,,1000.05,0.000120039,91.9185,,0.459849,0.0473886,,-0.000646649,-0.000145809,fluid
54,-0.0766592,0.0225092,,1000.05,3.86028e-05,107.369,,0.444898,0.0285737,,-0.000630561,-1.11532e-06,fluid
55,-0.0798956,9.78438e-18,,1000.05,-5.10693e-05,105.831,,0.438706,-5.87074e-14,,-0.000656184,1.56258e-12,fluid
56,-0.0766592,-0.0225092,,1000.05,3.86028e-05,107.369,,0.444898,-0.0285737,,-0.000630561,1.11532e-06,fluid
57,-0.0672124,-0.0431948,,1000.05,0.000120039,91.9185,,0.459849,-0.0473886,,-0.000646649,0.000145809,fluid
58,-0.0523205,-0.060381,,1000.03,-0.000143158,67.7811,,0.482974,-0.0641671,,-0.0006963,0.000104565,fluid
59,-0.0331898,-0.0726756,,1000.02,-0.000274209,46.2557,,0.507872,-0.0700724,,-0.000382202,-0.00010751,fluid
60,-0.0113703,-0.0790823,,1000.01,0.000130898,20.9091,,0.529626,-0.0599995,,-0.000622614,0.000116432,fluid
61,0.0113703,-0.0790823,,1000.01,5.21961e-05,12.3372,,0.531533,-0.0442603,,-0.000678415,0.000104366,fluid
62,0.0331898,-0.0726756,,999.999,-4.4498e-05,-1.4042,,0.51657,-0.0301269,,-0.000520756,2.57736e-05,fluid
63,0.0523205,-0.060381,,999.995,5.71412e-05,-10.5334,,0.473625,-0.0113593,,-0.000483476,-2.08317e-05,fluid
64,0.0672124,-0.0431948,,999.986,2.26957e-06,-27.8492,,0.407869,-0.00231328,,-0.000416041,-2.6114e-05,fluid
65,0.0766592,-0.0225092,,999.962,-2.20069e-05,-75.2962,,0.348829,-0.000312119,,-0.000557437,7.40838e-05,fluid
66,0.0974438,0,,1000.04,4.07172e-05,69.4386,,0.270509,8.79482e-15,,-0.00049148,9.24453e-13,fluid
67,0.0934967,0.0274531,,1000.02,-2.61694e-07,44.347,,0.332787,-0.0254031,,-0.000454985,-5.6933e-06,fluid
68,0.081975,0.0526821,,1000,-1.90721e-05,5.66397,,0.431028,-0.0189224,,-0.000474278,1.18096e-05,fluid
69,0.0638121,0.0736431,,1000,-0.00013548,5.29067,,0.499452,0.00381603,,-0.000530701,-3.43404e-05,fluid
70,0.0404796,0.088638,,1000.01,-8.56288e-05,19.0123,,0.524349,0.0303188,,-0.000606301,-8.67439e-05,fluid
71,0.0138677,0.096452,,1000.01,0.000153371,14.5271,,0.521309,0.0417965,,-0.000724371,-5.29857e-05,fluid
72,-0.0138677,0.096452,,999.996,-0.00020715,-7.9679,,0.505922,0.0460634,,-0.000286636,3.28578e-05,fluid
73,-0.0404796,0.088638,,999.987,3.65539e-05,-24.8386,,0.477333,0.0439297,,-0.000507745,-7.56612e-05,fluid
74,-0.0638121,0.0736431,,999.992,0.000419235,-15.5331,,0.464429,0.0405818,,-0.000705183,-0.00014963,fluid
75,-0.081975,0.0526821,,999.984,-1.58182e-05,-31.5153,,0.450088,0.027928,,-0.000524629,0.00012363,fluid
76,-0.0934967,0.0274531,,999.979,-0.000280223,-41.7592,,0.439473,0.015941,,-0.000530962,8.70471e-06,fluid
77,-0.0974438,1.19334e-17,,999.98,-0.000168025,-39.1153,,0.439567,-7.79981e-14,,-0.000602285,1.50983e-12,fluid
78,-0.0934967,-0.0274531,,999.979,-0.000280223,-41.7592,,0.439473,-0.015941,,-0.000530962,-8.70471e-06,fluid
79,-0.081975,-0.0526821,,999.984,-1.58183e-05,-31.5153,,0.450088,-0.027928,,-0.000524629,-0.00012363,fluid
80,-0.0638121,-0.0736431,,999.992,0.000419235,-15.5331,,0.464429,-0.0405818,,-0.000705183,0.00014963,fluid
81,-0.0404796,-0.088638,,999.987,3.65538e-05,-24.8386,,0.477333,-0.0439297,,-0.000507745,7.56612e-05,fluid
82,-0.0138677,-0.096452,,999.996,-0.00020715,-7.9679,,0.505922,-0.0460634,,-0.000286636,-3.28578e-05,fluid
83,0.0138677,-0.096452,,1000.01,0.000153371,14.5271,,0.521309,-0.0417965,,-0.000724371,5.29857e-05,fluid
84,0.0404796,-0.088638,,1000.01,-8.56287e-05,19.0123,,0.524349,-0.0303188,,-0.000606301,8.67439e-05,fluid
85,0.0638121,-0.0736431,,1000,-0.00013548,5.29067,,0.499452,-0.00381603,,-0.000530701,3.43405e-05,fluid
86,0.081975,-0.0526821,,1000,-1.90718e-05,5.66397,,0.431028,0.0189224,,-0.000474278,-1.18096e-05,fluid
87,0.0934967,-0.0274531,,1000.02,-2.61641e-07,44.347,,0.332787,0.0254031,,-0.000454985,5.6933e-06,fluid
88,0.116991,0,,999.992,9.83871e-05,-16.6762,,0.327675,-7.64587e-15,,-0.000462136,8.84134e-14,fluid
89,0.112253,0.0329603,,999.993,6.57016e-05,-13.9985,,0.393099,0.00354329,,-0.000497116,-5.6879e-05,fluid
90,0.0984195,0.0632504,,1000,5.55131e-05,1.1343,,0.477189,0.0142748,,-0.000487236,-4.36629e-05,fluid
91,0.0766131,0.0884163,,1000,4.435e-05,7.01816,,0.519632,0.0251469,,-0.000554793,-6.56293e-05,fluid
92,0.0486,0.106419,,1000,0.000161839,2.83863,,0.527196,0.0321059,,-0.000584075,-2.1873e-05,fluid
93,0.0166496,0.115801,,999.999,-0.000161377,-1.39798,,0.507187,0.0351159,,-0.000357847,-8.66202e-05,fluid
94,-0.0166496,0.115801,,1000.01,-7.02397e-05,27.281,,0.499317,0.0315915,,-0.000678122,-3.73524e-05,fluid
95,-0.0486,0.106419,,1000.02,0.000333299,36.846,,0.488762,0.0253587,,-0.000754533,-0.000105055,fluid
96,-0.0766131,0.0884163,,1000.02,-0.000379028,33.4576,,0.478222,0.0210755,,-0.000391381,0.000110154,fluid
97,-0.0984195,0.0632504,,1000.02,-0.000340126,47.2685,,0.477697,0.0170801,,-0.000510319,5.93973e-05,fluid
98,-0.112253,0.0329603,,1000.03,0.000291535,52.538,,0.469594,0.00656508,,-0.000635151,-6.33412e-05,fluid
