h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
9.63876e-11,16.6797,0.0141421,660

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
0,0.05,0,,1000,0,3.37526,,-0,0,0,,0,0,0,boundary
1,0.0479746,0.0140866,,1000,0,2.48801,,0.0127604,-0.043458,0.0452927,,0,0,0,boundary
2,0.0420627,0.027032,,1000,0,0.107978,,0.0469904,-0.0731185,0.0869161,,0,0,0,boundary
3,0.032743,0.0377875,,999.998,0,-3.00919,,0.0918221,-0.0795643,0.121498,,0,0,0,boundary
4,0.0207708,0.0454816,,999.997,0,-5.87382,,0.133022,-0.060749,0.146237,,0,0,0,boundary
5,0.00711574,0.0494911,,999.996,0,-7.57641,,0.157509,-0.0226464,0.159129,,0,0,0,boundary
6,-0.00711574,0.0494911,,999.996,0,-7.57641,,0.157509,0.0226464,0.159129,,0,0,0,boundary
7,-0.0207708,0.0454816,,999.997,0,-5.87382,,0.133022,0.060749,0.146237,,0,0,0,boundary
8,-0.032743,0.0377875,,999.998,0,-3.00919,,0.0918221,0.0795643,0.121498,,0,0,0,boundary
9,-0.0420627,0.027032,,1000,0,0.107978,,0.0469904,0.0731185,0.0869161,,0,0,0,boundary
10,-0.0479746,0.0140866,,1000,0,2.48801,,0.0127604,0.043458,0.0452927,,0,0,0,boundary
11,-0.05,6.12323e-18,,1000,0,3.37526,,2.41109e-33,1.9688e-17,1.9688e-17,,0,0,0,boundary
12,-0.0479746,-0.0140866,,1000,0,2.48801,,0.0127604,-0.043458,0.0452927,,0,0,0,boundary
13,-0.0420627,-0.027032,,1000,0,0.107978,,0.0469904,-0.0731185,0.0869161,,0,0,0,boundary
14,-0.032743,-0.0377875,,999.998,0,-3.00919,,0.0918221,-0.0795643,0.121498,,0,0,0,boundary
15,-0.0207708,-0.0454816,,999.997,0,-5.87382,,0.133022,-0.060749,0.146237,,0,0,0,boundary
16,-0.00711574,-0.0494911,,999.996,0,-7.57641,,0.157509,-0.0226464,0.159129,,0,0,0,boundary
17,0.00711574,-0.0494911,,999.996,0,-7.57641,,0.157509,0.0226464,0.159129,,0,0,0,boundary
18,0.0207708,-0.0454816,,999.997,0,-5.87382,,0.133022,0.060749,0.146237,,0,0,0,boundary
19,0.032743,-0.0377875,,999.998,0,-3.00919,,0.0918221,0.0795643,0.121498,,0,0,0,boundary
20,0.0420627,-0.027032,,1000,0,0.107978,,0.0469904,0.0731185,0.0869161,,0,0,0,boundary
21,0.0479746,-0.0140866,,1000,0,2.48801,,0.0127604,0.043458,0.0452927,,0,0,0,boundary
22,0.0641421,0,,1000,428.255,4.23031,,0.039235,0,0.039235,,-0.0183582,-9.81557e-14,-7.63278e-17,fluid
23,0.0615439,0.0180709,,1000,411,3.26568,,0.0488813,-0.032852,0.0588951,,-0.0111619,0.0676643,-0.185477,fluid
24,0.0539598,0.0346779,,1000,360.607,0.678078,,0.0747573,-0.0552737,0.0929723,,-0.00122298,0.144914,-0.355928,fluid
25,0.0420042,0.0484754,,999.999,281.088,-2.71097,,0.108648,-0.0601465,0.124185,,-0.0158858,0.233618,-0.497544,fluid
26,0.0266456,0.0583457,,999.997,178.79,-5.82545,,0.139793,-0.0459231,0.147142,,-0.0736615,0.29896,-0.598852,fluid
27,0.00912838,0.0634893,,999.996,61.9133,-7.67654,,0.158304,-0.0171195,0.159227,,-0.151134,0.298295,-0.651644,fluid
28,-0.00912838,0.0634893,,999.996,-60.1279,-7.67654,,0.158304,0.0171195,0.159227,,-0.172533,0.211454,-0.651644,fluid
29,-0.0266456,0.0583457,,999.997,-177.45,-5.82545,,0.139793,0.0459231,0.147142,,-0.156107,0.0660091,-0.598852,fluid
30,-0.0420042,0.0484754,,999.999,-280.496,-2.71097,,0.108648,0.0601465,0.124185,,-0.0558965,-0.071482,-0.497544,fluid
31,-0.0539598,0.0346779,,1000,-360.83,0.678078,,0.0747573,0.0552737,0.0929723,,0.101354,-0.135469,-0.355928,fluid
32,-0.0615439,0.0180709,,1000,-411.846,3.26568,,0.0488813,0.032852,0.0588951,,0.242552,-0.0989816,-0.185477,fluid
33,-0.0641421,7.85515e-18,,1000,-429.333,4.23031,,0.039235,1.48831e-17,0.039235,,0.29868,-1.94574e-12,-4.16307e-17,fluid
34,-0.0615439,-0.0180709,,1000,-411.846,3.26568,,0.0488813,-0.032852,0.0588951,,0.242552,0.0989816,0.185477,fluid
