h/dp :,2
L2norm Pressure,KE,dr0,Nfluid
2.56695,16.7137,0.0141421,660

t,0.520056
ID,x,y,,rho,drhodt,pressure,,u,v,velocity,,dudt,dvdt,vorticity,type
0,0.05,0,,999.998,0,-3.26244,,-0,2.32035e-14,2.32035e-14,,0,0,0,boundary
1,0.0479746,0.0140866,,999.999,0,-2.81864,,0.00809121,-0.0275561,0.0287195,,0,0,0,boundary
2,0.0420627,0.027032,,999.999,0,-1.7329,,0.0303574,-0.047237,0.0561507,,0,0,0,boundary
3,0.032743,0.0377875,,1000,0,-0.622105,,0.0599573,-0.0519533,0.0793349,,0,0,0,boundary
4,0.0207708,0.0454816,,1000,0,0.138185,,0.0884101,-0.0403755,0.0971932,,0,0,0,boundary
5,0.00711574,0.0494911,,1000,0,0.50804,,0.107812,-0.015501,0.108921,,0,0,0,boundary
6,-0.00711574,0.0494911,,1000,0,0.899764,,0.111887,0.0160869,0.113037,,0,0,0,boundary
7,-0.0207708,0.0454816,,1000,0,1.48285,,0.096767,0.044192,0.10638,,0,0,0,boundary
8,-0.032743,0.0377875,,1000,0,2.09914,,0.0679022,0.0588376,0.0898475,,0,0,0,boundary
9,-0.0420627,0.027032,,1000,0,2.65013,,0.0350694,0.0545691,0.0648664,,0,0,0,boundary
10,-0.0479746,0.0140866,,1000,0,3.05092,,0.00955619,0.0325454,0.0339194,,0,0,0,boundary
11,-0.05,6.12323e-18,,1000,0,3.18173,,-1.41696e-29,-1.15703e-13,1.15703e-13,,0,0,0,boundary
12,-0.0479746,-0.0140866,,1000,0,3.05092,,0.00955619,-0.0325454,0.0339194,,0,0,0,boundary
13,-0.0420627,-0.027032,,1000,0,2.65013,,0.0350694,-0.0545691,0.0648664,,0,0,0,boundary
14,-0.032743,-0.0377875,,1000,0,2.09914,,0.0679022,-0.0588376,0.0898475,,0,0,0,boundary
15,-0.0207708,-0.0454816,,1000,0,1.48285,,0.096767,-0.044192,0.10638,,0,0,0,boundary
16,-0.00711574,-0.0494911,,1000,0,0.899764,,0.111887,-0.0160869,0.113037,,0,0,0,boundary
17,0.00711574,-0.0494911,,1000,0,0.50804,,0.107812,0.015501,0.108921,,0,0,0,boundary
18,0.0207708,-0.0454816,,1000,0,0.138185,,0.0884101,0.0403755,0.0971932,,0,0,0,boundary
19,0.032743,-0.0377875,,1000,0,-0.622105,,0.0599573,0.0519533,0.0793349,,0,0,0,boundary
20,0.0420627,-0.027032,,999.999,0,-1.7329,,0.0303574,0.047237,0.0561507,,0,0,0,boundary
21,0.0479746,-0.0140866,,999.999,0,-2.81864,,0.00809121,0.0275561,0.0287195,,0,0,0,boundary
22,0.0641421,0,,999.999,0.000645845,-2.50683,,0.0443374,2.32035e-14,0.0443374,,0.019224,6.86033e-13,-2.69126e-12,fluid
23,0.0615439,0.0180709,,999.999,0.000760032,-1.97334,,0.0531288,-0.0143319,0.0550279,,0.0158566,0.020815,-0.486545,fluid
24,0.0539598,0.0346779,,1000,0.000471329,-0.966476,,0.0742826,-0.019008,0.0766759,,0.00493108,0.0339985,-0.801971,fluid
25,0.0420042,0.0484754,,1000,0.000746075,0.255945,,0.0949043,-0.0116223,0.0956133,,-0.00893608,0.032189,-0.892313,fluid
26,0.0266456,0.0583457,,1000,0.00094505,1.29185,,0.106821,-6.16739e-05,0.106821,,-0.016086,0.0174062,-0.811604,fluid
27,0.00912838,0.0634893,,1000,0.00133191,1.32262,,0.111451,0.00980732,0.111881,,-0.0157506,-0.000105792,-0.665721,fluid
28,-0.00912838,0.0634893,,1000,0.00140255,0.79537,,0.11155,0.0184263,0.113062,,-0.00633859,-0.0107676,-0.516258,fluid
29,-0.0266456,0.0583457,,1000,0.0019798,1.57946,,0.105495,0.0250808,0.108435,,0.0020714,-0.0119804,-0.393467,fluid
30,-0.0420042,0.0484754,,1000,0.001889,1.83109,,0.0957268,0.0267263,0.0993878,,0.00774423,-0.0104316,-0.276927,fluid
31,-0.0539598,0.0346779,,1000,0.00169351,2.29208,,0.0855841,0.0221052,0.0883928,,0.0120083,-0.00800701,-0.170968,fluid
32,-0.0615439,0.0180709,,1000,0.00180077,2.54405,,0.0783911,0.0123337,0.0793554,,0.0151948,-0.0049074,-0.0793479,fluid
33,-0.0641421,7.85515e-18,,1000,0.00184529,2.60603,,0.0759351,-1.15713e-13,0.0759351,,0.0167111,8.55425e-14,3.03868e-13,fluid
34,-0.0615439,-0.0180709,,1000,0.00180077,2.54405,,0.0783911,-0.0123337,0.0793554,,0.0151948,0.0049074,0.0793479,fluid
35,-0.0539598,-0.0346779,,1000,0.00169351,2.29208,,0.0855841,-0.0221052,0.0883928,,0.0120083,0.00800701,0.170968,fluid
36,-0.0420042,-0.0484754,,1000,0.001889,1.83109,,0.0957268,-0.0267263,0.0993878,,0.00774423,0.0104316,0.276927,fluid
37,-0.0266456,-0.0583457,,1000,0.0019798,1.57946,,0.105495,-0.0250808,0.108435,,0.0020714,0.0119804,0.393467,fluid
38,-0.00912838,-0.0634893,,1000,0.00140255,0.79537,,0.11155,-0.0184263,0.113062,,-0.00633859,0.0107676,0.516258,fluid
39,0.00912838,-0.0634893,,1000,0.00133191,1.32262,,0.111451,-0.00980732,0.111881,,-0.0157506,0.000105792,0.665721,fluid
40,0.0266456,-0.0583457,,1000,0.00094505,1.29185,,0.106821,6.16739e-05,0.106821,,-0.016086,-0.0174062,0.811604,fluid
41,0.0420042,-0.0484754,,1000,0.000746075,0.255945,,0.0949043,0.0116223,0.0956133,,-0.00893608,-0.032189,0.892313,fluid
