h/dp :,2
L2norm Pressure,KE,dr0,Nparticles
20116,1182.41,0.0141421,660

t,16.2301
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,999.605,-0.264109,-773.381,,0,0,,25.1649,6.97634e-11,boundary
1,0.0479746,0.0140866,,999.582,-0.30773,-818.294,,0,0,,25.053,8.84412,boundary
2,0.0420627,0.027032,,999.533,-0.37753,-915.042,,0,0,,23.51,17.842,boundary
3,0.032743,0.0377875,,999.477,-0.482738,-1024.77,,0,0,,19.505,26.4216,boundary
4,0.0207708,0.0454816,,999.429,-0.626081,-1117.82,,0,0,,12.3039,33.5267,boundary
5,0.00711574,0.0494911,,999.366,-0.616898,-1240.78,,0,0,,3.21253,39.2863,boundary
6,-0.00711574,0.0494911,,999.333,-0.698187,-1306.54,,0,0,,-7.49166,40.6547,boundary
7,-0.0207708,0.0454816,,999.315,-0.679981,-1341.03,,0,0,,-18.6337,38.2556,boundary
8,-0.032743,0.0377875,,999.326,-0.504555,-1320.57,,0,0,,-28.6053,31.367,boundary
9,-0.0420627,0.027032,,999.306,-0.499729,-1359,,0,0,,-37.628,23.292,boundary
10,-0.0479746,0.0140866,,999.313,-0.461244,-1345.3,,0,0,,-42.0966,12.6573,boundary
11,-0.05,6.12323e-18,,999.346,-0.436709,-1281.53,,0,0,,-41.8719,-5.83227e-11,boundary
12,-0.0479746,-0.0140866,,999.313,-0.461244,-1345.3,,0,0,,-42.0966,-12.6573,boundary
13,-0.0420627,-0.027032,,999.306,-0.499729,-1359,,0,0,,-37.628,-23.292,boundary
14,-0.032743,-0.0377875,,999.326,-0.504555,-1320.57,,0,0,,-28.6053,-31.367,boundary
15,-0.0207708,-0.0454816,,999.315,-0.679981,-1341.03,,0,0,,-18.6337,-38.2556,boundary
16,-0.00711574,-0.0494911,,999.333,-0.698187,-1306.54,,0,0,,-7.49166,-40.6547,boundary
17,0.00711574,-0.0494911,,999.366,-0.616898,-1240.78,,0,0,,3.21253,-39.2863,boundary
18,0.0207708,-0.0454816,,999.429,-0.626081,-1117.82,,0,0,,12.3039,-33.5267,boundary
19,0.032743,-0.0377875,,999.477,-0.482738,-1024.77,,0,0,,19.505,-26.4216,boundary
20,0.0420627,-0.027032,,999.533,-0.37753,-915.042,,0,0,,23.51,-17.842,boundary
21,0.0479746,-0.0140866,,999.582,-0.30773,-818.294,,0,0,,25.053,-8.84412,boundary
22,0.0641421,0,,999.938,-0.0479178,-121.974,,-0.0215141,6.3052e-12,,-0.0334877,6.90337e-12,fluid
23,0.0615439,0.0180709,,999.937,-0.0465788,-124.539,,-0.0418045,0.074793,,-0.063674,0.106397,fluid
24,0.0539598,0.0346779,,999.932,-0.0498475,-132.979,,-0.0956617,0.123141,,-0.144763,0.17949,fluid
25,0.0420042,0.0484754,,999.928,-0.0588478,-140.291,,-0.161622,0.132021,,-0.240895,0.193386,fluid
26,0.0266456,0.0583457,,999.923,-0.066796,-150.901,,-0.213947,0.0992794,,-0.308062,0.14689,fluid
27,0.00912838,0.0634893,,999.918,-0.0684513,-160.893,,-0.243228,0.0406184,,-0.318792,0.0673145,fluid
28,-0.00912838,0.0634893,,999.917,-0.0719004,-162.452,,-0.247247,-0.0271974,,-0.25022,-0.00242737,fluid
29,-0.0266456,0.0583457,,999.914,-0.0860749,-167.918,,-0.220799,-0.0848906,,-0.167796,-0.0385584,fluid
30,-0.0420042,0.0484754,,999.905,-0.0745341,-185.626,,-0.164722,-0.110436,,-0.0762678,-0.0314755,fluid
31,-0.0539598,0.0346779,,999.893,-0.0719761,-209.566,,-0.0940901,-0.0882038,,-0.0268159,-0.00900944,fluid
32,-0.0615439,0.0180709,,999.889,-0.0738507,-217.856,,-0.0393789,-0.0435711,,-0.00509337,0.00785921,fluid
33,-0.0641421,7.85515e-18,,999.89,-0.0741484,-215.791,,-0.0191593,5.88695e-12,,0.000337995,-5.35649e-12,fluid
34,-0.0615439,-0.0180709,,999.889,-0.0738507,-217.856,,-0.0393789,0.0435711,,-0.00509337,-0.00785921,fluid
35,-0.0539598,-0.0346779,,999.893,-0.0719761,-209.566,,-0.0940901,0.0882038,,-0.0268159,0.00900944,fluid
36,-0.0420042,-0.0484754,,999.905,-0.0745341,-185.626,,-0.164722,0.110436,,-0.0762678,0.0314755,fluid
37,-0.0266456,-0.0583457,,999.914,-0.0860749,-167.918,,-0.220799,0.0848906,,-0.167796,0.0385584,fluid
