h/dp :,2
L2norm Pressure,KE,dr0,Nparticles
20340.7,1878,0.0141421,660

t,17.9701
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,999.32,0.128435,-1332.15,,0,0,,44.1669,-3.04079e-10,boundary
1,0.0479746,0.0140866,,999.165,-0.0188032,-1633.34,,0,0,,48.373,24.1334,boundary
2,0.0420627,0.027032,,998.786,-0.112298,-2373.48,,0,0,,56.5179,51.473,boundary
3,0.032743,0.0377875,,998.523,-0.18498,-2884.18,,0,0,,51.26,75.1931,boundary
4,0.0207708,0.0454816,,998.321,-0.146391,-3277.57,,0,0,,36.6986,95.5862,boundary
5,0.00711574,0.0494911,,998.279,0.11031,-3359.28,,0,0,,15.5444,104.365,boundary
6,-0.00711574,0.0494911,,998.488,0.210009,-2953.09,,0,0,,-9.15889,93.5086,boundary
7,-0.0207708,0.0454816,,998.613,0.198164,-2710.94,,0,0,,-33.2738,80.8713,boundary
8,-0.032743,0.0377875,,998.691,0.0691882,-2558.74,,0,0,,-52.9363,64.5099,boundary
9,-0.0420627,0.027032,,998.741,0.0577329,-2461,,0,0,,-67.3793,44.5965,boundary
10,-0.0479746,0.0140866,,998.746,0.105313,-2451.74,,0,0,,-77.6303,22.4702,boundary
11,-0.05,6.12323e-18,,998.726,0.0846888,-2490.46,,0,0,,-82.0966,3.2421e-11,boundary
12,-0.0479746,-0.0140866,,998.746,0.105313,-2451.74,,0,0,,-77.6303,-22.4702,boundary
13,-0.0420627,-0.027032,,998.741,0.0577329,-2461,,0,0,,-67.3793,-44.5965,boundary
14,-0.032743,-0.0377875,,998.691,0.0691882,-2558.74,,0,0,,-52.9363,-64.5099,boundary
15,-0.0207708,-0.0454816,,998.613,0.198164,-2710.94,,0,0,,-33.2738,-80.8713,boundary
16,-0.00711574,-0.0494911,,998.488,0.210009,-2953.09,,0,0,,-9.15889,-93.5086,boundary
17,0.00711574,-0.0494911,,998.279,0.11031,-3359.28,,0,0,,15.5444,-104.365,boundary
18,0.0207708,-0.0454816,,998.321,-0.146391,-3277.57,,0,0,,36.6986,-95.5862,boundary
19,0.032743,-0.0377875,,998.523,-0.18498,-2884.18,,0,0,,51.26,-75.1931,boundary
20,0.0420627,-0.027032,,998.786,-0.112298,-2373.48,,0,0,,56.5179,-51.473,boundary
21,0.0479746,-0.0140866,,999.165,-0.0188032,-1633.34,,0,0,,48.373,-24.1334,boundary
22,0.0641421,0,,999.863,-0.00325789,-269.136,,-0.091973,-5.55091e-12,,-0.030763,-2.94745e-11,fluid
23,0.0615439,0.0180709,,999.859,-0.00600056,-276.469,,-0.162361,0.279966,,-0.0390529,0.0725974,fluid
24,0.0539598,0.0346779,,999.847,-0.0104293,-300.874,,-0.335821,0.443667,,-0.0540634,0.0942509,fluid
25,0.0420042,0.0484754,,999.834,-0.00939433,-325.746,,-0.521716,0.450948,,-0.0275503,0.0574718,fluid
26,0.0266456,0.0583457,,999.821,-0.0166211,-351.019,,-0.603624,0.31785,,0.0365966,0.0165593,fluid
27,0.00912838,0.0634893,,999.799,-0.011199,-394.938,,-0.565045,0.147292,,0.126256,0.00865445,fluid
28,-0.00912838,0.0634893,,999.794,0.000739461,-403.669,,-0.402896,0.0175154,,0.207211,0.0451041,fluid
29,-0.0266456,0.0583457,,999.796,0.00826868,-399.354,,-0.21324,-0.024879,,0.219648,0.0926183,fluid
30,-0.0420042,0.0484754,,999.801,0.0137831,-389.426,,-0.0709881,0.00490143,,0.165688,0.12235,fluid
31,-0.0539598,0.0346779,,999.804,0.0226584,-384.681,,-0.00226635,0.0569423,,0.0921986,0.108892,fluid
32,-0.0615439,0.0180709,,999.794,0.001086,-403.07,,0.0155091,0.0683242,,0.0431543,0.0667407,fluid
33,-0.0641421,7.85515e-18,,999.783,0.012383,-425.219,,0.0137463,-1.798e-12,,0.022616,1.05761e-11,fluid
34,-0.0615439,-0.0180709,,999.794,0.001086,-403.07,,0.0155091,-0.0683242,,0.0431543,-0.0667407,fluid
35,-0.0539598,-0.0346779,,999.804,0.0226584,-384.681,,-0.00226635,-0.0569423,,0.0921986,-0.108892,fluid
36,-0.0420042,-0.0484754,,999.801,0.0137831,-389.426,,-0.0709881,-0.00490143,,0.165688,-0.12235,fluid
37,-0.0266456,-0.0583457,,999.796,0.00826868,-399.354,,-0.21324,0.024879,,0.219648,-0.0926183,fluid
38,-0.00912838,-0.0634893,,999.794,0.000739461,-403.669,,-0.402896,-0.0175154,,0.207211,-0.0451041,fluid
39,0.00912838,-0.0634893,,999.799,-0.011199,-394.938,,-0.565045,-0.147292,,0.126256,-0.00865445,fluid
40,0.0266456,-0.0583457,,999.821,-0.0166211,-351.019,,-0.603624,-0.31785,,0.0365966,-0.0165593,fluid
41,0.0420042,-0.0484754,,999.834,-0.00939433,-325.746,,-0.521716,-0.450948,,-0.0275503,-0.0574718,fluid
42,0.0539598,-0.0346779,,999.847,-0.0104293,-300.874,,-0.335821,-0.443667,,-0.0540634,-0.0942509,fluid
43,0.0615439,-0.0180709,,999.859,-0.00600056,-276.469,,-0.162361,-0.279966,,-0.0390529,-0.0725974,fluid
44,0.0790004,0,,999.705,-0.0427139,-577.535,,-0.328865,-1.21074e-12,,-0.0998922,-2.02947e-11,fluid
45,0.0758004,0.022257,,999.706,-0.0459505,-577.233,,-0.343627,0.152185,,-0.0762066,0.0467438,fluid
46,0.0664594,0.0427109,,999.712,-0.0331334,-564.241,,-0.40179,0.266952,,-0.0456038,0.0850094,fluid
47,0.0517343,0.0597046,,999.735,-0.00521324,-519.781,,-0.482903,0.323887,,-0.0147544,0.104804,fluid
48,0.032818,0.0718613,,999.759,0.0392799,-471.847,,-0.56293,0.309352,,0.0113436,0.103959,fluid
49,0.0112429,0.0781963,,999.772,0.00437884,-446.639,,-0.587462,0.228013,,0.0780927,0.0862075,fluid
50,-0.0112429,0.0781963,,999.763,0.00252659,-463.85,,-0.529709,0.120123,,0.135347,0.0917571,fluid
51,-0.032818,0.0718613,,999.753,0.0177965,-484.519,,-0.379989,0.0326297,,0.210394,0.100987,fluid
52,-0.0517343,0.0597046,,999.739,0.0049967,-510.831,,-0.195705,0.0140509,,0.223891,0.131187,fluid
53,-0.0664594,0.0427109,,999.731,0.00477944,-526.829,,-0.0642134,0.0264512,,0.162719,0.121978,fluid
54,-0.0758004,0.022257,,999.768,0.0168089,-454.041,,0.0294077,0.00730471,,0.102043,0.069737,fluid
55,-0.0790004,9.67476e-18,,999.788,-0.0350156,-415.507,,0.0835979,-3.07977e-12,,0.0851828,2.59973e-12,fluid
56,-0.0758004,-0.022257,,999.768,0.0168089,-454.041,,0.0294077,-0.00730471,,0.102043,-0.069737,fluid
57,-0.0664594,-0.0427109,,999.731,0.00477944,-526.829,,-0.0642134,-0.0264512,,0.162719,-0.121978,fluid
58,-0.0517343,-0.0597046,,999.739,0.0049967,-510.831,,-0.195705,-0.0140509,,0.223891,-0.131187,fluid
59,-0.032818,-0.0718613,,999.753,0.0177965,-484.519,,-0.379989,-0.0326297,,0.210394,-0.100987,fluid
60,-0.0112429,-0.0781963,,999.763,0.00252659,-463.85,,-0.529709,-0.120123,,0.135347,-0.0917571,fluid
61,0.0112429,-0.0781963,,999.772,0.00437884,-446.639,,-0.587462,-0.228013,,0.0780927,-0.0862075,fluid
62,0.032818,-0.0718613,,999.759,0.0392799,-471.847,,-0.56293,-0.309352,,0.0113436,-0.103959,fluid
63,0.0517343,-0.0597046,,999.735,-0.00521324,-519.781,,-0.482903,-0.323887,,-0.0147544,-0.104804,fluid
64,0.0664594,-0.0427109,,999.712,-0.0331334,-564.241,,-0.40179,-0.266952,,-0.0456038,-0.0850094,fluid
65,0.0758004,-0.022257,,999.706,-0.0459505,-577.233,,-0.343627,-0.152185,,-0.0762066,-0.0467438,fluid
66,0.0946112,0,,999.821,0.0103495,-351.598,,-0.497052,2.44353e-12,,-0.15395,-1.47023e-11,fluid
67,0.0907788,0.0266551,,999.808,-0.00296208,-375.576,,-0.475975,0.0878031,,-0.104266,0.0305761,fluid
68,0.079592,0.0511507,,999.772,-0.0161542,-447.864,,-0.47284,0.170595,,-0.0451183,0.0781087,fluid
69,0.0619572,0.0715024,,999.725,-0.0364802,-538.913,,-0.484111,0.236642,,4.76862e-05,0.121058,fluid
70,0.0393029,0.0860614,,999.704,-0.033236,-580.394,,-0.518887,0.272088,,0.0190155,0.150253,fluid
71,0.0134646,0.0936482,,999.712,-0.00353228,-564.303,,-0.535182,0.267097,,0.0767988,0.156066,fluid
72,-0.0134646,0.0936482,,999.712,0.0036527,-563.675,,-0.5135,0.22052,,0.112716,0.15586,fluid
73,-0.0393029,0.0860614,,999.733,-0.00970651,-523.601,,-0.437583,0.14416,,0.178258,0.12058,fluid
74,-0.0619572,0.0715024,,999.757,0.0131724,-475.966,,-0.294951,0.0756039,,0.226979,0.116764,fluid
75,-0.079592,0.0511507,,999.776,0.00257231,-439.668,,-0.137369,0.0320892,,0.21884,0.100868,fluid
76,-0.0907788,0.0266551,,999.78,0.00592919,-432.073,,0.0122248,0.000533462,,0.174875,0.0599549,fluid
77,-0.0946112,1.15865e-17,,999.761,0.0191291,-468.171,,0.0971601,-3.49649e-12,,0.151359,1.94496e-12,fluid
78,-0.0907788,-0.0266551,,999.78,0.00592919,-432.073,,0.0122248,-0.000533462,,0.174875,-0.0599549,fluid
79,-0.079592,-0.0511507,,999.776,0.00257231,-439.668,,-0.137369,-0.0320892,,0.21884,-0.100868,fluid
80,-0.0619572,-0.0715024,,999.757,0.0131724,-475.966,,-0.294951,-0.0756039,,0.226979,-0.116764,fluid
81,-0.0393029,-0.0860614,,999.733,-0.00970651,-523.601,,-0.437583,-0.14416,,0.178258,-0.12058,fluid
82,-0.0134646,-0.0936482,,999.712,0.0036527,-563.675,,-0.5135,-0.22052,,0.112716,-0.15586,fluid
83,0.0134646,-0.0936482,,999.712,-0.00353228,-564.303,,-0.535182,-0.267097,,0.0767988,-0.156066,fluid
84,0.0393029,-0.0860614,,999.704,-0.033236,-580.394,,-0.518887,-0.272088,,0.0190155,-0.150253,fluid
85,0.0619572,-0.0715024,,999.725,-0.0364802,-538.913,,-0.484111,-0.236642,,4.76862e-05,-0.121058,fluid
86,0.079592,-0.0511507,,999.772,-0.0161542,-447.864,,-0.47284,-0.170595,,-0.0451183,-0.0781087,fluid
87,0.0907788,-0.0266551,,999.808,-0.00296208,-375.576,,-0.475975,-0.0878031,,-0.104266,-0.0305761,fluid
88,0.111013,0,,999.796,-0.0448733,-399.619,,-0.496067,3.52034e-12,,-0.166349,-1.32089e-11,fluid
