h/dp :,2
L2norm Pressure,KE,dr0,Nparticles
20355,1983,0.0141421,660

t,18.5802
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,999.583,0.794053,-816.642,,0,0,,27.8564,-9.04435e-10,boundary
1,0.0479746,0.0140866,,999.212,0.231822,-1542.64,,0,0,,44.7095,26.5259,boundary
2,0.0420627,0.027032,,998.819,0.147446,-2309.24,,0,0,,54.2365,50.9979,boundary
3,0.032743,0.0377875,,998.552,0.208769,-2828.01,,0,0,,50.2425,73.2186,boundary
4,0.0207708,0.0454816,,998.372,0.217844,-3178.64,,0,0,,38.2065,91.5908,boundary
5,0.00711574,0.0494911,,998.499,0.475172,-2931.42,,0,0,,16.4856,91.0454,boundary
6,-0.00711574,0.0494911,,998.69,0.41945,-2559.18,,0,0,,-7.20816,81.7964,boundary
7,-0.0207708,0.0454816,,998.807,0.334733,-2332.38,,0,0,,-29.2872,69.8678,boundary
8,-0.032743,0.0377875,,998.809,0.284445,-2327.57,,0,0,,-48.7049,58.156,boundary
9,-0.0420627,0.027032,,998.836,0.232646,-2275.39,,0,0,,-61.9532,41.0291,boundary
10,-0.0479746,0.0140866,,998.868,0.22189,-2212.7,,0,0,,-69.8196,20.7738,boundary
11,-0.05,6.12323e-18,,998.868,0.362554,-2214.33,,0,0,,-73.0308,1.30556e-10,boundary
12,-0.0479746,-0.0140866,,998.868,0.22189,-2212.7,,0,0,,-69.8196,-20.7738,boundary
13,-0.0420627,-0.027032,,998.836,0.232646,-2275.39,,0,0,,-61.9532,-41.0291,boundary
14,-0.032743,-0.0377875,,998.809,0.284445,-2327.57,,0,0,,-48.7049,-58.156,boundary
15,-0.0207708,-0.0454816,,998.807,0.334733,-2332.38,,0,0,,-29.2872,-69.8678,boundary
16,-0.00711574,-0.0494911,,998.69,0.41945,-2559.18,,0,0,,-7.20816,-81.7964,boundary
17,0.00711574,-0.0494911,,998.499,0.475172,-2931.42,,0,0,,16.4856,-91.0454,boundary
18,0.0207708,-0.0454816,,998.372,0.217844,-3178.64,,0,0,,38.2065,-91.5908,boundary
19,0.032743,-0.0377875,,998.552,0.208769,-2828.01,,0,0,,50.2425,-73.2186,boundary
20,0.0420627,-0.027032,,998.819,0.147446,-2309.24,,0,0,,54.2365,-50.9979,boundary
21,0.0479746,-0.0140866,,999.212,0.231822,-1542.64,,0,0,,44.7095,-26.5259,boundary
22,0.0641421,0,,999.876,0.0553028,-243.267,,-0.114429,-1.88491e-11,,-0.0541296,-1.8941e-11,fluid
23,0.0615439,0.0180709,,999.868,0.0387234,-258.448,,-0.183766,0.321891,,-0.0481849,0.0938331,fluid
24,0.0539598,0.0346779,,999.856,0.0349554,-282.959,,-0.360819,0.495415,,-0.0557255,0.113125,fluid
25,0.0420042,0.0484754,,999.848,0.0477935,-297.19,,-0.51588,0.467581,,-0.00224736,0.0388209,fluid
26,0.0266456,0.0583457,,999.825,0.0285857,-342.852,,-0.554587,0.315998,,0.0740772,0.00212716,fluid
27,0.00912838,0.0634893,,999.81,0.0367174,-372.925,,-0.452227,0.143568,,0.18347,-0.00908093,fluid
28,-0.00912838,0.0634893,,999.809,0.0373268,-374.97,,-0.258992,0.0388766,,0.21578,0.021783,fluid
29,-0.0266456,0.0583457,,999.815,0.0436734,-362.726,,-0.0831081,0.0232106,,0.172364,0.0556738,fluid
30,-0.0420042,0.0484754,,999.825,0.0552835,-343.393,,0.0167767,0.0649841,,0.101011,0.0622239,fluid
31,-0.0539598,0.0346779,,999.83,0.0493806,-334.289,,0.043176,0.105199,,0.0504825,0.0488607,fluid
32,-0.0615439,0.0180709,,999.812,0.0424966,-368.19,,0.0337196,0.092527,,0.0163352,0.0182139,fluid
33,-0.0641421,7.85515e-18,,999.804,0.0468703,-384.581,,0.0229194,5.09865e-12,,0.0114636,1.27275e-11,fluid
34,-0.0615439,-0.0180709,,999.812,0.0424966,-368.19,,0.0337196,-0.092527,,0.0163352,-0.0182139,fluid
35,-0.0539598,-0.0346779,,999.83,0.0493806,-334.289,,0.043176,-0.105199,,0.0504825,-0.0488607,fluid
36,-0.0420042,-0.0484754,,999.825,0.0552835,-343.393,,0.0167767,-0.0649841,,0.101011,-0.0622239,fluid
37,-0.0266456,-0.0583457,,999.815,0.0436734,-362.726,,-0.0831081,-0.0232106,,0.172364,-0.0556738,fluid
38,-0.00912838,-0.0634893,,999.809,0.0373268,-374.97,,-0.258992,-0.0388766,,0.21578,-0.021783,fluid
39,0.00912838,-0.0634893,,999.81,0.0367174,-372.925,,-0.452227,-0.143568,,0.18347,0.00908093,fluid
40,0.0266456,-0.0583457,,999.825,0.0285857,-342.852,,-0.554587,-0.315998,,0.0740772,-0.00212716,fluid
41,0.0420042,-0.0484754,,999.848,0.0477935,-297.19,,-0.51588,-0.467581,,-0.00224736,-0.0388209,fluid
42,0.0539598,-0.0346779,,999.856,0.0349554,-282.959,,-0.360819,-0.495415,,-0.0557255,-0.113125,fluid
43,0.0615439,-0.0180709,,999.868,0.0387234,-258.448,,-0.183766,-0.321891,,-0.0481849,-0.0938331,fluid
44,0.0790004,0,,999.701,0.00542087,-586.859,,-0.395944,-1.0339e-11,,-0.156818,-1.21696e-11,fluid
45,0.0758004,0.022257,,999.707,0.0325409,-574.029,,-0.380422,0.180558,,-0.076466,0.0640681,fluid
46,0.0664594,0.0427109,,999.718,0.043871,-553.089,,-0.411096,0.318121,,-0.0135475,0.105096,fluid
47,0.0517343,0.0597046,,999.754,0.0683183,-482.668,,-0.471078,0.382474,,0.021591,0.107308,fluid
48,0.032818,0.0718613,,999.791,0.0630743,-409.114,,-0.521284,0.36228,,0.0774591,0.0937437,fluid
49,0.0112429,0.0781963,,999.796,0.064111,-400.229,,-0.513933,0.272084,,0.129507,0.0689243,fluid
50,-0.0112429,0.0781963,,999.788,0.0654312,-416.208,,-0.408601,0.161004,,0.219458,0.041757,fluid
51,-0.032818,0.0718613,,999.774,0.0419323,-442.199,,-0.222463,0.083978,,0.257462,0.0601697,fluid
52,-0.0517343,0.0597046,,999.756,0.0474379,-478.385,,-0.0580492,0.082397,,0.190029,0.0816686,fluid
53,-0.0664594,0.0427109,,999.756,0.0678896,-478.809,,0.0250313,0.0844049,,0.11139,0.0655348,fluid
54,-0.0758004,0.022257,,999.783,0.0384147,-425.159,,0.0771734,0.0408543,,0.04156,0.0192551,fluid
55,-0.0790004,9.67476e-18,,999.796,0.0475639,-400.336,,0.114856,1.38928e-12,,0.0248386,1.1054e-11,fluid
56,-0.0758004,-0.022257,,999.783,0.0384147,-425.159,,0.0771734,-0.0408543,,0.04156,-0.0192551,fluid
57,-0.0664594,-0.0427109,,999.756,0.0678896,-478.809,,0.0250313,-0.0844049,,0.11139,-0.0655348,fluid
58,-0.0517343,-0.0597046,,999.756,0.0474379,-478.385,,-0.0580492,-0.082397,,0.190029,-0.0816686,fluid
59,-0.032818,-0.0718613,,999.774,0.0419323,-442.199,,-0.222463,-0.083978,,0.257462,-0.0601697,fluid
60,-0.0112429,-0.0781963,,999.788,0.0654312,-416.208,,-0.408601,-0.161004,,0.219458,-0.041757,fluid
61,0.0112429,-0.0781963,,999.796,0.064111,-400.229,,-0.513933,-0.272084,,0.129507,-0.0689243,fluid
62,0.032818,-0.0718613,,999.791,0.0630743,-409.114,,-0.521284,-0.36228,,0.0774591,-0.0937437,fluid
63,0.0517343,-0.0597046,,999.754,0.0683183,-482.668,,-0.471078,-0.382474,,0.021591,-0.107308,fluid
64,0.0664594,-0.0427109,,999.718,0.043871,-553.089,,-0.411096,-0.318121,,-0.0135475,-0.105096,fluid
65,0.0758004,-0.022257,,999.707,0.0325409,-574.029,,-0.380422,-0.180558,,-0.076466,-0.0640681,fluid
66,0.0946112,0,,999.838,0.0536146,-317.617,,-0.606532,-5.00806e-12,,-0.258801,-1.12011e-11,fluid
67,0.0907788,0.0266551,,999.829,0.0725984,-335.955,,-0.523358,0.11384,,-0.0860518,0.0547005,fluid
68,0.079592,0.0511507,,999.776,0.0353907,-439.765,,-0.474292,0.216746,,0.0184502,0.0834475,fluid
69,0.0619572,0.0715024,,999.723,0.0155832,-542.644,,-0.457251,0.308304,,0.0557156,0.126546,fluid
70,0.0393029,0.0860614,,999.715,0.0486286,-558.331,,-0.469395,0.35969,,0.115611,0.149873,fluid
71,0.0134646,0.0936482,,999.725,0.0435056,-539.166,,-0.456164,0.351444,,0.141703,0.137913,fluid
72,-0.0134646,0.0936482,,999.732,0.0568125,-525.615,,-0.407159,0.295892,,0.197926,0.0897591,fluid
73,-0.0393029,0.0860614,,999.753,0.0655682,-484.381,,-0.291702,0.196069,,0.264456,0.0501635,fluid
74,-0.0619572,0.0715024,,999.777,0.037869,-437.584,,-0.136173,0.132119,,0.249769,0.0656172,fluid
75,-0.079592,0.0511507,,999.791,0.0347161,-410.226,,-0.00543765,0.0785735,,0.184861,0.0462033,fluid
76,-0.0907788,0.0266551,,999.795,0.0374906,-402.644,,0.0956168,0.0328746,,0.0872588,0.040575,fluid
77,-0.0946112,1.15865e-17,,999.775,0.0336187,-440.2,,0.162279,1.14169e-12,,0.0550896,1.24801e-11,fluid
78,-0.0907788,-0.0266551,,999.795,0.0374906,-402.644,,0.0956168,-0.0328746,,0.0872588,-0.040575,fluid
79,-0.079592,-0.0511507,,999.791,0.0347161,-410.226,,-0.00543765,-0.0785735,,0.184861,-0.0462033,fluid
80,-0.0619572,-0.0715024,,999.777,0.037869,-437.584,,-0.136173,-0.132119,,0.249769,-0.0656172,fluid
81,-0.0393029,-0.0860614,,999.753,0.0655682,-484.381,,-0.291702,-0.196069,,0.264456,-0.0501635,fluid
82,-0.0134646,-0.0936482,,999.732,0.0568125,-525.615,,-0.407159,-0.295892,,0.197926,-0.0897591,fluid
83,0.0134646,-0.0936482,,999.725,0.0435056,-539.166,,-0.456164,-0.351444,,0.141703,-0.137913,fluid
84,0.0393029,-0.0860614,,999.715,0.0486286,-558.331,,-0.469395,-0.35969,,0.115611,-0.149873,fluid
85,0.0619572,-0.0715024,,999.723,0.0155832,-542.644,,-0.457251,-0.308304,,0.0557156,-0.126546,fluid
86,0.079592,-0.0511507,,999.776,0.0353907,-439.765,,-0.474292,-0.216746,,0.0184502,-0.0834475,fluid
87,0.0907788,-0.0266551,,999.829,0.0725984,-335.955,,-0.523358,-0.11384,,-0.0860518,-0.0547005,fluid
88,0.111013,0,,999.795,0.0356065,-402.138,,-0.615854,-3.8834e-12,,-0.282602,-1.14571e-11,fluid
89,0.106516,0.0312758,,999.783,0.0122438,-425.351,,-0.511183,0.112813,,-0.0676892,0.0635182,fluid
90,0.0933897,0.0600179,,999.776,0.0202849,-440.143,,-0.457553,0.184208,,0.0167561,0.0693661,fluid
91,0.0726977,0.0838977,,999.752,0.0255903,-485.418,,-0.430755,0.262072,,0.0626954,0.115304,fluid
92,0.0461163,0.100981,,999.731,0.0394969,-527.558,,-0.429602,0.310979,,0.112133,0.14853,fluid
93,0.0157987,0.109883,,999.731,0.0460366,-527.447,,-0.441649,0.328838,,0.136021,0.148099,fluid
94,-0.0157987,0.109883,,999.753,0.0290159,-483.559,,-0.413607,0.30847,,0.184074,0.132811,fluid
