ID,theta,CpExact,pExact,nx,ny,ds,dFx,dFy
0,0,1,125,1,0,0.01428,-1.785,-0
1,0.285599,0.682507,85.3134,0.959493,0.281733,0.01428,-1.16892,-0.343227
2,0.571199,-0.16917,-21.1462,0.841254,0.540641,0.01428,0.254031,0.163256
3,0.856798,-1.28463,-160.579,0.654861,0.75575,0.01428,1.50163,1.73298
4,1.1424,-2.30972,-288.715,0.415415,0.909632,0.01428,1.71269,3.75027
5,1.428,-2.91899,-364.873,0.142315,0.989821,0.01428,0.741514,5.15734
6,1.7136,-2.91899,-364.873,-0.142315,0.989821,0.01428,-0.741514,5.15734
7,1.9992,-2.30972,-288.715,-0.415415,0.909632,0.01428,-1.71269,3.75027
8,2.28479,-1.28463,-160.579,-0.654861,0.75575,0.01428,-1.50163,1.73298
9,2.57039,-0.16917,-21.1462,-0.841254,0.540641,0.01428,-0.254031,0.163256
10,2.85599,0.682507,85.3134,-0.959493,0.281733,0.01428,1.16892,-0.343227
11,3.14159,1,125,-1,1.22465e-16,0.01428,1.785,-2.18599e-16
12,3.42719,0.682507,85.3134,-0.959493,-0.281733,0.01428,1.16892,0.343227
13,3.71279,-0.16917,-21.1462,-0.841254,-0.540641,0.01428,-0.254031,-0.163256
14,3.99839,-1.28463,-160.579,-0.654861,-0.75575,0.01428,-1.50163,-1.73298
15,4.28399,-2.30972,-288.715,-0.415415,-0.909632,0.01428,-1.71269,-3.75027
16,4.56959,-2.91899,-364.873,-0.142315,-0.989821,0.01428,-0.741514,-5.15734
17,4.85519,-2.91899,-364.873,0.142315,-0.989821,0.01428,0.741514,-5.15734
18,5.14079,-2.30972,-288.715,0.415415,-0.909632,0.01428,1.71269,-3.75027
19,5.42639,-1.28463,-160.579,0.654861,-0.75575,0.01428,1.50163,-1.73298
20,5.71199,-0.16917,-21.1462,0.841254,-0.540641,0.01428,0.254031,-0.163256
21,5.99759,0.682507,85.3134,0.959493,-0.281733,0.01428,-1.16892,0.343227

Fx,-2.44249e-15
Fy,4.66294e-15
CD,-1.95399e-16
CL,3.73035e-16
