h/dp :,2
L2norm Pressure,KE,dr0,Nparticles
19942.8,390.389,0.0141421,682

t,4.5002
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,0.05,0,,999.918,-0.000515021,-160.366,,0,0,,5.45843,-1.73336e-12,boundary
1,0.0479746,0.0140866,,999.877,-1.63212e-05,-241.824,,0,0,,7.45524,3.82584,boundary
2,0.0420627,0.027032,,999.846,-0.000563087,-302.242,,0,0,,7.26895,7.35919,boundary
3,0.032743,0.0377875,,999.761,-0.00827247,-469.001,,0,0,,7.17932,13.2109,boundary
4,0.0207708,0.0454816,,999.638,-0.012501,-708.527,,0,0,,5.2313,20.701,boundary
5,0.00711574,0.0494911,,999.448,-0.0239814,-1081.03,,0,0,,3.62483,31.1516,boundary
6,-0.00711574,0.0494911,,999.443,-0.0288184,-1090.05,,0,0,,0.999109,31.122,boundary
7,-0.0207708,0.0454816,,999.627,-0.0202987,-730.069,,0,0,,0.478492,21.6365,boundary
8,-0.032743,0.0377875,,999.833,-0.00722126,-328.243,,0,0,,3.88474,13.3627,boundary
9,-0.0420627,0.027032,,1000.17,0.0122467,327.807,,0,0,,15.9823,2.74152,boundary
10,-0.0479746,0.0140866,,1000.39,0.0287241,757.771,,0,0,,24.9413,-1.42212,boundary
11,-0.05,6.12323e-18,,1000.44,0.0422028,871.488,,0,0,,27.4233,2.46864e-12,boundary
12,-0.0479746,-0.0140866,,1000.39,0.0287241,757.771,,0,0,,24.9413,1.42212,boundary
13,-0.0420627,-0.027032,,1000.17,0.0122468,327.807,,0,0,,15.9823,-2.74152,boundary
14,-0.032743,-0.0377875,,999.833,-0.00722125,-328.243,,0,0,,3.88474,-13.3627,boundary
15,-0.0207708,-0.0454816,,999.627,-0.0202987,-730.069,,0,0,,0.478492,-21.6365,boundary
16,-0.00711574,-0.0494911,,999.443,-0.0288184,-1090.05,,0,0,,0.999109,-31.122,boundary
17,0.00711574,-0.0494911,,999.448,-0.0239814,-1081.03,,0,0,,3.62483,-31.1516,boundary
18,0.0207708,-0.0454816,,999.638,-0.012501,-708.527,,0,0,,5.2313,-20.701,boundary
19,0.032743,-0.0377875,,999.761,-0.00827247,-469.001,,0,0,,7.17932,-13.2109,boundary
20,0.0420627,-0.027032,,999.846,-0.000563087,-302.242,,0,0,,7.26895,-7.35919,boundary
21,0.0479746,-0.0140866,,999.877,-1.63209e-05,-241.824,,0,0,,7.45524,-3.82584,boundary
22,0.0641421,0,,999.982,-0.000167722,-35.1015,,-0.00493701,-1.24757e-14,,-0.000241372,1.14614e-12,fluid
23,0.0615439,0.0180709,,999.974,-0.000508682,-50.8418,,0.00933776,0.00184411,,-0.000142152,0.000494496,fluid
24,0.0539598,0.0346779,,999.961,-0.00145974,-76.708,,0.0706953,-0.0452575,,0.00106511,-0.000377764,fluid
25,0.0420042,0.0484754,,999.953,-0.00209997,-91.9838,,0.214527,-0.110578,,0.00535667,-0.00212677,fluid
26,0.0266456,0.0583457,,999.953,-0.00178747,-91.6633,,0.425132,-0.122642,,0.0126244,-0.00301936,fluid
27,0.00912838,0.0634893,,999.961,-0.00119219,-75.6462,,0.629124,-0.0359609,,0.0207211,-0.000653523,fluid
28,-0.00912838,0.0634893,,999.983,-0.000556456,-33.9051,,0.72494,0.133635,,0.0249534,0.00515476,fluid
29,-0.0266456,0.0583457,,1000,0.00054478,-0.438298,,0.693304,0.312477,,0.0249052,0.0117212,fluid
30,-0.0420042,0.0484754,,1000.01,0.00158216,25.2169,,0.531434,0.411045,,0.0197608,0.0156499,fluid
31,-0.0539598,0.0346779,,1000.03,0.00294934,51.7677,,0.320376,0.378929,,0.012381,0.0151027,fluid
32,-0.0615439,0.0180709,,1000.03,0.00347393,66.2606,,0.148336,0.22515,,0.00618868,0.00965372,fluid
33,-0.0641421,7.85515e-18,,1000.03,0.00338271,68.3113,,0.0826233,-2.24203e-15,,0.00406757,1.072e-12,fluid
34,-0.0615439,-0.0180709,,1000.03,0.00347393,66.2606,,0.148336,-0.22515,,0.00618868,-0.00965372,fluid
35,-0.0539598,-0.0346779,,1000.03,0.00294934,51.7677,,0.320376,-0.378929,,0.012381,-0.0151027,fluid
36,-0.0420042,-0.0484754,,1000.01,0.00158216,25.2169,,0.531434,-0.411045,,0.0197608,-0.0156499,fluid
37,-0.0266456,-0.0583457,,1000,0.00054478,-0.438298,,0.693304,-0.312477,,0.0249052,-0.0117212,fluid
38,-0.00912838,-0.0634893,,999.983,-0.000556456,-33.9051,,0.72494,-0.133635,,0.0249534,-0.00515476,fluid
39,0.00912838,-0.0634893,,999.961,-0.00119219,-75.6462,,0.629124,0.0359609,,0.0207211,0.000653523,fluid
40,0.0266456,-0.0583457,,999.953,-0.00178747,-91.6633,,0.425132,0.122642,,0.0126244,0.00301936,fluid
41,0.0420042,-0.0484754,,999.953,-0.00209997,-91.9838,,0.214527,0.110578,,0.00535667,0.00212677,fluid
42,0.0539598,-0.0346779,,999.961,-0.00145974,-76.708,,0.0706953,0.0452575,,0.00106511,0.000377764,fluid
43,0.0615439,-0.0180709,,999.974,-0.000508681,-50.8418,,0.00933776,-0.00184411,,-0.000142152,-0.000494496,fluid
