h/dp :,2
L2normdrhodt,dp,Nparticles
53.8238,0.1,12201

t,0.01
IDx,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-0.25,-0.05,,1000.01,2.11075,6.55406,,0,0,,0,0,boundary
1,-0.15,-0.05,,1000.14,26.5825,85.9984,,0,0,,0,0,boundary
2,-0.05,-0.05,,1000.58,104.994,349.186,,0,0,,0,0,boundary
3,0.05,-0.05,,1001.23,218.791,745.046,,0,0,,0,0,boundary
4,0.15,-0.05,,1001.64,287.581,996.536,,0,0,,0,0,boundary
5,0.25,-0.05,,1001.75,305.761,1067.77,,0,0,,0,0,boundary
6,0.35,-0.05,,1001.76,307.477,1073.61,,0,0,,0,0,boundary
7,0.45,-0.05,,1001.76,308.518,1075.04,,0,0,,0,0,boundary
8,0.55,-0.05,,1001.77,309.157,1075.97,,0,0,,0,0,boundary
9,0.65,-0.05,,1001.77,309.367,1076.27,,0,0,,0,0,boundary
10,0.75,-0.05,,1001.77,309.416,1076.34,,0,0,,0,0,boundary
11,0.85,-0.05,,1001.77,309.431,1076.35,,0,0,,0,0,boundary
12,0.95,-0.05,,1001.77,309.436,1076.35,,0,0,,0,0,boundary
13,1.05,-0.05,,1001.77,309.438,1076.35,,0,0,,0,0,boundary
14,1.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
15,1.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
16,1.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
17,1.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
18,1.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
19,1.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
20,1.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
21,1.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
22,1.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
23,2.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
24,2.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
25,2.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
26,2.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
27,2.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
28,2.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
29,2.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
30,2.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
31,2.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
32,2.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
33,3.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
34,3.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
35,3.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
36,3.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
37,3.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
38,3.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
39,3.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
40,3.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
41,3.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
42,3.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
43,4.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
44,4.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
45,4.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
46,4.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
47,4.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
48,4.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
49,4.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
50,4.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
51,4.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
52,4.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
53,5.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
54,5.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
55,5.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
56,5.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
57,5.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
58,5.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
59,5.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
60,5.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
61,5.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
62,5.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
63,6.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
64,6.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
65,6.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
66,6.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
67,6.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
68,6.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
69,6.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
70,6.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
71,6.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
72,6.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
73,7.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
74,7.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
75,7.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
76,7.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
77,7.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
78,7.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
79,7.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
80,7.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
81,7.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
82,7.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
83,8.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
84,8.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
85,8.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
86,8.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
87,8.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
88,8.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
89,8.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
90,8.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
91,8.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
92,8.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
93,9.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
94,9.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
95,9.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
96,9.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
97,9.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
98,9.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
99,9.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
100,9.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
101,9.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
102,9.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
103,10.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
104,10.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
105,10.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
106,10.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
107,10.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
108,10.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
109,10.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
110,10.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
111,10.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
112,10.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
113,11.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
114,11.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
115,11.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
116,11.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
117,11.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
118,11.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
119,11.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
120,11.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
121,11.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
122,11.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
123,12.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
124,12.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
125,12.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
126,12.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
127,12.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
128,12.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
129,12.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
130,12.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
131,12.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
132,12.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
133,13.05,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
134,13.15,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
135,13.25,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
136,13.35,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
137,13.45,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
138,13.55,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
139,13.65,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
140,13.75,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
141,13.85,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
142,13.95,-0.05,,1001.77,309.438,1076.36,,0,0,,0,0,boundary
143,14.05,-0.05,,1001.77,309.437,1076.35,,0,0,,0,0,boundary
144,14.15,-0.05,,1001.77,309.435,1076.35,,0,0,,0,0,boundary
145,14.25,-0.05,,1001.77,309.428,1076.35,,0,0,,0,0,boundary
146,14.35,-0.05,,1001.77,309.393,1076.31,,0,0,,0,0,boundary
147,14.45,-0.05,,1001.77,309.227,1076.09,,0,0,,0,0,boundary
148,14.55,-0.05,,1001.76,308.69,1075.37,,0,0,,0,0,boundary
149,14.65,-0.05,,1001.76,307.728,1074.11,,0,0,,0,0,boundary
