h/dp :,2
L2normdrhodt,dp,Nparticles
7.81733,0.5,1088

t,0.67
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1010.2,0,82567.4,,0,0,,0,0,boundary
1,-0.75,-0.25,,1010.18,0,82372.4,,0,0,,0,0,boundary
2,-0.25,-0.25,,1010.19,0,82430.1,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.19,0,82470,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.2,0,82524.4,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.21,0,82613.1,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.22,0,82675.8,,0,0,,0,0,boundary
7,2.25,-0.25,,1010.22,0,82676.5,,0,0,,0,0,boundary
8,2.75,-0.25,,1010.22,0,82678.3,,0,0,,0,0,boundary
9,3.25,-0.25,,1010.23,0,82766.9,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.25,0,82924.3,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.26,0,83048.3,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.27,0,83085,,0,0,,0,0,boundary
13,5.25,-0.25,,1010.27,0,83102.9,,0,0,,0,0,boundary
14,5.75,-0.25,,1010.28,0,83191.4,,0,0,,0,0,boundary
15,6.25,-0.25,,1010.29,0,83299.7,,0,0,,0,0,boundary
16,6.75,-0.25,,1010.29,0,83259.1,,0,0,,0,0,boundary
17,7.25,-0.25,,1010.26,0,83018.6,,0,0,,0,0,boundary
18,7.75,-0.25,,1010.23,0,82789.8,,0,0,,0,0,boundary
19,8.25,-0.25,,1010.23,0,82809,,0,0,,0,0,boundary
20,8.75,-0.25,,1010.25,0,82988.7,,0,0,,0,0,boundary
21,9.25,-0.25,,1010.26,0,83027.7,,0,0,,0,0,boundary
22,9.75,-0.25,,1010.24,0,82854.6,,0,0,,0,0,boundary
23,10.25,-0.25,,1010.22,0,82676,,0,0,,0,0,boundary
24,10.75,-0.25,,1010.21,0,82643.6,,0,0,,0,0,boundary
25,11.25,-0.25,,1010.23,0,82756.4,,0,0,,0,0,boundary
26,11.75,-0.25,,1010.25,0,82967.9,,0,0,,0,0,boundary
27,12.25,-0.25,,1010.27,0,83156,,0,0,,0,0,boundary
28,12.75,-0.25,,1010.27,0,83156,,0,0,,0,0,boundary
29,13.25,-0.25,,1010.25,0,82967.9,,0,0,,0,0,boundary
30,13.75,-0.25,,1010.23,0,82756.4,,0,0,,0,0,boundary
31,14.25,-0.25,,1010.21,0,82643.6,,0,0,,0,0,boundary
32,14.75,-0.25,,1010.22,0,82676,,0,0,,0,0,boundary
33,15.25,-0.25,,1010.24,0,82854.6,,0,0,,0,0,boundary
34,15.75,-0.25,,1010.26,0,83027.7,,0,0,,0,0,boundary
35,16.25,-0.25,,1010.25,0,82988.7,,0,0,,0,0,boundary
36,16.75,-0.25,,1010.23,0,82809,,0,0,,0,0,boundary
37,17.25,-0.25,,1010.23,0,82789.8,,0,0,,0,0,boundary
38,17.75,-0.25,,1010.26,0,83018.6,,0,0,,0,0,boundary
39,18.25,-0.25,,1010.29,0,83259.1,,0,0,,0,0,boundary
40,18.75,-0.25,,1010.29,0,83299.7,,0,0,,0,0,boundary
41,19.25,-0.25,,1010.28,0,83191.4,,0,0,,0,0,boundary
42,19.75,-0.25,,1010.27,0,83102.9,,0,0,,0,0,boundary
43,20.25,-0.25,,1010.27,0,83085,,0,0,,0,0,boundary
44,20.75,-0.25,,1010.26,0,83048.3,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.25,0,82924.3,,0,0,,0,0,boundary
46,21.75,-0.25,,1010.23,0,82766.9,,0,0,,0,0,boundary
47,22.25,-0.25,,1010.22,0,82678.3,,0,0,,0,0,boundary
48,22.75,-0.25,,1010.22,0,82676.5,,0,0,,0,0,boundary
49,23.25,-0.25,,1010.22,0,82675.8,,0,0,,0,0,boundary
50,23.75,-0.25,,1010.21,0,82613.1,,0,0,,0,0,boundary
51,24.25,-0.25,,1010.2,0,82524.4,,0,0,,0,0,boundary
52,24.75,-0.25,,1010.19,0,82470,,0,0,,0,0,boundary
53,25.25,-0.25,,1010.19,0,82430.1,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.18,0,82372.4,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.2,0,82567.4,,0,0,,0,0,boundary
56,-1.25,-0.75,,1010.78,0,87411.8,,0,0,,0,0,boundary
57,-0.75,-0.75,,1010.75,0,87151.5,,0,0,,0,0,boundary
58,-0.25,-0.75,,1010.76,0,87181.9,,0,0,,0,0,boundary
59,0.25,-0.75,,1010.76,0,87223.6,,0,0,,0,0,boundary
60,0.75,-0.75,,1010.77,0,87273.8,,0,0,,0,0,boundary
61,1.25,-0.75,,1010.78,0,87354.3,,0,0,,0,0,boundary
62,1.75,-0.75,,1010.78,0,87383.1,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.77,0,87265.4,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.74,0,87024,,0,0,,0,0,boundary
65,3.25,-0.75,,1010.71,0,86789.7,,0,0,,0,0,boundary
66,3.75,-0.75,,1010.69,0,86628.4,,0,0,,0,0,boundary
67,4.25,-0.75,,1010.67,0,86478.1,,0,0,,0,0,boundary
68,4.75,-0.75,,1010.65,0,86300.6,,0,0,,0,0,boundary
69,5.25,-0.75,,1010.64,0,86203.5,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.65,0,86285.1,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.67,0,86426.4,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.66,0,86402.2,,0,0,,0,0,boundary
73,7.25,-0.75,,1010.64,0,86194.1,,0,0,,0,0,boundary
74,7.75,-0.75,,1010.62,0,86061.7,,0,0,,0,0,boundary
75,8.25,-0.75,,1010.64,0,86232.1,,0,0,,0,0,boundary
76,8.75,-0.75,,1010.68,0,86573.6,,0,0,,0,0,boundary
77,9.25,-0.75,,1010.7,0,86731,,0,0,,0,0,boundary
78,9.75,-0.75,,1010.68,0,86585.7,,0,0,,0,0,boundary
79,10.25,-0.75,,1010.66,0,86356.6,,0,0,,0,0,boundary
80,10.75,-0.75,,1010.65,0,86261.5,,0,0,,0,0,boundary
81,11.25,-0.75,,1010.66,0,86349.8,,0,0,,0,0,boundary
82,11.75,-0.75,,1010.68,0,86578.1,,0,0,,0,0,boundary
83,12.25,-0.75,,1010.71,0,86792.5,,0,0,,0,0,boundary
84,12.75,-0.75,,1010.71,0,86792.5,,0,0,,0,0,boundary
85,13.25,-0.75,,1010.68,0,86578.1,,0,0,,0,0,boundary
86,13.75,-0.75,,1010.66,0,86349.8,,0,0,,0,0,boundary
87,14.25,-0.75,,1010.65,0,86261.5,,0,0,,0,0,boundary
88,14.75,-0.75,,1010.66,0,86356.6,,0,0,,0,0,boundary
89,15.25,-0.75,,1010.68,0,86585.7,,0,0,,0,0,boundary
90,15.75,-0.75,,1010.7,0,86731,,0,0,,0,0,boundary
91,16.25,-0.75,,1010.68,0,86573.6,,0,0,,0,0,boundary
92,16.75,-0.75,,1010.64,0,86232.1,,0,0,,0,0,boundary
93,17.25,-0.75,,1010.62,0,86061.7,,0,0,,0,0,boundary
94,17.75,-0.75,,1010.64,0,86194.1,,0,0,,0,0,boundary
95,18.25,-0.75,,1010.66,0,86402.2,,0,0,,0,0,boundary
96,18.75,-0.75,,1010.67,0,86426.4,,0,0,,0,0,boundary
97,19.25,-0.75,,1010.65,0,86285.1,,0,0,,0,0,boundary
98,19.75,-0.75,,1010.64,0,86203.5,,0,0,,0,0,boundary
99,20.25,-0.75,,1010.65,0,86300.7,,0,0,,0,0,boundary
100,20.75,-0.75,,1010.67,0,86478.1,,0,0,,0,0,boundary
101,21.25,-0.75,,1010.69,0,86628.4,,0,0,,0,0,boundary
102,21.75,-0.75,,1010.71,0,86789.7,,0,0,,0,0,boundary
103,22.25,-0.75,,1010.74,0,87024,,0,0,,0,0,boundary
104,22.75,-0.75,,1010.77,0,87265.4,,0,0,,0,0,boundary
105,23.25,-0.75,,1010.78,0,87383.1,,0,0,,0,0,boundary
106,23.75,-0.75,,1010.78,0,87354.3,,0,0,,0,0,boundary
107,24.25,-0.75,,1010.77,0,87273.8,,0,0,,0,0,boundary
108,24.75,-0.75,,1010.76,0,87223.6,,0,0,,0,0,boundary
109,25.25,-0.75,,1010.76,0,87181.9,,0,0,,0,0,boundary
110,25.75,-0.75,,1010.75,0,87151.5,,0,0,,0,0,boundary
111,26.25,-0.75,,1010.78,0,87411.8,,0,0,,0,0,boundary
112,-1.25,-1.25,,1011.34,0,92103.6,,0,0,,0,0,boundary
113,-0.75,-1.25,,1011.31,0,91795.1,,0,0,,0,0,boundary
114,-0.25,-1.25,,1011.3,0,91743.7,,0,0,,0,0,boundary
115,0.25,-1.25,,1011.3,0,91783.9,,0,0,,0,0,boundary
116,0.75,-1.25,,1011.32,0,91882.9,,0,0,,0,0,boundary
