h/dp :,2
L2normdrhodt,dp,Nparticles
2236.66,0.5,1088

t,0.89
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,991.125,1116.4,-38052.1,,0,0,,0,0,boundary
1,-0.75,-0.25,,939.296,-236.851,-198315,,0,0,,0,0,boundary
2,-0.25,-0.25,,933.93,-1550.64,-209113,,0,0,,0,0,boundary
3,0.25,-0.25,,933.93,-1550.64,-209113,,0,0,,0,0,boundary
4,0.75,-0.25,,939.296,-236.851,-198315,,0,0,,0,0,boundary
5,1.25,-0.25,,991.125,1116.4,-38052.1,,0,0,,0,0,boundary
6,1.75,-0.25,,1012.13,301.072,48099.4,,0,0,,0,0,boundary
7,2.25,-0.25,,1012.72,-1155.46,56786.2,,0,0,,0,0,boundary
8,2.75,-0.25,,1007.86,-1568.83,38048.6,,0,0,,0,0,boundary
9,3.25,-0.25,,997.18,-738.92,-8115.92,,0,0,,0,0,boundary
10,3.75,-0.25,,985.756,53.5813,-53754,,0,0,,0,0,boundary
11,4.25,-0.25,,975.193,41.1488,-90529.9,,0,0,,0,0,boundary
12,4.75,-0.25,,973.846,-45.674,-94765.2,,0,0,,0,0,boundary
13,5.25,-0.25,,985.148,580.612,-57826.1,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.71,1136.71,22239.7,,0,0,,0,0,boundary
15,6.25,-0.25,,1024.84,320.085,103598,,0,0,,0,0,boundary
16,6.75,-0.25,,1022.12,-984.1,97201,,0,0,,0,0,boundary
17,7.25,-0.25,,1004.87,-1054.38,23653.6,,0,0,,0,0,boundary
18,7.75,-0.25,,998.177,-215.666,-6277.2,,0,0,,0,0,boundary
19,8.25,-0.25,,1014.27,231.637,57470.9,,0,0,,0,0,boundary
20,8.75,-0.25,,1035.75,-76.4336,156634,,0,0,,0,0,boundary
21,9.25,-0.25,,1034.56,-834.271,154550,,0,0,,0,0,boundary
22,9.75,-0.25,,1012.52,-1555.48,57625.6,,0,0,,0,0,boundary
23,10.25,-0.25,,999.653,-1247.24,3543.02,,0,0,,0,0,boundary
24,10.75,-0.25,,1007.07,483.085,26363.4,,0,0,,0,0,boundary
25,11.25,-0.25,,1018.31,1964.38,67367.7,,0,0,,0,0,boundary
26,11.75,-0.25,,1013.56,1112.27,50694.4,,0,0,,0,0,boundary
27,12.25,-0.25,,999.598,-811.036,1607.75,,0,0,,0,0,boundary
28,12.75,-0.25,,999.598,-811.036,1607.75,,0,0,,0,0,boundary
29,13.25,-0.25,,1013.56,1112.27,50694.4,,0,0,,0,0,boundary
30,13.75,-0.25,,1018.31,1964.38,67367.7,,0,0,,0,0,boundary
31,14.25,-0.25,,1007.07,483.085,26363.4,,0,0,,0,0,boundary
32,14.75,-0.25,,999.653,-1247.24,3543.02,,0,0,,0,0,boundary
33,15.25,-0.25,,1012.52,-1555.48,57625.6,,0,0,,0,0,boundary
34,15.75,-0.25,,1034.56,-834.271,154550,,0,0,,0,0,boundary
35,16.25,-0.25,,1035.75,-76.4336,156634,,0,0,,0,0,boundary
36,16.75,-0.25,,1014.27,231.637,57470.9,,0,0,,0,0,boundary
37,17.25,-0.25,,998.177,-215.666,-6277.2,,0,0,,0,0,boundary
38,17.75,-0.25,,1004.87,-1054.38,23653.6,,0,0,,0,0,boundary
39,18.25,-0.25,,1022.12,-984.1,97201,,0,0,,0,0,boundary
40,18.75,-0.25,,1024.84,320.085,103598,,0,0,,0,0,boundary
41,19.25,-0.25,,1006.71,1136.71,22239.7,,0,0,,0,0,boundary
42,19.75,-0.25,,985.148,580.612,-57826.1,,0,0,,0,0,boundary
43,20.25,-0.25,,973.846,-45.674,-94765.2,,0,0,,0,0,boundary
44,20.75,-0.25,,975.193,41.1488,-90529.9,,0,0,,0,0,boundary
45,21.25,-0.25,,985.756,53.5813,-53754,,0,0,,0,0,boundary
46,21.75,-0.25,,997.18,-738.92,-8115.92,,0,0,,0,0,boundary
47,22.25,-0.25,,1007.86,-1568.83,38048.6,,0,0,,0,0,boundary
48,22.75,-0.25,,1012.72,-1155.46,56786.2,,0,0,,0,0,boundary
49,23.25,-0.25,,1012.13,301.072,48099.4,,0,0,,0,0,boundary
50,23.75,-0.25,,991.125,1116.4,-38052.1,,0,0,,0,0,boundary
51,24.25,-0.25,,939.296,-236.851,-198315,,0,0,,0,0,boundary
52,24.75,-0.25,,933.93,-1550.64,-209113,,0,0,,0,0,boundary
53,25.25,-0.25,,933.93,-1550.64,-209113,,0,0,,0,0,boundary
54,25.75,-0.25,,939.296,-236.851,-198315,,0,0,,0,0,boundary
55,26.25,-0.25,,991.125,1116.4,-38052.1,,0,0,,0,0,boundary
56,-1.25,-0.75,,991.196,2739,-43756.7,,0,0,,0,0,boundary
57,-0.75,-0.75,,951.662,1302.57,-168067,,0,0,,0,0,boundary
58,-0.25,-0.75,,950.294,-488.449,-166842,,0,0,,0,0,boundary
59,0.25,-0.75,,950.294,-488.449,-166842,,0,0,,0,0,boundary
60,0.75,-0.75,,951.662,1302.57,-168067,,0,0,,0,0,boundary
61,1.25,-0.75,,991.196,2739,-43756.7,,0,0,,0,0,boundary
62,1.75,-0.75,,1001.9,1594.68,1206.64,,0,0,,0,0,boundary
63,2.25,-0.75,,996.506,-375.969,-12122.8,,0,0,,0,0,boundary
64,2.75,-0.75,,982.511,-877.073,-62023.7,,0,0,,0,0,boundary
65,3.25,-0.75,,977.95,441.606,-82521.4,,0,0,,0,0,boundary
66,3.75,-0.75,,992.948,1632.69,-33202.8,,0,0,,0,0,boundary
67,4.25,-0.75,,1007.98,1186.08,27224.3,,0,0,,0,0,boundary
68,4.75,-0.75,,1008.93,-27.4494,36123.6,,0,0,,0,0,boundary
69,5.25,-0.75,,997.694,-321.075,-7740.91,,0,0,,0,0,boundary
70,5.75,-0.75,,994.758,126.076,-20727.6,,0,0,,0,0,boundary
71,6.25,-0.75,,1007.44,-100.739,30253.6,,0,0,,0,0,boundary
72,6.75,-0.75,,1011.09,-858.375,48590,,0,0,,0,0,boundary
73,7.25,-0.75,,994.216,-695.637,-19665.5,,0,0,,0,0,boundary
74,7.75,-0.75,,984.102,258.209,-60406.6,,0,0,,0,0,boundary
75,8.25,-0.75,,1004.18,715.661,13736,,0,0,,0,0,boundary
76,8.75,-0.75,,1032.2,51.1747,138989,,0,0,,0,0,boundary
77,9.25,-0.75,,1023.84,-1277.11,106316,,0,0,,0,0,boundary
78,9.75,-0.75,,993.098,-2086.37,-18626.7,,0,0,,0,0,boundary
79,10.25,-0.75,,985.245,-1411.69,-50309.8,,0,0,,0,0,boundary
80,10.75,-0.75,,1002.83,603.743,8781.16,,0,0,,0,0,boundary
81,11.25,-0.75,,1015.98,1997.5,57234,,0,0,,0,0,boundary
82,11.75,-0.75,,1011.03,963.171,40719.6,,0,0,,0,0,boundary
83,12.25,-0.75,,999.111,-1039.69,590.465,,0,0,,0,0,boundary
84,12.75,-0.75,,999.111,-1039.69,590.465,,0,0,,0,0,boundary
85,13.25,-0.75,,1011.03,963.171,40719.6,,0,0,,0,0,boundary
86,13.75,-0.75,,1015.98,1997.5,57234,,0,0,,0,0,boundary
87,14.25,-0.75,,1002.83,603.743,8781.16,,0,0,,0,0,boundary
88,14.75,-0.75,,985.245,-1411.69,-50309.8,,0,0,,0,0,boundary
89,15.25,-0.75,,993.098,-2086.37,-18626.7,,0,0,,0,0,boundary
90,15.75,-0.75,,1023.84,-1277.11,106316,,0,0,,0,0,boundary
91,16.25,-0.75,,1032.2,51.1747,138989,,0,0,,0,0,boundary
92,16.75,-0.75,,1004.18,715.661,13736,,0,0,,0,0,boundary
93,17.25,-0.75,,984.102,258.209,-60406.6,,0,0,,0,0,boundary
94,17.75,-0.75,,994.216,-695.637,-19665.5,,0,0,,0,0,boundary
95,18.25,-0.75,,1011.09,-858.375,48590,,0,0,,0,0,boundary
96,18.75,-0.75,,1007.44,-100.739,30253.6,,0,0,,0,0,boundary
97,19.25,-0.75,,994.758,126.076,-20727.6,,0,0,,0,0,boundary
98,19.75,-0.75,,997.694,-321.075,-7740.91,,0,0,,0,0,boundary
99,20.25,-0.75,,1008.93,-27.4494,36123.6,,0,0,,0,0,boundary
100,20.75,-0.75,,1007.98,1186.08,27224.3,,0,0,,0,0,boundary
101,21.25,-0.75,,992.948,1632.69,-33202.8,,0,0,,0,0,boundary
102,21.75,-0.75,,977.95,441.606,-82521.4,,0,0,,0,0,boundary
103,22.25,-0.75,,982.511,-877.073,-62023.7,,0,0,,0,0,boundary
104,22.75,-0.75,,996.506,-375.969,-12122.8,,0,0,,0,0,boundary
105,23.25,-0.75,,1001.9,1594.68,1206.64,,0,0,,0,0,boundary
106,23.75,-0.75,,991.196,2739,-43756.7,,0,0,,0,0,boundary
107,24.25,-0.75,,951.662,1302.57,-168067,,0,0,,0,0,boundary
108,24.75,-0.75,,950.294,-488.449,-166842,,0,0,,0,0,boundary
109,25.25,-0.75,,950.294,-488.449,-166842,,0,0,,0,0,boundary
110,25.75,-0.75,,951.662,1302.57,-168067,,0,0,,0,0,boundary
111,26.25,-0.75,,991.196,2739,-43756.7,,0,0,,0,0,boundary
112,-1.25,-1.25,,988.224,3989.49,-59012.8,,0,0,,0,0,boundary
113,-0.75,-1.25,,932.79,3073.79,-223995,,0,0,,0,0,boundary
114,-0.25,-1.25,,939.621,1876.48,-203115,,0,0,,0,0,boundary
115,0.25,-1.25,,939.621,1876.48,-203115,,0,0,,0,0,boundary
116,0.75,-1.25,,932.79,3073.79,-223995,,0,0,,0,0,boundary
117,1.25,-1.25,,988.224,3989.49,-59012.8,,0,0,,0,0,boundary
118,1.75,-1.25,,1032.06,2701.01,125883,,0,0,,0,0,boundary
119,2.25,-1.25,,1046.45,161.536,208889,,0,0,,0,0,boundary
120,2.75,-1.25,,1018.18,-1242.88,80822,,0,0,,0,0,boundary
121,3.25,-1.25,,993.399,-446.334,-23709.9,,0,0,,0,0,boundary
122,3.75,-1.25,,1004.42,864.965,14094.4,,0,0,,0,0,boundary
123,4.25,-1.25,,1032.6,934.433,136682,,0,0,,0,0,boundary
124,4.75,-1.25,,1053.43,-187.753,247425,,0,0,,0,0,boundary
