h/dp :,2
L2norm Pressure,KE,dp,Nparticles
1910.44,28.4699,0.5,800

t,6
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1010.35,0,83819.7,,0,0,,0,0,boundary
1,-0.75,-0.25,,1010.35,0,83833.9,,0,0,,0,0,boundary
2,-0.25,-0.25,,1010.36,0,83841.6,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.35,0,83824.9,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.35,0,83806.3,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.35,0,83796.8,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.35,0,83792.2,,0,0,,0,0,boundary
7,2.25,-0.25,,1010.35,0,83787.5,,0,0,,0,0,boundary
8,2.75,-0.25,,1010.35,0,83783.3,,0,0,,0,0,boundary
9,3.25,-0.25,,1010.35,0,83780.6,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.35,0,83778.3,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.35,0,83776.8,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.35,0,83776.6,,0,0,,0,0,boundary
13,5.25,-0.25,,1010.35,0,83777.1,,0,0,,0,0,boundary
14,5.75,-0.25,,1010.35,0,83778.4,,0,0,,0,0,boundary
15,6.25,-0.25,,1010.35,0,83780.4,,0,0,,0,0,boundary
16,6.75,-0.25,,1010.35,0,83782.8,,0,0,,0,0,boundary
17,7.25,-0.25,,1010.35,0,83785.9,,0,0,,0,0,boundary
18,7.75,-0.25,,1010.35,0,83789.6,,0,0,,0,0,boundary
19,8.25,-0.25,,1010.35,0,83793.7,,0,0,,0,0,boundary
20,8.75,-0.25,,1010.35,0,83798.1,,0,0,,0,0,boundary
21,9.25,-0.25,,1010.35,0,83802.5,,0,0,,0,0,boundary
22,9.75,-0.25,,1010.35,0,83806.6,,0,0,,0,0,boundary
23,10.25,-0.25,,1010.35,0,83810.5,,0,0,,0,0,boundary
24,10.75,-0.25,,1010.35,0,83813.8,,0,0,,0,0,boundary
25,11.25,-0.25,,1010.35,0,83816.5,,0,0,,0,0,boundary
26,11.75,-0.25,,1010.35,0,83818.4,,0,0,,0,0,boundary
27,12.25,-0.25,,1010.35,0,83819.3,,0,0,,0,0,boundary
28,12.75,-0.25,,1010.35,0,83819.3,,0,0,,0,0,boundary
29,13.25,-0.25,,1010.35,0,83818.4,,0,0,,0,0,boundary
30,13.75,-0.25,,1010.35,0,83816.5,,0,0,,0,0,boundary
31,14.25,-0.25,,1010.35,0,83813.8,,0,0,,0,0,boundary
32,14.75,-0.25,,1010.35,0,83810.5,,0,0,,0,0,boundary
33,15.25,-0.25,,1010.35,0,83806.6,,0,0,,0,0,boundary
34,15.75,-0.25,,1010.35,0,83802.5,,0,0,,0,0,boundary
35,16.25,-0.25,,1010.35,0,83798.1,,0,0,,0,0,boundary
36,16.75,-0.25,,1010.35,0,83793.7,,0,0,,0,0,boundary
37,17.25,-0.25,,1010.35,0,83789.6,,0,0,,0,0,boundary
38,17.75,-0.25,,1010.35,0,83785.9,,0,0,,0,0,boundary
39,18.25,-0.25,,1010.35,0,83782.8,,0,0,,0,0,boundary
40,18.75,-0.25,,1010.35,0,83780.4,,0,0,,0,0,boundary
41,19.25,-0.25,,1010.35,0,83778.4,,0,0,,0,0,boundary
42,19.75,-0.25,,1010.35,0,83777.1,,0,0,,0,0,boundary
43,20.25,-0.25,,1010.35,0,83776.6,,0,0,,0,0,boundary
44,20.75,-0.25,,1010.35,0,83776.8,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.35,0,83778.3,,0,0,,0,0,boundary
46,21.75,-0.25,,1010.35,0,83780.6,,0,0,,0,0,boundary
47,22.25,-0.25,,1010.35,0,83783.3,,0,0,,0,0,boundary
48,22.75,-0.25,,1010.35,0,83787.5,,0,0,,0,0,boundary
49,23.25,-0.25,,1010.35,0,83792.2,,0,0,,0,0,boundary
50,23.75,-0.25,,1010.35,0,83796.8,,0,0,,0,0,boundary
51,24.25,-0.25,,1010.35,0,83806.3,,0,0,,0,0,boundary
52,24.75,-0.25,,1010.35,0,83824.9,,0,0,,0,0,boundary
53,25.25,-0.25,,1010.36,0,83841.6,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.35,0,83833.9,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.35,0,83819.7,,0,0,,0,0,boundary
56,-1.25,-0.75,,1010.97,0,89005.4,,0,0,,0,0,boundary
57,-0.75,-0.75,,1010.97,0,89016.5,,0,0,,0,0,boundary
58,-0.25,-0.75,,1010.98,0,89024.8,,0,0,,0,0,boundary
59,0.25,-0.75,,1010.97,0,89009.7,,0,0,,0,0,boundary
60,0.75,-0.75,,1010.97,0,88992.3,,0,0,,0,0,boundary
61,1.25,-0.75,,1010.97,0,88984.2,,0,0,,0,0,boundary
62,1.75,-0.75,,1010.97,0,88979.9,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.97,0,88974.3,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.97,0,88969.2,,0,0,,0,0,boundary
65,3.25,-0.75,,1010.97,0,88966.4,,0,0,,0,0,boundary
66,3.75,-0.75,,1010.97,0,88964,,0,0,,0,0,boundary
67,4.25,-0.75,,1010.97,0,88962.3,,0,0,,0,0,boundary
68,4.75,-0.75,,1010.97,0,88962.1,,0,0,,0,0,boundary
69,5.25,-0.75,,1010.97,0,88962.5,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.97,0,88963.4,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.97,0,88964.9,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.97,0,88967.2,,0,0,,0,0,boundary
73,7.25,-0.75,,1010.97,0,88970,,0,0,,0,0,boundary
74,7.75,-0.75,,1010.97,0,88973.4,,0,0,,0,0,boundary
75,8.25,-0.75,,1010.97,0,88976.9,,0,0,,0,0,boundary
76,8.75,-0.75,,1010.97,0,88980.5,,0,0,,0,0,boundary
77,9.25,-0.75,,1010.97,0,88984,,0,0,,0,0,boundary
78,9.75,-0.75,,1010.97,0,88987.6,,0,0,,0,0,boundary
79,10.25,-0.75,,1010.97,0,88990.9,,0,0,,0,0,boundary
80,10.75,-0.75,,1010.97,0,88993.6,,0,0,,0,0,boundary
81,11.25,-0.75,,1010.97,0,88995.7,,0,0,,0,0,boundary
82,11.75,-0.75,,1010.97,0,88997.3,,0,0,,0,0,boundary
83,12.25,-0.75,,1010.97,0,88998.1,,0,0,,0,0,boundary
84,12.75,-0.75,,1010.97,0,88998.1,,0,0,,0,0,boundary
85,13.25,-0.75,,1010.97,0,88997.3,,0,0,,0,0,boundary
86,13.75,-0.75,,1010.97,0,88995.7,,0,0,,0,0,boundary
87,14.25,-0.75,,1010.97,0,88993.6,,0,0,,0,0,boundary
88,14.75,-0.75,,1010.97,0,88990.9,,0,0,,0,0,boundary
89,15.25,-0.75,,1010.97,0,88987.6,,0,0,,0,0,boundary
90,15.75,-0.75,,1010.97,0,88984,,0,0,,0,0,boundary
91,16.25,-0.75,,1010.97,0,88980.5,,0,0,,0,0,boundary
92,16.75,-0.75,,1010.97,0,88976.9,,0,0,,0,0,boundary
93,17.25,-0.75,,1010.97,0,88973.4,,0,0,,0,0,boundary
94,17.75,-0.75,,1010.97,0,88970,,0,0,,0,0,boundary
95,18.25,-0.75,,1010.97,0,88967.2,,0,0,,0,0,boundary
96,18.75,-0.75,,1010.97,0,88964.9,,0,0,,0,0,boundary
97,19.25,-0.75,,1010.97,0,88963.4,,0,0,,0,0,boundary
98,19.75,-0.75,,1010.97,0,88962.5,,0,0,,0,0,boundary
99,20.25,-0.75,,1010.97,0,88962.1,,0,0,,0,0,boundary
100,20.75,-0.75,,1010.97,0,88962.3,,0,0,,0,0,boundary
101,21.25,-0.75,,1010.97,0,88964,,0,0,,0,0,boundary
102,21.75,-0.75,,1010.97,0,88966.4,,0,0,,0,0,boundary
103,22.25,-0.75,,1010.97,0,88969.2,,0,0,,0,0,boundary
104,22.75,-0.75,,1010.97,0,88974.3,,0,0,,0,0,boundary
105,23.25,-0.75,,1010.97,0,88979.9,,0,0,,0,0,boundary
106,23.75,-0.75,,1010.97,0,88984.2,,0,0,,0,0,boundary
107,24.25,-0.75,,1010.97,0,88992.3,,0,0,,0,0,boundary
108,24.75,-0.75,,1010.97,0,89009.7,,0,0,,0,0,boundary
109,25.25,-0.75,,1010.98,0,89024.8,,0,0,,0,0,boundary
110,25.75,-0.75,,1010.97,0,89016.5,,0,0,,0,0,boundary
111,26.25,-0.75,,1010.97,0,89005.4,,0,0,,0,0,boundary
112,-1.25,-1.25,,1011.6,0,94249.6,,0,0,,0,0,boundary
113,-0.75,-1.25,,1011.6,0,94256.3,,0,0,,0,0,boundary
114,-0.25,-1.25,,1011.6,0,94262.1,,0,0,,0,0,boundary
115,0.25,-1.25,,1011.6,0,94248.2,,0,0,,0,0,boundary
116,0.75,-1.25,,1011.6,0,94233.7,,0,0,,0,0,boundary
117,1.25,-1.25,,1011.6,0,94228.3,,0,0,,0,0,boundary
118,1.75,-1.25,,1011.59,0,94223.5,,0,0,,0,0,boundary
119,2.25,-1.25,,1011.59,0,94215.7,,0,0,,0,0,boundary
120,2.75,-1.25,,1011.59,0,94210,,0,0,,0,0,boundary
121,3.25,-1.25,,1011.59,0,94207.3,,0,0,,0,0,boundary
122,3.75,-1.25,,1011.59,0,94204.1,,0,0,,0,0,boundary
123,4.25,-1.25,,1011.59,0,94201.5,,0,0,,0,0,boundary
124,4.75,-1.25,,1011.59,0,94200.8,,0,0,,0,0,boundary
