h/dp :,2
L2norm Pressure,KE,dp,Nparticles
39841,9203.17,0.5,800

t,0.54
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1015.98,0,131550,,0,0,,0,0,boundary
1,-0.75,-0.25,,1016.05,0,132156,,0,0,,0,0,boundary
2,-0.25,-0.25,,1016.17,0,133262,,0,0,,0,0,boundary
3,0.25,-0.25,,1016.1,0,132622,,0,0,,0,0,boundary
4,0.75,-0.25,,1016.01,0,131822,,0,0,,0,0,boundary
5,1.25,-0.25,,1016.01,0,131866,,0,0,,0,0,boundary
6,1.75,-0.25,,1016.02,0,131925,,0,0,,0,0,boundary
7,2.25,-0.25,,1015.95,0,131311,,0,0,,0,0,boundary
8,2.75,-0.25,,1015.86,0,130531,,0,0,,0,0,boundary
9,3.25,-0.25,,1015.89,0,130800,,0,0,,0,0,boundary
10,3.75,-0.25,,1015.99,0,131683,,0,0,,0,0,boundary
11,4.25,-0.25,,1016.09,0,132536,,0,0,,0,0,boundary
12,4.75,-0.25,,1016.16,0,133153,,0,0,,0,0,boundary
13,5.25,-0.25,,1016.18,0,133348,,0,0,,0,0,boundary
14,5.75,-0.25,,1016.16,0,133161,,0,0,,0,0,boundary
15,6.25,-0.25,,1016.11,0,132743,,0,0,,0,0,boundary
16,6.75,-0.25,,1016.09,0,132563,,0,0,,0,0,boundary
17,7.25,-0.25,,1016.13,0,132915,,0,0,,0,0,boundary
18,7.75,-0.25,,1016.21,0,133595,,0,0,,0,0,boundary
19,8.25,-0.25,,1016.3,0,134371,,0,0,,0,0,boundary
20,8.75,-0.25,,1016.37,0,134953,,0,0,,0,0,boundary
21,9.25,-0.25,,1016.39,0,135125,,0,0,,0,0,boundary
22,9.75,-0.25,,1016.38,0,135031,,0,0,,0,0,boundary
23,10.25,-0.25,,1016.38,0,135019,,0,0,,0,0,boundary
24,10.75,-0.25,,1016.41,0,135321,,0,0,,0,0,boundary
25,11.25,-0.25,,1016.46,0,135697,,0,0,,0,0,boundary
26,11.75,-0.25,,1016.46,0,135747,,0,0,,0,0,boundary
27,12.25,-0.25,,1016.44,0,135576,,0,0,,0,0,boundary
28,12.75,-0.25,,1016.44,0,135576,,0,0,,0,0,boundary
29,13.25,-0.25,,1016.46,0,135747,,0,0,,0,0,boundary
30,13.75,-0.25,,1016.46,0,135697,,0,0,,0,0,boundary
31,14.25,-0.25,,1016.41,0,135321,,0,0,,0,0,boundary
32,14.75,-0.25,,1016.38,0,135019,,0,0,,0,0,boundary
33,15.25,-0.25,,1016.38,0,135031,,0,0,,0,0,boundary
34,15.75,-0.25,,1016.39,0,135125,,0,0,,0,0,boundary
35,16.25,-0.25,,1016.37,0,134953,,0,0,,0,0,boundary
36,16.75,-0.25,,1016.3,0,134371,,0,0,,0,0,boundary
37,17.25,-0.25,,1016.21,0,133595,,0,0,,0,0,boundary
38,17.75,-0.25,,1016.13,0,132915,,0,0,,0,0,boundary
39,18.25,-0.25,,1016.09,0,132563,,0,0,,0,0,boundary
40,18.75,-0.25,,1016.11,0,132743,,0,0,,0,0,boundary
41,19.25,-0.25,,1016.16,0,133161,,0,0,,0,0,boundary
42,19.75,-0.25,,1016.18,0,133348,,0,0,,0,0,boundary
43,20.25,-0.25,,1016.16,0,133153,,0,0,,0,0,boundary
44,20.75,-0.25,,1016.09,0,132536,,0,0,,0,0,boundary
45,21.25,-0.25,,1015.99,0,131683,,0,0,,0,0,boundary
46,21.75,-0.25,,1015.89,0,130800,,0,0,,0,0,boundary
47,22.25,-0.25,,1015.86,0,130531,,0,0,,0,0,boundary
48,22.75,-0.25,,1015.95,0,131311,,0,0,,0,0,boundary
49,23.25,-0.25,,1016.02,0,131925,,0,0,,0,0,boundary
50,23.75,-0.25,,1016.01,0,131866,,0,0,,0,0,boundary
51,24.25,-0.25,,1016.01,0,131822,,0,0,,0,0,boundary
52,24.75,-0.25,,1016.1,0,132622,,0,0,,0,0,boundary
53,25.25,-0.25,,1016.17,0,133262,,0,0,,0,0,boundary
54,25.75,-0.25,,1016.05,0,132156,,0,0,,0,0,boundary
55,26.25,-0.25,,1015.98,0,131550,,0,0,,0,0,boundary
56,-1.25,-0.75,,1016.55,0,136503,,0,0,,0,0,boundary
57,-0.75,-0.75,,1016.52,0,136219,,0,0,,0,0,boundary
58,-0.25,-0.75,,1016.58,0,136788,,0,0,,0,0,boundary
59,0.25,-0.75,,1016.52,0,136256,,0,0,,0,0,boundary
60,0.75,-0.75,,1016.48,0,135898,,0,0,,0,0,boundary
61,1.25,-0.75,,1016.52,0,136296,,0,0,,0,0,boundary
62,1.75,-0.75,,1016.6,0,136911,,0,0,,0,0,boundary
63,2.25,-0.75,,1016.53,0,136341,,0,0,,0,0,boundary
64,2.75,-0.75,,1016.42,0,135407,,0,0,,0,0,boundary
65,3.25,-0.75,,1016.48,0,135943,,0,0,,0,0,boundary
66,3.75,-0.75,,1016.62,0,137139,,0,0,,0,0,boundary
67,4.25,-0.75,,1016.76,0,138297,,0,0,,0,0,boundary
68,4.75,-0.75,,1016.88,0,139390,,0,0,,0,0,boundary
69,5.25,-0.75,,1016.95,0,139984,,0,0,,0,0,boundary
70,5.75,-0.75,,1016.96,0,140049,,0,0,,0,0,boundary
71,6.25,-0.75,,1016.94,0,139869,,0,0,,0,0,boundary
72,6.75,-0.75,,1016.94,0,139920,,0,0,,0,0,boundary
73,7.25,-0.75,,1017.01,0,140502,,0,0,,0,0,boundary
74,7.75,-0.75,,1017.12,0,141437,,0,0,,0,0,boundary
75,8.25,-0.75,,1017.24,0,142459,,0,0,,0,0,boundary
76,8.75,-0.75,,1017.33,0,143268,,0,0,,0,0,boundary
77,9.25,-0.75,,1017.37,0,143590,,0,0,,0,0,boundary
78,9.75,-0.75,,1017.36,0,143567,,0,0,,0,0,boundary
79,10.25,-0.75,,1017.38,0,143725,,0,0,,0,0,boundary
80,10.75,-0.75,,1017.45,0,144336,,0,0,,0,0,boundary
81,11.25,-0.75,,1017.52,0,144902,,0,0,,0,0,boundary
82,11.75,-0.75,,1017.51,0,144815,,0,0,,0,0,boundary
83,12.25,-0.75,,1017.46,0,144379,,0,0,,0,0,boundary
84,12.75,-0.75,,1017.46,0,144379,,0,0,,0,0,boundary
85,13.25,-0.75,,1017.51,0,144815,,0,0,,0,0,boundary
86,13.75,-0.75,,1017.52,0,144902,,0,0,,0,0,boundary
87,14.25,-0.75,,1017.45,0,144336,,0,0,,0,0,boundary
88,14.75,-0.75,,1017.38,0,143725,,0,0,,0,0,boundary
89,15.25,-0.75,,1017.36,0,143567,,0,0,,0,0,boundary
90,15.75,-0.75,,1017.37,0,143590,,0,0,,0,0,boundary
91,16.25,-0.75,,1017.33,0,143268,,0,0,,0,0,boundary
92,16.75,-0.75,,1017.24,0,142459,,0,0,,0,0,boundary
93,17.25,-0.75,,1017.12,0,141437,,0,0,,0,0,boundary
94,17.75,-0.75,,1017.01,0,140502,,0,0,,0,0,boundary
95,18.25,-0.75,,1016.94,0,139920,,0,0,,0,0,boundary
96,18.75,-0.75,,1016.94,0,139869,,0,0,,0,0,boundary
97,19.25,-0.75,,1016.96,0,140049,,0,0,,0,0,boundary
98,19.75,-0.75,,1016.95,0,139984,,0,0,,0,0,boundary
99,20.25,-0.75,,1016.88,0,139390,,0,0,,0,0,boundary
100,20.75,-0.75,,1016.76,0,138297,,0,0,,0,0,boundary
101,21.25,-0.75,,1016.62,0,137139,,0,0,,0,0,boundary
102,21.75,-0.75,,1016.48,0,135943,,0,0,,0,0,boundary
103,22.25,-0.75,,1016.42,0,135407,,0,0,,0,0,boundary
104,22.75,-0.75,,1016.53,0,136341,,0,0,,0,0,boundary
105,23.25,-0.75,,1016.6,0,136911,,0,0,,0,0,boundary
106,23.75,-0.75,,1016.52,0,136296,,0,0,,0,0,boundary
107,24.25,-0.75,,1016.48,0,135898,,0,0,,0,0,boundary
