h/dp :,2
L2norm Pressure,KE,dp,Nparticles
73786.1,855311,0.5,384

t,4.84
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,907.395,0,-553288,,0,0,,0,0,boundary
1,-0.75,-0.25,,911.005,0,-537285,,0,0,,0,0,boundary
2,-0.25,-0.25,,919.25,0,-499276,,0,0,,0,0,boundary
3,0.25,-0.25,,927.299,0,-460146,,0,0,,0,0,boundary
4,0.75,-0.25,,934.402,0,-423880,,0,0,,0,0,boundary
5,1.25,-0.25,,942.502,0,-380454,,0,0,,0,0,boundary
6,1.75,-0.25,,953.533,0,-317594,,0,0,,0,0,boundary
7,2.25,-0.25,,965.411,0,-244856,,0,0,,0,0,boundary
8,2.75,-0.25,,974.384,0,-186226,,0,0,,0,0,boundary
9,3.25,-0.25,,981.235,0,-139231,,0,0,,0,0,boundary
10,3.75,-0.25,,987.041,0,-97829.6,,0,0,,0,0,boundary
11,4.25,-0.25,,991.308,0,-66465,,0,0,,0,0,boundary
12,4.75,-0.25,,994.478,0,-42628.9,,0,0,,0,0,boundary
13,5.25,-0.25,,996.949,0,-23724.1,,0,0,,0,0,boundary
14,5.75,-0.25,,999.023,0,-7643.05,,0,0,,0,0,boundary
15,6.25,-0.25,,1000.93,0,7289.06,,0,0,,0,0,boundary
16,6.75,-0.25,,1002.23,0,17596.9,,0,0,,0,0,boundary
17,7.25,-0.25,,1003.01,0,23831,,0,0,,0,0,boundary
18,7.75,-0.25,,1003.78,0,30032.8,,0,0,,0,0,boundary
19,8.25,-0.25,,1004.19,0,33331.2,,0,0,,0,0,boundary
20,8.75,-0.25,,1003.36,0,26637.7,,0,0,,0,0,boundary
21,9.25,-0.25,,1001.04,0,8153.84,,0,0,,0,0,boundary
22,9.75,-0.25,,998.266,0,-13537.9,,0,0,,0,0,boundary
23,10.25,-0.25,,996.138,0,-29962.9,,0,0,,0,0,boundary
24,10.75,-0.25,,995.686,0,-33421.6,,0,0,,0,0,boundary
25,11.25,-0.25,,996.794,0,-24920.8,,0,0,,0,0,boundary
26,11.75,-0.25,,998.236,0,-13768.8,,0,0,,0,0,boundary
27,12.25,-0.25,,998.643,0,-10603,,0,0,,0,0,boundary
28,12.75,-0.25,,998.509,0,-11651.3,,0,0,,0,0,boundary
29,13.25,-0.25,,999.296,0,-5510.43,,0,0,,0,0,boundary
30,13.75,-0.25,,1001.33,0,10496.7,,0,0,,0,0,boundary
31,14.25,-0.25,,1003.61,0,28663,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.36,0,42786.1,,0,0,,0,0,boundary
33,15.25,-0.25,,1007.36,0,59025.1,,0,0,,0,0,boundary
34,15.75,-0.25,,1009.95,0,80445.2,,0,0,,0,0,boundary
35,16.25,-0.25,,1012.02,0,97788.5,,0,0,,0,0,boundary
36,16.75,-0.25,,1012.79,0,104275,,0,0,,0,0,boundary
37,17.25,-0.25,,1012.93,0,105507,,0,0,,0,0,boundary
38,17.75,-0.25,,1013.27,0,108367,,0,0,,0,0,boundary
39,18.25,-0.25,,1013.77,0,112658,,0,0,,0,0,boundary
40,18.75,-0.25,,1013.94,0,114053,,0,0,,0,0,boundary
41,19.25,-0.25,,1013.36,0,109111,,0,0,,0,0,boundary
42,19.75,-0.25,,1012.41,0,101077,,0,0,,0,0,boundary
43,20.25,-0.25,,1011.9,0,96820.2,,0,0,,0,0,boundary
44,20.75,-0.25,,1011.04,0,89603.4,,0,0,,0,0,boundary
45,21.25,-0.25,,1010.15,0,82101.8,,0,0,,0,0,boundary
46,21.75,-0.25,,1009.65,0,77949.6,,0,0,,0,0,boundary
47,22.25,-0.25,,1009.17,0,73996.4,,0,0,,0,0,boundary
48,22.75,-0.25,,1008.32,0,66935.5,,0,0,,0,0,boundary
49,23.25,-0.25,,1007.64,0,61315.6,,0,0,,0,0,boundary
50,23.75,-0.25,,1007.57,0,60803.9,,0,0,,0,0,boundary
51,24.25,-0.25,,1007.48,0,60028.9,,0,0,,0,0,boundary
52,24.75,-0.25,,1007.2,0,57714.5,,0,0,,0,0,boundary
53,25.25,-0.25,,1006.95,0,55679.1,,0,0,,0,0,boundary
54,25.75,-0.25,,1006.59,0,52723.3,,0,0,,0,0,boundary
55,26.25,-0.25,,1005.93,0,47407.4,,0,0,,0,0,boundary
