h/dp :,2
L2norm Pressure,KE,dp,Nparticles
1.31733e+33,1.47052e+66,0.5,480

t,0.05
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1004.92,0,39222.7,,0,0,,0,0,boundary
1,-0.75,-0.25,,1004.77,0,37937,,0,0,,0,0,boundary
2,-0.25,-0.25,,1004.64,0,36902.4,,0,0,,0,0,boundary
3,0.25,-0.25,,1004.88,0,38902.9,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.14,0,40991.3,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.21,0,41529.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.22,0,41573.9,,0,0,,0,0,boundary
7,2.25,-0.25,,1005.26,0,41917.3,,0,0,,0,0,boundary
8,2.75,-0.25,,1005.32,0,42436.1,,0,0,,0,0,boundary
9,3.25,-0.25,,1005.37,0,42795.1,,0,0,,0,0,boundary
10,3.75,-0.25,,1005.39,0,42985.9,,0,0,,0,0,boundary
11,4.25,-0.25,,1005.4,0,43096.1,,0,0,,0,0,boundary
12,4.75,-0.25,,1005.41,0,43164.8,,0,0,,0,0,boundary
13,5.25,-0.25,,1005.42,0,43204.7,,0,0,,0,0,boundary
14,5.75,-0.25,,1005.42,0,43225.7,,0,0,,0,0,boundary
15,6.25,-0.25,,1005.42,0,43236.3,,0,0,,0,0,boundary
16,6.75,-0.25,,1005.42,0,43241.2,,0,0,,0,0,boundary
17,7.25,-0.25,,1005.42,0,43242.6,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.42,0,43241.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.42,0,43235.5,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.42,0,43222.7,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.42,0,43196.1,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.41,0,43141.3,,0,0,,0,0,boundary
23,10.25,-0.25,,1005.39,0,43029.7,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.37,0,42823.2,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.33,0,42487,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.25,0,41891.8,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.09,0,40586.6,,0,0,,0,0,boundary
28,12.75,-0.25,,1004.79,0,38167.7,,0,0,,0,0,boundary
29,13.25,-0.25,,1004.44,0,35334.9,,0,0,,0,0,boundary
30,13.75,-0.25,,1004.19,0,33312.2,,0,0,,0,0,boundary
31,14.25,-0.25,,1004,0,31802,,0,0,,0,0,boundary
32,14.75,-0.25,,1003.63,0,28783,,0,0,,0,0,boundary
33,15.25,-0.25,,1002.86,0,22647.7,,0,0,,0,0,boundary
34,15.75,-0.25,,1001.53,0,12047.1,,0,0,,0,0,boundary
35,16.25,-0.25,,1001.64,0,12962.8,,0,0,,0,0,boundary
