h/dp :,2
L2norm Pressure,KE,dp,Nparticles
2.69096e+34,1.47052e+66,0.5,480

t,1
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,990.077,0,-75592.5,,0,0,,0,0,boundary
1,-0.75,-0.25,,988.322,0,-88497.3,,0,0,,0,0,boundary
2,-0.25,-0.25,,990.048,0,-75808.3,,0,0,,0,0,boundary
3,0.25,-0.25,,994.478,0,-42629.1,,0,0,,0,0,boundary
4,0.75,-0.25,,998.327,0,-13065.1,,0,0,,0,0,boundary
5,1.25,-0.25,,1001.69,0,13299.8,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.09,0,40527.6,,0,0,,0,0,boundary
7,2.25,-0.25,,1008.56,0,68901,,0,0,,0,0,boundary
8,2.75,-0.25,,1011.3,0,91710.1,,0,0,,0,0,boundary
9,3.25,-0.25,,1012.1,0,98444.6,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.53,0,85330,,0,0,,0,0,boundary
11,4.25,-0.25,,1007.57,0,60766.7,,0,0,,0,0,boundary
12,4.75,-0.25,,1004.77,0,37959.7,,0,0,,0,0,boundary
13,5.25,-0.25,,1002.81,0,22276.4,,0,0,,0,0,boundary
14,5.75,-0.25,,1001.21,0,9500.94,,0,0,,0,0,boundary
15,6.25,-0.25,,999.561,0,-3440.2,,0,0,,0,0,boundary
16,6.75,-0.25,,998.746,0,-9805.62,,0,0,,0,0,boundary
17,7.25,-0.25,,999.969,0,-247.129,,0,0,,0,0,boundary
18,7.75,-0.25,,1002.96,0,23473.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1006.12,0,48956.3,,0,0,,0,0,boundary
20,8.75,-0.25,,1007.96,0,63958.1,,0,0,,0,0,boundary
21,9.25,-0.25,,1008.12,0,65282.5,,0,0,,0,0,boundary
22,9.75,-0.25,,1007.23,0,57993.2,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.2,0,49562.5,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.55,0,44324.1,,0,0,,0,0,boundary
25,11.25,-0.25,,1004.47,0,35586.6,,0,0,,0,0,boundary
26,11.75,-0.25,,1002.39,0,18903.7,,0,0,,0,0,boundary
27,12.25,-0.25,,999.932,0,-530.189,,0,0,,0,0,boundary
28,12.75,-0.25,,999.212,0,-6168.73,,0,0,,0,0,boundary
29,13.25,-0.25,,1000.86,0,6736.32,,0,0,,0,0,boundary
30,13.75,-0.25,,1002.68,0,21195.1,,0,0,,0,0,boundary
31,14.25,-0.25,,1003.85,0,30578.2,,0,0,,0,0,boundary
32,14.75,-0.25,,1004.3,0,34193.7,,0,0,,0,0,boundary
33,15.25,-0.25,,1004.61,0,36681.7,,0,0,,0,0,boundary
34,15.75,-0.25,,1004.22,0,33559.3,,0,0,,0,0,boundary
35,16.25,-0.25,,1004.32,0,34342.2,,0,0,,0,0,boundary
36,16.75,-0.25,,1004.76,0,37875.5,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.44,0,51527.9,,0,0,,0,0,boundary
38,17.75,-0.25,,1008.89,0,71642.1,,0,0,,0,0,boundary
39,18.25,-0.25,,1008.01,0,64359.4,,0,0,,0,0,boundary
40,18.75,-0.25,,1004.29,0,34096.9,,0,0,,0,0,boundary
41,19.25,-0.25,,998.81,0,-9302.18,,0,0,,0,0,boundary
42,19.75,-0.25,,993.1,0,-53042.9,,0,0,,0,0,boundary
43,20.25,-0.25,,988.047,0,-90509.5,,0,0,,0,0,boundary
44,20.75,-0.25,,982.55,0,-129985,,0,0,,0,0,boundary
45,21.25,-0.25,,980.317,0,-145643,,0,0,,0,0,boundary
46,21.75,-0.25,,975.967,0,-175547,,0,0,,0,0,boundary
47,22.25,-0.25,,974.499,0,-185453,,0,0,,0,0,boundary
48,22.75,-0.25,,973.421,0,-192679,,0,0,,0,0,boundary
49,23.25,-0.25,,1013.69,0,111937,,0,0,,0,0,boundary
50,23.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
51,24.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
52,24.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
53,25.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
54,25.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
55,26.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
56,-1.25,-0.75,,992.775,0,-55488.7,,0,0,,0,0,boundary
57,-0.75,-0.75,,988.598,0,-86481,,0,0,,0,0,boundary
