h/dp :,2
L2norm Pressure,KE,dp,Nparticles
35938.6,9.94254e+06,0.5,480

t,12.59
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.69,0,45452.7,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.76,0,46016.7,,0,0,,0,0,boundary
2,-0.25,-0.25,,1005.79,0,46207.6,,0,0,,0,0,boundary
3,0.25,-0.25,,1005.74,0,45802.6,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.68,0,45351.1,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.66,0,45157.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.68,0,45340.1,,0,0,,0,0,boundary
7,2.25,-0.25,,1005.73,0,45752.5,,0,0,,0,0,boundary
8,2.75,-0.25,,1005.73,0,45780.8,,0,0,,0,0,boundary
9,3.25,-0.25,,1005.68,0,45361.9,,0,0,,0,0,boundary
10,3.75,-0.25,,1005.71,0,45626.3,,0,0,,0,0,boundary
11,4.25,-0.25,,1005.74,0,45862.8,,0,0,,0,0,boundary
12,4.75,-0.25,,1005.65,0,45125.2,,0,0,,0,0,boundary
13,5.25,-0.25,,1005.61,0,44750.2,,0,0,,0,0,boundary
14,5.75,-0.25,,1005.75,0,45933.5,,0,0,,0,0,boundary
15,6.25,-0.25,,1005.82,0,46477.4,,0,0,,0,0,boundary
16,6.75,-0.25,,1005.82,0,46508.1,,0,0,,0,0,boundary
17,7.25,-0.25,,1005.91,0,47176.6,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.99,0,47835.8,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.9,0,47170,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.75,0,45887.2,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.74,0,45808.1,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.87,0,46872.9,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.09,0,48712,,0,0,,0,0,boundary
24,10.75,-0.25,,1006.41,0,51251.8,,0,0,,0,0,boundary
25,11.25,-0.25,,1006.63,0,53073.5,,0,0,,0,0,boundary
26,11.75,-0.25,,1006.66,0,53297.7,,0,0,,0,0,boundary
27,12.25,-0.25,,1006.53,0,52301.3,,0,0,,0,0,boundary
28,12.75,-0.25,,1006.46,0,51699.2,,0,0,,0,0,boundary
29,13.25,-0.25,,1006.46,0,51729.4,,0,0,,0,0,boundary
30,13.75,-0.25,,1006.51,0,52126.1,,0,0,,0,0,boundary
31,14.25,-0.25,,1006.56,0,52511.2,,0,0,,0,0,boundary
32,14.75,-0.25,,1006.58,0,52705.3,,0,0,,0,0,boundary
33,15.25,-0.25,,1006.61,0,52875.1,,0,0,,0,0,boundary
34,15.75,-0.25,,1006.63,0,53081.8,,0,0,,0,0,boundary
35,16.25,-0.25,,1006.65,0,53205.6,,0,0,,0,0,boundary
36,16.75,-0.25,,1006.63,0,53044.8,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.58,0,52680.6,,0,0,,0,0,boundary
38,17.75,-0.25,,1006.54,0,52340.5,,0,0,,0,0,boundary
39,18.25,-0.25,,1006.49,0,51923,,0,0,,0,0,boundary
40,18.75,-0.25,,1006.44,0,51497.7,,0,0,,0,0,boundary
41,19.25,-0.25,,1006.4,0,51223.7,,0,0,,0,0,boundary
42,19.75,-0.25,,1006.35,0,50779.6,,0,0,,0,0,boundary
43,20.25,-0.25,,1006.3,0,50383.7,,0,0,,0,0,boundary
44,20.75,-0.25,,1006.28,0,50254.9,,0,0,,0,0,boundary
45,21.25,-0.25,,1006.27,0,50139.2,,0,0,,0,0,boundary
46,21.75,-0.25,,1006.25,0,49955.2,,0,0,,0,0,boundary
47,22.25,-0.25,,1006.23,0,49791.1,,0,0,,0,0,boundary
48,22.75,-0.25,,1006.21,0,49637.6,,0,0,,0,0,boundary
49,23.25,-0.25,,1006.19,0,49499.7,,0,0,,0,0,boundary
50,23.75,-0.25,,1006.19,0,49470.9,,0,0,,0,0,boundary
51,24.25,-0.25,,1006.17,0,49292.9,,0,0,,0,0,boundary
52,24.75,-0.25,,1006.09,0,48672,,0,0,,0,0,boundary
53,25.25,-0.25,,1006.03,0,48208.6,,0,0,,0,0,boundary
54,25.75,-0.25,,1006.09,0,48643,,0,0,,0,0,boundary
55,26.25,-0.25,,1006.08,0,48617.6,,0,0,,0,0,boundary
56,-1.25,-0.75,,1006.31,0,50503.6,,0,0,,0,0,boundary
57,-0.75,-0.75,,1006.34,0,50698.3,,0,0,,0,0,boundary
58,-0.25,-0.75,,1006.33,0,50631.1,,0,0,,0,0,boundary
59,0.25,-0.75,,1006.29,0,50275.8,,0,0,,0,0,boundary
60,0.75,-0.75,,1006.26,0,50029.6,,0,0,,0,0,boundary
61,1.25,-0.75,,1006.26,0,50076.8,,0,0,,0,0,boundary
62,1.75,-0.75,,1006.32,0,50533.5,,0,0,,0,0,boundary
63,2.25,-0.75,,1006.41,0,51250.6,,0,0,,0,0,boundary
64,2.75,-0.75,,1006.44,0,51556.5,,0,0,,0,0,boundary
65,3.25,-0.75,,1006.41,0,51272.3,,0,0,,0,0,boundary
66,3.75,-0.75,,1006.39,0,51139.6,,0,0,,0,0,boundary
67,4.25,-0.75,,1006.42,0,51387.3,,0,0,,0,0,boundary
68,4.75,-0.75,,1006.41,0,51290,,0,0,,0,0,boundary
69,5.25,-0.75,,1006.28,0,50197.7,,0,0,,0,0,boundary
70,5.75,-0.75,,1006.37,0,50963.2,,0,0,,0,0,boundary
71,6.25,-0.75,,1006.48,0,51857,,0,0,,0,0,boundary
72,6.75,-0.75,,1006.38,0,51037.5,,0,0,,0,0,boundary
73,7.25,-0.75,,1006.34,0,50746.2,,0,0,,0,0,boundary
74,7.75,-0.75,,1006.38,0,51008,,0,0,,0,0,boundary
75,8.25,-0.75,,1006.33,0,50591.6,,0,0,,0,0,boundary
