h/dp :,2
L2norm Pressure,KE,dp,Nparticles
39384,898592,0.5,480

t,3.58
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1004.7,0,37418,,0,0,,0,0,boundary
1,-0.75,-0.25,,1004.67,0,37190.3,,0,0,,0,0,boundary
2,-0.25,-0.25,,1004.59,0,36537.1,,0,0,,0,0,boundary
3,0.25,-0.25,,1004.76,0,37866,,0,0,,0,0,boundary
4,0.75,-0.25,,1004.92,0,39178.6,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.02,0,40009.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.16,0,41099.4,,0,0,,0,0,boundary
7,2.25,-0.25,,1005.33,0,42516.4,,0,0,,0,0,boundary
8,2.75,-0.25,,1005.57,0,44491.2,,0,0,,0,0,boundary
9,3.25,-0.25,,1005.84,0,46646.5,,0,0,,0,0,boundary
10,3.75,-0.25,,1006.1,0,48720.2,,0,0,,0,0,boundary
11,4.25,-0.25,,1006.24,0,49885.6,,0,0,,0,0,boundary
12,4.75,-0.25,,1006.42,0,51361.7,,0,0,,0,0,boundary
13,5.25,-0.25,,1006.71,0,53721.3,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.97,0,55839,,0,0,,0,0,boundary
15,6.25,-0.25,,1007.16,0,57428.2,,0,0,,0,0,boundary
16,6.75,-0.25,,1007.27,0,58298,,0,0,,0,0,boundary
17,7.25,-0.25,,1007.44,0,59731.8,,0,0,,0,0,boundary
18,7.75,-0.25,,1007.57,0,60779.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1007.7,0,61862.4,,0,0,,0,0,boundary
20,8.75,-0.25,,1007.78,0,62486.5,,0,0,,0,0,boundary
21,9.25,-0.25,,1007.8,0,62666.4,,0,0,,0,0,boundary
22,9.75,-0.25,,1007.78,0,62520.7,,0,0,,0,0,boundary
23,10.25,-0.25,,1007.73,0,62127.2,,0,0,,0,0,boundary
24,10.75,-0.25,,1007.71,0,61912.3,,0,0,,0,0,boundary
25,11.25,-0.25,,1007.62,0,61168.4,,0,0,,0,0,boundary
26,11.75,-0.25,,1007.55,0,60637.7,,0,0,,0,0,boundary
27,12.25,-0.25,,1007.47,0,59938.1,,0,0,,0,0,boundary
28,12.75,-0.25,,1007.35,0,58943.6,,0,0,,0,0,boundary
29,13.25,-0.25,,1007.23,0,57989.1,,0,0,,0,0,boundary
30,13.75,-0.25,,1007.08,0,56785,,0,0,,0,0,boundary
31,14.25,-0.25,,1006.92,0,55456.3,,0,0,,0,0,boundary
32,14.75,-0.25,,1006.81,0,54510.8,,0,0,,0,0,boundary
33,15.25,-0.25,,1006.67,0,53428.9,,0,0,,0,0,boundary
34,15.75,-0.25,,1006.48,0,51886.8,,0,0,,0,0,boundary
35,16.25,-0.25,,1006.4,0,51201,,0,0,,0,0,boundary
36,16.75,-0.25,,1006.43,0,51410.2,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.47,0,51769.8,,0,0,,0,0,boundary
38,17.75,-0.25,,1006.55,0,52463.8,,0,0,,0,0,boundary
39,18.25,-0.25,,1006.62,0,53022,,0,0,,0,0,boundary
40,18.75,-0.25,,1006.69,0,53579.6,,0,0,,0,0,boundary
41,19.25,-0.25,,1006.81,0,54534.7,,0,0,,0,0,boundary
42,19.75,-0.25,,1006.93,0,55546.3,,0,0,,0,0,boundary
43,20.25,-0.25,,1007.06,0,56622.5,,0,0,,0,0,boundary
44,20.75,-0.25,,1007.23,0,57997.3,,0,0,,0,0,boundary
45,21.25,-0.25,,1007.42,0,59527,,0,0,,0,0,boundary
46,21.75,-0.25,,1007.6,0,61018.6,,0,0,,0,0,boundary
47,22.25,-0.25,,1007.87,0,63274.7,,0,0,,0,0,boundary
48,22.75,-0.25,,1008.04,0,64654.6,,0,0,,0,0,boundary
49,23.25,-0.25,,1008.09,0,65083.8,,0,0,,0,0,boundary
50,23.75,-0.25,,1008.05,0,64729.1,,0,0,,0,0,boundary
51,24.25,-0.25,,1007.99,0,64201.7,,0,0,,0,0,boundary
52,24.75,-0.25,,1008,0,64305.5,,0,0,,0,0,boundary
53,25.25,-0.25,,1008.16,0,65657.4,,0,0,,0,0,boundary
54,25.75,-0.25,,1008.21,0,66050.3,,0,0,,0,0,boundary
55,26.25,-0.25,,1008.41,0,67685.5,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.2,0,41457.2,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.21,0,41563.4,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.16,0,41130.2,,0,0,,0,0,boundary
59,0.25,-0.75,,1005.32,0,42460.4,,0,0,,0,0,boundary
60,0.75,-0.75,,1005.47,0,43624.4,,0,0,,0,0,boundary
61,1.25,-0.75,,1005.5,0,43895.1,,0,0,,0,0,boundary
62,1.75,-0.75,,1005.71,0,45609.9,,0,0,,0,0,boundary
63,2.25,-0.75,,1006.01,0,48036,,0,0,,0,0,boundary
64,2.75,-0.75,,1006.19,0,49506.4,,0,0,,0,0,boundary
65,3.25,-0.75,,1006.48,0,51876.6,,0,0,,0,0,boundary
66,3.75,-0.75,,1006.77,0,54196.2,,0,0,,0,0,boundary
67,4.25,-0.75,,1006.9,0,55274,,0,0,,0,0,boundary
68,4.75,-0.75,,1007.12,0,57125.6,,0,0,,0,0,boundary
69,5.25,-0.75,,1007.46,0,59863.1,,0,0,,0,0,boundary
