h/dp :,2
L2norm Pressure,KE,dp,Nparticles
47812.6,1.10286e+06,0.5,480

t,4
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1011.57,0,94048.6,,0,0,,0,0,boundary
1,-0.75,-0.25,,1011.44,0,92888.5,,0,0,,0,0,boundary
2,-0.25,-0.25,,1011.19,0,90828.1,,0,0,,0,0,boundary
3,0.25,-0.25,,1010.86,0,88040,,0,0,,0,0,boundary
4,0.75,-0.25,,1010.59,0,85782.1,,0,0,,0,0,boundary
5,1.25,-0.25,,1010.35,0,83832.1,,0,0,,0,0,boundary
6,1.75,-0.25,,1010.02,0,81029.4,,0,0,,0,0,boundary
7,2.25,-0.25,,1009.55,0,77159,,0,0,,0,0,boundary
8,2.75,-0.25,,1009.07,0,73165.7,,0,0,,0,0,boundary
9,3.25,-0.25,,1008.57,0,69017,,0,0,,0,0,boundary
10,3.75,-0.25,,1008.21,0,66012.1,,0,0,,0,0,boundary
11,4.25,-0.25,,1008.02,0,64513.5,,0,0,,0,0,boundary
12,4.75,-0.25,,1007.74,0,62152.3,,0,0,,0,0,boundary
13,5.25,-0.25,,1007.34,0,58906,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.92,0,55466.5,,0,0,,0,0,boundary
15,6.25,-0.25,,1006.55,0,52391.8,,0,0,,0,0,boundary
16,6.75,-0.25,,1006.16,0,49218.4,,0,0,,0,0,boundary
17,7.25,-0.25,,1005.83,0,46536.8,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.63,0,44921.4,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.35,0,42700.7,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.03,0,40105,,0,0,,0,0,boundary
21,9.25,-0.25,,1004.87,0,38751.5,,0,0,,0,0,boundary
22,9.75,-0.25,,1004.67,0,37171.9,,0,0,,0,0,boundary
23,10.25,-0.25,,1004.5,0,35805.4,,0,0,,0,0,boundary
24,10.75,-0.25,,1004.34,0,34503.7,,0,0,,0,0,boundary
25,11.25,-0.25,,1004.21,0,33449.4,,0,0,,0,0,boundary
26,11.75,-0.25,,1004.1,0,32600.3,,0,0,,0,0,boundary
27,12.25,-0.25,,1004.02,0,31932.8,,0,0,,0,0,boundary
28,12.75,-0.25,,1003.97,0,31568.4,,0,0,,0,0,boundary
29,13.25,-0.25,,1003.93,0,31230.8,,0,0,,0,0,boundary
30,13.75,-0.25,,1003.93,0,31217.8,,0,0,,0,0,boundary
31,14.25,-0.25,,1003.99,0,31656.9,,0,0,,0,0,boundary
32,14.75,-0.25,,1004.09,0,32497.9,,0,0,,0,0,boundary
33,15.25,-0.25,,1004.21,0,33428.9,,0,0,,0,0,boundary
34,15.75,-0.25,,1004.28,0,34023,,0,0,,0,0,boundary
35,16.25,-0.25,,1004.46,0,35477.3,,0,0,,0,0,boundary
36,16.75,-0.25,,1004.86,0,38673.1,,0,0,,0,0,boundary
37,17.25,-0.25,,1005.19,0,41355.7,,0,0,,0,0,boundary
38,17.75,-0.25,,1005.36,0,42739.1,,0,0,,0,0,boundary
39,18.25,-0.25,,1005.61,0,44784.7,,0,0,,0,0,boundary
40,18.75,-0.25,,1005.94,0,47485.3,,0,0,,0,0,boundary
41,19.25,-0.25,,1006.3,0,50423.5,,0,0,,0,0,boundary
42,19.75,-0.25,,1006.68,0,53511.9,,0,0,,0,0,boundary
43,20.25,-0.25,,1007.03,0,56365.6,,0,0,,0,0,boundary
44,20.75,-0.25,,1007.3,0,58594.7,,0,0,,0,0,boundary
45,21.25,-0.25,,1007.52,0,60369.3,,0,0,,0,0,boundary
46,21.75,-0.25,,1007.73,0,62120.8,,0,0,,0,0,boundary
47,22.25,-0.25,,1008.02,0,64474.8,,0,0,,0,0,boundary
48,22.75,-0.25,,1008.34,0,67143.1,,0,0,,0,0,boundary
49,23.25,-0.25,,1008.73,0,70313.9,,0,0,,0,0,boundary
50,23.75,-0.25,,1009.16,0,73902.4,,0,0,,0,0,boundary
51,24.25,-0.25,,1009.47,0,76502.1,,0,0,,0,0,boundary
52,24.75,-0.25,,1009.58,0,77387.9,,0,0,,0,0,boundary
53,25.25,-0.25,,1009.69,0,78297.4,,0,0,,0,0,boundary
54,25.75,-0.25,,1010.01,0,80992.8,,0,0,,0,0,boundary
55,26.25,-0.25,,1010.42,0,84375.4,,0,0,,0,0,boundary
56,-1.25,-0.75,,1012.75,0,103991,,0,0,,0,0,boundary
57,-0.75,-0.75,,1012.6,0,102661,,0,0,,0,0,boundary
58,-0.25,-0.75,,1012.3,0,100187,,0,0,,0,0,boundary
59,0.25,-0.75,,1011.95,0,97249.3,,0,0,,0,0,boundary
60,0.75,-0.75,,1011.66,0,94768.8,,0,0,,0,0,boundary
61,1.25,-0.75,,1011.47,0,93201,,0,0,,0,0,boundary
62,1.75,-0.75,,1011.23,0,91124.2,,0,0,,0,0,boundary
63,2.25,-0.75,,1010.72,0,86844.3,,0,0,,0,0,boundary
64,2.75,-0.75,,1010.14,0,82049.2,,0,0,,0,0,boundary
65,3.25,-0.75,,1009.55,0,77109.9,,0,0,,0,0,boundary
66,3.75,-0.75,,1009.09,0,73318.6,,0,0,,0,0,boundary
67,4.25,-0.75,,1008.85,0,71295.7,,0,0,,0,0,boundary
68,4.75,-0.75,,1008.59,0,69210.3,,0,0,,0,0,boundary
69,5.25,-0.75,,1008.21,0,66062.8,,0,0,,0,0,boundary
70,5.75,-0.75,,1007.75,0,62245.9,,0,0,,0,0,boundary
71,6.25,-0.75,,1007.28,0,58360.9,,0,0,,0,0,boundary
72,6.75,-0.75,,1006.91,0,55350.8,,0,0,,0,0,boundary
73,7.25,-0.75,,1006.55,0,52434.4,,0,0,,0,0,boundary
74,7.75,-0.75,,1006.36,0,50875.1,,0,0,,0,0,boundary
75,8.25,-0.75,,1006.18,0,49418.4,,0,0,,0,0,boundary
76,8.75,-0.75,,1005.76,0,46020,,0,0,,0,0,boundary
77,9.25,-0.75,,1005.57,0,44437,,0,0,,0,0,boundary
78,9.75,-0.75,,1005.33,0,42537.9,,0,0,,0,0,boundary
79,10.25,-0.75,,1005.03,0,40100.2,,0,0,,0,0,boundary
80,10.75,-0.75,,1004.95,0,39409.3,,0,0,,0,0,boundary
81,11.25,-0.75,,1004.74,0,37720.7,,0,0,,0,0,boundary
82,11.75,-0.75,,1004.59,0,36485.5,,0,0,,0,0,boundary
83,12.25,-0.75,,1004.53,0,36062.9,,0,0,,0,0,boundary
84,12.75,-0.75,,1004.41,0,35109.1,,0,0,,0,0,boundary
85,13.25,-0.75,,1004.35,0,34579.7,,0,0,,0,0,boundary
86,13.75,-0.75,,1004.27,0,33947.2,,0,0,,0,0,boundary
87,14.25,-0.75,,1004.35,0,34583.2,,0,0,,0,0,boundary
88,14.75,-0.75,,1004.44,0,35342.2,,0,0,,0,0,boundary
89,15.25,-0.75,,1004.57,0,36362.2,,0,0,,0,0,boundary
90,15.75,-0.75,,1004.75,0,37842.4,,0,0,,0,0,boundary
91,16.25,-0.75,,1004.87,0,38777.3,,0,0,,0,0,boundary
92,16.75,-0.75,,1005.19,0,41361.7,,0,0,,0,0,boundary
93,17.25,-0.75,,1005.4,0,43068.6,,0,0,,0,0,boundary
94,17.75,-0.75,,1005.53,0,44113.6,,0,0,,0,0,boundary
95,18.25,-0.75,,1005.91,0,47189.7,,0,0,,0,0,boundary
96,18.75,-0.75,,1006.34,0,50714.6,,0,0,,0,0,boundary
97,19.25,-0.75,,1006.73,0,53921.6,,0,0,,0,0,boundary
98,19.75,-0.75,,1007.02,0,56298.6,,0,0,,0,0,boundary
99,20.25,-0.75,,1007.32,0,58708,,0,0,,0,0,boundary
100,20.75,-0.75,,1007.67,0,61635,,0,0,,0,0,boundary
101,21.25,-0.75,,1008.05,0,64721.2,,0,0,,0,0,boundary
102,21.75,-0.75,,1008.38,0,67411.8,,0,0,,0,0,boundary
103,22.25,-0.75,,1008.63,0,69533.9,,0,0,,0,0,boundary
104,22.75,-0.75,,1008.95,0,72119.7,,0,0,,0,0,boundary
105,23.25,-0.75,,1009.19,0,74123.7,,0,0,,0,0,boundary
106,23.75,-0.75,,1009.53,0,76965.2,,0,0,,0,0,boundary
107,24.25,-0.75,,1009.83,0,79450.3,,0,0,,0,0,boundary
108,24.75,-0.75,,1009.98,0,80740.8,,0,0,,0,0,boundary
109,25.25,-0.75,,1010.1,0,81706.2,,0,0,,0,0,boundary
110,25.75,-0.75,,1010.34,0,83736.1,,0,0,,0,0,boundary
111,26.25,-0.75,,1010.54,0,85376.5,,0,0,,0,0,boundary
112,-1.25,-1.25,,1014.06,0,115150,,0,0,,0,0,boundary
113,-0.75,-1.25,,1013.95,0,114177,,0,0,,0,0,boundary
114,-0.25,-1.25,,1013.83,0,113155,,0,0,,0,0,boundary
115,0.25,-1.25,,1013.56,0,110812,,0,0,,0,0,boundary
116,0.75,-1.25,,1013,0,106130,,0,0,,0,0,boundary
117,1.25,-1.25,,1012.68,0,103396,,0,0,,0,0,boundary
118,1.75,-1.25,,1012.54,0,102181,,0,0,,0,0,boundary
119,2.25,-1.25,,1012.11,0,98540.9,,0,0,,0,0,boundary
120,2.75,-1.25,,1011.54,0,93775.3,,0,0,,0,0,boundary
121,3.25,-1.25,,1011.01,0,89286.8,,0,0,,0,0,boundary
122,3.75,-1.25,,1010.53,0,85264.4,,0,0,,0,0,boundary
123,4.25,-1.25,,1010.13,0,81988.3,,0,0,,0,0,boundary
124,4.75,-1.25,,1009.76,0,78837.3,,0,0,,0,0,boundary
125,5.25,-1.25,,1009.29,0,74945.4,,0,0,,0,0,boundary
126,5.75,-1.25,,1008.67,0,69873.5,,0,0,,0,0,boundary
127,6.25,-1.25,,1008.21,0,66051.7,,0,0,,0,0,boundary
128,6.75,-1.25,,1007.84,0,63004.2,,0,0,,0,0,boundary
129,7.25,-1.25,,1007.46,0,59837,,0,0,,0,0,boundary
130,7.75,-1.25,,1007.12,0,57101.8,,0,0,,0,0,boundary
131,8.25,-1.25,,1006.78,0,54283.1,,0,0,,0,0,boundary
132,8.75,-1.25,,1006.43,0,51454.2,,0,0,,0,0,boundary
133,9.25,-1.25,,1006.22,0,49730.5,,0,0,,0,0,boundary
