h/dp :,2
L2norm Pressure,KE,dp,Nparticles
118404,1.95411e+06,0.5,480

t,6
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.08,0,40505.3,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.88,0,47001,,0,0,,0,0,boundary
2,-0.25,-0.25,,1006,0,47939.5,,0,0,,0,0,boundary
3,0.25,-0.25,,1006.72,0,53831,,0,0,,0,0,boundary
4,0.75,-0.25,,1006.89,0,55169.5,,0,0,,0,0,boundary
5,1.25,-0.25,,1006.79,0,54396.7,,0,0,,0,0,boundary
6,1.75,-0.25,,1006.76,0,54111.9,,0,0,,0,0,boundary
7,2.25,-0.25,,1007.45,0,59807,,0,0,,0,0,boundary
8,2.75,-0.25,,1008.76,0,70600,,0,0,,0,0,boundary
9,3.25,-0.25,,1009.77,0,78994.3,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.32,0,83540.9,,0,0,,0,0,boundary
11,4.25,-0.25,,1011.25,0,91320.2,,0,0,,0,0,boundary
12,4.75,-0.25,,1012.38,0,100883,,0,0,,0,0,boundary
13,5.25,-0.25,,1012.51,0,101960,,0,0,,0,0,boundary
14,5.75,-0.25,,1011.97,0,97410.4,,0,0,,0,0,boundary
15,6.25,-0.25,,1011.9,0,96754.2,,0,0,,0,0,boundary
16,6.75,-0.25,,1012.86,0,104863,,0,0,,0,0,boundary
17,7.25,-0.25,,1014.39,0,117923,,0,0,,0,0,boundary
18,7.75,-0.25,,1015.72,0,129340,,0,0,,0,0,boundary
19,8.25,-0.25,,1015.73,0,129435,,0,0,,0,0,boundary
20,8.75,-0.25,,1015.02,0,123337,,0,0,,0,0,boundary
21,9.25,-0.25,,1014.15,0,115876,,0,0,,0,0,boundary
22,9.75,-0.25,,1013.34,0,108992,,0,0,,0,0,boundary
23,10.25,-0.25,,1012.89,0,105181,,0,0,,0,0,boundary
24,10.75,-0.25,,1011.26,0,91417.8,,0,0,,0,0,boundary
25,11.25,-0.25,,1008.96,0,72262,,0,0,,0,0,boundary
26,11.75,-0.25,,1008.3,0,66798.9,,0,0,,0,0,boundary
27,12.25,-0.25,,1009.39,0,75798.6,,0,0,,0,0,boundary
