h/dp :,2
L2norm Pressure,KE,dp,Nparticles
212326,2.75348e+06,0.5,480

t,7.81
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1004.34,0,34483.7,,0,0,,0,0,boundary
1,-0.75,-0.25,,1004.44,0,35304,,0,0,,0,0,boundary
2,-0.25,-0.25,,1004.47,0,35557.9,,0,0,,0,0,boundary
3,0.25,-0.25,,1004.6,0,36602.1,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.08,0,40465.6,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.88,0,46967.1,,0,0,,0,0,boundary
6,1.75,-0.25,,1006.53,0,52276.7,,0,0,,0,0,boundary
7,2.25,-0.25,,1006.7,0,53664.8,,0,0,,0,0,boundary
8,2.75,-0.25,,1006.82,0,54621.6,,0,0,,0,0,boundary
9,3.25,-0.25,,1007.2,0,57762.1,,0,0,,0,0,boundary
10,3.75,-0.25,,1007.54,0,60555.1,,0,0,,0,0,boundary
11,4.25,-0.25,,1007.83,0,62919.1,,0,0,,0,0,boundary
12,4.75,-0.25,,1008.13,0,65418.2,,0,0,,0,0,boundary
13,5.25,-0.25,,1008.12,0,65336.8,,0,0,,0,0,boundary
14,5.75,-0.25,,1007.98,0,64135,,0,0,,0,0,boundary
15,6.25,-0.25,,1007.76,0,62342.8,,0,0,,0,0,boundary
16,6.75,-0.25,,1007.31,0,58637.5,,0,0,,0,0,boundary
17,7.25,-0.25,,1006.87,0,55056.5,,0,0,,0,0,boundary
18,7.75,-0.25,,1006.83,0,54750.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1007.01,0,56160.8,,0,0,,0,0,boundary
20,8.75,-0.25,,1006.8,0,54496.7,,0,0,,0,0,boundary
21,9.25,-0.25,,1006.4,0,51220.4,,0,0,,0,0,boundary
22,9.75,-0.25,,1006.5,0,52016,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.71,0,53746.9,,0,0,,0,0,boundary
24,10.75,-0.25,,1006.95,0,55700.1,,0,0,,0,0,boundary
25,11.25,-0.25,,1006.96,0,55757.3,,0,0,,0,0,boundary
26,11.75,-0.25,,1006.79,0,54375.3,,0,0,,0,0,boundary
27,12.25,-0.25,,1006.62,0,52979.9,,0,0,,0,0,boundary
28,12.75,-0.25,,1006.66,0,53345.1,,0,0,,0,0,boundary
29,13.25,-0.25,,1006.79,0,54406.7,,0,0,,0,0,boundary
30,13.75,-0.25,,1006.76,0,54138.4,,0,0,,0,0,boundary
31,14.25,-0.25,,1006.64,0,53128.3,,0,0,,0,0,boundary
32,14.75,-0.25,,1006.58,0,52686.7,,0,0,,0,0,boundary
33,15.25,-0.25,,1006.54,0,52340.7,,0,0,,0,0,boundary
34,15.75,-0.25,,1006.42,0,51329.5,,0,0,,0,0,boundary
35,16.25,-0.25,,1006.3,0,50415.1,,0,0,,0,0,boundary
36,16.75,-0.25,,1006.22,0,49723.4,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.12,0,48931.2,,0,0,,0,0,boundary
38,17.75,-0.25,,1006.02,0,48095.6,,0,0,,0,0,boundary
39,18.25,-0.25,,1005.88,0,46948.1,,0,0,,0,0,boundary
40,18.75,-0.25,,1005.69,0,45426.8,,0,0,,0,0,boundary
41,19.25,-0.25,,1005.52,0,44037.9,,0,0,,0,0,boundary
42,19.75,-0.25,,1005.38,0,42948.8,,0,0,,0,0,boundary
43,20.25,-0.25,,1005.27,0,42033.3,,0,0,,0,0,boundary
44,20.75,-0.25,,1005.18,0,41291.2,,0,0,,0,0,boundary
45,21.25,-0.25,,1005.09,0,40572.6,,0,0,,0,0,boundary
46,21.75,-0.25,,1005,0,39796,,0,0,,0,0,boundary
47,22.25,-0.25,,1004.91,0,39096.3,,0,0,,0,0,boundary
48,22.75,-0.25,,1004.88,0,38859.3,,0,0,,0,0,boundary
49,23.25,-0.25,,1004.9,0,39051.1,,0,0,,0,0,boundary
50,23.75,-0.25,,1004.91,0,39140.5,,0,0,,0,0,boundary
51,24.25,-0.25,,1004.93,0,39291.1,,0,0,,0,0,boundary
52,24.75,-0.25,,1004.97,0,39581.8,,0,0,,0,0,boundary
53,25.25,-0.25,,1004.97,0,39593.5,,0,0,,0,0,boundary
54,25.75,-0.25,,1004.85,0,38600.2,,0,0,,0,0,boundary
55,26.25,-0.25,,1004.73,0,37624.7,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.54,0,44173.2,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.68,0,45361.7,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.69,0,45408.9,,0,0,,0,0,boundary
59,0.25,-0.75,,1005.73,0,45766.8,,0,0,,0,0,boundary
