dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
149.854,0.5,0.5,50,20

t,1
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-0.5,-0.5,,1010.3,-193.049,93771.7,,0,0,,0,0
-0.5,0,,1018.6,-250.588,173644,,0,0,,0,0
-0.5,0.5,,1025.89,-232.989,247090,,0,0,,0,0
-0.5,1,,1014.5,-218.497,133680,,0,0,,0,0
-0.5,1.5,,1010.81,-252.636,98546.3,,0,0,,0,0
-0.5,2,,1019.81,-290.297,185695,,0,0,,0,0
-0.5,2.5,,1013.7,-311.187,126022,,0,0,,0,0
-0.5,3,,1009.65,-293.089,87688.1,,0,0,,0,0
-0.5,3.5,,1016.58,-230.758,153843,,0,0,,0,0
-0.5,4,,1008.21,-200.673,74275.5,,0,0,,0,0
-0.5,4.5,,1000.19,-310.46,1713.59,,0,0,,0,0
-0.5,5,,1013.45,-344.518,123672,,0,0,,0,0
-0.5,5.5,,1019.24,-83.0252,180020,,0,0,,0,0
-0.5,6,,1000.75,80.6416,6626.01,,0,0,,0,0
-0.5,6.5,,994.697,-140.042,-46080.3,,0,0,,0,0
-0.5,7,,1010.68,-225.353,97393.4,,0,0,,0,0
-0.5,7.5,,1012.02,22.5013,110058,,0,0,,0,0
-0.5,8,,996.97,118.627,-26512.2,,0,0,,0,0
-0.5,8.5,,996.365,-60.0104,-31745.3,,0,0,,0,0
-0.5,9,,1000.85,-145.964,7518.05,,0,0,,0,0
0,-0.5,,1021.76,-279.269,205092,,0,0,,0,0
0.0060626,-0.106274,,995.885,70.9125,-35885.9,,0.627936,0.46434,,0.035067,3.51906
-0.0914535,0.614914,,1002.26,122.112,20098,,0.827454,0.120732,,-4.74178,14.9483
-0.0551231,0.80327,,1003.02,89.3872,26944.1,,0.783363,0.400165,,-2.4941,20.5776
-0.0507898,1.77231,,1003.6,-21.8502,32093,,0.411958,1.05433,,1.15702,6.46615
