dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
16.8879,0.5,0.5,50,20

t,1
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
0.000597067,-4.91725,,1000.04,25.3925,136.069,,0.0318483,-9.79675,,0.164954,0.552597
0.00304748,-4.41647,,999.931,35.3002,-975.208,,0.0395468,-9.82239,,1.07906,0.843744
0.00462195,-3.91728,,999.756,13.5694,-2401.71,,0.0191188,-9.83982,,2.24136,-0.0337958
0.00599725,-3.41759,,999.857,-22.848,-1115.92,,-0.0154461,-9.83157,,1.21153,-0.96499
0.00729318,-2.9179,,1000.08,-17.6107,893.741,,-0.00772103,-9.81746,,-0.541969,-0.938679
0.00790935,-2.41865,,1000.05,-8.9471,586.585,,-0.00529334,-9.81305,,-0.658534,-0.449565
0.00851182,-1.91886,,1000.04,-1.53813,415.433,,-0.00295306,-9.81285,,-0.681373,-0.202204
0.00916633,-1.41922,,1000.17,9.35442,1499.86,,0.0066514,-9.81241,,-1.37802,0.129322
0.00943489,-0.919421,,1000.12,17.3208,928.506,,0.0126082,-9.81406,,-0.772133,0.580396
0.00948695,-0.419634,,999.998,22.6951,-231.866,,0.0173937,-9.82151,,0.326271,0.568118
0.0095786,0.0802127,,999.998,16.0149,-165.487,,0.013494,-9.83327,,0.46983,0.0374658
0.00943372,0.580131,,999.976,-11.4067,-117.777,,-0.010019,-9.83843,,0.309825,-0.679241
0.00921384,1.07997,,1000.04,-36.2307,670.115,,-0.0307051,-9.82904,,-0.681308,-1.10062
0.00905778,1.5798,,1000.22,-34.5056,2404.85,,-0.0276057,-9.81099,,-2.35122,-0.554977
0.00861142,2.07929,,1000.23,-11.3854,2271.91,,-0.0100133,-9.79762,,-2.34338,0.821555
0.00776351,2.57913,,1000.04,23.0752,201.521,,0.0191111,-9.79974,,-0.366188,1.94188
0.00695139,3.07852,,999.859,43.419,-1719.14,,0.0427942,-9.8202,,1.99147,2.05675
0.00578775,3.57864,,999.74,15.4976,-2564.75,,0.0200719,-9.84005,,3.58677,1.10865
0.00510563,4.07889,,999.611,-10.4058,-3523.1,,0.000801374,-9.83892,,4.48511,-1.07107
0.00550279,4.57573,,999.842,-24.3088,-1241.87,,-0.0160558,-9.81227,,2.3862,-2.16987
0.497915,-4.91874,,999.927,55.8678,-1201.98,,0.020391,-9.76867,,-0.313524,1.39374
0.499888,-4.41489,,999.923,48.0767,-1160.86,,0.022692,-9.82069,,-0.3138,1.07414
0.503306,-3.91683,,999.835,23.0118,-1751.16,,0.0137231,-9.85021,,0.0214758,0.0800919
0.50395,-3.41795,,999.864,-15.2214,-1123.41,,-0.00229048,-9.8426,,0.138046,-0.981486
0.505228,-2.91748,,999.978,-27.7896,51.8221,,-0.00924413,-9.82213,,-0.0156073,-1.09843
0.505555,-2.41856,,1000.05,-19.1955,626.205,,-0.00927713,-9.81299,,-0.1714,-0.596542
0.506212,-1.91852,,1000.07,-7.95107,697.718,,-0.00824906,-9.81165,,-0.181201,-0.178833
0.506531,-1.41905,,1000.08,1.9619,773.305,,-0.00738896,-9.81022,,-0.0857621,0.281969
0.506843,-0.91926,,1000.06,13.0226,442.646,,-0.00341762,-9.81179,,0.120816,0.773878
0.506956,-0.419561,,999.988,19.0285,-288.927,,-0.000335175,-9.82136,,0.433258,0.772879
0.506993,0.0802305,,999.924,9.00228,-791.226,,-0.00117325,-9.83637,,0.699203,0.111416
0.506877,0.580093,,999.912,-17.2987,-658.525,,-0.00688381,-9.84311,,0.689172,-0.87134
0.506737,1.07984,,999.998,-42.3095,373.808,,-0.0133958,-9.83122,,0.271493,-1.46873
0.506396,1.57976,,1000.13,-43.6119,1629.72,,-0.0137785,-9.80746,,-0.356462,-0.883307
0.506221,2.07894,,1000.18,-15.4884,1821.26,,-0.0054996,-9.78879,,-0.772577,0.784886
0.505311,2.57938,,1000.1,23.772,682.861,,0.00599237,-9.79139,,-0.643642,2.3885
0.504959,3.07771,,999.873,40.8911,-1567.81,,0.014365,-9.81914,,0.196335,2.87282
0.502696,3.57819,,999.62,18.1477,-3709.61,,0.00594219,-9.84507,,1.34866,1.75311
0.503881,4.07902,,999.54,-10.6668,-4180.96,,-0.0020229,-9.84134,,1.86488,-1.33928
0.504164,4.57407,,999.572,-29.2709,-3711.15,,-0.00413261,-9.81123,,1.58701,-4.47247
0.998388,-4.91806,,1000.2,64.8164,1262.61,,-0.00436867,-9.76447,,-1.16203,-0.596712
1.00049,-4.41472,,1000.02,53.4746,-327.55,,-0.000443229,-9.82046,,-1.41499,0.870646
1.00527,-3.91685,,999.941,27.2449,-807.125,,0.00500253,-9.8546,,-1.2009,0.398841
1.00086,-3.41901,,999.883,-14.3965,-952.155,,-7.89948e-05,-9.84958,,-0.623986,-0.51245
1.00558,-2.91691,,1000,-31.7296,308.032,,0.000737649,-9.82719,,-0.109321,-0.815987
1.00307,-2.41917,,1000.03,-25.8823,486.824,,-0.00427363,-9.816,,0.173103,-0.505185
1.00553,-1.91801,,1000.07,-15.2079,768.969,,-0.00381939,-9.81367,,0.258114,-0.103681
1.00462,-1.41938,,1000.06,-5.41481,630.418,,-0.00865373,-9.81127,,0.284268,0.360026
1.00543,-0.919076,,1000.03,5.63416,252.546,,-0.00626091,-9.8119,,0.276754,0.797659
1.00533,-0.419705,,999.976,11.9734,-333.275,,-0.00915815,-9.82027,,0.257513,0.825339
1.00549,0.0800512,,999.9,3.5518,-965.925,,-0.00163884,-9.83388,,0.347239,0.213579
1.00512,0.580094,,999.893,-20.5629,-809.759,,-0.000253818,-9.84046,,0.503437,-0.796573
1.00571,1.07924,,999.969,-43.6032,120.53,,0.00836249,-9.82999,,0.640322,-1.51484
1.00393,1.58009,,1000.09,-45.0245,1279.38,,0.0044764,-9.80755,,0.521096,-1.18901
1.0062,2.07797,,1000.21,-17.5835,2105.25,,0.00554657,-9.78983,,0.0251733,0.272655
1.00183,2.58016,,1000.12,20.9267,957.098,,-0.00375276,-9.79107,,-0.675797,1.9882
