dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
45.7845,0.5,0.5,50,50

t,0.1
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-1.5,-1.5,,1000,0,0,,0,0,,0,0
-1.5,-1,,1000.18,4.19754,4122.1,,0,0,,0,0
-1.5,-0.5,,1000.71,14.102,16063.8,,0,0,,0,0
-1.5,0,,1001.01,17.7905,22900.6,,0,0,,0,0
-1.5,0.5,,1000.94,15.4981,21344,,0,0,,0,0
-1.5,1,,1000.82,13.9499,18621.6,,0,0,,0,0
-1.5,1.5,,1000.74,13.3673,16818.5,,0,0,,0,0
-1.5,2,,1000.7,13.5426,15928.8,,0,0,,0,0
-1.5,2.5,,1000.68,13.5834,15302.9,,0,0,,0,0
-1.5,3,,1000.63,13.1783,14149.4,,0,0,,0,0
-1.5,3.5,,1000.58,13.2974,13060,,0,0,,0,0
-1.5,4,,1000.54,13.536,12119.6,,0,0,,0,0
-1.5,4.5,,1000.49,13.5448,11040.3,,0,0,,0,0
-1.5,5,,1000.44,13.6357,9923.74,,0,0,,0,0
-1.5,5.5,,1000.39,13.6736,8869.36,,0,0,,0,0
-1.5,6,,1000.35,13.3767,7801.8,,0,0,,0,0
-1.5,6.5,,1000.3,12.8426,6727.63,,0,0,,0,0
-1.5,7,,1000.25,12.161,5719.01,,0,0,,0,0
-1.5,7.5,,1000.21,11.2538,4791.24,,0,0,,0,0
-1.5,8,,1000.17,10.1329,3937.95,,0,0,,0,0
-1.5,8.5,,1000.14,8.91828,3175.93,,0,0,,0,0
-1.5,9,,1000.11,7.6885,2520.28,,0,0,,0,0
-1.5,9.5,,1000.09,6.47611,1968.03,,0,0,,0,0
-1.5,10,,1000.07,5.32586,1510.59,,0,0,,0,0
-1.5,10.5,,1000.05,4.28588,1140.66,,0,0,,0,0
-1.5,11,,1000.04,3.37986,848.957,,0,0,,0,0
-1.5,11.5,,1000.03,2.61069,623.436,,0,0,,0,0
-1.5,12,,1000.02,1.9739,451.905,,0,0,,0,0
-1.5,12.5,,1000.01,1.46031,323.463,,0,0,,0,0
-1.5,13,,1000.01,1.05479,228.372,,0,0,,0,0
-1.5,13.5,,1000.01,0.739,158.133,,0,0,,0,0
-1.5,14,,1000,0.496182,105.912,,0,0,,0,0
-1.5,14.5,,1000,0.31246,66.1752,,0,0,,0,0
-1.5,15,,1000,0.173509,33.9021,,0,0,,0,0
-1.5,15.5,,1000,0.0662564,5.67616,,0,0,,0,0
-1.5,16,,999.999,-0.0118783,-18.9825,,0,0,,0,0
-1.5,16.5,,999.998,-0.0596077,-41.7467,,0,0,,0,0
-1.5,17,,999.997,-0.0915217,-67.9901,,0,0,,0,0
-1.5,17.5,,999.996,-0.116696,-95.388,,0,0,,0,0
-1.5,18,,999.995,-0.11343,-115.12,,0,0,,0,0
-1.5,18.5,,999.994,-0.0953963,-138.848,,0,0,,0,0
-1.5,19,,999.993,-0.088395,-162.897,,0,0,,0,0
-1.5,19.5,,999.994,0.0479327,-125.269,,0,0,,0,0
-1.5,20,,999.994,0.311451,-125.479,,0,0,,0,0
-1.5,20.5,,999.977,-0.0129829,-509.574,,0,0,,0,0
-1.5,21,,999.963,-1.06698,-827.864,,0,0,,0,0
