dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
27.4485,0.5,0.5,50,50

t,0.04
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-1.5,-1.5,,1000.04,2.01819,821.484,,0,0,,0,0
-1.5,-1,,1000.11,6.27868,2480.07,,0,0,,0,0
-1.5,-0.5,,1000.21,12.3175,4643.38,,0,0,,0,0
-1.5,0,,1000.25,16.2335,5675.88,,0,0,,0,0
-1.5,0.5,,1000.22,16.2021,5074.9,,0,0,,0,0
-1.5,1,,1000.18,14.2013,3955.12,,0,0,,0,0
-1.5,1.5,,1000.13,11.7989,3018.29,,0,0,,0,0
-1.5,2,,1000.1,9.26985,2222.54,,0,0,,0,0
-1.5,2.5,,1000.07,6.95961,1544.77,,0,0,,0,0
-1.5,3,,1000.05,5.15731,1042.39,,0,0,,0,0
-1.5,3.5,,1000.03,3.80723,703.483,,0,0,,0,0
-1.5,4,,1000.02,2.74947,472.84,,0,0,,0,0
-1.5,4.5,,1000.01,1.91388,310.161,,0,0,,0,0
-1.5,5,,1000.01,1.28891,197.016,,0,0,,0,0
-1.5,5.5,,1000.01,0.850658,122.211,,0,0,,0,0
-1.5,6,,1000,0.554134,74.8539,,0,0,,0,0
-1.5,6.5,,1000,0.355378,45.3893,,0,0,,0,0
-1.5,7,,1000,0.223181,27.1223,,0,0,,0,0
-1.5,7.5,,1000,0.137077,15.9052,,0,0,,0,0
-1.5,8,,1000,0.0826096,9.15849,,0,0,,0,0
-1.5,8.5,,1000,0.0490429,5.19676,,0,0,,0,0
-1.5,9,,1000,0.0287278,2.91409,,0,0,,0,0
-1.5,9.5,,1000,0.0165925,1.61546,,0,0,,0,0
-1.5,10,,1000,0.0094406,0.884445,,0,0,,0,0
-1.5,10.5,,1000,0.0052941,0.478075,,0,0,,0,0
-1.5,11,,1000,0.00293351,0.255648,,0,0,,0,0
-1.5,11.5,,1000,0.00161519,0.136125,,0,0,,0,0
-1.5,12,,1000,0.000896474,0.0735779,,0,0,,0,0
-1.5,12.5,,1000,0.000522228,0.0427501,,0,0,,0,0
-1.5,13,,1000,0.000350872,0.0304606,,0,0,,0,0
-1.5,13.5,,1000,0.000308727,0.0307367,,0,0,,0,0
-1.5,14,,1000,0.000365017,0.0424783,,0,0,,0,0
-1.5,14.5,,1000,0.000520168,0.068618,,0,0,,0,0
-1.5,15,,1000,0.00079312,0.115096,,0,0,,0,0
-1.5,15.5,,1000,0.0011848,0.187793,,0,0,,0,0
-1.5,16,,1000,0.00161974,0.289985,,0,0,,0,0
-1.5,16.5,,1000,0.00195525,0.432198,,0,0,,0,0
-1.5,17,,1000,0.00216013,0.656889,,0,0,,0,0
-1.5,17.5,,1000,0.00230929,1.00489,,0,0,,0,0
-1.5,18,,1000,0.00119667,1.26386,,0,0,,0,0
-1.5,18.5,,1000,-0.00659861,0.640877,,0,0,,0,0
-1.5,19,,1000,-0.028759,-1.28526,,0,0,,0,0
-1.5,19.5,,1000,-0.0540729,0.128714,,0,0,,0,0
-1.5,20,,1000,-0.0121536,21.9433,,0,0,,0,0
-1.5,20.5,,1000,0.226955,89.8454,,0,0,,0,0
-1.5,21,,1000.01,0.706551,196.325,,0,0,,0,0
-1.5,21.5,,1000.01,1.10401,208.115,,0,0,,0,0
-1.5,22,,999.991,0.633584,-202.234,,0,0,,0,0
-1.5,22.5,,999.943,-1.28425,-1279.26,,0,0,,0,0
-1.5,23,,999.892,-3.60062,-2439.61,,0,0,,0,0
-1,-1.5,,1000.13,6.73673,2924.59,,0,0,,0,0
-1,-1,,1000.38,20.2445,8617.9,,0,0,,0,0
-1,-0.5,,1000.69,37.8634,15555.5,,0,0,,0,0
-1,0,,1000.8,47.0943,18027.7,,0,0,,0,0
-1,0.5,,1000.67,44.9791,15178.6,,0,0,,0,0
-1,1,,1000.51,39.608,11520.8,,0,0,,0,0
-1,1.5,,1000.4,34.1114,9001.01,,0,0,,0,0
-1,2,,1000.3,27.4246,6821.53,,0,0,,0,0
-1,2.5,,1000.21,20.6765,4784.92,,0,0,,0,0
-1,3,,1000.14,15.3824,3225.76,,0,0,,0,0
-1,3.5,,1000.1,11.5136,2186.55,,0,0,,0,0
-1,4,,1000.07,8.45781,1487.19,,0,0,,0,0
-1,4.5,,1000.04,5.95888,987.111,,0,0,,0,0
-1,5,,1000.03,4.03833,631.456,,0,0,,0,0
-1,5.5,,1000.02,2.67764,393.103,,0,0,,0,0
-1,6,,1000.01,1.75555,241.664,,0,0,,0,0
-1,6.5,,1000.01,1.13503,147.349,,0,0,,0,0
-1,7,,1000,0.718329,88.6103,,0,0,,0,0
-1,7.5,,1000,0.443877,52.2538,,0,0,,0,0
-1,8,,1000,0.268762,30.2171,,0,0,,0,0
-1,8.5,,1000,0.160252,17.2061,,0,0,,0,0
-1,9,,1000,0.0943058,9.68253,,0,0,,0,0
-1,9.5,,1000,0.0547303,5.38823,,0,0,,0,0
-1,10,,1000,0.031281,2.96142,,0,0,,0,0
-1,10.5,,1000,0.0176121,1.60646,,0,0,,0,0
-1,11,,1000,0.00979367,0.861735,,0,0,,0,0
