h/dp :,2
L2normdrhodt,dp,Nparticles
110.778,0.5,1070

t,0.67
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
0.25,-0.25,,995.32,779.37,-21073,,0,0,,0,0
0.75,-0.25,,1000.66,521.305,548.274,,0,0,,0,0
1.25,-0.25,,1016.24,238.539,65886.9,,0,0,,0,0
1.75,-0.25,,996.915,64.2085,-12242,,0,0,,0,0
2.25,-0.25,,991.189,265.952,-34663.6,,0,0,,0,0
2.75,-0.25,,1010.61,300.353,41720.9,,0,0,,0,0
3.25,-0.25,,1013.55,125.755,54837.8,,0,0,,0,0
3.75,-0.25,,1008.26,61.2034,32989.4,,0,0,,0,0
4.25,-0.25,,1010.09,62.5782,40567,,0,0,,0,0
4.75,-0.25,,1010.73,34.4186,43340.8,,0,0,,0,0
5.25,-0.25,,1010.98,25.1631,44415.1,,0,0,,0,0
5.75,-0.25,,1012.38,38.9294,50262.7,,0,0,,0,0
6.25,-0.25,,1014.54,30.6474,59456.4,,0,0,,0,0
6.75,-0.25,,1015.89,-0.637937,65424,,0,0,,0,0
7.25,-0.25,,1015.9,-9.31177,65494.8,,0,0,,0,0
7.75,-0.25,,1016.79,2.71069,69306.5,,0,0,,0,0
8.25,-0.25,,1018.62,5.62869,77258.4,,0,0,,0,0
8.75,-0.25,,1020.07,1.31554,83633.3,,0,0,,0,0
9.25,-0.25,,1020.47,-8.00449,85447.3,,0,0,,0,0
9.75,-0.25,,1020.29,-8.56591,84666.5,,0,0,,0,0
10.25,-0.25,,1021.53,13.0032,90089.5,,0,0,,0,0
10.75,-0.25,,1022.98,25.5364,96497.2,,0,0,,0,0
11.25,-0.25,,1022.16,17.5386,92866,,0,0,,0,0
11.75,-0.25,,1021.92,21.6905,91789.7,,0,0,,0,0
12.25,-0.25,,1023.68,37.8144,99606.1,,0,0,,0,0
12.75,-0.25,,1023.52,36.6942,98881.8,,0,0,,0,0
13.25,-0.25,,1021.88,22.1717,91622.5,,0,0,,0,0
13.75,-0.25,,1022.48,21.4349,94300.8,,0,0,,0,0
14.25,-0.25,,1023.17,27.2196,97346.7,,0,0,,0,0
14.75,-0.25,,1021.61,11.7614,90435.7,,0,0,,0,0
15.25,-0.25,,1020.66,-7.78736,86315,,0,0,,0,0
15.75,-0.25,,1020.98,-6.76039,87728.8,,0,0,,0,0
16.25,-0.25,,1020.45,-1.29378,85329.4,,0,0,,0,0
16.75,-0.25,,1018.98,-0.107893,78836.8,,0,0,,0,0
17.25,-0.25,,1017.3,-5.44549,71524.9,,0,0,,0,0
17.75,-0.25,,1016.55,-19.7179,68324.3,,0,0,,0,0
