h/dp :,2
L2normdrhodt,dp,Nparticles
136.063,0.5,1070

t,1
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
0.25,-0.25,,1098.2,-428.975,522326,,0,0,,0,0
0.75,-0.25,,1020.2,-303.2,85559.2,,0,0,,0,0
1.25,-0.25,,1013.37,-227.728,55604.7,,0,0,,0,0
1.75,-0.25,,1026.46,-64.5741,112750,,0,0,,0,0
2.25,-0.25,,1022.72,-178.355,96273.8,,0,0,,0,0
2.75,-0.25,,1029.12,-167.459,125526,,0,0,,0,0
3.25,-0.25,,1026.49,-214.852,113549,,0,0,,0,0
3.75,-0.25,,1023.21,-199.82,98555.4,,0,0,,0,0
4.25,-0.25,,1025.18,-102.474,107059,,0,0,,0,0
4.75,-0.25,,1029.12,-35.9352,124929,,0,0,,0,0
5.25,-0.25,,1030.99,6.9341,133465,,0,0,,0,0
5.75,-0.25,,1033.55,-53.0073,145936,,0,0,,0,0
6.25,-0.25,,1031.7,-163.884,137649,,0,0,,0,0
6.75,-0.25,,1029.1,-86.1997,125070,,0,0,,0,0
7.25,-0.25,,1032.1,34.6685,138588,,0,0,,0,0
7.75,-0.25,,1034.99,16.2554,152509,,0,0,,0,0
8.25,-0.25,,1034.94,-7.44368,152372,,0,0,,0,0
8.75,-0.25,,1034.48,6.35647,150088,,0,0,,0,0
9.25,-0.25,,1035.02,-11.2669,152771,,0,0,,0,0
9.75,-0.25,,1035.47,-25.4698,155006,,0,0,,0,0
10.25,-0.25,,1034.94,-9.41604,152370,,0,0,,0,0
10.75,-0.25,,1035.13,11.8919,153196,,0,0,,0,0
11.25,-0.25,,1035.82,30.4968,156463,,0,0,,0,0
11.75,-0.25,,1035.78,16.053,156318,,0,0,,0,0
12.25,-0.25,,1035.74,-27.9368,156353,,0,0,,0,0
12.75,-0.25,,1035.79,-21.9689,156560,,0,0,,0,0
13.25,-0.25,,1035.93,24.9335,157013,,0,0,,0,0
13.75,-0.25,,1036,33.3201,157307,,0,0,,0,0
14.25,-0.25,,1035.41,12.4948,154534,,0,0,,0,0
14.75,-0.25,,1035.47,-5.70386,154936,,0,0,,0,0
15.25,-0.25,,1036.02,-14.6067,157630,,0,0,,0,0
15.75,-0.25,,1035.54,4.84767,155236,,0,0,,0,0
16.25,-0.25,,1035.21,17.6235,153555,,0,0,,0,0
16.75,-0.25,,1035.62,-2.75933,155627,,0,0,,0,0
17.25,-0.25,,1035.41,18.8395,154498,,0,0,,0,0
17.75,-0.25,,1032.56,31.7138,140800,,0,0,,0,0
18.25,-0.25,,1029.88,-88.9186,128737,,0,0,,0,0
18.75,-0.25,,1032.6,-152.315,141838,,0,0,,0,0
19.25,-0.25,,1034.05,-36.6791,148249,,0,0,,0,0
19.75,-0.25,,1031.09,10.9256,133924,,0,0,,0,0
20.25,-0.25,,1029.37,-30.6853,126051,,0,0,,0,0
20.75,-0.25,,1025.63,-82.5763,109031,,0,0,,0,0
21.25,-0.25,,1024.02,-174.723,102105,,0,0,,0,0
21.75,-0.25,,1027.75,-180.809,119229,,0,0,,0,0
22.25,-0.25,,1029.14,-120.59,125381,,0,0,,0,0
22.75,-0.25,,1021.99,-120.561,92753.2,,0,0,,0,0
23.25,-0.25,,1027.35,-27.3431,116662,,0,0,,0,0
23.75,-0.25,,1015.08,-194.552,62768.2,,0,0,,0,0
24.25,-0.25,,1020.28,-243.279,85682.8,,0,0,,0,0
24.75,-0.25,,1095.05,-374.763,500413,,0,0,,0,0
0.25,-0.75,,1050.6,-317.836,233023,,0,0,,0,0
0.75,-0.75,,1016.84,-218.374,70447.5,,0,0,,0,0
1.25,-0.75,,1013.93,-145.468,57638.7,,0,0,,0,0
1.75,-0.75,,1027.06,-95.0857,115634,,0,0,,0,0
2.25,-0.75,,1029.43,-133.321,126832,,0,0,,0,0
2.75,-0.75,,1028.55,-150.482,122797,,0,0,,0,0
3.25,-0.75,,1021.47,-151.278,90537.4,,0,0,,0,0
3.75,-0.75,,1014.79,-132.723,61257.1,,0,0,,0,0
4.25,-0.75,,1015.31,-66.602,63208.6,,0,0,,0,0
4.75,-0.75,,1017.16,-24.2604,71002.8,,0,0,,0,0
5.25,-0.75,,1017.28,-19.3487,71526.8,,0,0,,0,0
5.75,-0.75,,1017.65,-47.4217,73226.6,,0,0,,0,0
6.25,-0.75,,1017.1,-76.2181,70957.8,,0,0,,0,0
6.75,-0.75,,1016.42,-42.1166,67869.5,,0,0,,0,0
7.25,-0.75,,1017.46,2.81207,72178.4,,0,0,,0,0
