dx/h :,0.5
dy/h :,0.5
L2normdrhodt,dx,dy,Ncol,Nrow
77.8521,0.5,0.5,50,20

t,0.568
x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt
-0.5,-0.5,,1004.77,130.036,42761,,0,0,,0,0
-0.5,0,,1006.33,169.572,56928.8,,0,0,,0,0
-0.5,0.5,,1005.24,168.403,46961.9,,0,0,,0,0
-0.5,1,,1002.47,193.686,21966.3,,0,0,,0,0
-0.5,1.5,,1001.87,199.154,16569.1,,0,0,,0,0
-0.5,2,,1003.46,177.827,30890.7,,0,0,,0,0
-0.5,2.5,,1001.76,203.226,15663,,0,0,,0,0
-0.5,3,,1000.61,220.819,5352.18,,0,0,,0,0
-0.5,3.5,,998.357,144.173,-14436.9,,0,0,,0,0
-0.5,4,,999.378,91.7799,-5483.95,,0,0,,0,0
-0.5,4.5,,1003.74,173.689,33371.3,,0,0,,0,0
-0.5,5,,998.557,217.25,-12688.7,,0,0,,0,0
-0.5,5.5,,992.52,87.3853,-64580,,0,0,,0,0
-0.5,6,,1001.78,32.6145,15757,,0,0,,0,0
-0.5,6.5,,1003.27,114.201,29150.7,,0,0,,0,0
-0.5,7,,992.425,71.657,-65382.7,,0,0,,0,0
-0.5,7.5,,999.761,18.8989,-2112.9,,0,0,,0,0
-0.5,8,,1004.64,103.756,41561.4,,0,0,,0,0
-0.5,8.5,,993,108.047,-60518.7,,0,0,,0,0
-0.5,9,,990.267,-95.3449,-83462.6,,0,0,,0,0
0,-0.5,,1007.83,195.841,70821.8,,0,0,,0,0
-0.0184009,-0.015394,,999.104,20.7005,-7893,,-0.281159,-0.330456,,6.09909,9.0753
-0.0125151,0.534084,,1004.17,-8.56333,37243.2,,-0.392949,-0.194723,,-0.831085,3.21277
0.000740871,1.00066,,1005.36,21.6832,48136.2,,-0.438828,-0.0140245,,-6.66445,5.08533
-0.00436474,1.60926,,1002.67,48.0307,23798.8,,-0.341936,-0.122641,,-0.35803,6.3005
-0.00635587,2.04341,,1003.02,17.1067,26903.2,,-0.317029,-0.17725,,1.01546,3.86419
0.00548556,2.58882,,1004.38,8.13632,39175,,-0.505724,0.10197,,-4.93433,4.28086
