h/dp :,2
L2norm Pressure,KE,dp,Nparticles
31083.7,1.34772e+06,0.25,1152

t,0.83
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-0.625,-0.125,,1007.66,0,92223.3,,0,0,,0,0,boundary
1,-0.375,-0.125,,1007.67,0,92408.3,,0,0,,0,0,boundary
2,-0.125,-0.125,,1007.7,0,92788.9,,0,0,,0,0,boundary
3,0.125,-0.125,,1007.72,0,92985,,0,0,,0,0,boundary
4,0.375,-0.125,,1007.72,0,93072.4,,0,0,,0,0,boundary
5,0.625,-0.125,,1007.74,0,93210.6,,0,0,,0,0,boundary
6,0.875,-0.125,,1007.74,0,93315.4,,0,0,,0,0,boundary
7,1.125,-0.125,,1007.73,0,93192.7,,0,0,,0,0,boundary
8,1.375,-0.125,,1007.71,0,92928.2,,0,0,,0,0,boundary
9,1.625,-0.125,,1007.69,0,92587.6,,0,0,,0,0,boundary
10,1.875,-0.125,,1007.65,0,92183.2,,0,0,,0,0,boundary
11,2.125,-0.125,,1007.61,0,91695.7,,0,0,,0,0,boundary
12,2.375,-0.125,,1007.57,0,91164,,0,0,,0,0,boundary
13,2.625,-0.125,,1007.52,0,90574.6,,0,0,,0,0,boundary
14,2.875,-0.125,,1007.47,0,89930.2,,0,0,,0,0,boundary
15,3.125,-0.125,,1007.41,0,89243.5,,0,0,,0,0,boundary
16,3.375,-0.125,,1007.35,0,88428.1,,0,0,,0,0,boundary
17,3.625,-0.125,,1007.27,0,87513.2,,0,0,,0,0,boundary
18,3.875,-0.125,,1007.19,0,86513.3,,0,0,,0,0,boundary
19,4.125,-0.125,,1007.09,0,85315.4,,0,0,,0,0,boundary
20,4.375,-0.125,,1006.98,0,83884.3,,0,0,,0,0,boundary
21,4.625,-0.125,,1006.85,0,82288.3,,0,0,,0,0,boundary
22,4.875,-0.125,,1006.7,0,80470,,0,0,,0,0,boundary
23,5.125,-0.125,,1006.53,0,78374.3,,0,0,,0,0,boundary
24,5.375,-0.125,,1006.34,0,76041,,0,0,,0,0,boundary
25,5.625,-0.125,,1006.13,0,73475,,0,0,,0,0,boundary
26,5.875,-0.125,,1005.9,0,70732.2,,0,0,,0,0,boundary
27,6.125,-0.125,,1005.66,0,67791.9,,0,0,,0,0,boundary
28,6.375,-0.125,,1005.42,0,64836.3,,0,0,,0,0,boundary
29,6.625,-0.125,,1005.17,0,61774.4,,0,0,,0,0,boundary
30,6.875,-0.125,,1004.93,0,58946,,0,0,,0,0,boundary
31,7.125,-0.125,,1004.69,0,55966.2,,0,0,,0,0,boundary
32,7.375,-0.125,,1004.43,0,52790.2,,0,0,,0,0,boundary
33,7.625,-0.125,,1004.15,0,49494.4,,0,0,,0,0,boundary
34,7.875,-0.125,,1003.9,0,46434.9,,0,0,,0,0,boundary
35,8.125,-0.125,,1003.61,0,42928.6,,0,0,,0,0,boundary
36,8.375,-0.125,,1003.31,0,39331.2,,0,0,,0,0,boundary
37,8.625,-0.125,,1003.03,0,36035.2,,0,0,,0,0,boundary
38,8.875,-0.125,,1002.73,0,32437.7,,0,0,,0,0,boundary
39,9.125,-0.125,,1002.42,0,28737.7,,0,0,,0,0,boundary
40,9.375,-0.125,,1002.26,0,26785.5,,0,0,,0,0,boundary
41,9.625,-0.125,,1002.09,0,24726,,0,0,,0,0,boundary
42,9.875,-0.125,,1001.74,0,20640.5,,0,0,,0,0,boundary
43,10.125,-0.125,,1001.44,0,17063.8,,0,0,,0,0,boundary
44,10.375,-0.125,,1001.37,0,16222.5,,0,0,,0,0,boundary
45,10.625,-0.125,,1001.27,0,14994.5,,0,0,,0,0,boundary
46,10.875,-0.125,,1001.01,0,11972.8,,0,0,,0,0,boundary
47,11.125,-0.125,,1000.86,0,10161.1,,0,0,,0,0,boundary
48,11.375,-0.125,,1000.77,0,9030.11,,0,0,,0,0,boundary
49,11.625,-0.125,,1000.61,0,7191.51,,0,0,,0,0,boundary
50,11.875,-0.125,,1000.31,0,3702.68,,0,0,,0,0,boundary
51,12.125,-0.125,,1000.28,0,3332.43,,0,0,,0,0,boundary
52,12.375,-0.125,,1000.27,0,3173.54,,0,0,,0,0,boundary
53,12.625,-0.125,,1000.27,0,3177.63,,0,0,,0,0,boundary
54,12.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
55,13.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
56,13.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
57,13.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
58,13.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
59,14.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
60,14.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
61,14.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
62,14.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
63,15.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
64,15.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
65,15.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
66,15.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
67,16.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
68,16.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
69,16.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
70,16.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
71,17.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
72,17.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
73,17.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
74,17.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
75,18.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
76,18.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
77,18.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
78,18.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
79,19.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
80,19.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
81,19.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
82,19.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
83,20.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
84,20.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
85,20.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
86,20.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
87,21.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
88,21.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
89,21.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
90,21.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
91,22.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
92,22.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
93,22.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
94,22.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
95,23.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
96,23.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
97,23.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
98,23.875,-0.125,,1000,0,0,,0,0,,0,0,boundary
99,24.125,-0.125,,1000,0,0,,0,0,,0,0,boundary
100,24.375,-0.125,,1000,0,0,,0,0,,0,0,boundary
101,24.625,-0.125,,1000,0,0,,0,0,,0,0,boundary
102,-0.625,-0.375,,1007.86,0,94708.6,,0,0,,0,0,boundary
103,-0.375,-0.375,,1007.86,0,94766,,0,0,,0,0,boundary
104,-0.125,-0.375,,1007.88,0,95004.4,,0,0,,0,0,boundary
105,0.125,-0.375,,1007.9,0,95219.1,,0,0,,0,0,boundary
106,0.375,-0.375,,1007.92,0,95488.9,,0,0,,0,0,boundary
107,0.625,-0.375,,1007.94,0,95731.5,,0,0,,0,0,boundary
108,0.875,-0.375,,1007.95,0,95845.1,,0,0,,0,0,boundary
109,1.125,-0.375,,1007.95,0,95807.9,,0,0,,0,0,boundary
110,1.375,-0.375,,1007.94,0,95673.4,,0,0,,0,0,boundary
111,1.625,-0.375,,1007.92,0,95439.5,,0,0,,0,0,boundary
112,1.875,-0.375,,1007.89,0,95113.9,,0,0,,0,0,boundary
113,2.125,-0.375,,1007.86,0,94742,,0,0,,0,0,boundary
114,2.375,-0.375,,1007.82,0,94281.9,,0,0,,0,0,boundary
115,2.625,-0.375,,1007.78,0,93775.6,,0,0,,0,0,boundary
116,2.875,-0.375,,1007.73,0,93186.4,,0,0,,0,0,boundary
117,3.125,-0.375,,1007.68,0,92474.7,,0,0,,0,0,boundary
118,3.375,-0.375,,1007.61,0,91691.6,,0,0,,0,0,boundary
119,3.625,-0.375,,1007.54,0,90736.7,,0,0,,0,0,boundary
120,3.875,-0.375,,1007.45,0,89703.5,,0,0,,0,0,boundary
121,4.125,-0.375,,1007.35,0,88443.5,,0,0,,0,0,boundary
122,4.375,-0.375,,1007.23,0,86967.7,,0,0,,0,0,boundary
123,4.625,-0.375,,1007.09,0,85294.7,,0,0,,0,0,boundary
124,4.875,-0.375,,1006.94,0,83365.4,,0,0,,0,0,boundary
125,5.125,-0.375,,1006.76,0,81210,,0,0,,0,0,boundary
126,5.375,-0.375,,1006.57,0,78836.7,,0,0,,0,0,boundary
127,5.625,-0.375,,1006.36,0,76262.7,,0,0,,0,0,boundary
128,5.875,-0.375,,1006.13,0,73550.6,,0,0,,0,0,boundary
129,6.125,-0.375,,1005.9,0,70751,,0,0,,0,0,boundary
130,6.375,-0.375,,1005.68,0,68016.2,,0,0,,0,0,boundary
131,6.625,-0.375,,1005.45,0,65162.6,,0,0,,0,0,boundary
132,6.875,-0.375,,1005.22,0,62367.2,,0,0,,0,0,boundary
133,7.125,-0.375,,1004.98,0,59479.6,,0,0,,0,0,boundary
134,7.375,-0.375,,1004.7,0,56152.8,,0,0,,0,0,boundary
135,7.625,-0.375,,1004.44,0,52963.7,,0,0,,0,0,boundary
136,7.875,-0.375,,1004.19,0,49991.4,,0,0,,0,0,boundary
137,8.125,-0.375,,1003.9,0,46405.3,,0,0,,0,0,boundary
138,8.375,-0.375,,1003.6,0,42894,,0,0,,0,0,boundary
139,8.625,-0.375,,1003.37,0,40104.6,,0,0,,0,0,boundary
140,8.875,-0.375,,1003.12,0,37112.9,,0,0,,0,0,boundary
141,9.125,-0.375,,1002.78,0,32989.7,,0,0,,0,0,boundary
142,9.375,-0.375,,1002.52,0,29924.6,,0,0,,0,0,boundary
143,9.625,-0.375,,1002.36,0,28007.2,,0,0,,0,0,boundary
144,9.875,-0.375,,1002,0,23659,,0,0,,0,0,boundary
145,10.125,-0.375,,1001.58,0,18702.6,,0,0,,0,0,boundary
146,10.375,-0.375,,1001.48,0,17503.3,,0,0,,0,0,boundary
147,10.625,-0.375,,1001.33,0,15719.9,,0,0,,0,0,boundary
148,10.875,-0.375,,1000.97,0,11480.4,,0,0,,0,0,boundary
149,11.125,-0.375,,1000.81,0,9583.57,,0,0,,0,0,boundary
150,11.375,-0.375,,1000.79,0,9323.11,,0,0,,0,0,boundary
151,11.625,-0.375,,1000.75,0,8880.44,,0,0,,0,0,boundary
152,11.875,-0.375,,1000.31,0,3704.8,,0,0,,0,0,boundary
153,12.125,-0.375,,1000.29,0,3366.79,,0,0,,0,0,boundary
154,12.375,-0.375,,1000.27,0,3172.77,,0,0,,0,0,boundary
155,12.625,-0.375,,1000.27,0,3153.1,,0,0,,0,0,boundary
156,12.875,-0.375,,1000,0,0,,0,0,,0,0,boundary
157,13.125,-0.375,,1000,0,0,,0,0,,0,0,boundary
158,13.375,-0.375,,1000,0,0,,0,0,,0,0,boundary
159,13.625,-0.375,,1000,0,0,,0,0,,0,0,boundary
160,13.875,-0.375,,1000,0,0,,0,0,,0,0,boundary
161,14.125,-0.375,,1000,0,0,,0,0,,0,0,boundary
162,14.375,-0.375,,1000,0,0,,0,0,,0,0,boundary
163,14.625,-0.375,,1000,0,0,,0,0,,0,0,boundary
164,14.875,-0.375,,1000,0,0,,0,0,,0,0,boundary
