h/dp :,2
L2norm Pressure,KE,dp,Nparticles
29556.4,1.74572e+06,0.25,1152

t,1
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-0.625,-0.125,,1010.32,0,125262,,0,0,,0,0,boundary
1,-0.375,-0.125,,1010.22,0,124044,,0,0,,0,0,boundary
2,-0.125,-0.125,,1010.52,0,127842,,0,0,,0,0,boundary
3,0.125,-0.125,,1010.51,0,127734,,0,0,,0,0,boundary
4,0.375,-0.125,,1010.43,0,126633,,0,0,,0,0,boundary
5,0.625,-0.125,,1010.34,0,125604,,0,0,,0,0,boundary
6,0.875,-0.125,,1010.29,0,124943,,0,0,,0,0,boundary
7,1.125,-0.125,,1010.28,0,124807,,0,0,,0,0,boundary
8,1.375,-0.125,,1010.27,0,124628,,0,0,,0,0,boundary
9,1.625,-0.125,,1010.22,0,124048,,0,0,,0,0,boundary
10,1.875,-0.125,,1010.15,0,123224,,0,0,,0,0,boundary
11,2.125,-0.125,,1010.07,0,122131,,0,0,,0,0,boundary
12,2.375,-0.125,,1009.97,0,120895,,0,0,,0,0,boundary
13,2.625,-0.125,,1009.85,0,119492,,0,0,,0,0,boundary
14,2.875,-0.125,,1009.71,0,117727,,0,0,,0,0,boundary
15,3.125,-0.125,,1009.56,0,115780,,0,0,,0,0,boundary
16,3.375,-0.125,,1009.39,0,113759,,0,0,,0,0,boundary
17,3.625,-0.125,,1009.22,0,111641,,0,0,,0,0,boundary
18,3.875,-0.125,,1009.05,0,109441,,0,0,,0,0,boundary
19,4.125,-0.125,,1008.87,0,107242,,0,0,,0,0,boundary
20,4.375,-0.125,,1008.71,0,105225,,0,0,,0,0,boundary
21,4.625,-0.125,,1008.53,0,103009,,0,0,,0,0,boundary
22,4.875,-0.125,,1008.37,0,100997,,0,0,,0,0,boundary
23,5.125,-0.125,,1008.18,0,98717.6,,0,0,,0,0,boundary
24,5.375,-0.125,,1008.02,0,96718,,0,0,,0,0,boundary
25,5.625,-0.125,,1007.83,0,94405.8,,0,0,,0,0,boundary
26,5.875,-0.125,,1007.64,0,91999.3,,0,0,,0,0,boundary
27,6.125,-0.125,,1007.53,0,90709.6,,0,0,,0,0,boundary
28,6.375,-0.125,,1007.35,0,88512.3,,0,0,,0,0,boundary
29,6.625,-0.125,,1007.17,0,86214.3,,0,0,,0,0,boundary
30,6.875,-0.125,,1007.05,0,84763.7,,0,0,,0,0,boundary
31,7.125,-0.125,,1006.74,0,80963.6,,0,0,,0,0,boundary
32,7.375,-0.125,,1006.45,0,77452.7,,0,0,,0,0,boundary
33,7.625,-0.125,,1006.12,0,73367.2,,0,0,,0,0,boundary
34,7.875,-0.125,,1005.79,0,69363.4,,0,0,,0,0,boundary
35,8.125,-0.125,,1005.49,0,65698.8,,0,0,,0,0,boundary
36,8.375,-0.125,,1005.21,0,62242,,0,0,,0,0,boundary
37,8.625,-0.125,,1004.91,0,58686.5,,0,0,,0,0,boundary
38,8.875,-0.125,,1004.6,0,54930.2,,0,0,,0,0,boundary
39,9.125,-0.125,,1004.29,0,51215.6,,0,0,,0,0,boundary
40,9.375,-0.125,,1003.91,0,46513.3,,0,0,,0,0,boundary
41,9.625,-0.125,,1003.54,0,42102.5,,0,0,,0,0,boundary
42,9.875,-0.125,,1003.26,0,38709.1,,0,0,,0,0,boundary
43,10.125,-0.125,,1002.95,0,35050.4,,0,0,,0,0,boundary
44,10.375,-0.125,,1002.7,0,32093.4,,0,0,,0,0,boundary
45,10.625,-0.125,,1002.45,0,29017.4,,0,0,,0,0,boundary
46,10.875,-0.125,,1002.09,0,24809.4,,0,0,,0,0,boundary
47,11.125,-0.125,,1001.97,0,23314.3,,0,0,,0,0,boundary
48,11.375,-0.125,,1001.92,0,22737.5,,0,0,,0,0,boundary
49,11.625,-0.125,,1001.61,0,19035.8,,0,0,,0,0,boundary
50,11.875,-0.125,,1001.22,0,14407.3,,0,0,,0,0,boundary
51,12.125,-0.125,,1001.13,0,13296.9,,0,0,,0,0,boundary
52,12.375,-0.125,,1001.13,0,13378.6,,0,0,,0,0,boundary
53,12.625,-0.125,,1001,0,11814.5,,0,0,,0,0,boundary
54,12.875,-0.125,,1000.85,0,10000.6,,0,0,,0,0,boundary
55,13.125,-0.125,,1000.76,0,8970.15,,0,0,,0,0,boundary
56,13.375,-0.125,,1000.71,0,8373.35,,0,0,,0,0,boundary
57,13.625,-0.125,,1000.6,0,7118.21,,0,0,,0,0,boundary
58,13.875,-0.125,,1000.5,0,5930.08,,0,0,,0,0,boundary
59,14.125,-0.125,,1000.31,0,3605.19,,0,0,,0,0,boundary
60,14.375,-0.125,,1000.3,0,3562.54,,0,0,,0,0,boundary
61,14.625,-0.125,,1000.3,0,3568.2,,0,0,,0,0,boundary
62,14.875,-0.125,,1000.31,0,3666.46,,0,0,,0,0,boundary
