h/dp :,2
L2norm Pressure,KE,dp,Nparticles
126270,4.12437e+06,0.25,2048

t,3.10037
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-0.875,-0.125,,1002.26,0,35652.4,,0,0,,0,0,boundary
1,-0.625,-0.125,,1002.24,0,35349.8,,0,0,,0,0,boundary
2,-0.375,-0.125,,1002.22,0,35032.5,,0,0,,0,0,boundary
3,-0.125,-0.125,,1002.23,0,35159.3,,0,0,,0,0,boundary
4,0.125,-0.125,,1002.22,0,35054.3,,0,0,,0,0,boundary
5,0.375,-0.125,,1002.21,0,34943.8,,0,0,,0,0,boundary
6,0.625,-0.125,,1002.21,0,34887.4,,0,0,,0,0,boundary
7,0.875,-0.125,,1002.21,0,34942.9,,0,0,,0,0,boundary
8,1.125,-0.125,,1002.2,0,34700.2,,0,0,,0,0,boundary
9,1.375,-0.125,,1002.17,0,34325.8,,0,0,,0,0,boundary
10,1.625,-0.125,,1002.17,0,34210.2,,0,0,,0,0,boundary
11,1.875,-0.125,,1002.14,0,33779.9,,0,0,,0,0,boundary
12,2.125,-0.125,,1002.11,0,33294.5,,0,0,,0,0,boundary
13,2.375,-0.125,,1002.12,0,33495.4,,0,0,,0,0,boundary
14,2.625,-0.125,,1002.12,0,33439.9,,0,0,,0,0,boundary
15,2.875,-0.125,,1002.06,0,32493.6,,0,0,,0,0,boundary
16,3.125,-0.125,,1002.03,0,32119.1,,0,0,,0,0,boundary
17,3.375,-0.125,,1002.03,0,32026.4,,0,0,,0,0,boundary
18,3.625,-0.125,,1002.02,0,31831.1,,0,0,,0,0,boundary
19,3.875,-0.125,,1002.02,0,31839.6,,0,0,,0,0,boundary
20,4.125,-0.125,,1002.03,0,32126,,0,0,,0,0,boundary
21,4.375,-0.125,,1002.06,0,32514.3,,0,0,,0,0,boundary
22,4.625,-0.125,,1002.07,0,32644.3,,0,0,,0,0,boundary
23,4.875,-0.125,,1002.08,0,32841.3,,0,0,,0,0,boundary
24,5.125,-0.125,,1002.12,0,33540.4,,0,0,,0,0,boundary
25,5.375,-0.125,,1002.16,0,34117.3,,0,0,,0,0,boundary
26,5.625,-0.125,,1002.15,0,33969.7,,0,0,,0,0,boundary
27,5.875,-0.125,,1002.16,0,34094.8,,0,0,,0,0,boundary
28,6.125,-0.125,,1002.22,0,35022.3,,0,0,,0,0,boundary
29,6.375,-0.125,,1002.27,0,35914.6,,0,0,,0,0,boundary
30,6.625,-0.125,,1002.27,0,35893.5,,0,0,,0,0,boundary
