h/dp :,2
L2norm Pressure,KE,dp,Nparticles
36622.7,130058,0.5,448

t,12.97
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.26,0,41972.4,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.3,0,42292.1,,0,0,,0,0,boundary
2,-0.25,-0.25,,1005.26,0,41974.7,,0,0,,0,0,boundary
3,0.25,-0.25,,1005.24,0,41752.6,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.22,0,41643,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.19,0,41362.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.19,0,41390.6,,0,0,,0,0,boundary
7,2.25,-0.25,,1005.18,0,41312.1,,0,0,,0,0,boundary
8,2.75,-0.25,,1005.11,0,40732,,0,0,,0,0,boundary
9,3.25,-0.25,,1005.06,0,40309,,0,0,,0,0,boundary
10,3.75,-0.25,,1005.11,0,40691.9,,0,0,,0,0,boundary
11,4.25,-0.25,,1005.16,0,41143.6,,0,0,,0,0,boundary
12,4.75,-0.25,,1005.19,0,41392.4,,0,0,,0,0,boundary
13,5.25,-0.25,,1005.2,0,41424.2,,0,0,,0,0,boundary
14,5.75,-0.25,,1005.21,0,41510.1,,0,0,,0,0,boundary
15,6.25,-0.25,,1005.25,0,41854.1,,0,0,,0,0,boundary
16,6.75,-0.25,,1005.29,0,42168.4,,0,0,,0,0,boundary
17,7.25,-0.25,,1005.34,0,42554,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.39,0,42997.5,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.52,0,44075.1,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.73,0,45773.1,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.94,0,47447.3,,0,0,,0,0,boundary
22,9.75,-0.25,,1006.17,0,49320.2,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.44,0,51537.6,,0,0,,0,0,boundary
24,10.75,-0.25,,1006.67,0,53405.2,,0,0,,0,0,boundary
25,11.25,-0.25,,1006.85,0,54849.3,,0,0,,0,0,boundary
26,11.75,-0.25,,1007.07,0,56693,,0,0,,0,0,boundary
27,12.25,-0.25,,1007.02,0,56240.6,,0,0,,0,0,boundary
28,12.75,-0.25,,1006.61,0,52885.5,,0,0,,0,0,boundary
29,13.25,-0.25,,1006.32,0,50538.2,,0,0,,0,0,boundary
30,13.75,-0.25,,1006.33,0,50617.1,,0,0,,0,0,boundary
31,14.25,-0.25,,1006.47,0,51783.8,,0,0,,0,0,boundary
32,14.75,-0.25,,1006.64,0,53132.3,,0,0,,0,0,boundary
33,15.25,-0.25,,1006.76,0,54114.2,,0,0,,0,0,boundary
34,15.75,-0.25,,1006.85,0,54864.4,,0,0,,0,0,boundary
35,16.25,-0.25,,1006.94,0,55609.9,,0,0,,0,0,boundary
36,16.75,-0.25,,1007.02,0,56237,,0,0,,0,0,boundary
37,17.25,-0.25,,1007.08,0,56735.3,,0,0,,0,0,boundary
38,17.75,-0.25,,1007.12,0,57116.1,,0,0,,0,0,boundary
39,18.25,-0.25,,1007.18,0,57558,,0,0,,0,0,boundary
40,18.75,-0.25,,1007.27,0,58343.9,,0,0,,0,0,boundary
41,19.25,-0.25,,1007.39,0,59258.7,,0,0,,0,0,boundary
42,19.75,-0.25,,1007.47,0,59953.3,,0,0,,0,0,boundary
43,20.25,-0.25,,1007.53,0,60448.3,,0,0,,0,0,boundary
44,20.75,-0.25,,1007.55,0,60607.3,,0,0,,0,0,boundary
45,21.25,-0.25,,1007.54,0,60549.5,,0,0,,0,0,boundary
46,21.75,-0.25,,1007.61,0,61121.1,,0,0,,0,0,boundary
47,22.25,-0.25,,1007.67,0,61556.7,,0,0,,0,0,boundary
48,22.75,-0.25,,1007.67,0,61589.5,,0,0,,0,0,boundary
49,23.25,-0.25,,1007.76,0,62364.6,,0,0,,0,0,boundary
50,23.75,-0.25,,1007.8,0,62633.8,,0,0,,0,0,boundary
51,24.25,-0.25,,1007.7,0,61841.1,,0,0,,0,0,boundary
52,24.75,-0.25,,1007.71,0,61931.1,,0,0,,0,0,boundary
53,25.25,-0.25,,1007.77,0,62422.3,,0,0,,0,0,boundary
54,25.75,-0.25,,1007.42,0,59528.8,,0,0,,0,0,boundary
55,26.25,-0.25,,1007.76,0,62346.9,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.94,0,47482.6,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.99,0,47880.5,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.97,0,47692.5,,0,0,,0,0,boundary
59,0.25,-0.75,,1005.92,0,47327.9,,0,0,,0,0,boundary
60,0.75,-0.75,,1005.9,0,47167.6,,0,0,,0,0,boundary
61,1.25,-0.75,,1005.89,0,47011.4,,0,0,,0,0,boundary
62,1.75,-0.75,,1005.86,0,46775.8,,0,0,,0,0,boundary
63,2.25,-0.75,,1005.81,0,46381,,0,0,,0,0,boundary
64,2.75,-0.75,,1005.74,0,45851,,0,0,,0,0,boundary
65,3.25,-0.75,,1005.69,0,45452.8,,0,0,,0,0,boundary
66,3.75,-0.75,,1005.66,0,45156.6,,0,0,,0,0,boundary
67,4.25,-0.75,,1005.64,0,45033.4,,0,0,,0,0,boundary
68,4.75,-0.75,,1005.68,0,45381.6,,0,0,,0,0,boundary
69,5.25,-0.75,,1005.79,0,46211.3,,0,0,,0,0,boundary
70,5.75,-0.75,,1005.85,0,46737.2,,0,0,,0,0,boundary
71,6.25,-0.75,,1005.85,0,46714.4,,0,0,,0,0,boundary
72,6.75,-0.75,,1005.79,0,46231.7,,0,0,,0,0,boundary
73,7.25,-0.75,,1005.74,0,45796.5,,0,0,,0,0,boundary
74,7.75,-0.75,,1005.75,0,45918.8,,0,0,,0,0,boundary
75,8.25,-0.75,,1005.97,0,47732.7,,0,0,,0,0,boundary
76,8.75,-0.75,,1006.38,0,51064,,0,0,,0,0,boundary
77,9.25,-0.75,,1006.77,0,54187.2,,0,0,,0,0,boundary
