h/dp :,2
L2norm Pressure,KE,dp,Nparticles
37568,98420.3,0.5,448

t,18.07
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.19,0,41410.8,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.12,0,40763.8,,0,0,,0,0,boundary
2,-0.25,-0.25,,1005.03,0,40072.2,,0,0,,0,0,boundary
3,0.25,-0.25,,1005.06,0,40324.4,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.07,0,40371.2,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.03,0,40097.5,,0,0,,0,0,boundary
6,1.75,-0.25,,1005,0,39864.1,,0,0,,0,0,boundary
7,2.25,-0.25,,1004.97,0,39581,,0,0,,0,0,boundary
8,2.75,-0.25,,1004.92,0,39161.6,,0,0,,0,0,boundary
9,3.25,-0.25,,1004.92,0,39203.7,,0,0,,0,0,boundary
10,3.75,-0.25,,1004.91,0,39116,,0,0,,0,0,boundary
11,4.25,-0.25,,1004.86,0,38715,,0,0,,0,0,boundary
12,4.75,-0.25,,1004.87,0,38814,,0,0,,0,0,boundary
13,5.25,-0.25,,1004.89,0,38961.8,,0,0,,0,0,boundary
14,5.75,-0.25,,1004.9,0,39005.9,,0,0,,0,0,boundary
15,6.25,-0.25,,1004.88,0,38873.6,,0,0,,0,0,boundary
16,6.75,-0.25,,1004.86,0,38665.9,,0,0,,0,0,boundary
17,7.25,-0.25,,1004.89,0,38957.1,,0,0,,0,0,boundary
18,7.75,-0.25,,1004.95,0,39438.1,,0,0,,0,0,boundary
19,8.25,-0.25,,1004.94,0,39386.1,,0,0,,0,0,boundary
20,8.75,-0.25,,1004.97,0,39557.5,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.1,0,40610.3,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.24,0,41776.7,,0,0,,0,0,boundary
23,10.25,-0.25,,1005.32,0,42439.9,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.32,0,42383.7,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.28,0,42070,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.27,0,42041.3,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.28,0,42136.3,,0,0,,0,0,boundary
28,12.75,-0.25,,1005.3,0,42249.1,,0,0,,0,0,boundary
29,13.25,-0.25,,1005.33,0,42473.6,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.37,0,42865.2,,0,0,,0,0,boundary
31,14.25,-0.25,,1005.46,0,43590.6,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.58,0,44506,,0,0,,0,0,boundary
33,15.25,-0.25,,1005.67,0,45272.3,,0,0,,0,0,boundary
34,15.75,-0.25,,1005.76,0,45974.9,,0,0,,0,0,boundary
35,16.25,-0.25,,1005.85,0,46725,,0,0,,0,0,boundary
36,16.75,-0.25,,1005.93,0,47383.2,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.01,0,47999.4,,0,0,,0,0,boundary
38,17.75,-0.25,,1006.09,0,48650.7,,0,0,,0,0,boundary
39,18.25,-0.25,,1006.18,0,49392.9,,0,0,,0,0,boundary
40,18.75,-0.25,,1006.29,0,50339.7,,0,0,,0,0,boundary
41,19.25,-0.25,,1006.42,0,51402.7,,0,0,,0,0,boundary
42,19.75,-0.25,,1006.56,0,52491.2,,0,0,,0,0,boundary
43,20.25,-0.25,,1006.68,0,53465.3,,0,0,,0,0,boundary
44,20.75,-0.25,,1006.78,0,54336.8,,0,0,,0,0,boundary
45,21.25,-0.25,,1006.88,0,55149.5,,0,0,,0,0,boundary
46,21.75,-0.25,,1006.97,0,55829.7,,0,0,,0,0,boundary
47,22.25,-0.25,,1007.05,0,56527.1,,0,0,,0,0,boundary
48,22.75,-0.25,,1007.13,0,57140.3,,0,0,,0,0,boundary
49,23.25,-0.25,,1007.18,0,57542.5,,0,0,,0,0,boundary
50,23.75,-0.25,,1007.2,0,57759.2,,0,0,,0,0,boundary
51,24.25,-0.25,,1007.2,0,57764.4,,0,0,,0,0,boundary
52,24.75,-0.25,,1007.2,0,57729.3,,0,0,,0,0,boundary
53,25.25,-0.25,,1007.21,0,57803,,0,0,,0,0,boundary
54,25.75,-0.25,,1007.23,0,57957.3,,0,0,,0,0,boundary
55,26.25,-0.25,,1007.31,0,58672.4,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.82,0,46484.6,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.73,0,45769,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.64,0,45039.2,,0,0,,0,0,boundary
59,0.25,-0.75,,1005.69,0,45411.8,,0,0,,0,0,boundary
60,0.75,-0.75,,1005.7,0,45523.8,,0,0,,0,0,boundary
61,1.25,-0.75,,1005.67,0,45224,,0,0,,0,0,boundary
62,1.75,-0.75,,1005.64,0,45014.4,,0,0,,0,0,boundary
63,2.25,-0.75,,1005.61,0,44748.5,,0,0,,0,0,boundary
64,2.75,-0.75,,1005.53,0,44151,,0,0,,0,0,boundary
65,3.25,-0.75,,1005.49,0,43836.6,,0,0,,0,0,boundary
66,3.75,-0.75,,1005.48,0,43747.9,,0,0,,0,0,boundary
67,4.25,-0.75,,1005.49,0,43786.4,,0,0,,0,0,boundary
68,4.75,-0.75,,1005.52,0,44082.7,,0,0,,0,0,boundary
69,5.25,-0.75,,1005.5,0,43916.6,,0,0,,0,0,boundary
70,5.75,-0.75,,1005.47,0,43669.1,,0,0,,0,0,boundary
71,6.25,-0.75,,1005.43,0,43292.5,,0,0,,0,0,boundary
72,6.75,-0.75,,1005.39,0,43012.6,,0,0,,0,0,boundary
73,7.25,-0.75,,1005.4,0,43111.7,,0,0,,0,0,boundary
74,7.75,-0.75,,1005.43,0,43294.2,,0,0,,0,0,boundary
75,8.25,-0.75,,1005.43,0,43321.4,,0,0,,0,0,boundary
76,8.75,-0.75,,1005.47,0,43677.2,,0,0,,0,0,boundary
77,9.25,-0.75,,1005.6,0,44681.4,,0,0,,0,0,boundary
78,9.75,-0.75,,1005.76,0,46005.1,,0,0,,0,0,boundary
79,10.25,-0.75,,1005.86,0,46836.6,,0,0,,0,0,boundary
80,10.75,-0.75,,1005.85,0,46711,,0,0,,0,0,boundary
81,11.25,-0.75,,1005.79,0,46251.8,,0,0,,0,0,boundary
82,11.75,-0.75,,1005.75,0,45904.8,,0,0,,0,0,boundary
83,12.25,-0.75,,1005.73,0,45788.3,,0,0,,0,0,boundary
84,12.75,-0.75,,1005.77,0,46089.6,,0,0,,0,0,boundary
85,13.25,-0.75,,1005.83,0,46523.8,,0,0,,0,0,boundary
86,13.75,-0.75,,1005.88,0,46967.6,,0,0,,0,0,boundary
87,14.25,-0.75,,1005.95,0,47576.4,,0,0,,0,0,boundary
88,14.75,-0.75,,1006.03,0,48206.8,,0,0,,0,0,boundary
89,15.25,-0.75,,1006.12,0,48909.9,,0,0,,0,0,boundary
90,15.75,-0.75,,1006.24,0,49895.9,,0,0,,0,0,boundary
91,16.25,-0.75,,1006.38,0,51009.9,,0,0,,0,0,boundary
92,16.75,-0.75,,1006.48,0,51883.8,,0,0,,0,0,boundary
93,17.25,-0.75,,1006.58,0,52674.2,,0,0,,0,0,boundary
94,17.75,-0.75,,1006.71,0,53734.6,,0,0,,0,0,boundary
95,18.25,-0.75,,1006.85,0,54878.1,,0,0,,0,0,boundary
96,18.75,-0.75,,1006.99,0,56030,,0,0,,0,0,boundary
97,19.25,-0.75,,1007.13,0,57130.1,,0,0,,0,0,boundary
98,19.75,-0.75,,1007.26,0,58195.4,,0,0,,0,0,boundary
99,20.25,-0.75,,1007.35,0,58992.7,,0,0,,0,0,boundary
100,20.75,-0.75,,1007.45,0,59762.9,,0,0,,0,0,boundary
101,21.25,-0.75,,1007.54,0,60557,,0,0,,0,0,boundary
102,21.75,-0.75,,1007.66,0,61525.2,,0,0,,0,0,boundary
103,22.25,-0.75,,1007.78,0,62480.9,,0,0,,0,0,boundary
104,22.75,-0.75,,1007.88,0,63294.1,,0,0,,0,0,boundary
105,23.25,-0.75,,1007.94,0,63778.5,,0,0,,0,0,boundary
106,23.75,-0.75,,1007.95,0,63909.2,,0,0,,0,0,boundary
107,24.25,-0.75,,1007.94,0,63832.6,,0,0,,0,0,boundary
108,24.75,-0.75,,1007.94,0,63829.3,,0,0,,0,0,boundary
109,25.25,-0.75,,1007.95,0,63930.3,,0,0,,0,0,boundary
110,25.75,-0.75,,1007.99,0,64204.4,,0,0,,0,0,boundary
111,26.25,-0.75,,1008.08,0,65008.8,,0,0,,0,0,boundary
112,-1.25,-1.25,,1006.42,0,51404.5,,0,0,,0,0,boundary
113,-0.75,-1.25,,1006.37,0,50927.6,,0,0,,0,0,boundary
114,-0.25,-1.25,,1006.2,0,49566.1,,0,0,,0,0,boundary
115,0.25,-1.25,,1006.23,0,49785.1,,0,0,,0,0,boundary
116,0.75,-1.25,,1006.33,0,50629.2,,0,0,,0,0,boundary
117,1.25,-1.25,,1006.29,0,50290.7,,0,0,,0,0,boundary
118,1.75,-1.25,,1006.26,0,50023,,0,0,,0,0,boundary
119,2.25,-1.25,,1006.28,0,50194.1,,0,0,,0,0,boundary
120,2.75,-1.25,,1006.24,0,49883.6,,0,0,,0,0,boundary
121,3.25,-1.25,,1006.2,0,49578.4,,0,0,,0,0,boundary
122,3.75,-1.25,,1006.16,0,49248.4,,0,0,,0,0,boundary
123,4.25,-1.25,,1006.15,0,49166.4,,0,0,,0,0,boundary
124,4.75,-1.25,,1006.17,0,49314,,0,0,,0,0,boundary
125,5.25,-1.25,,1006.15,0,49166.2,,0,0,,0,0,boundary
126,5.75,-1.25,,1006.1,0,48742.9,,0,0,,0,0,boundary
127,6.25,-1.25,,1006.08,0,48569.1,,0,0,,0,0,boundary
128,6.75,-1.25,,1006.08,0,48596.7,,0,0,,0,0,boundary
129,7.25,-1.25,,1006.1,0,48751.4,,0,0,,0,0,boundary
130,7.75,-1.25,,1006.06,0,48437.4,,0,0,,0,0,boundary
131,8.25,-1.25,,1006.03,0,48148.7,,0,0,,0,0,boundary
132,8.75,-1.25,,1006.05,0,48359.6,,0,0,,0,0,boundary
133,9.25,-1.25,,1006.11,0,48829.1,,0,0,,0,0,boundary
134,9.75,-1.25,,1006.21,0,49631.6,,0,0,,0,0,boundary
135,10.25,-1.25,,1006.3,0,50354.1,,0,0,,0,0,boundary
136,10.75,-1.25,,1006.29,0,50334.3,,0,0,,0,0,boundary
137,11.25,-1.25,,1006.22,0,49706.7,,0,0,,0,0,boundary
138,11.75,-1.25,,1006.11,0,48870.5,,0,0,,0,0,boundary
139,12.25,-1.25,,1006.08,0,48610.2,,0,0,,0,0,boundary
140,12.75,-1.25,,1006.22,0,49759.5,,0,0,,0,0,boundary
141,13.25,-1.25,,1006.35,0,50818.7,,0,0,,0,0,boundary
142,13.75,-1.25,,1006.41,0,51297.7,,0,0,,0,0,boundary
143,14.25,-1.25,,1006.44,0,51514.3,,0,0,,0,0,boundary
144,14.75,-1.25,,1006.43,0,51414.6,,0,0,,0,0,boundary
145,15.25,-1.25,,1006.47,0,51801.7,,0,0,,0,0,boundary
