h/dp :,2
L2norm Pressure,KE,dp,Nparticles
36943.9,37234.7,0.5,448

t,22.56
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.37,0,42859.1,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.45,0,43461.7,,0,0,,0,0,boundary
2,-0.25,-0.25,,1005.51,0,43962.9,,0,0,,0,0,boundary
3,0.25,-0.25,,1005.58,0,44495,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.64,0,45029.2,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.71,0,45579.2,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.78,0,46181.4,,0,0,,0,0,boundary
7,2.25,-0.25,,1005.87,0,46897.5,,0,0,,0,0,boundary
8,2.75,-0.25,,1005.97,0,47678.6,,0,0,,0,0,boundary
9,3.25,-0.25,,1006.09,0,48690,,0,0,,0,0,boundary
10,3.75,-0.25,,1006.23,0,49849.8,,0,0,,0,0,boundary
11,4.25,-0.25,,1006.36,0,50874,,0,0,,0,0,boundary
12,4.75,-0.25,,1006.47,0,51794.2,,0,0,,0,0,boundary
13,5.25,-0.25,,1006.58,0,52688.6,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.67,0,53407.7,,0,0,,0,0,boundary
15,6.25,-0.25,,1006.71,0,53731,,0,0,,0,0,boundary
16,6.75,-0.25,,1006.7,0,53648.8,,0,0,,0,0,boundary
17,7.25,-0.25,,1006.68,0,53515.3,,0,0,,0,0,boundary
18,7.75,-0.25,,1006.68,0,53468.3,,0,0,,0,0,boundary
19,8.25,-0.25,,1006.68,0,53523.9,,0,0,,0,0,boundary
20,8.75,-0.25,,1006.7,0,53638.3,,0,0,,0,0,boundary
21,9.25,-0.25,,1006.67,0,53419.3,,0,0,,0,0,boundary
22,9.75,-0.25,,1006.6,0,52820,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.54,0,52329.1,,0,0,,0,0,boundary
24,10.75,-0.25,,1006.5,0,51986.4,,0,0,,0,0,boundary
25,11.25,-0.25,,1006.44,0,51535.9,,0,0,,0,0,boundary
26,11.75,-0.25,,1006.34,0,50678.5,,0,0,,0,0,boundary
27,12.25,-0.25,,1006.23,0,49793.1,,0,0,,0,0,boundary
28,12.75,-0.25,,1006.16,0,49258.5,,0,0,,0,0,boundary
29,13.25,-0.25,,1006.09,0,48669.7,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.97,0,47684.9,,0,0,,0,0,boundary
31,14.25,-0.25,,1005.84,0,46679.9,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.75,0,45933.6,,0,0,,0,0,boundary
33,15.25,-0.25,,1005.66,0,45199.8,,0,0,,0,0,boundary
34,15.75,-0.25,,1005.52,0,44060.5,,0,0,,0,0,boundary
35,16.25,-0.25,,1005.44,0,43398.6,,0,0,,0,0,boundary
36,16.75,-0.25,,1005.43,0,43315.1,,0,0,,0,0,boundary
37,17.25,-0.25,,1005.39,0,42964.2,,0,0,,0,0,boundary
38,17.75,-0.25,,1005.28,0,42116.7,,0,0,,0,0,boundary
39,18.25,-0.25,,1005.2,0,41450.5,,0,0,,0,0,boundary
40,18.75,-0.25,,1005.13,0,40861.9,,0,0,,0,0,boundary
41,19.25,-0.25,,1005.06,0,40300.6,,0,0,,0,0,boundary
42,19.75,-0.25,,1005.01,0,39952,,0,0,,0,0,boundary
43,20.25,-0.25,,1004.98,0,39678.7,,0,0,,0,0,boundary
44,20.75,-0.25,,1004.94,0,39346.8,,0,0,,0,0,boundary
45,21.25,-0.25,,1004.9,0,39008.4,,0,0,,0,0,boundary
46,21.75,-0.25,,1004.86,0,38733.8,,0,0,,0,0,boundary
47,22.25,-0.25,,1004.86,0,38713.3,,0,0,,0,0,boundary
48,22.75,-0.25,,1004.88,0,38898.6,,0,0,,0,0,boundary
49,23.25,-0.25,,1004.87,0,38752.4,,0,0,,0,0,boundary
50,23.75,-0.25,,1004.82,0,38377.8,,0,0,,0,0,boundary
51,24.25,-0.25,,1004.82,0,38370.4,,0,0,,0,0,boundary
52,24.75,-0.25,,1004.87,0,38808.3,,0,0,,0,0,boundary
53,25.25,-0.25,,1004.9,0,39054.1,,0,0,,0,0,boundary
54,25.75,-0.25,,1004.87,0,38753.5,,0,0,,0,0,boundary
55,26.25,-0.25,,1004.79,0,38108.6,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.87,0,46922.8,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.91,0,47246.9,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.98,0,47779.1,,0,0,,0,0,boundary
59,0.25,-0.75,,1006.05,0,48352.9,,0,0,,0,0,boundary
60,0.75,-0.75,,1006.11,0,48812.4,,0,0,,0,0,boundary
61,1.25,-0.75,,1006.19,0,49473.2,,0,0,,0,0,boundary
62,1.75,-0.75,,1006.29,0,50333.3,,0,0,,0,0,boundary
63,2.25,-0.75,,1006.4,0,51226,,0,0,,0,0,boundary
64,2.75,-0.75,,1006.5,0,51993.3,,0,0,,0,0,boundary
65,3.25,-0.75,,1006.59,0,52731.5,,0,0,,0,0,boundary
66,3.75,-0.75,,1006.7,0,53686.5,,0,0,,0,0,boundary
67,4.25,-0.75,,1006.84,0,54770.9,,0,0,,0,0,boundary
68,4.75,-0.75,,1006.97,0,55847.2,,0,0,,0,0,boundary
69,5.25,-0.75,,1007.09,0,56841.4,,0,0,,0,0,boundary
70,5.75,-0.75,,1007.2,0,57716.9,,0,0,,0,0,boundary
71,6.25,-0.75,,1007.28,0,58369.6,,0,0,,0,0,boundary
72,6.75,-0.75,,1007.3,0,58578.2,,0,0,,0,0,boundary
73,7.25,-0.75,,1007.28,0,58418,,0,0,,0,0,boundary
74,7.75,-0.75,,1007.24,0,58105.2,,0,0,,0,0,boundary
75,8.25,-0.75,,1007.21,0,57854.8,,0,0,,0,0,boundary
76,8.75,-0.75,,1007.22,0,57944.2,,0,0,,0,0,boundary
77,9.25,-0.75,,1007.22,0,57893.2,,0,0,,0,0,boundary
78,9.75,-0.75,,1007.15,0,57345.3,,0,0,,0,0,boundary
79,10.25,-0.75,,1007.1,0,56922.5,,0,0,,0,0,boundary
80,10.75,-0.75,,1007.06,0,56554.6,,0,0,,0,0,boundary
81,11.25,-0.75,,1007,0,56127.4,,0,0,,0,0,boundary
82,11.75,-0.75,,1006.93,0,55554.6,,0,0,,0,0,boundary
83,12.25,-0.75,,1006.84,0,54818.1,,0,0,,0,0,boundary
84,12.75,-0.75,,1006.78,0,54287.7,,0,0,,0,0,boundary
85,13.25,-0.75,,1006.69,0,53534.2,,0,0,,0,0,boundary
86,13.75,-0.75,,1006.57,0,52608.3,,0,0,,0,0,boundary
87,14.25,-0.75,,1006.45,0,51584.2,,0,0,,0,0,boundary
88,14.75,-0.75,,1006.35,0,50797.4,,0,0,,0,0,boundary
89,15.25,-0.75,,1006.26,0,50076.3,,0,0,,0,0,boundary
90,15.75,-0.75,,1006.15,0,49164,,0,0,,0,0,boundary
91,16.25,-0.75,,1006.03,0,48184.9,,0,0,,0,0,boundary
92,16.75,-0.75,,1006,0,47931.8,,0,0,,0,0,boundary
93,17.25,-0.75,,1005.94,0,47464.5,,0,0,,0,0,boundary
94,17.75,-0.75,,1005.84,0,46680.3,,0,0,,0,0,boundary
95,18.25,-0.75,,1005.74,0,45812.9,,0,0,,0,0,boundary
96,18.75,-0.75,,1005.64,0,45001.8,,0,0,,0,0,boundary
97,19.25,-0.75,,1005.57,0,44454.5,,0,0,,0,0,boundary
98,19.75,-0.75,,1005.55,0,44314.1,,0,0,,0,0,boundary
99,20.25,-0.75,,1005.54,0,44191.5,,0,0,,0,0,boundary
100,20.75,-0.75,,1005.49,0,43772.9,,0,0,,0,0,boundary
101,21.25,-0.75,,1005.43,0,43306.6,,0,0,,0,0,boundary
102,21.75,-0.75,,1005.39,0,43010,,0,0,,0,0,boundary
103,22.25,-0.75,,1005.38,0,42897.3,,0,0,,0,0,boundary
104,22.75,-0.75,,1005.38,0,42891.4,,0,0,,0,0,boundary
105,23.25,-0.75,,1005.35,0,42663.6,,0,0,,0,0,boundary
106,23.75,-0.75,,1005.31,0,42377.3,,0,0,,0,0,boundary
107,24.25,-0.75,,1005.36,0,42713.8,,0,0,,0,0,boundary
108,24.75,-0.75,,1005.43,0,43341.4,,0,0,,0,0,boundary
109,25.25,-0.75,,1005.44,0,43380.3,,0,0,,0,0,boundary
110,25.75,-0.75,,1005.37,0,42792.1,,0,0,,0,0,boundary
111,26.25,-0.75,,1005.3,0,42284.2,,0,0,,0,0,boundary
112,-1.25,-1.25,,1006.41,0,51316.2,,0,0,,0,0,boundary
113,-0.75,-1.25,,1006.42,0,51375.3,,0,0,,0,0,boundary
114,-0.25,-1.25,,1006.47,0,51737.4,,0,0,,0,0,boundary
115,0.25,-1.25,,1006.55,0,52394,,0,0,,0,0,boundary
116,0.75,-1.25,,1006.61,0,52954.5,,0,0,,0,0,boundary
117,1.25,-1.25,,1006.68,0,53521.4,,0,0,,0,0,boundary
118,1.75,-1.25,,1006.79,0,54386.8,,0,0,,0,0,boundary
119,2.25,-1.25,,1006.94,0,55609.6,,0,0,,0,0,boundary
120,2.75,-1.25,,1007.03,0,56354.1,,0,0,,0,0,boundary
121,3.25,-1.25,,1007.06,0,56618.4,,0,0,,0,0,boundary
122,3.75,-1.25,,1007.14,0,57285.3,,0,0,,0,0,boundary
123,4.25,-1.25,,1007.32,0,58687.6,,0,0,,0,0,boundary
124,4.75,-1.25,,1007.5,0,60230.3,,0,0,,0,0,boundary
125,5.25,-1.25,,1007.62,0,61223.8,,0,0,,0,0,boundary
126,5.75,-1.25,,1007.66,0,61491.9,,0,0,,0,0,boundary
127,6.25,-1.25,,1007.69,0,61748.7,,0,0,,0,0,boundary
128,6.75,-1.25,,1007.74,0,62137.8,,0,0,,0,0,boundary
129,7.25,-1.25,,1007.74,0,62200,,0,0,,0,0,boundary
130,7.75,-1.25,,1007.72,0,62033.9,,0,0,,0,0,boundary
131,8.25,-1.25,,1007.74,0,62182.2,,0,0,,0,0,boundary
132,8.75,-1.25,,1007.78,0,62504.2,,0,0,,0,0,boundary
133,9.25,-1.25,,1007.79,0,62613.3,,0,0,,0,0,boundary
134,9.75,-1.25,,1007.74,0,62153.8,,0,0,,0,0,boundary
135,10.25,-1.25,,1007.68,0,61674.3,,0,0,,0,0,boundary
136,10.75,-1.25,,1007.63,0,61297.8,,0,0,,0,0,boundary
137,11.25,-1.25,,1007.59,0,60928.6,,0,0,,0,0,boundary
138,11.75,-1.25,,1007.56,0,60660.1,,0,0,,0,0,boundary
139,12.25,-1.25,,1007.51,0,60268.8,,0,0,,0,0,boundary
140,12.75,-1.25,,1007.43,0,59593.3,,0,0,,0,0,boundary
141,13.25,-1.25,,1007.31,0,58661.9,,0,0,,0,0,boundary
142,13.75,-1.25,,1007.19,0,57657.7,,0,0,,0,0,boundary
143,14.25,-1.25,,1007.05,0,56530.7,,0,0,,0,0,boundary
144,14.75,-1.25,,1006.89,0,55204.4,,0,0,,0,0,boundary
145,15.25,-1.25,,1006.76,0,54178.6,,0,0,,0,0,boundary
146,15.75,-1.25,,1006.64,0,53125.4,,0,0,,0,0,boundary
147,16.25,-1.25,,1006.48,0,51843.4,,0,0,,0,0,boundary
148,16.75,-1.25,,1006.4,0,51231.3,,0,0,,0,0,boundary
149,17.25,-1.25,,1006.33,0,50634.5,,0,0,,0,0,boundary
150,17.75,-1.25,,1006.22,0,49730.7,,0,0,,0,0,boundary
151,18.25,-1.25,,1006.09,0,48677.2,,0,0,,0,0,boundary
152,18.75,-1.25,,1005.97,0,47728.8,,0,0,,0,0,boundary
153,19.25,-1.25,,1005.88,0,46992.6,,0,0,,0,0,boundary
154,19.75,-1.25,,1005.87,0,46858.1,,0,0,,0,0,boundary
155,20.25,-1.25,,1005.89,0,47044.6,,0,0,,0,0,boundary
156,20.75,-1.25,,1005.86,0,46836.8,,0,0,,0,0,boundary
157,21.25,-1.25,,1005.83,0,46524.7,,0,0,,0,0,boundary
158,21.75,-1.25,,1005.77,0,46073.4,,0,0,,0,0,boundary
159,22.25,-1.25,,1005.68,0,45307.3,,0,0,,0,0,boundary
160,22.75,-1.25,,1005.62,0,44832.2,,0,0,,0,0,boundary
161,23.25,-1.25,,1005.64,0,45018.3,,0,0,,0,0,boundary
162,23.75,-1.25,,1005.68,0,45382.2,,0,0,,0,0,boundary
163,24.25,-1.25,,1005.76,0,46033,,0,0,,0,0,boundary
164,24.75,-1.25,,1005.83,0,46550.3,,0,0,,0,0,boundary
165,25.25,-1.25,,1005.8,0,46310.5,,0,0,,0,0,boundary
166,25.75,-1.25,,1005.69,0,45449.7,,0,0,,0,0,boundary
167,26.25,-1.25,,1005.64,0,45008.9,,0,0,,0,0,boundary
168,-0.25,0.25,,1005.04,0,40191.1,,0,0,,0,0,boundary
169,-0.25,0.75,,1004.57,0,36363.3,,0,0,,0,0,boundary
170,-0.25,1.25,,1004.08,0,32435.1,,0,0,,0,0,boundary
171,-0.25,1.75,,1003.61,0,28633.6,,0,0,,0,0,boundary
172,-0.25,2.25,,1003.15,0,24984.2,,0,0,,0,0,boundary
173,-0.25,2.75,,1002.77,0,21947.6,,0,0,,0,0,boundary
174,-0.25,3.25,,1002.44,0,19293.3,,0,0,,0,0,boundary
175,-0.25,3.75,,1001.99,0,15684.6,,0,0,,0,0,boundary
176,-0.25,4.25,,1001.44,0,11387,,0,0,,0,0,boundary
177,-0.25,4.75,,1000.93,0,7321.46,,0,0,,0,0,boundary
178,-0.25,5.25,,1000.89,0,6985.66,,0,0,,0,0,boundary
179,-0.25,5.75,,1000.76,0,5941.55,,0,0,,0,0,boundary
180,-0.25,6.25,,1000.68,0,5318.99,,0,0,,0,0,boundary
181,-0.25,6.75,,1000.61,0,4777.66,,0,0,,0,0,boundary
182,-0.25,7.25,,1000,0,0,,0,0,,0,0,boundary
183,-0.25,7.75,,1000,0,0,,0,0,,0,0,boundary
184,-0.25,8.25,,1000,0,0,,0,0,,0,0,boundary
185,-0.25,8.75,,1000,0,0,,0,0,,0,0,boundary
186,-0.25,9.25,,1000,0,0,,0,0,,0,0,boundary
187,-0.25,9.75,,1000,0,0,,0,0,,0,0,boundary
188,-0.75,0.25,,1004.98,0,39688.3,,0,0,,0,0,boundary
189,-0.75,0.75,,1004.52,0,35933.6,,0,0,,0,0,boundary
190,-0.75,1.25,,1004.05,0,32154,,0,0,,0,0,boundary
191,-0.75,1.75,,1003.56,0,28255.1,,0,0,,0,0,boundary
192,-0.75,2.25,,1003.07,0,24345.3,,0,0,,0,0,boundary
