h/dp :,2
L2norm Pressure,KE,dp,Nparticles
55115.6,35840.7,0.5,480

t,16
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1006.7,0,53631.6,,0,0,,0,0,boundary
1,-0.75,-0.25,,1006.81,0,54563.6,,0,0,,0,0,boundary
2,-0.25,-0.25,,1006.96,0,55795.7,,0,0,,0,0,boundary
3,0.25,-0.25,,1006.97,0,55890.5,,0,0,,0,0,boundary
4,0.75,-0.25,,1006.97,0,55876.4,,0,0,,0,0,boundary
5,1.25,-0.25,,1007,0,56124.1,,0,0,,0,0,boundary
6,1.75,-0.25,,1006.98,0,55950.5,,0,0,,0,0,boundary
7,2.25,-0.25,,1006.94,0,55575.3,,0,0,,0,0,boundary
8,2.75,-0.25,,1006.95,0,55722.8,,0,0,,0,0,boundary
9,3.25,-0.25,,1007.02,0,56292.5,,0,0,,0,0,boundary
10,3.75,-0.25,,1006.96,0,55807.9,,0,0,,0,0,boundary
11,4.25,-0.25,,1006.71,0,53747.5,,0,0,,0,0,boundary
12,4.75,-0.25,,1006.51,0,52115.5,,0,0,,0,0,boundary
13,5.25,-0.25,,1006.51,0,52114.9,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.56,0,52499.4,,0,0,,0,0,boundary
15,6.25,-0.25,,1006.6,0,52824.9,,0,0,,0,0,boundary
16,6.75,-0.25,,1006.54,0,52369.2,,0,0,,0,0,boundary
17,7.25,-0.25,,1006.31,0,50508.4,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.99,0,47847.8,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.77,0,46102,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.65,0,45089.8,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.56,0,44338.5,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.51,0,43923.6,,0,0,,0,0,boundary
23,10.25,-0.25,,1005.47,0,43612.2,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.42,0,43266.4,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.38,0,42919.8,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.36,0,42711.1,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.32,0,42434.4,,0,0,,0,0,boundary
28,12.75,-0.25,,1005.28,0,42082.1,,0,0,,0,0,boundary
29,13.25,-0.25,,1005.23,0,41671,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.21,0,41551.5,,0,0,,0,0,boundary
31,14.25,-0.25,,1005.22,0,41578.5,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.19,0,41342.6,,0,0,,0,0,boundary
33,15.25,-0.25,,1005.16,0,41153.5,,0,0,,0,0,boundary
34,15.75,-0.25,,1005.19,0,41341.5,,0,0,,0,0,boundary
35,16.25,-0.25,,1005.21,0,41514.5,,0,0,,0,0,boundary
36,16.75,-0.25,,1005.2,0,41453.3,,0,0,,0,0,boundary
37,17.25,-0.25,,1005.2,0,41433.4,,0,0,,0,0,boundary
38,17.75,-0.25,,1005.21,0,41544.7,,0,0,,0,0,boundary
39,18.25,-0.25,,1005.22,0,41599.4,,0,0,,0,0,boundary
40,18.75,-0.25,,1005.26,0,41921.7,,0,0,,0,0,boundary
41,19.25,-0.25,,1005.33,0,42483.9,,0,0,,0,0,boundary
42,19.75,-0.25,,1005.38,0,42898.6,,0,0,,0,0,boundary
43,20.25,-0.25,,1005.41,0,43162.6,,0,0,,0,0,boundary
44,20.75,-0.25,,1005.44,0,43391.1,,0,0,,0,0,boundary
45,21.25,-0.25,,1005.47,0,43665.8,,0,0,,0,0,boundary
46,21.75,-0.25,,1005.52,0,44066.5,,0,0,,0,0,boundary
47,22.25,-0.25,,1005.57,0,44414.2,,0,0,,0,0,boundary
48,22.75,-0.25,,1005.58,0,44527.9,,0,0,,0,0,boundary
49,23.25,-0.25,,1005.6,0,44680.1,,0,0,,0,0,boundary
50,23.75,-0.25,,1005.62,0,44864.1,,0,0,,0,0,boundary
51,24.25,-0.25,,1005.65,0,45138.9,,0,0,,0,0,boundary
52,24.75,-0.25,,1005.69,0,45456.8,,0,0,,0,0,boundary
53,25.25,-0.25,,1005.71,0,45626.2,,0,0,,0,0,boundary
54,25.75,-0.25,,1005.7,0,45497.8,,0,0,,0,0,boundary
55,26.25,-0.25,,1005.69,0,45389.9,,0,0,,0,0,boundary
56,-1.25,-0.75,,1007.12,0,57062.8,,0,0,,0,0,boundary
57,-0.75,-0.75,,1007.21,0,57823.1,,0,0,,0,0,boundary
58,-0.25,-0.75,,1007.41,0,59464.3,,0,0,,0,0,boundary
59,0.25,-0.75,,1007.44,0,59703.5,,0,0,,0,0,boundary
60,0.75,-0.75,,1007.42,0,59568.1,,0,0,,0,0,boundary
61,1.25,-0.75,,1007.46,0,59867,,0,0,,0,0,boundary
