h/dp :,2
L2norm Pressure,KE,dp,Nparticles
53366,31160,0.5,480

t,19
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1004.46,0,35467.5,,0,0,,0,0,boundary
1,-0.75,-0.25,,1004.26,0,33865.6,,0,0,,0,0,boundary
2,-0.25,-0.25,,1004.17,0,33176.6,,0,0,,0,0,boundary
3,0.25,-0.25,,1004.23,0,33659.3,,0,0,,0,0,boundary
4,0.75,-0.25,,1004.27,0,33938.7,,0,0,,0,0,boundary
5,1.25,-0.25,,1004.3,0,34202.6,,0,0,,0,0,boundary
6,1.75,-0.25,,1004.34,0,34530.7,,0,0,,0,0,boundary
7,2.25,-0.25,,1004.43,0,35211.7,,0,0,,0,0,boundary
8,2.75,-0.25,,1004.54,0,36134.7,,0,0,,0,0,boundary
9,3.25,-0.25,,1004.61,0,36720.1,,0,0,,0,0,boundary
10,3.75,-0.25,,1004.62,0,36770.5,,0,0,,0,0,boundary
11,4.25,-0.25,,1004.65,0,37020.5,,0,0,,0,0,boundary
12,4.75,-0.25,,1004.75,0,37848.1,,0,0,,0,0,boundary
13,5.25,-0.25,,1004.85,0,38621.9,,0,0,,0,0,boundary
14,5.75,-0.25,,1004.93,0,39280.9,,0,0,,0,0,boundary
15,6.25,-0.25,,1005.02,0,40021.9,,0,0,,0,0,boundary
16,6.75,-0.25,,1005.1,0,40638.7,,0,0,,0,0,boundary
17,7.25,-0.25,,1005.18,0,41256.5,,0,0,,0,0,boundary
18,7.75,-0.25,,1005.28,0,42125,,0,0,,0,0,boundary
19,8.25,-0.25,,1005.36,0,42712.2,,0,0,,0,0,boundary
20,8.75,-0.25,,1005.37,0,42852.3,,0,0,,0,0,boundary
21,9.25,-0.25,,1005.36,0,42744,,0,0,,0,0,boundary
22,9.75,-0.25,,1005.38,0,42897.1,,0,0,,0,0,boundary
23,10.25,-0.25,,1005.44,0,43384.2,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.53,0,44123.1,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.61,0,44781.7,,0,0,,0,0,boundary
26,11.75,-0.25,,1005.69,0,45433.8,,0,0,,0,0,boundary
27,12.25,-0.25,,1005.79,0,46239.7,,0,0,,0,0,boundary
28,12.75,-0.25,,1005.89,0,47083.3,,0,0,,0,0,boundary
29,13.25,-0.25,,1006,0,47920.5,,0,0,,0,0,boundary
30,13.75,-0.25,,1006.09,0,48688,,0,0,,0,0,boundary
31,14.25,-0.25,,1006.17,0,49327.2,,0,0,,0,0,boundary
32,14.75,-0.25,,1006.25,0,49970.2,,0,0,,0,0,boundary
33,15.25,-0.25,,1006.33,0,50598.2,,0,0,,0,0,boundary
34,15.75,-0.25,,1006.42,0,51396.5,,0,0,,0,0,boundary
35,16.25,-0.25,,1006.53,0,52302.7,,0,0,,0,0,boundary
36,16.75,-0.25,,1006.66,0,53286,,0,0,,0,0,boundary
37,17.25,-0.25,,1006.77,0,54213.1,,0,0,,0,0,boundary
38,17.75,-0.25,,1006.88,0,55142.8,,0,0,,0,0,boundary
39,18.25,-0.25,,1006.97,0,55871.1,,0,0,,0,0,boundary
40,18.75,-0.25,,1007.06,0,56628.3,,0,0,,0,0,boundary
41,19.25,-0.25,,1007.17,0,57467.6,,0,0,,0,0,boundary
42,19.75,-0.25,,1007.26,0,58200.8,,0,0,,0,0,boundary
43,20.25,-0.25,,1007.32,0,58718.2,,0,0,,0,0,boundary
44,20.75,-0.25,,1007.38,0,59224.3,,0,0,,0,0,boundary
45,21.25,-0.25,,1007.48,0,60029.4,,0,0,,0,0,boundary
46,21.75,-0.25,,1007.59,0,60973.7,,0,0,,0,0,boundary
47,22.25,-0.25,,1007.66,0,61521.1,,0,0,,0,0,boundary
48,22.75,-0.25,,1007.66,0,61524.3,,0,0,,0,0,boundary
49,23.25,-0.25,,1007.65,0,61468.6,,0,0,,0,0,boundary
50,23.75,-0.25,,1007.67,0,61629.2,,0,0,,0,0,boundary
51,24.25,-0.25,,1007.75,0,62282,,0,0,,0,0,boundary
52,24.75,-0.25,,1007.77,0,62386.2,,0,0,,0,0,boundary
53,25.25,-0.25,,1007.76,0,62345,,0,0,,0,0,boundary
54,25.75,-0.25,,1007.82,0,62823.3,,0,0,,0,0,boundary
55,26.25,-0.25,,1007.81,0,62708.2,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.02,0,40019.2,,0,0,,0,0,boundary
57,-0.75,-0.75,,1004.93,0,39285.9,,0,0,,0,0,boundary
58,-0.25,-0.75,,1004.81,0,38263.1,,0,0,,0,0,boundary
59,0.25,-0.75,,1004.89,0,38911.3,,0,0,,0,0,boundary
60,0.75,-0.75,,1004.94,0,39317.1,,0,0,,0,0,boundary
61,1.25,-0.75,,1004.86,0,38713.3,,0,0,,0,0,boundary
62,1.75,-0.75,,1004.82,0,38410.7,,0,0,,0,0,boundary
63,2.25,-0.75,,1004.89,0,38963.5,,0,0,,0,0,boundary
64,2.75,-0.75,,1005.01,0,39879.3,,0,0,,0,0,boundary
65,3.25,-0.75,,1005.11,0,40748.7,,0,0,,0,0,boundary
66,3.75,-0.75,,1005.15,0,41060.2,,0,0,,0,0,boundary
67,4.25,-0.75,,1005.17,0,41193.8,,0,0,,0,0,boundary
68,4.75,-0.75,,1005.23,0,41707.9,,0,0,,0,0,boundary
69,5.25,-0.75,,1005.33,0,42529.9,,0,0,,0,0,boundary
70,5.75,-0.75,,1005.41,0,43177.8,,0,0,,0,0,boundary
71,6.25,-0.75,,1005.51,0,43950.5,,0,0,,0,0,boundary
72,6.75,-0.75,,1005.6,0,44707,,0,0,,0,0,boundary
73,7.25,-0.75,,1005.71,0,45616.6,,0,0,,0,0,boundary
74,7.75,-0.75,,1005.86,0,46766.4,,0,0,,0,0,boundary
75,8.25,-0.75,,1005.94,0,47481.3,,0,0,,0,0,boundary
76,8.75,-0.75,,1005.95,0,47563.8,,0,0,,0,0,boundary
77,9.25,-0.75,,1005.92,0,47327.2,,0,0,,0,0,boundary
78,9.75,-0.75,,1005.94,0,47459.4,,0,0,,0,0,boundary
79,10.25,-0.75,,1006,0,47968.9,,0,0,,0,0,boundary
80,10.75,-0.75,,1006.08,0,48620.7,,0,0,,0,0,boundary
81,11.25,-0.75,,1006.16,0,49250.4,,0,0,,0,0,boundary
82,11.75,-0.75,,1006.26,0,50029.5,,0,0,,0,0,boundary
83,12.25,-0.75,,1006.36,0,50882.6,,0,0,,0,0,boundary
84,12.75,-0.75,,1006.47,0,51762.7,,0,0,,0,0,boundary
85,13.25,-0.75,,1006.58,0,52701.6,,0,0,,0,0,boundary
86,13.75,-0.75,,1006.68,0,53497.1,,0,0,,0,0,boundary
87,14.25,-0.75,,1006.76,0,54128.2,,0,0,,0,0,boundary
88,14.75,-0.75,,1006.84,0,54793.1,,0,0,,0,0,boundary
