h/dp :,2
L2norm Pressure,KE,dp,Nparticles
32409.5,678729,0.5,480

t,4
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1014.69,0,120503,,0,0,,0,0,boundary
1,-0.75,-0.25,,1014.45,0,118425,,0,0,,0,0,boundary
2,-0.25,-0.25,,1013.83,0,113137,,0,0,,0,0,boundary
3,0.25,-0.25,,1013.4,0,109484,,0,0,,0,0,boundary
4,0.75,-0.25,,1013.05,0,106504,,0,0,,0,0,boundary
5,1.25,-0.25,,1012.59,0,102597,,0,0,,0,0,boundary
6,1.75,-0.25,,1012.14,0,98785.6,,0,0,,0,0,boundary
7,2.25,-0.25,,1011.76,0,95614,,0,0,,0,0,boundary
8,2.75,-0.25,,1011.42,0,92794.2,,0,0,,0,0,boundary
9,3.25,-0.25,,1011.05,0,89635.1,,0,0,,0,0,boundary
10,3.75,-0.25,,1010.74,0,87029.7,,0,0,,0,0,boundary
11,4.25,-0.25,,1010.46,0,84717.9,,0,0,,0,0,boundary
12,4.75,-0.25,,1010.19,0,82461.6,,0,0,,0,0,boundary
13,5.25,-0.25,,1009.98,0,80725.2,,0,0,,0,0,boundary
14,5.75,-0.25,,1009.67,0,78126.9,,0,0,,0,0,boundary
15,6.25,-0.25,,1009.4,0,75861.1,,0,0,,0,0,boundary
16,6.75,-0.25,,1009.15,0,73818.4,,0,0,,0,0,boundary
17,7.25,-0.25,,1008.91,0,71826.4,,0,0,,0,0,boundary
18,7.75,-0.25,,1008.69,0,70017.4,,0,0,,0,0,boundary
19,8.25,-0.25,,1008.44,0,67966.6,,0,0,,0,0,boundary
20,8.75,-0.25,,1008.22,0,66161.5,,0,0,,0,0,boundary
21,9.25,-0.25,,1008.03,0,64593.5,,0,0,,0,0,boundary
22,9.75,-0.25,,1007.86,0,63140.2,,0,0,,0,0,boundary
23,10.25,-0.25,,1007.66,0,61545.6,,0,0,,0,0,boundary
24,10.75,-0.25,,1007.51,0,60245.9,,0,0,,0,0,boundary
25,11.25,-0.25,,1007.4,0,59399.6,,0,0,,0,0,boundary
26,11.75,-0.25,,1007.28,0,58428.7,,0,0,,0,0,boundary
27,12.25,-0.25,,1007.12,0,57066.5,,0,0,,0,0,boundary
28,12.75,-0.25,,1007.07,0,56638.4,,0,0,,0,0,boundary
29,13.25,-0.25,,1007.09,0,56822.3,,0,0,,0,0,boundary
30,13.75,-0.25,,1007.09,0,56809.8,,0,0,,0,0,boundary
31,14.25,-0.25,,1007.06,0,56569.8,,0,0,,0,0,boundary
32,14.75,-0.25,,1007.07,0,56714.6,,0,0,,0,0,boundary
33,15.25,-0.25,,1007.19,0,57626.1,,0,0,,0,0,boundary
34,15.75,-0.25,,1007.33,0,58767.7,,0,0,,0,0,boundary
35,16.25,-0.25,,1007.59,0,60946,,0,0,,0,0,boundary
36,16.75,-0.25,,1007.89,0,63387.8,,0,0,,0,0,boundary
37,17.25,-0.25,,1008.08,0,64951.7,,0,0,,0,0,boundary
38,17.75,-0.25,,1008.2,0,65995.6,,0,0,,0,0,boundary
39,18.25,-0.25,,1008.38,0,67458.8,,0,0,,0,0,boundary
40,18.75,-0.25,,1008.51,0,68487.4,,0,0,,0,0,boundary
41,19.25,-0.25,,1008.66,0,69721.5,,0,0,,0,0,boundary
42,19.75,-0.25,,1008.79,0,70851.9,,0,0,,0,0,boundary
43,20.25,-0.25,,1008.82,0,71078.3,,0,0,,0,0,boundary
44,20.75,-0.25,,1008.82,0,71051.7,,0,0,,0,0,boundary
45,21.25,-0.25,,1008.85,0,71321,,0,0,,0,0,boundary
46,21.75,-0.25,,1008.87,0,71475.6,,0,0,,0,0,boundary
47,22.25,-0.25,,1008.87,0,71450.8,,0,0,,0,0,boundary
48,22.75,-0.25,,1008.82,0,71090.4,,0,0,,0,0,boundary
49,23.25,-0.25,,1008.65,0,69693.4,,0,0,,0,0,boundary
50,23.75,-0.25,,1008.51,0,68543.8,,0,0,,0,0,boundary
51,24.25,-0.25,,1008.64,0,69560.3,,0,0,,0,0,boundary
52,24.75,-0.25,,1008.77,0,70676.9,,0,0,,0,0,boundary
53,25.25,-0.25,,1008.85,0,71328.4,,0,0,,0,0,boundary
54,25.75,-0.25,,1008.92,0,71878.2,,0,0,,0,0,boundary
55,26.25,-0.25,,1008.42,0,67773.5,,0,0,,0,0,boundary
56,-1.25,-0.75,,1015.98,0,131547,,0,0,,0,0,boundary
57,-0.75,-0.75,,1015.99,0,131695,,0,0,,0,0,boundary
58,-0.25,-0.75,,1015.53,0,127741,,0,0,,0,0,boundary
59,0.25,-0.75,,1015.07,0,123715,,0,0,,0,0,boundary
60,0.75,-0.75,,1014.57,0,119506,,0,0,,0,0,boundary
61,1.25,-0.75,,1014.02,0,114763,,0,0,,0,0,boundary
62,1.75,-0.75,,1013.53,0,110585,,0,0,,0,0,boundary
63,2.25,-0.75,,1013.08,0,106785,,0,0,,0,0,boundary
64,2.75,-0.75,,1012.66,0,103191,,0,0,,0,0,boundary
65,3.25,-0.75,,1012.24,0,99625.9,,0,0,,0,0,boundary
66,3.75,-0.75,,1011.95,0,97253.3,,0,0,,0,0,boundary
67,4.25,-0.75,,1011.7,0,95101,,0,0,,0,0,boundary
68,4.75,-0.75,,1011.46,0,93075.5,,0,0,,0,0,boundary
69,5.25,-0.75,,1011.28,0,91588.8,,0,0,,0,0,boundary
70,5.75,-0.75,,1010.92,0,88597.2,,0,0,,0,0,boundary
71,6.25,-0.75,,1010.58,0,85719.3,,0,0,,0,0,boundary
72,6.75,-0.75,,1010.33,0,83590.1,,0,0,,0,0,boundary
73,7.25,-0.75,,1009.97,0,80628.4,,0,0,,0,0,boundary
74,7.75,-0.75,,1009.74,0,78698.7,,0,0,,0,0,boundary
75,8.25,-0.75,,1009.45,0,76302.5,,0,0,,0,0,boundary
76,8.75,-0.75,,1009.17,0,74001.7,,0,0,,0,0,boundary
77,9.25,-0.75,,1009.1,0,73411.4,,0,0,,0,0,boundary
78,9.75,-0.75,,1008.85,0,71317.9,,0,0,,0,0,boundary
79,10.25,-0.75,,1008.67,0,69831.1,,0,0,,0,0,boundary
80,10.75,-0.75,,1008.52,0,68567.1,,0,0,,0,0,boundary
81,11.25,-0.75,,1008.38,0,67452.2,,0,0,,0,0,boundary
82,11.75,-0.75,,1008.33,0,66999.4,,0,0,,0,0,boundary
83,12.25,-0.75,,1008.16,0,65625.6,,0,0,,0,0,boundary
84,12.75,-0.75,,1008,0,64346.3,,0,0,,0,0,boundary
85,13.25,-0.75,,1008.06,0,64788.6,,0,0,,0,0,boundary
86,13.75,-0.75,,1008.05,0,64719.8,,0,0,,0,0,boundary
87,14.25,-0.75,,1008.07,0,64873,,0,0,,0,0,boundary
88,14.75,-0.75,,1008.08,0,64990.2,,0,0,,0,0,boundary
89,15.25,-0.75,,1008.21,0,66055.1,,0,0,,0,0,boundary
90,15.75,-0.75,,1008.37,0,67360.3,,0,0,,0,0,boundary
91,16.25,-0.75,,1008.43,0,67867.4,,0,0,,0,0,boundary
92,16.75,-0.75,,1008.58,0,69072.8,,0,0,,0,0,boundary
93,17.25,-0.75,,1008.68,0,69915.8,,0,0,,0,0,boundary
94,17.75,-0.75,,1008.75,0,70477.6,,0,0,,0,0,boundary
95,18.25,-0.75,,1008.91,0,71783.6,,0,0,,0,0,boundary
96,18.75,-0.75,,1009.07,0,73167.6,,0,0,,0,0,boundary
97,19.25,-0.75,,1009.32,0,75200.3,,0,0,,0,0,boundary
98,19.75,-0.75,,1009.4,0,75867.9,,0,0,,0,0,boundary
99,20.25,-0.75,,1009.32,0,75187.4,,0,0,,0,0,boundary
100,20.75,-0.75,,1009.29,0,74976.9,,0,0,,0,0,boundary
101,21.25,-0.75,,1009.37,0,75657.6,,0,0,,0,0,boundary
102,21.75,-0.75,,1009.36,0,75557.2,,0,0,,0,0,boundary
103,22.25,-0.75,,1009.34,0,75413.3,,0,0,,0,0,boundary
104,22.75,-0.75,,1009.37,0,75658.6,,0,0,,0,0,boundary
105,23.25,-0.75,,1009.26,0,74732.4,,0,0,,0,0,boundary
106,23.75,-0.75,,1009.05,0,73002,,0,0,,0,0,boundary
107,24.25,-0.75,,1009.09,0,73274.5,,0,0,,0,0,boundary
108,24.75,-0.75,,1009.26,0,74748.1,,0,0,,0,0,boundary
109,25.25,-0.75,,1009.33,0,75317.7,,0,0,,0,0,boundary
110,25.75,-0.75,,1009.24,0,74597.1,,0,0,,0,0,boundary
111,26.25,-0.75,,1009.03,0,72840.1,,0,0,,0,0,boundary
112,-1.25,-1.25,,1017.83,0,147638,,0,0,,0,0,boundary
113,-0.75,-1.25,,1017.87,0,147986,,0,0,,0,0,boundary
114,-0.25,-1.25,,1017.98,0,148923,,0,0,,0,0,boundary
115,0.25,-1.25,,1017.62,0,145818,,0,0,,0,0,boundary
116,0.75,-1.25,,1016.65,0,137410,,0,0,,0,0,boundary
117,1.25,-1.25,,1016,0,131730,,0,0,,0,0,boundary
118,1.75,-1.25,,1015.63,0,128554,,0,0,,0,0,boundary
119,2.25,-1.25,,1015.15,0,124442,,0,0,,0,0,boundary
120,2.75,-1.25,,1014.7,0,120548,,0,0,,0,0,boundary
121,3.25,-1.25,,1014.32,0,117362,,0,0,,0,0,boundary
122,3.75,-1.25,,1013.94,0,114096,,0,0,,0,0,boundary
123,4.25,-1.25,,1013.65,0,111655,,0,0,,0,0,boundary
124,4.75,-1.25,,1013.43,0,109726,,0,0,,0,0,boundary
125,5.25,-1.25,,1013.15,0,107324,,0,0,,0,0,boundary
126,5.75,-1.25,,1012.69,0,103435,,0,0,,0,0,boundary
127,6.25,-1.25,,1012.35,0,100603,,0,0,,0,0,boundary
128,6.75,-1.25,,1012.15,0,98866.3,,0,0,,0,0,boundary
129,7.25,-1.25,,1011.81,0,96001.2,,0,0,,0,0,boundary
130,7.75,-1.25,,1011.5,0,93452.7,,0,0,,0,0,boundary
131,8.25,-1.25,,1011.12,0,90227.3,,0,0,,0,0,boundary
132,8.75,-1.25,,1010.79,0,87455.7,,0,0,,0,0,boundary
133,9.25,-1.25,,1010.56,0,85577,,0,0,,0,0,boundary
134,9.75,-1.25,,1010.47,0,84783.9,,0,0,,0,0,boundary
135,10.25,-1.25,,1010.28,0,83181.8,,0,0,,0,0,boundary
136,10.75,-1.25,,1010.07,0,81440.5,,0,0,,0,0,boundary
137,11.25,-1.25,,1009.9,0,80033.7,,0,0,,0,0,boundary
138,11.75,-1.25,,1009.76,0,78869.3,,0,0,,0,0,boundary
139,12.25,-1.25,,1009.67,0,78112.8,,0,0,,0,0,boundary
140,12.75,-1.25,,1009.52,0,76886.5,,0,0,,0,0,boundary
141,13.25,-1.25,,1009.5,0,76755.4,,0,0,,0,0,boundary
142,13.75,-1.25,,1009.58,0,77397.9,,0,0,,0,0,boundary
143,14.25,-1.25,,1009.66,0,78064.7,,0,0,,0,0,boundary
144,14.75,-1.25,,1009.72,0,78559,,0,0,,0,0,boundary
145,15.25,-1.25,,1009.8,0,79212.8,,0,0,,0,0,boundary
146,15.75,-1.25,,1009.81,0,79284.8,,0,0,,0,0,boundary
147,16.25,-1.25,,1009.64,0,77842.3,,0,0,,0,0,boundary
148,16.75,-1.25,,1009.66,0,78026.4,,0,0,,0,0,boundary
149,17.25,-1.25,,1009.8,0,79203.1,,0,0,,0,0,boundary
150,17.75,-1.25,,1009.91,0,80139.2,,0,0,,0,0,boundary
151,18.25,-1.25,,1009.98,0,80703.6,,0,0,,0,0,boundary
152,18.75,-1.25,,1010.06,0,81366,,0,0,,0,0,boundary
153,19.25,-1.25,,1010.36,0,83874.5,,0,0,,0,0,boundary
154,19.75,-1.25,,1010.36,0,83908.9,,0,0,,0,0,boundary
155,20.25,-1.25,,1010.05,0,81253.8,,0,0,,0,0,boundary
156,20.75,-1.25,,1009.81,0,79319.6,,0,0,,0,0,boundary
157,21.25,-1.25,,1009.74,0,78702.8,,0,0,,0,0,boundary
158,21.75,-1.25,,1009.69,0,78263.6,,0,0,,0,0,boundary
