h/dp :,2
L2norm Pressure,KE,dp,Nparticles
54982,153826,0.5,480

t,9.42
ID,x,y,,rho,drhodt,pressure,,u,v,,dudt,dvdt,type
0,-1.25,-0.25,,1005.55,0,44259.3,,0,0,,0,0,boundary
1,-0.75,-0.25,,1005.79,0,46245.2,,0,0,,0,0,boundary
2,-0.25,-0.25,,1005.81,0,46366.2,,0,0,,0,0,boundary
3,0.25,-0.25,,1005.79,0,46254.6,,0,0,,0,0,boundary
4,0.75,-0.25,,1005.82,0,46451.3,,0,0,,0,0,boundary
5,1.25,-0.25,,1005.87,0,46857.4,,0,0,,0,0,boundary
6,1.75,-0.25,,1005.94,0,47421.5,,0,0,,0,0,boundary
7,2.25,-0.25,,1006.1,0,48741.4,,0,0,,0,0,boundary
8,2.75,-0.25,,1006.42,0,51397.8,,0,0,,0,0,boundary
9,3.25,-0.25,,1006.7,0,53690.9,,0,0,,0,0,boundary
10,3.75,-0.25,,1006.71,0,53701.1,,0,0,,0,0,boundary
11,4.25,-0.25,,1006.73,0,53878.1,,0,0,,0,0,boundary
12,4.75,-0.25,,1006.92,0,55458.1,,0,0,,0,0,boundary
13,5.25,-0.25,,1007.02,0,56287,,0,0,,0,0,boundary
14,5.75,-0.25,,1006.97,0,55864.2,,0,0,,0,0,boundary
15,6.25,-0.25,,1006.84,0,54816.7,,0,0,,0,0,boundary
16,6.75,-0.25,,1006.73,0,53906.5,,0,0,,0,0,boundary
17,7.25,-0.25,,1006.75,0,54033.9,,0,0,,0,0,boundary
18,7.75,-0.25,,1006.87,0,55014,,0,0,,0,0,boundary
19,8.25,-0.25,,1006.87,0,55053.1,,0,0,,0,0,boundary
20,8.75,-0.25,,1006.48,0,51848.8,,0,0,,0,0,boundary
21,9.25,-0.25,,1006.23,0,49821.7,,0,0,,0,0,boundary
22,9.75,-0.25,,1006.19,0,49492.5,,0,0,,0,0,boundary
23,10.25,-0.25,,1006.08,0,48619.2,,0,0,,0,0,boundary
24,10.75,-0.25,,1005.83,0,46591.1,,0,0,,0,0,boundary
25,11.25,-0.25,,1005.85,0,46716.9,,0,0,,0,0,boundary
26,11.75,-0.25,,1006.04,0,48280.5,,0,0,,0,0,boundary
27,12.25,-0.25,,1006.22,0,49705.8,,0,0,,0,0,boundary
28,12.75,-0.25,,1006.19,0,49525.4,,0,0,,0,0,boundary
29,13.25,-0.25,,1006.06,0,48463.5,,0,0,,0,0,boundary
30,13.75,-0.25,,1005.96,0,47601.3,,0,0,,0,0,boundary
31,14.25,-0.25,,1005.87,0,46922,,0,0,,0,0,boundary
32,14.75,-0.25,,1005.79,0,46274.4,,0,0,,0,0,boundary
33,15.25,-0.25,,1005.7,0,45502.1,,0,0,,0,0,boundary
34,15.75,-0.25,,1005.57,0,44412.9,,0,0,,0,0,boundary
35,16.25,-0.25,,1005.43,0,43324.6,,0,0,,0,0,boundary
36,16.75,-0.25,,1005.32,0,42450.3,,0,0,,0,0,boundary
37,17.25,-0.25,,1005.22,0,41646.9,,0,0,,0,0,boundary
38,17.75,-0.25,,1005.12,0,40787.8,,0,0,,0,0,boundary
39,18.25,-0.25,,1005.01,0,39945.2,,0,0,,0,0,boundary
40,18.75,-0.25,,1004.91,0,39116.5,,0,0,,0,0,boundary
41,19.25,-0.25,,1004.81,0,38289.2,,0,0,,0,0,boundary
42,19.75,-0.25,,1004.73,0,37624.6,,0,0,,0,0,boundary
43,20.25,-0.25,,1004.67,0,37172.6,,0,0,,0,0,boundary
44,20.75,-0.25,,1004.62,0,36795.7,,0,0,,0,0,boundary
45,21.25,-0.25,,1004.57,0,36367.8,,0,0,,0,0,boundary
46,21.75,-0.25,,1004.51,0,35906.5,,0,0,,0,0,boundary
47,22.25,-0.25,,1004.47,0,35517,,0,0,,0,0,boundary
48,22.75,-0.25,,1004.42,0,35131.3,,0,0,,0,0,boundary
49,23.25,-0.25,,1004.37,0,34768.7,,0,0,,0,0,boundary
50,23.75,-0.25,,1004.34,0,34530,,0,0,,0,0,boundary
51,24.25,-0.25,,1004.3,0,34200.5,,0,0,,0,0,boundary
52,24.75,-0.25,,1004.25,0,33755.5,,0,0,,0,0,boundary
53,25.25,-0.25,,1004.21,0,33475.8,,0,0,,0,0,boundary
54,25.75,-0.25,,1004.22,0,33574,,0,0,,0,0,boundary
55,26.25,-0.25,,1004.21,0,33492.2,,0,0,,0,0,boundary
56,-1.25,-0.75,,1005.63,0,44940.1,,0,0,,0,0,boundary
57,-0.75,-0.75,,1005.92,0,47258.6,,0,0,,0,0,boundary
58,-0.25,-0.75,,1005.97,0,47676.8,,0,0,,0,0,boundary
59,0.25,-0.75,,1005.94,0,47491.1,,0,0,,0,0,boundary
60,0.75,-0.75,,1005.91,0,47192.4,,0,0,,0,0,boundary
61,1.25,-0.75,,1005.95,0,47558.5,,0,0,,0,0,boundary
62,1.75,-0.75,,1006.09,0,48697.9,,0,0,,0,0,boundary
63,2.25,-0.75,,1006.31,0,50452.7,,0,0,,0,0,boundary
64,2.75,-0.75,,1006.6,0,52872.2,,0,0,,0,0,boundary
65,3.25,-0.75,,1006.96,0,55767.8,,0,0,,0,0,boundary
66,3.75,-0.75,,1007.02,0,56301,,0,0,,0,0,boundary
67,4.25,-0.75,,1007.11,0,56975.4,,0,0,,0,0,boundary
68,4.75,-0.75,,1007.22,0,57894.8,,0,0,,0,0,boundary
69,5.25,-0.75,,1007.14,0,57290.2,,0,0,,0,0,boundary
70,5.75,-0.75,,1006.79,0,54421.5,,0,0,,0,0,boundary
71,6.25,-0.75,,1006.5,0,52033.5,,0,0,,0,0,boundary
72,6.75,-0.75,,1006.45,0,51625.3,,0,0,,0,0,boundary
73,7.25,-0.75,,1006.46,0,51692.5,,0,0,,0,0,boundary
74,7.75,-0.75,,1006.35,0,50771.8,,0,0,,0,0,boundary
75,8.25,-0.75,,1005.99,0,47826.3,,0,0,,0,0,boundary
76,8.75,-0.75,,1005.63,0,44929,,0,0,,0,0,boundary
77,9.25,-0.75,,1005.69,0,45393.4,,0,0,,0,0,boundary
78,9.75,-0.75,,1006.03,0,48195.8,,0,0,,0,0,boundary
79,10.25,-0.75,,1006.18,0,49384.8,,0,0,,0,0,boundary
80,10.75,-0.75,,1006.12,0,48906.9,,0,0,,0,0,boundary
81,11.25,-0.75,,1006.26,0,50092.3,,0,0,,0,0,boundary
82,11.75,-0.75,,1006.52,0,52149.2,,0,0,,0,0,boundary
83,12.25,-0.75,,1006.67,0,53395.7,,0,0,,0,0,boundary
84,12.75,-0.75,,1006.66,0,53361,,0,0,,0,0,boundary
85,13.25,-0.75,,1006.59,0,52766.5,,0,0,,0,0,boundary
86,13.75,-0.75,,1006.51,0,52115.3,,0,0,,0,0,boundary
87,14.25,-0.75,,1006.44,0,51491,,0,0,,0,0,boundary
88,14.75,-0.75,,1006.34,0,50701.7,,0,0,,0,0,boundary
89,15.25,-0.75,,1006.21,0,49644.4,,0,0,,0,0,boundary
90,15.75,-0.75,,1006.05,0,48389.4,,0,0,,0,0,boundary
91,16.25,-0.75,,1005.93,0,47384.9,,0,0,,0,0,boundary
92,16.75,-0.75,,1005.84,0,46640.6,,0,0,,0,0,boundary
93,17.25,-0.75,,1005.74,0,45856.9,,0,0,,0,0,boundary
94,17.75,-0.75,,1005.64,0,44979.6,,0,0,,0,0,boundary
95,18.25,-0.75,,1005.54,0,44199.5,,0,0,,0,0,boundary
96,18.75,-0.75,,1005.45,0,43467.4,,0,0,,0,0,boundary
97,19.25,-0.75,,1005.37,0,42795.8,,0,0,,0,0,boundary
98,19.75,-0.75,,1005.29,0,42215.8,,0,0,,0,0,boundary
99,20.25,-0.75,,1005.23,0,41662.5,,0,0,,0,0,boundary
100,20.75,-0.75,,1005.16,0,41111.5,,0,0,,0,0,boundary
101,21.25,-0.75,,1005.09,0,40538.6,,0,0,,0,0,boundary
102,21.75,-0.75,,1005.02,0,39965.9,,0,0,,0,0,boundary
103,22.25,-0.75,,1004.95,0,39464,,0,0,,0,0,boundary
104,22.75,-0.75,,1004.9,0,38989.9,,0,0,,0,0,boundary
105,23.25,-0.75,,1004.87,0,38776.3,,0,0,,0,0,boundary
106,23.75,-0.75,,1004.87,0,38786.3,,0,0,,0,0,boundary
107,24.25,-0.75,,1004.84,0,38566.1,,0,0,,0,0,boundary
108,24.75,-0.75,,1004.79,0,38152.6,,0,0,,0,0,boundary
109,25.25,-0.75,,1004.78,0,38054.7,,0,0,,0,0,boundary
110,25.75,-0.75,,1004.79,0,38171.5,,0,0,,0,0,boundary
111,26.25,-0.75,,1004.74,0,37698.9,,0,0,,0,0,boundary
112,-1.25,-1.25,,1005.29,0,42152.3,,0,0,,0,0,boundary
113,-0.75,-1.25,,1005.36,0,42763.5,,0,0,,0,0,boundary
114,-0.25,-1.25,,1005.41,0,43159.2,,0,0,,0,0,boundary
115,0.25,-1.25,,1005.4,0,43066.4,,0,0,,0,0,boundary
116,0.75,-1.25,,1005.35,0,42642.2,,0,0,,0,0,boundary
117,1.25,-1.25,,1005.49,0,43814.8,,0,0,,0,0,boundary
118,1.75,-1.25,,1005.79,0,46225.8,,0,0,,0,0,boundary
119,2.25,-1.25,,1006.09,0,48677.7,,0,0,,0,0,boundary
120,2.75,-1.25,,1006.39,0,51111.2,,0,0,,0,0,boundary
121,3.25,-1.25,,1006.79,0,54401.3,,0,0,,0,0,boundary
122,3.75,-1.25,,1007.25,0,58123.7,,0,0,,0,0,boundary
123,4.25,-1.25,,1007.61,0,61118.1,,0,0,,0,0,boundary
124,4.75,-1.25,,1007.64,0,61363.4,,0,0,,0,0,boundary
125,5.25,-1.25,,1007.23,0,57996.1,,0,0,,0,0,boundary
126,5.75,-1.25,,1006.56,0,52530.6,,0,0,,0,0,boundary
127,6.25,-1.25,,1006.12,0,48958.5,,0,0,,0,0,boundary
128,6.75,-1.25,,1006.14,0,49111.4,,0,0,,0,0,boundary
129,7.25,-1.25,,1005.91,0,47190.7,,0,0,,0,0,boundary
130,7.75,-1.25,,1005.27,0,42000.9,,0,0,,0,0,boundary
131,8.25,-1.25,,1005.03,0,40050.9,,0,0,,0,0,boundary
132,8.75,-1.25,,1005.03,0,40038.4,,0,0,,0,0,boundary
133,9.25,-1.25,,1005.08,0,40516.1,,0,0,,0,0,boundary
134,9.75,-1.25,,1005.44,0,43415.6,,0,0,,0,0,boundary
135,10.25,-1.25,,1005.84,0,46677.7,,0,0,,0,0,boundary
136,10.75,-1.25,,1006.33,0,50622.9,,0,0,,0,0,boundary
137,11.25,-1.25,,1006.82,0,54662.6,,0,0,,0,0,boundary
138,11.75,-1.25,,1007.29,0,58468.5,,0,0,,0,0,boundary
139,12.25,-1.25,,1007.47,0,59986.7,,0,0,,0,0,boundary
140,12.75,-1.25,,1007.27,0,58274.6,,0,0,,0,0,boundary
141,13.25,-1.25,,1007.03,0,56358.2,,0,0,,0,0,boundary
142,13.75,-1.25,,1006.94,0,55608.2,,0,0,,0,0,boundary
143,14.25,-1.25,,1006.9,0,55272.1,,0,0,,0,0,boundary
144,14.75,-1.25,,1006.81,0,54518.1,,0,0,,0,0,boundary
145,15.25,-1.25,,1006.65,0,53232.9,,0,0,,0,0,boundary
146,15.75,-1.25,,1006.5,0,52015,,0,0,,0,0,boundary
147,16.25,-1.25,,1006.4,0,51162.8,,0,0,,0,0,boundary
148,16.75,-1.25,,1006.33,0,50590.5,,0,0,,0,0,boundary
149,17.25,-1.25,,1006.22,0,49735.7,,0,0,,0,0,boundary
150,17.75,-1.25,,1006.09,0,48699.5,,0,0,,0,0,boundary
151,18.25,-1.25,,1006.01,0,48032.3,,0,0,,0,0,boundary
152,18.75,-1.25,,1005.97,0,47659.7,,0,0,,0,0,boundary
153,19.25,-1.25,,1005.93,0,47399.4,,0,0,,0,0,boundary
154,19.75,-1.25,,1005.89,0,47087.9,,0,0,,0,0,boundary
155,20.25,-1.25,,1005.82,0,46500.4,,0,0,,0,0,boundary
156,20.75,-1.25,,1005.73,0,45756.8,,0,0,,0,0,boundary
157,21.25,-1.25,,1005.67,0,45250.7,,0,0,,0,0,boundary
158,21.75,-1.25,,1005.63,0,44967.5,,0,0,,0,0,boundary
159,22.25,-1.25,,1005.6,0,44697.1,,0,0,,0,0,boundary
160,22.75,-1.25,,1005.57,0,44461.3,,0,0,,0,0,boundary
161,23.25,-1.25,,1005.53,0,44125,,0,0,,0,0,boundary
162,23.75,-1.25,,1005.51,0,43932.6,,0,0,,0,0,boundary
163,24.25,-1.25,,1005.51,0,43935.4,,0,0,,0,0,boundary
164,24.75,-1.25,,1005.48,0,43707.7,,0,0,,0,0,boundary
165,25.25,-1.25,,1005.49,0,43804.5,,0,0,,0,0,boundary
166,25.75,-1.25,,1005.47,0,43633.1,,0,0,,0,0,boundary
167,26.25,-1.25,,1005.33,0,42522.8,,0,0,,0,0,boundary
168,-0.25,0.25,,1005.51,0,43953.4,,0,0,,0,0,boundary
169,-0.25,0.75,,1005.23,0,41721.6,,0,0,,0,0,boundary
170,-0.25,1.25,,1005.05,0,40262.8,,0,0,,0,0,boundary
171,-0.25,1.75,,1004.95,0,39395.8,,0,0,,0,0,boundary
172,-0.25,2.25,,1004.79,0,38174.7,,0,0,,0,0,boundary
173,-0.25,2.75,,1004.38,0,34803,,0,0,,0,0,boundary
174,-0.25,3.25,,1003.34,0,26455.9,,0,0,,0,0,boundary
175,-0.25,3.75,,1002.1,0,16565.2,,0,0,,0,0,boundary
176,-0.25,4.25,,1000.82,0,6443.67,,0,0,,0,0,boundary
177,-0.25,4.75,,1000.88,0,6921.24,,0,0,,0,0,boundary
178,-0.25,5.25,,1000.82,0,6467.09,,0,0,,0,0,boundary
179,-0.25,5.75,,1000.86,0,6798.78,,0,0,,0,0,boundary
180,-0.25,6.25,,1000,0,0,,0,0,,0,0,boundary
181,-0.25,6.75,,1000,0,0,,0,0,,0,0,boundary
182,-0.25,7.25,,1000,0,0,,0,0,,0,0,boundary
183,-0.25,7.75,,1000,0,0,,0,0,,0,0,boundary
184,-0.25,8.25,,1000,0,0,,0,0,,0,0,boundary
185,-0.25,8.75,,1000,0,0,,0,0,,0,0,boundary
186,-0.25,9.25,,1000,0,0,,0,0,,0,0,boundary
187,-0.25,9.75,,1000,0,0,,0,0,,0,0,boundary
188,-0.75,0.25,,1005.47,0,43635.5,,0,0,,0,0,boundary
189,-0.75,0.75,,1005.2,0,41418.2,,0,0,,0,0,boundary
190,-0.75,1.25,,1005.04,0,40197.3,,0,0,,0,0,boundary
191,-0.75,1.75,,1005.1,0,40676.5,,0,0,,0,0,boundary
192,-0.75,2.25,,1004.99,0,39753.2,,0,0,,0,0,boundary
193,-0.75,2.75,,1004.33,0,34439.1,,0,0,,0,0,boundary
194,-0.75,3.25,,1003.11,0,24616,,0,0,,0,0,boundary
195,-0.75,3.75,,1001.6,0,12593.8,,0,0,,0,0,boundary
196,-0.75,4.25,,1000.35,0,2758.23,,0,0,,0,0,boundary
197,-0.75,4.75,,1000.81,0,6365.11,,0,0,,0,0,boundary
198,-0.75,5.25,,1000.68,0,5312.5,,0,0,,0,0,boundary
199,-0.75,5.75,,1000.59,0,4628.64,,0,0,,0,0,boundary
200,-0.75,6.25,,1000.53,0,4177.61,,0,0,,0,0,boundary
201,-0.75,6.75,,1000,0,0,,0,0,,0,0,boundary
202,-0.75,7.25,,1000,0,0,,0,0,,0,0,boundary
203,-0.75,7.75,,1000,0,0,,0,0,,0,0,boundary
204,-0.75,8.25,,1000,0,0,,0,0,,0,0,boundary
205,-0.75,8.75,,1000,0,0,,0,0,,0,0,boundary
206,-0.75,9.25,,1000,0,0,,0,0,,0,0,boundary
207,-0.75,9.75,,1000,0,0,,0,0,,0,0,boundary
208,-1.25,0.25,,1005.21,0,41552.5,,0,0,,0,0,boundary
209,-1.25,0.75,,1004.89,0,38952.1,,0,0,,0,0,boundary
210,-1.25,1.25,,1004.83,0,38495.3,,0,0,,0,0,boundary
211,-1.25,1.75,,1005.08,0,40495.4,,0,0,,0,0,boundary
212,-1.25,2.25,,1005.03,0,40075,,0,0,,0,0,boundary
213,-1.25,2.75,,1004.22,0,33524.1,,0,0,,0,0,boundary
214,-1.25,3.25,,1002.69,0,21309.1,,0,0,,0,0,boundary
215,-1.25,3.75,,1000.99,0,7803.04,,0,0,,0,0,boundary
216,-1.25,4.25,,999.664,0,-2634.72,,0,0,,0,0,boundary
217,-1.25,4.75,,998.499,0,-11724.6,,0,0,,0,0,boundary
218,-1.25,5.25,,1000.59,0,4623.09,,0,0,,0,0,boundary
219,-1.25,5.75,,1000.51,0,4010.09,,0,0,,0,0,boundary
220,-1.25,6.25,,1000.53,0,4177.61,,0,0,,0,0,boundary
221,-1.25,6.75,,1000,0,0,,0,0,,0,0,boundary
222,-1.25,7.25,,1000,0,0,,0,0,,0,0,boundary
223,-1.25,7.75,,1000,0,0,,0,0,,0,0,boundary
224,-1.25,8.25,,1000,0,0,,0,0,,0,0,boundary
225,-1.25,8.75,,1000,0,0,,0,0,,0,0,boundary
