time,ID,r,z,u_r,u_z,rho,pressure,pairAr,pairAz,totalAr,totalAz
0,858,1.875,11.375,0,0,1000.52,6132.85,-3.26965,10.1701,-0.000496157,0.360062
0.01,858,1.875,11.375,-0.000548669,-0.00253972,1000.53,6302.02,-3.49835,8.20812,-0.139067,-1.60188
0.02,858,1.87498,11.3749,-0.00208955,-0.0103229,1000.51,6020.98,-3.18022,9.097,0.0293565,-0.713003
0.03,858,1.87498,11.3748,0.00465867,-0.0091744,1000.4,4765.21,-0.664384,8.05886,1.87606,-1.75114
0.04,858,1.87518,11.3745,0.0383523,-0.058129,1000.04,496.058,4.08549,0.581207,4.35002,-9.22879
0.05,858,1.87575,11.3733,0.0693552,-0.198995,999.477,-6150.55,3.82274,-7.97218,0.54204,-17.7822
0.06,858,1.87634,11.3703,0.0384971,-0.413038,999.222,-9138.23,-1.37696,-12.6958,-6.25098,-22.5058
0.07,858,1.8764,11.365,-0.0255261,-0.650591,999.23,-9042.24,-0.264109,-13.2039,-5.08676,-23.0139
0.08,858,1.87599,11.3573,-0.0453012,-0.886017,999.273,-8539.02,5.36021,-12.1659,0.805153,-21.9759
0.09,858,1.87562,11.3474,-0.0252866,-1.09416,999.614,-4532.88,4.99309,-7.27342,2.57542,-17.0834
0.1,858,1.87548,11.3357,-0.00637451,-1.22803,1000.03,367.546,0.876108,0.0976319,1.07208,-9.71237
0.11,858,1.87544,11.3231,-0.0049517,-1.30111,1000.18,2157.88,-1.62781,3.64887,-0.477422,-6.16113
0.12,858,1.87536,11.3098,-0.00931217,-1.34888,1000.39,4582.71,-2.45416,6.49858,-0.0114682,-3.31142
0.13,858,1.87528,11.2962,-0.00551613,-1.34753,1000.72,8442.64,-4.0313,12.0975,0.467538,2.28752
0.14,858,1.87524,11.283,-0.00392066,-1.28992,1000.93,11008.7,-5.92787,16.4789,-0.0627854,6.66892
0.15,858,1.87521,11.2705,0.000264297,-1.1962,1001.09,12814.8,-5.3578,19.1061,1.46859,9.29614
0.16,858,1.87533,11.2591,0.02835,-1.09269,1001,11866.1,-2.45084,16.7642,3.87027,6.95425
0.17,858,1.87581,11.2484,0.0656059,-1.07323,1000.2,2408.5,1.60077,2.90387,2.88449,-6.90613
0.18,858,1.87654,11.2369,0.0734508,-1.2503,998.846,-13533.2,5.61096,-17.2327,-1.60916,-27.0427
0.19,858,1.87713,11.2227,0.0363731,-1.62464,997.894,-24633,7.56026,-31.8126,-5.59016,-41.6226
0.2,858,1.87719,11.2042,-0.0235635,-2.08453,998.025,-23113.1,6.25286,-32.5391,-6.08412,-42.3491
0.21,858,1.87669,11.1814,-0.0729004,-2.46402,999.042,-11249.1,2.55637,-17.9493,-3.44352,-27.7593
0.22,858,1.87586,11.1557,-0.0832716,-2.63267,1000.39,4626.9,-0.373868,4.74647,2.09171,-5.06353
0.23,858,1.87523,11.1295,-0.0328527,-2.5667,1001.44,17006.1,-1.38045,23.1144,7.67533,13.3044
0.24,858,1.8753,11.1047,0.0414341,-2.38427,1001.53,18103.5,-4.06303,25.8563,5.57587,16.0463
0.25,858,1.87585,11.0816,0.0529764,-2.25411,1000.82,9697.97,-8.65983,15.7802,-3.49416,5.97022
0.26,858,1.87611,11.0592,-0.00482824,-2.24455,1000.23,2737.31,-7.50314,6.01306,-6.04444,-3.79694
0.27,858,1.87586,11.0365,-0.0313588,-2.29579,1000.24,2775.59,-0.0887475,4.3911,1.39054,-5.4189
0.28,858,1.87573,11.0133,0.0131277,-2.33758,1000.35,4149.07,3.93728,5.48994,6.14848,-4.32006
0.29,858,1.87614,10.9896,0.0623185,-2.39852,999.983,-194.406,2.90094,-0.408901,2.79732,-10.2189
0.3,858,1.87681,10.9649,0.0651064,-2.56437,999.191,-9499.34,2.95416,-12.4969,-2.11136,-22.3069
0.31,858,1.8773,10.938,0.0277383,-2.85256,998.656,-15754.2,3.21404,-20.9833,-5.18918,-30.7933
0.32,858,1.87731,10.9078,-0.027165,-3.17097,998.933,-12521,1.35637,-17.7496,-5.32043,-27.5596
0.33,858,1.87682,10.8749,-0.0631086,-3.39441,999.778,-2608.48,0.177969,-5.08755,-1.21218,-14.8975
0.34,858,1.87622,10.8405,-0.0463649,-3.47077,1000.56,6567.67,0.960302,8.0923,4.45882,-1.7177
0.35,858,1.87602,10.8059,0.00754768,-3.43777,1000.89,10471.3,-0.187311,14.6556,5.38938,4.84565
0.36,858,1.87631,10.7718,0.0418305,-3.38005,1000.74,8730.81,-3.56877,13.1061,1.08097,3.29608
0.37,858,1.87671,10.738,0.0310489,-3.3724,1000.3,3571.71,-4.67969,6.27775,-2.77709,-3.53225
0.38,858,1.87686,10.704,0.00140059,-3.44112,999.963,-440.202,-2.32741,0.258919,-2.56196,-9.55108
0.39,858,1.87679,10.6691,-0.0121395,-3.54508,999.978,-255.824,0.152968,-0.252584,0.0166553,-10.0626
0.4,858,1.87672,10.6332,0.00178799,-3.63315,1000.14,1596.74,1.68614,1.92222,2.53684,-7.88778
0.41,858,1.87687,10.5965,0.0294578,-3.71071,1000.05,621.88,2.23043,0.97857,2.56175,-8.83143
0.42,858,1.87726,10.5589,0.0434982,-3.81931,999.782,-2565.24,1.38931,-2.80275,0.0225306,-12.6128
0.43,858,1.87765,10.52,0.0297802,-3.96157,999.7,-3532.89,-0.758301,-4.62569,-2.64042,-14.4357
0.44,858,1.8778,10.4797,0.000201515,-4.10217,999.884,-1369.96,-2.13213,-3.09832,-2.86177,-12.9083
0.45,858,1.87769,10.438,-0.0175732,-4.2201,999.983,-196.495,-0.236774,-1.12951,-0.341423,-10.9395
0.46,858,1.87755,10.3953,-0.00652676,-4.32639,999.903,-1146.18,2.97289,-0.341232,2.36236,-10.1512
0.47,858,1.87761,10.3515,0.0189566,-4.42162,1000.04,468.253,1.9831,1.77536,2.23248,-8.03464
0.48,858,1.87787,10.307,0.0288141,-4.47936,1000.41,4823.23,-2.87945,5.54902,-0.312042,-4.26098
0.49,858,1.87812,10.262,0.0199555,-4.50581,1000.45,5308.2,-3.79567,6.24924,-0.970602,-3.56076
0.5,858,1.87829,10.2168,0.0158196,-4.55903,1000.01,93.2818,0.0468967,1.34866,0.0965594,-8.46134
0.51,858,1.87845,10.1706,0.0160727,-4.67677,999.656,-4043.76,1.81778,-3.845,-0.33567,-13.655
0.52,858,1.87858,10.1231,0.00877325,-4.8216,999.797,-2387.97,0.405622,-3.4313,-0.865793,-13.2413
0.53,858,1.87865,10.0743,0.00665582,-4.92929,1000.16,1900.64,-0.274772,1.89311,0.73677,-7.91689
0.54,858,1.87878,10.0248,0.0227641,-4.97834,1000.37,4344.19,-0.20523,6.28765,2.10616,-3.52235
0.55,858,1.8791,9.97483,0.0387055,-5.00613,1000.36,4236.88,-1.58462,6.01072,0.669305,-3.79928
0.56,858,1.87948,9.92454,0.0348112,-5.05482,1000.18,2081.35,-2.36214,2.97556,-1.25493,-6.83444
0.57,858,1.87977,9.8736,0.0220196,-5.13842,999.952,-561.383,-0.63457,0.108651,-0.93323,-9.70135
0.58,858,1.87996,9.82171,0.0198938,-5.2425,999.924,-898.322,0.9846,-0.59209,0.506723,-10.4021
0.59,858,1.8802,9.76877,0.0295942,-5.34295,1000.05,558.524,0.857726,0.186672,1.15477,-9.62333
0.6,858,1.88055,9.71487,0.037687,-5.43647,1000.04,417.316,0.114212,0.244773,0.336116,-9.56523
0.61,858,1.88092,9.66001,0.03634,-5.53695,999.921,-925.55,-0.0129913,-0.671107,-0.505102,-10.4811
0.62,858,1.88126,9.6041,0.0303164,-5.64643,999.917,-974.567,-0.126864,-1.21828,-0.644947,-11.0283
0.63,858,1.88153,9.54709,0.0247319,-5.75491,999.991,-102.662,-0.459568,-0.45332,-0.514131,-10.2633
0.64,858,1.88176,9.48907,0.0207795,-5.84614,1000.1,1189.21,-0.763138,1.98051,-0.131232,-7.82949
0.65,858,1.88198,9.43027,0.025057,-5.90667,1000.28,3330.66,-0.670128,4.93014,1.09914,-4.87986
0.66,858,1.8823,9.37101,0.0413457,-5.94088,1000.4,4673.05,-0.604781,6.52194,1.87686,-3.28806
