h/dp :,2
L2norm Pressure,KE,dp,Nparticles
3783.04,283269,0.25,1600

t,1.34
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1010.27,0,103945,,0,0,0,,0,0,823.1,-9.81,boundary
1,0.375,-0.125,,1010.24,0,103566,,0,0,0,,0,0,273.377,-9.81,boundary
2,0.625,-0.125,,1010.19,0,103044,,0,0,0,,0,0,163.207,-9.81,boundary
3,0.875,-0.125,,1010.14,0,102595,,0,0,0,,0,0,116.074,-9.81,boundary
4,1.125,-0.125,,1010.11,0,102270,,0,0,0,,0,0,89.9967,-9.81,boundary
5,1.375,-0.125,,1010.09,0,102023,,0,0,0,,0,0,73.4574,-9.81,boundary
6,1.625,-0.125,,1010.07,0,101822,,0,0,0,,0,0,62.0352,-9.81,boundary
7,1.875,-0.125,,1010.05,0,101664,,0,0,0,,0,0,53.6808,-9.81,boundary
8,2.125,-0.125,,1010.04,0,101535,,0,0,0,,0,0,47.3062,-9.81,boundary
9,2.375,-0.125,,1010.03,0,101425,,0,0,0,,0,0,42.2811,-9.81,boundary
10,2.625,-0.125,,1010.02,0,101331,,0,0,0,,0,0,38.2191,-9.81,boundary
11,2.875,-0.125,,1010.02,0,101253,,0,0,0,,0,0,34.8692,-9.81,boundary
12,3.125,-0.125,,1010.01,0,101190,,0,0,0,,0,0,32.06,-9.81,boundary
13,3.375,-0.125,,1010,0,101143,,0,0,0,,0,0,29.6715,-9.81,boundary
14,3.625,-0.125,,1010,0,101110,,0,0,0,,0,0,27.6161,-9.81,boundary
15,3.875,-0.125,,1010,0,101088,,0,0,0,,0,0,25.8289,-9.81,boundary
16,4.125,-0.125,,1010,0,101074,,0,0,0,,0,0,24.2603,-9.81,boundary
17,4.375,-0.125,,1010,0,101065,,0,0,0,,0,0,22.8719,-9.81,boundary
18,4.625,-0.125,,1010,0,101056,,0,0,0,,0,0,21.6337,-9.81,boundary
19,4.875,-0.125,,1010,0,101043,,0,0,0,,0,0,20.5216,-9.81,boundary
20,5.125,-0.125,,1009.99,0,101022,,0,0,0,,0,0,19.5166,-9.81,boundary
