h/dp :,2
L2norm Pressure,KE,dp,Nparticles
18570,2173.41,0.25,1600

t,4.52
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1007.07,0,70883,,0,0,0,,0,0,563.081,-9.81,boundary
1,0.375,-0.125,,1007.24,0,72599.1,,0,0,0,,0,0,192.206,-9.81,boundary
2,0.625,-0.125,,1007.35,0,73763.7,,0,0,0,,0,0,117.16,-9.81,boundary
3,0.875,-0.125,,1007.35,0,73712.1,,0,0,0,,0,0,83.6277,-9.81,boundary
4,1.125,-0.125,,1007.25,0,72645.6,,0,0,0,,0,0,64.1094,-9.81,boundary
5,1.375,-0.125,,1007.13,0,71414.8,,0,0,0,,0,0,51.5705,-9.81,boundary
6,1.625,-0.125,,1007.07,0,70877.9,,0,0,0,,0,0,43.3108,-9.81,boundary
7,1.875,-0.125,,1007.09,0,71069.7,,0,0,0,,0,0,37.6369,-9.81,boundary
8,2.125,-0.125,,1007.13,0,71445,,0,0,0,,0,0,33.3832,-9.81,boundary
9,2.375,-0.125,,1007.15,0,71646.4,,0,0,0,,0,0,29.9528,-9.81,boundary
10,2.625,-0.125,,1007.15,0,71678.5,,0,0,0,,0,0,27.1122,-9.81,boundary
11,2.875,-0.125,,1007.15,0,71676.7,,0,0,0,,0,0,24.754,-9.81,boundary
12,3.125,-0.125,,1007.15,0,71715,,0,0,0,,0,0,22.7858,-9.81,boundary
13,3.375,-0.125,,1007.16,0,71791.3,,0,0,0,,0,0,21.1202,-9.81,boundary
14,3.625,-0.125,,1007.17,0,71880.1,,0,0,0,,0,0,19.6878,-9.81,boundary
15,3.875,-0.125,,1007.18,0,71966.5,,0,0,0,,0,0,18.4396,-9.81,boundary
16,4.125,-0.125,,1007.19,0,72048.6,,0,0,0,,0,0,17.3417,-9.81,boundary
17,4.375,-0.125,,1007.2,0,72127.7,,0,0,0,,0,0,16.3685,-9.81,boundary
18,4.625,-0.125,,1007.2,0,72203.3,,0,0,0,,0,0,15.4999,-9.81,boundary
19,4.875,-0.125,,1007.21,0,72274.7,,0,0,0,,0,0,14.7195,-9.81,boundary
20,5.125,-0.125,,1007.22,0,72341,,0,0,0,,0,0,14.0142,-9.81,boundary
21,5.375,-0.125,,1007.22,0,72401.6,,0,0,0,,0,0,13.3735,-9.81,boundary
22,5.625,-0.125,,1007.23,0,72456.2,,0,0,0,,0,0,12.7887,-9.81,boundary
23,5.875,-0.125,,1007.23,0,72504.6,,0,0,0,,0,0,12.2526,-9.81,boundary
24,6.125,-0.125,,1007.24,0,72547,,0,0,0,,0,0,11.7593,-9.81,boundary
25,6.375,-0.125,,1007.24,0,72583.4,,0,0,0,,0,0,11.3038,-9.81,boundary
26,6.625,-0.125,,1007.24,0,72613.8,,0,0,0,,0,0,10.8818,-9.81,boundary
