h/dp :,2
L2norm Pressure,KE,dp,Nparticles
3898.4,9741.42,0.25,1600

t,8.12
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1008.8,0,88610.3,,0,0,0,,0,0,702.7,-9.81,boundary
1,0.375,-0.125,,1009.05,0,91232.4,,0,0,0,,0,0,241.104,-9.81,boundary
2,0.625,-0.125,,1009.23,0,93076.6,,0,0,0,,0,0,147.561,-9.81,boundary
3,0.875,-0.125,,1009.28,0,93648.2,,0,0,0,,0,0,106.042,-9.81,boundary
4,1.125,-0.125,,1009.3,0,93823,,0,0,0,,0,0,82.6297,-9.81,boundary
5,1.375,-0.125,,1009.3,0,93821.5,,0,0,0,,0,0,67.6051,-9.81,boundary
6,1.625,-0.125,,1009.28,0,93578.9,,0,0,0,,0,0,57.0577,-9.81,boundary
7,1.875,-0.125,,1009.25,0,93305.5,,0,0,0,,0,0,49.3068,-9.81,boundary
8,2.125,-0.125,,1009.24,0,93197.3,,0,0,0,,0,0,43.456,-9.81,boundary
9,2.375,-0.125,,1009.24,0,93211.3,,0,0,0,,0,0,38.8875,-9.81,boundary
10,2.625,-0.125,,1009.24,0,93228.7,,0,0,0,,0,0,35.1904,-9.81,boundary
11,2.875,-0.125,,1009.24,0,93215.5,,0,0,0,,0,0,32.1259,-9.81,boundary
12,3.125,-0.125,,1009.24,0,93204,,0,0,0,,0,0,29.5522,-9.81,boundary
13,3.375,-0.125,,1009.24,0,93214.7,,0,0,0,,0,0,27.3663,-9.81,boundary
14,3.625,-0.125,,1009.24,0,93243.1,,0,0,0,,0,0,25.4866,-9.81,boundary
15,3.875,-0.125,,1009.25,0,93280.5,,0,0,0,,0,0,23.8518,-9.81,boundary
16,4.125,-0.125,,1009.25,0,93322.9,,0,0,0,,0,0,22.4163,-9.81,boundary
17,4.375,-0.125,,1009.26,0,93369.3,,0,0,0,,0,0,21.1458,-9.81,boundary
18,4.625,-0.125,,1009.26,0,93419.1,,0,0,0,,0,0,20.0134,-9.81,boundary
19,4.875,-0.125,,1009.27,0,93470.4,,0,0,0,,0,0,18.9974,-9.81,boundary
20,5.125,-0.125,,1009.27,0,93521.8,,0,0,0,,0,0,18.0805,-9.81,boundary
21,5.375,-0.125,,1009.28,0,93572.3,,0,0,0,,0,0,17.2488,-9.81,boundary
22,5.625,-0.125,,1009.28,0,93621.2,,0,0,0,,0,0,16.4907,-9.81,boundary
23,5.875,-0.125,,1009.29,0,93668.6,,0,0,0,,0,0,15.7969,-9.81,boundary
24,6.125,-0.125,,1009.29,0,93714.3,,0,0,0,,0,0,15.1595,-9.81,boundary
25,6.375,-0.125,,1009.29,0,93758.1,,0,0,0,,0,0,14.5717,-9.81,boundary
26,6.625,-0.125,,1009.3,0,93799.9,,0,0,0,,0,0,14.028,-9.81,boundary
27,6.875,-0.125,,1009.3,0,93839.2,,0,0,0,,0,0,13.5235,-9.81,boundary
28,7.125,-0.125,,1009.31,0,93875.6,,0,0,0,,0,0,13.0541,-9.81,boundary
29,7.375,-0.125,,1009.31,0,93909.4,,0,0,0,,0,0,12.616,-9.81,boundary
30,7.625,-0.125,,1009.31,0,93940.3,,0,0,0,,0,0,12.2064,-9.81,boundary
31,7.875,-0.125,,1009.31,0,93968.8,,0,0,0,,0,0,11.8224,-9.81,boundary
32,8.125,-0.125,,1009.32,0,93995,,0,0,0,,0,0,11.4618,-9.81,boundary
33,8.375,-0.125,,1009.32,0,94019.8,,0,0,0,,0,0,11.1226,-9.81,boundary
34,8.625,-0.125,,1009.32,0,94046.3,,0,0,0,,0,0,10.8032,-9.81,boundary
35,8.875,-0.125,,1009.32,0,94072.7,,0,0,0,,0,0,10.5018,-9.81,boundary
36,9.125,-0.125,,1009.33,0,94096.5,,0,0,0,,0,0,10.2167,-9.81,boundary
37,9.375,-0.125,,1009.33,0,94129.1,,0,0,0,,0,0,9.94763,-9.81,boundary
38,9.625,-0.125,,1009.33,0,94180.1,,0,0,0,,0,0,9.69445,-9.81,boundary
39,9.875,-0.125,,1009.34,0,94252.4,,0,0,0,,0,0,9.45621,-9.81,boundary
40,10.125,-0.125,,1009.35,0,94307,,0,0,0,,0,0,9.22801,-9.81,boundary
41,10.375,-0.125,,1009.35,0,94321.6,,0,0,0,,0,0,9.00704,-9.81,boundary
42,10.625,-0.125,,1009.34,0,94282.7,,0,0,0,,0,0,8.79151,-9.81,boundary
43,10.875,-0.125,,1009.34,0,94200.8,,0,0,0,,0,0,8.58201,-9.81,boundary
44,0.125,-0.375,,1008.89,0,89575.3,,0,0,0,,0,0,710.288,-9.81,boundary
45,0.375,-0.375,,1009.23,0,93053.5,,0,0,0,,0,0,245.874,-9.81,boundary
46,0.625,-0.375,,1009.45,0,95330,,0,0,0,,0,0,151.101,-9.81,boundary
47,0.875,-0.375,,1009.51,0,96022,,0,0,0,,0,0,108.705,-9.81,boundary
48,1.125,-0.375,,1009.53,0,96226.4,,0,0,0,,0,0,84.727,-9.81,boundary
49,1.375,-0.375,,1009.53,0,96253.4,,0,0,0,,0,0,69.3413,-9.81,boundary
50,1.625,-0.375,,1009.51,0,96010.8,,0,0,0,,0,0,58.5269,-9.81,boundary
51,1.875,-0.375,,1009.48,0,95709.3,,0,0,0,,0,0,50.5655,-9.81,boundary
52,2.125,-0.375,,1009.47,0,95560.1,,0,0,0,,0,0,44.5477,-9.81,boundary
53,2.375,-0.375,,1009.47,0,95554.7,,0,0,0,,0,0,39.8562,-9.81,boundary
54,2.625,-0.375,,1009.47,0,95572,,0,0,0,,0,0,36.0669,-9.81,boundary
55,2.875,-0.375,,1009.47,0,95564.8,,0,0,0,,0,0,32.9281,-9.81,boundary
56,3.125,-0.375,,1009.47,0,95556.1,,0,0,0,,0,0,30.2912,-9.81,boundary
57,3.375,-0.375,,1009.47,0,95566.8,,0,0,0,,0,0,28.0505,-9.81,boundary
58,3.625,-0.375,,1009.47,0,95596,,0,0,0,,0,0,26.1239,-9.81,boundary
59,3.875,-0.375,,1009.48,0,95636.8,,0,0,0,,0,0,24.4488,-9.81,boundary
60,4.125,-0.375,,1009.48,0,95684.8,,0,0,0,,0,0,22.9785,-9.81,boundary
61,4.375,-0.375,,1009.49,0,95738.2,,0,0,0,,0,0,21.6774,-9.81,boundary
62,4.625,-0.375,,1009.49,0,95795.3,,0,0,0,,0,0,20.5178,-9.81,boundary
63,4.875,-0.375,,1009.5,0,95854.1,,0,0,0,,0,0,19.4774,-9.81,boundary
64,5.125,-0.375,,1009.5,0,95912.6,,0,0,0,,0,0,18.5385,-9.81,boundary
65,5.375,-0.375,,1009.51,0,95969.8,,0,0,0,,0,0,17.6867,-9.81,boundary
66,5.625,-0.375,,1009.51,0,96025,,0,0,0,,0,0,16.9102,-9.81,boundary
67,5.875,-0.375,,1009.52,0,96078,,0,0,0,,0,0,16.1995,-9.81,boundary
68,6.125,-0.375,,1009.52,0,96128.8,,0,0,0,,0,0,15.5465,-9.81,boundary
69,6.375,-0.375,,1009.53,0,96177.2,,0,0,0,,0,0,14.9442,-9.81,boundary
70,6.625,-0.375,,1009.53,0,96223.1,,0,0,0,,0,0,14.3871,-9.81,boundary
71,6.875,-0.375,,1009.54,0,96266.1,,0,0,0,,0,0,13.8701,-9.81,boundary
72,7.125,-0.375,,1009.54,0,96306.2,,0,0,0,,0,0,13.3889,-9.81,boundary
73,7.375,-0.375,,1009.54,0,96343.2,,0,0,0,,0,0,12.94,-9.81,boundary
74,7.625,-0.375,,1009.55,0,96377.3,,0,0,0,,0,0,12.5201,-9.81,boundary
75,7.875,-0.375,,1009.55,0,96409.1,,0,0,0,,0,0,12.1266,-9.81,boundary
76,8.125,-0.375,,1009.55,0,96438.5,,0,0,0,,0,0,11.757,-9.81,boundary
77,8.375,-0.375,,1009.56,0,96466.8,,0,0,0,,0,0,11.4094,-9.81,boundary
