h/dp :,2
L2norm Pressure,KE,dp,Nparticles
243204,1.18107e+07,0.25,1920

t,9
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.125,-0.125,,1002.34,0,18504.5,,0,0,,0,0,boundary
1,0.375,-0.125,,1002.24,0,17721.6,,0,0,,0,0,boundary
2,0.625,-0.125,,1002.08,0,16401.9,,0,0,,0,0,boundary
3,0.875,-0.125,,1001.97,0,15521.5,,0,0,,0,0,boundary
4,1.125,-0.125,,1001.97,0,15579.7,,0,0,,0,0,boundary
5,1.375,-0.125,,1002.14,0,16877.8,,0,0,,0,0,boundary
6,1.625,-0.125,,1002.46,0,19462,,0,0,,0,0,boundary
7,1.875,-0.125,,1002.94,0,23303.7,,0,0,,0,0,boundary
8,2.125,-0.125,,1003.42,0,27101.7,,0,0,,0,0,boundary
9,2.375,-0.125,,1003.77,0,29941.6,,0,0,,0,0,boundary
10,2.625,-0.125,,1003.98,0,31598.6,,0,0,,0,0,boundary
11,2.875,-0.125,,1004.06,0,32219.1,,0,0,,0,0,boundary
12,3.125,-0.125,,1003.98,0,31592.7,,0,0,,0,0,boundary
13,3.375,-0.125,,1003.79,0,30106.7,,0,0,,0,0,boundary
14,3.625,-0.125,,1003.71,0,29465.5,,0,0,,0,0,boundary
15,3.875,-0.125,,1003.54,0,28090.5,,0,0,,0,0,boundary
16,4.125,-0.125,,1003.32,0,26336.7,,0,0,,0,0,boundary
17,4.375,-0.125,,1003.11,0,24614.1,,0,0,,0,0,boundary
18,4.625,-0.125,,1002.92,0,23149,,0,0,,0,0,boundary
19,4.875,-0.125,,1002.78,0,21989.7,,0,0,,0,0,boundary
20,5.125,-0.125,,1002.67,0,21157.5,,0,0,,0,0,boundary
21,5.375,-0.125,,1002.63,0,20811.7,,0,0,,0,0,boundary
22,5.625,-0.125,,1002.67,0,21093.3,,0,0,,0,0,boundary
23,5.875,-0.125,,1002.79,0,22096,,0,0,,0,0,boundary
24,6.125,-0.125,,1002.99,0,23642.5,,0,0,,0,0,boundary
25,6.375,-0.125,,1003.22,0,25503.7,,0,0,,0,0,boundary
26,6.625,-0.125,,1003.48,0,27579,,0,0,,0,0,boundary
27,6.875,-0.125,,1003.76,0,29808,,0,0,,0,0,boundary
28,7.125,-0.125,,1004.03,0,31994.7,,0,0,,0,0,boundary
29,7.375,-0.125,,1004.25,0,33772.3,,0,0,,0,0,boundary
30,7.625,-0.125,,1004.37,0,34711.5,,0,0,,0,0,boundary
31,7.875,-0.125,,1004.36,0,34699,,0,0,,0,0,boundary
32,8.125,-0.125,,1004.25,0,33754.2,,0,0,,0,0,boundary
33,8.375,-0.125,,1004.03,0,32021.5,,0,0,,0,0,boundary
34,8.625,-0.125,,1003.74,0,29680.1,,0,0,,0,0,boundary
35,8.875,-0.125,,1003.41,0,27061.7,,0,0,,0,0,boundary
36,9.125,-0.125,,1003.09,0,24454.2,,0,0,,0,0,boundary
37,9.375,-0.125,,1002.81,0,22203.6,,0,0,,0,0,boundary
38,9.625,-0.125,,1002.59,0,20499.6,,0,0,,0,0,boundary
39,9.875,-0.125,,1002.44,0,19313,,0,0,,0,0,boundary
40,10.125,-0.125,,1002.36,0,18646.4,,0,0,,0,0,boundary
41,10.375,-0.125,,1002.33,0,18396,,0,0,,0,0,boundary
42,10.625,-0.125,,1002.34,0,18473.4,,0,0,,0,0,boundary
43,10.875,-0.125,,1002.37,0,18756.2,,0,0,,0,0,boundary
44,11.125,-0.125,,1002.41,0,19078.5,,0,0,,0,0,boundary
45,11.375,-0.125,,1002.45,0,19341.1,,0,0,,0,0,boundary
46,11.625,-0.125,,1002.46,0,19417.5,,0,0,,0,0,boundary
47,11.875,-0.125,,1002.45,0,19382.1,,0,0,,0,0,boundary
48,12.125,-0.125,,1002.44,0,19272.2,,0,0,,0,0,boundary
49,12.375,-0.125,,1002.41,0,19079.5,,0,0,,0,0,boundary
50,12.625,-0.125,,1002.38,0,18801.5,,0,0,,0,0,boundary
51,12.875,-0.125,,1002.33,0,18453.3,,0,0,,0,0,boundary
52,13.125,-0.125,,1002.29,0,18129,,0,0,,0,0,boundary
53,13.375,-0.125,,1002.26,0,17893,,0,0,,0,0,boundary
54,13.625,-0.125,,1002.23,0,17650.8,,0,0,,0,0,boundary
55,13.875,-0.125,,1002.18,0,17229.8,,0,0,,0,0,boundary
56,14.125,-0.125,,1002.09,0,16517.2,,0,0,,0,0,boundary
57,14.375,-0.125,,1002.06,0,16290.4,,0,0,,0,0,boundary
58,14.625,-0.125,,1002.25,0,17816.1,,0,0,,0,0,boundary
59,14.875,-0.125,,1002.54,0,20091,,0,0,,0,0,boundary
60,15.125,-0.125,,1002.58,0,20372.8,,0,0,,0,0,boundary
61,15.375,-0.125,,1002.45,0,19380,,0,0,,0,0,boundary
62,15.625,-0.125,,1002.38,0,18837.1,,0,0,,0,0,boundary
63,15.875,-0.125,,1002.42,0,19106.3,,0,0,,0,0,boundary
64,16.125,-0.125,,1002.5,0,19777.4,,0,0,,0,0,boundary
65,16.375,-0.125,,1002.61,0,20649.1,,0,0,,0,0,boundary
66,16.625,-0.125,,1002.72,0,21536.9,,0,0,,0,0,boundary
67,16.875,-0.125,,1002.82,0,22298.1,,0,0,,0,0,boundary
68,17.125,-0.125,,1002.88,0,22813.6,,0,0,,0,0,boundary
69,17.375,-0.125,,1002.92,0,23098.3,,0,0,,0,0,boundary
70,17.625,-0.125,,1002.93,0,23232.5,,0,0,,0,0,boundary
71,17.875,-0.125,,1002.94,0,23264,,0,0,,0,0,boundary
72,18.125,-0.125,,1002.93,0,23170.6,,0,0,,0,0,boundary
73,18.375,-0.125,,1002.91,0,23006.9,,0,0,,0,0,boundary
74,18.625,-0.125,,1002.89,0,22867.3,,0,0,,0,0,boundary
75,18.875,-0.125,,1002.88,0,22776.5,,0,0,,0,0,boundary
76,19.125,-0.125,,1002.87,0,22679,,0,0,,0,0,boundary
77,19.375,-0.125,,1002.85,0,22562.3,,0,0,,0,0,boundary
78,19.625,-0.125,,1002.84,0,22502.3,,0,0,,0,0,boundary
79,19.875,-0.125,,1002.85,0,22594.8,,0,0,,0,0,boundary
80,20.125,-0.125,,1002.88,0,22793,,0,0,,0,0,boundary
81,20.375,-0.125,,1002.9,0,22938.1,,0,0,,0,0,boundary
82,20.625,-0.125,,1002.9,0,22962,,0,0,,0,0,boundary
83,20.875,-0.125,,1002.9,0,22952.6,,0,0,,0,0,boundary
84,21.125,-0.125,,1002.9,0,22980.1,,0,0,,0,0,boundary
85,21.375,-0.125,,1002.91,0,23051.6,,0,0,,0,0,boundary
86,21.625,-0.125,,1002.92,0,23094.7,,0,0,,0,0,boundary
