h/dp :,2
L2norm Pressure,KE,dp,Nparticles
14715,33549.7,0.25,2048

t,10
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1008.91,0,143627,,0,0,0,,0,0,1138.87,-9.81,boundary
1,0.375,-0.125,,1009.45,0,152614,,0,0,0,,0,0,403.162,-9.81,boundary
2,0.625,-0.125,,1009.85,0,159312,,0,0,0,,0,0,252.412,-9.81,boundary
3,0.875,-0.125,,1009.89,0,159935,,0,0,0,,0,0,180.992,-9.81,boundary
4,1.125,-0.125,,1009.84,0,159010,,0,0,0,,0,0,139.965,-9.81,boundary
5,1.375,-0.125,,1009.8,0,158403,,0,0,0,,0,0,114.084,-9.81,boundary
6,1.625,-0.125,,1009.79,0,158261,,0,0,0,,0,0,96.4473,-9.81,boundary
7,1.875,-0.125,,1009.8,0,158450,,0,0,0,,0,0,83.6866,-9.81,boundary
8,2.125,-0.125,,1009.82,0,158726,,0,0,0,,0,0,73.9682,-9.81,boundary
9,2.375,-0.125,,1009.83,0,158869,,0,0,0,,0,0,66.2412,-9.81,boundary
10,2.625,-0.125,,1009.82,0,158747,,0,0,0,,0,0,59.8871,-9.81,boundary
11,2.875,-0.125,,1009.8,0,158395,,0,0,0,,0,0,54.5592,-9.81,boundary
12,3.125,-0.125,,1009.77,0,157939,,0,0,0,,0,0,50.0513,-9.81,boundary
13,3.375,-0.125,,1009.75,0,157543,,0,0,0,,0,0,46.2289,-9.81,boundary
14,3.625,-0.125,,1009.73,0,157327,,0,0,0,,0,0,42.9821,-9.81,boundary
15,3.875,-0.125,,1009.73,0,157331,,0,0,0,,0,0,40.21,-9.81,boundary
16,4.125,-0.125,,1009.75,0,157505,,0,0,0,,0,0,37.8145,-9.81,boundary
17,4.375,-0.125,,1009.76,0,157763,,0,0,0,,0,0,35.7115,-9.81,boundary
18,4.625,-0.125,,1009.78,0,158063,,0,0,0,,0,0,33.8449,-9.81,boundary
19,4.875,-0.125,,1009.8,0,158389,,0,0,0,,0,0,32.1749,-9.81,boundary
20,5.125,-0.125,,1009.82,0,158706,,0,0,0,,0,0,30.6659,-9.81,boundary
21,5.375,-0.125,,1009.83,0,158997,,0,0,0,,0,0,29.2928,-9.81,boundary
22,5.625,-0.125,,1009.85,0,159258,,0,0,0,,0,0,28.0364,-9.81,boundary
23,5.875,-0.125,,1009.86,0,159499,,0,0,0,,0,0,26.8835,-9.81,boundary
24,6.125,-0.125,,1009.88,0,159731,,0,0,0,,0,0,25.8234,-9.81,boundary
25,6.375,-0.125,,1009.89,0,159960,,0,0,0,,0,0,24.846,-9.81,boundary
26,6.625,-0.125,,1009.91,0,160192,,0,0,0,,0,0,23.9427,-9.81,boundary
27,6.875,-0.125,,1009.92,0,160460,,0,0,0,,0,0,23.1104,-9.81,boundary
28,7.125,-0.125,,1009.94,0,160784,,0,0,0,,0,0,22.344,-9.81,boundary
29,7.375,-0.125,,1009.96,0,161090,,0,0,0,,0,0,21.6273,-9.81,boundary
30,7.625,-0.125,,1009.97,0,161313,,0,0,0,,0,0,20.9469,-9.81,boundary
31,7.875,-0.125,,1009.98,0,161493,,0,0,0,,0,0,20.3043,-9.81,boundary
32,8.125,-0.125,,1010,0,161690,,0,0,0,,0,0,19.7033,-9.81,boundary
33,8.375,-0.125,,1010.01,0,161989,,0,0,0,,0,0,19.1502,-9.81,boundary
34,8.625,-0.125,,1010.04,0,162380,,0,0,0,,0,0,18.6395,-9.81,boundary
35,8.875,-0.125,,1010.05,0,162597,,0,0,0,,0,0,18.1385,-9.81,boundary
36,0.125,-0.375,,1008.51,0,136962,,0,0,0,,0,0,1086.46,-9.81,boundary
37,0.375,-0.375,,1009.29,0,149975,,0,0,0,,0,0,396.251,-9.81,boundary
38,0.625,-0.375,,1009.85,0,159284,,0,0,0,,0,0,252.369,-9.81,boundary
39,0.875,-0.375,,1009.97,0,161216,,0,0,0,,0,0,182.429,-9.81,boundary
40,1.125,-0.375,,1009.93,0,160550,,0,0,0,,0,0,141.308,-9.81,boundary
41,1.375,-0.375,,1009.89,0,159965,,0,0,0,,0,0,115.199,-9.81,boundary
42,1.625,-0.375,,1009.9,0,160103,,0,0,0,,0,0,97.559,-9.81,boundary
43,1.875,-0.375,,1009.94,0,160681,,0,0,0,,0,0,84.8536,-9.81,boundary
44,2.125,-0.375,,1009.97,0,161258,,0,0,0,,0,0,75.1369,-9.81,boundary
