h/dp :,2
L2norm Pressure,KE,dp,Nparticles
8157.86,25586.1,0.25,2048

t,5
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1010.21,0,165252,,0,0,0,,0,0,1308.66,-9.81,boundary
1,0.375,-0.125,,1010.08,0,163152,,0,0,0,,0,0,430.727,-9.81,boundary
2,0.625,-0.125,,1009.95,0,160872,,0,0,0,,0,0,254.86,-9.81,boundary
3,0.875,-0.125,,1009.86,0,159497,,0,0,0,,0,0,180.502,-9.81,boundary
4,1.125,-0.125,,1009.82,0,158771,,0,0,0,,0,0,139.757,-9.81,boundary
5,1.375,-0.125,,1009.8,0,158474,,0,0,0,,0,0,114.135,-9.81,boundary
6,1.625,-0.125,,1009.8,0,158483,,0,0,0,,0,0,96.5809,-9.81,boundary
7,1.875,-0.125,,1009.81,0,158638,,0,0,0,,0,0,83.7846,-9.81,boundary
8,2.125,-0.125,,1009.83,0,158837,,0,0,0,,0,0,74.0197,-9.81,boundary
9,2.375,-0.125,,1009.84,0,159091,,0,0,0,,0,0,66.3331,-9.81,boundary
10,2.625,-0.125,,1009.86,0,159446,,0,0,0,,0,0,60.1481,-9.81,boundary
11,2.875,-0.125,,1009.89,0,159902,,0,0,0,,0,0,55.0733,-9.81,boundary
12,3.125,-0.125,,1009.92,0,160416,,0,0,0,,0,0,50.829,-9.81,boundary
13,3.375,-0.125,,1009.95,0,160937,,0,0,0,,0,0,47.2153,-9.81,boundary
14,3.625,-0.125,,1009.98,0,161399,,0,0,0,,0,0,44.0838,-9.81,boundary
15,3.875,-0.125,,1010,0,161716,,0,0,0,,0,0,41.32,-9.81,boundary
16,4.125,-0.125,,1010,0,161831,,0,0,0,,0,0,38.8431,-9.81,boundary
17,4.375,-0.125,,1010,0,161771,,0,0,0,,0,0,36.6101,-9.81,boundary
18,4.625,-0.125,,1009.99,0,161617,,0,0,0,,0,0,34.5985,-9.81,boundary
19,4.875,-0.125,,1009.98,0,161430,,0,0,0,,0,0,32.7866,-9.81,boundary
20,5.125,-0.125,,1009.97,0,161257,,0,0,0,,0,0,31.1541,-9.81,boundary
21,5.375,-0.125,,1009.96,0,161148,,0,0,0,,0,0,29.6853,-9.81,boundary
22,5.625,-0.125,,1009.96,0,161149,,0,0,0,,0,0,28.366,-9.81,boundary
23,5.875,-0.125,,1009.97,0,161234,,0,0,0,,0,0,27.1732,-9.81,boundary
24,6.125,-0.125,,1009.97,0,161329,,0,0,0,,0,0,26.0793,-9.81,boundary
25,6.375,-0.125,,1009.98,0,161433,,0,0,0,,0,0,25.0725,-9.81,boundary
26,6.625,-0.125,,1009.99,0,161573,,0,0,0,,0,0,24.1472,-9.81,boundary
27,6.875,-0.125,,1010,0,161713,,0,0,0,,0,0,23.2891,-9.81,boundary
28,7.125,-0.125,,1010,0,161822,,0,0,0,,0,0,22.4869,-9.81,boundary
29,7.375,-0.125,,1010.01,0,161894,,0,0,0,,0,0,21.7342,-9.81,boundary
30,7.625,-0.125,,1010.01,0,161927,,0,0,0,,0,0,21.0258,-9.81,boundary
31,7.875,-0.125,,1010.01,0,161941,,0,0,0,,0,0,20.3601,-9.81,boundary
32,8.125,-0.125,,1010.01,0,161959,,0,0,0,,0,0,19.7358,-9.81,boundary
33,8.375,-0.125,,1010.02,0,162016,,0,0,0,,0,0,19.1533,-9.81,boundary
34,8.625,-0.125,,1010.02,0,162160,,0,0,0,,0,0,18.6146,-9.81,boundary
35,8.875,-0.125,,1010.04,0,162357,,0,0,0,,0,0,18.1119,-9.81,boundary
36,0.125,-0.375,,1010.4,0,168474,,0,0,0,,0,0,1333.91,-9.81,boundary
37,0.375,-0.375,,1010.27,0,166197,,0,0,0,,0,0,438.689,-9.81,boundary
38,0.625,-0.375,,1010.13,0,163892,,0,0,0,,0,0,259.598,-9.81,boundary
39,0.875,-0.375,,1010.04,0,162440,,0,0,0,,0,0,183.8,-9.81,boundary
40,1.125,-0.375,,1009.99,0,161626,,0,0,0,,0,0,142.246,-9.81,boundary
41,1.375,-0.375,,1009.97,0,161252,,0,0,0,,0,0,116.117,-9.81,boundary
42,1.625,-0.375,,1009.97,0,161213,,0,0,0,,0,0,98.2289,-9.81,boundary
43,1.875,-0.375,,1009.97,0,161330,,0,0,0,,0,0,85.1928,-9.81,boundary
44,2.125,-0.375,,1009.98,0,161460,,0,0,0,,0,0,75.2303,-9.81,boundary
45,2.375,-0.375,,1009.99,0,161625,,0,0,0,,0,0,67.3795,-9.81,boundary
46,2.625,-0.375,,1010.01,0,161900,,0,0,0,,0,0,61.0651,-9.81,boundary
47,2.875,-0.375,,1010.03,0,162298,,0,0,0,,0,0,55.8908,-9.81,boundary
48,3.125,-0.375,,1010.06,0,162788,,0,0,0,,0,0,51.5731,-9.81,boundary
49,3.375,-0.375,,1010.1,0,163334,,0,0,0,,0,0,47.9116,-9.81,boundary
50,3.625,-0.375,,1010.13,0,163878,,0,0,0,,0,0,44.7545,-9.81,boundary
51,3.875,-0.375,,1010.15,0,164294,,0,0,0,,0,0,41.9723,-9.81,boundary
52,4.125,-0.375,,1010.16,0,164448,,0,0,0,,0,0,39.4651,-9.81,boundary
53,4.375,-0.375,,1010.16,0,164350,,0,0,0,,0,0,37.1881,-9.81,boundary
54,4.625,-0.375,,1010.14,0,164128,,0,0,0,,0,0,35.1308,-9.81,boundary
55,4.875,-0.375,,1010.13,0,163881,,0,0,0,,0,0,33.2795,-9.81,boundary
56,5.125,-0.375,,1010.12,0,163668,,0,0,0,,0,0,31.6153,-9.81,boundary
57,5.375,-0.375,,1010.11,0,163545,,0,0,0,,0,0,30.1226,-9.81,boundary
58,5.625,-0.375,,1010.11,0,163555,,0,0,0,,0,0,28.7855,-9.81,boundary
59,5.875,-0.375,,1010.11,0,163648,,0,0,0,,0,0,27.5762,-9.81,boundary
60,6.125,-0.375,,1010.12,0,163759,,0,0,0,,0,0,26.4683,-9.81,boundary
61,6.375,-0.375,,1010.13,0,163878,,0,0,0,,0,0,25.4486,-9.81,boundary
62,6.625,-0.375,,1010.14,0,164014,,0,0,0,,0,0,24.5084,-9.81,boundary
63,6.875,-0.375,,1010.14,0,164153,,0,0,0,,0,0,23.637,-9.81,boundary
64,7.125,-0.375,,1010.15,0,164253,,0,0,0,,0,0,22.8214,-9.81,boundary
65,7.375,-0.375,,1010.15,0,164310,,0,0,0,,0,0,22.0554,-9.81,boundary
66,7.625,-0.375,,1010.16,0,164338,,0,0,0,,0,0,21.3358,-9.81,boundary
67,7.875,-0.375,,1010.16,0,164359,,0,0,0,,0,0,20.6611,-9.81,boundary
68,8.125,-0.375,,1010.16,0,164375,,0,0,0,,0,0,20.0273,-9.81,boundary
69,8.375,-0.375,,1010.16,0,164435,,0,0,0,,0,0,19.4365,-9.81,boundary
70,8.625,-0.375,,1010.17,0,164584,,0,0,0,,0,0,18.8901,-9.81,boundary
71,8.875,-0.375,,1010.18,0,164761,,0,0,0,,0,0,18.3776,-9.81,boundary
72,0.125,-0.625,,1010.55,0,170912,,0,0,0,,0,0,1353.02,-9.81,boundary
73,0.375,-0.625,,1010.44,0,169139,,0,0,0,,0,0,446.376,-9.81,boundary
74,0.625,-0.625,,1010.33,0,167266,,0,0,0,,0,0,264.889,-9.81,boundary
75,0.875,-0.625,,1010.26,0,166165,,0,0,0,,0,0,187.974,-9.81,boundary
76,1.125,-0.625,,1010.23,0,165554,,0,0,0,,0,0,145.669,-9.81,boundary
77,1.375,-0.625,,1010.2,0,165139,,0,0,0,,0,0,118.888,-9.81,boundary
78,1.625,-0.625,,1010.19,0,164895,,0,0,0,,0,0,100.45,-9.81,boundary
79,1.875,-0.625,,1010.18,0,164748,,0,0,0,,0,0,86.98,-9.81,boundary
80,2.125,-0.625,,1010.17,0,164615,,0,0,0,,0,0,76.6858,-9.81,boundary
81,2.375,-0.625,,1010.17,0,164502,,0,0,0,,0,0,68.5669,-9.81,boundary
82,2.625,-0.625,,1010.16,0,164465,,0,0,0,,0,0,62.0229,-9.81,boundary
83,2.875,-0.625,,1010.17,0,164544,,0,0,0,,0,0,56.6567,-9.81,boundary
84,3.125,-0.625,,1010.18,0,164726,,0,0,0,,0,0,52.1811,-9.81,boundary
85,3.375,-0.625,,1010.19,0,164994,,0,0,0,,0,0,48.3938,-9.81,boundary
86,3.625,-0.625,,1010.21,0,165332,,0,0,0,,0,0,45.1477,-9.81,boundary
87,3.875,-0.625,,1010.23,0,165653,,0,0,0,,0,0,42.316,-9.81,boundary
88,4.125,-0.625,,1010.24,0,165814,,0,0,0,,0,0,39.7897,-9.81,boundary
89,4.375,-0.625,,1010.24,0,165800,,0,0,0,,0,0,37.513,-9.81,boundary
90,4.625,-0.625,,1010.24,0,165710,,0,0,0,,0,0,35.4661,-9.81,boundary
91,4.875,-0.625,,1010.23,0,165643,,0,0,0,,0,0,33.6339,-9.81,boundary
92,5.125,-0.625,,1010.23,0,165637,,0,0,0,,0,0,31.9921,-9.81,boundary
93,5.375,-0.625,,1010.24,0,165699,,0,0,0,,0,0,30.5154,-9.81,boundary
94,5.625,-0.625,,1010.25,0,165838,,0,0,0,,0,0,29.1833,-9.81,boundary
95,5.875,-0.625,,1010.26,0,166034,,0,0,0,,0,0,27.9742,-9.81,boundary
96,6.125,-0.625,,1010.27,0,166236,,0,0,0,,0,0,26.8647,-9.81,boundary
97,6.375,-0.625,,1010.28,0,166454,,0,0,0,,0,0,25.8447,-9.81,boundary
