h/dp :,2
L2norm Pressure,KE,dp,Nparticles
346.176,0,0.25,2048

t,0
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,1259.4,-9.81,boundary
1,0.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,419.801,-9.81,boundary
2,0.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,251.88,-9.81,boundary
3,0.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,179.915,-9.81,boundary
4,1.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,139.934,-9.81,boundary
5,1.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,114.491,-9.81,boundary
6,1.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,96.8771,-9.81,boundary
7,1.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,83.9601,-9.81,boundary
8,2.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,74.0825,-9.81,boundary
9,2.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,66.2843,-9.81,boundary
10,2.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,59.9715,-9.81,boundary
11,2.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,54.7566,-9.81,boundary
12,3.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,50.3761,-9.81,boundary
13,3.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,46.6445,-9.81,boundary
14,3.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,43.4276,-9.81,boundary
15,3.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,40.6259,-9.81,boundary
16,4.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,38.1637,-9.81,boundary
17,4.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,35.9829,-9.81,boundary
18,4.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,34.0379,-9.81,boundary
19,4.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,32.2924,-9.81,boundary
20,5.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,30.7171,-9.81,boundary
21,5.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,29.2884,-9.81,boundary
22,5.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,27.9867,-9.81,boundary
23,5.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,26.7958,-9.81,boundary
24,6.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,25.7021,-9.81,boundary
25,6.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,24.6942,-9.81,boundary
26,6.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,23.7623,-9.81,boundary
27,6.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,22.8982,-9.81,boundary
28,7.125,-0.125,,1009.83,0,158973,,0,0,0,,0,0,22.0948,-9.81,boundary
29,7.375,-0.125,,1009.83,0,158973,,0,0,0,,0,0,21.3458,-9.81,boundary
30,7.625,-0.125,,1009.83,0,158973,,0,0,0,,0,0,20.6459,-9.81,boundary
31,7.875,-0.125,,1009.83,0,158973,,0,0,0,,0,0,19.9905,-9.81,boundary
32,8.125,-0.125,,1009.6,0,155086,,0,0,0,,0,0,18.906,-9.81,boundary
33,8.375,-0.125,,1009.61,0,155203,,0,0,0,,0,0,18.3554,-9.81,boundary
34,8.625,-0.125,,1009.63,0,155580,,0,0,0,,0,0,17.8662,-9.81,boundary
35,8.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
36,9.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
37,9.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
38,9.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
