h/dp :,2
L2norm Pressure,KE,dp,Nparticles
52181.4,1.0011e+08,0.25,2048

t,1
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1002.93,0,46392.8,,0,0,0,,0,0,370.058,-9.81,boundary
1,0.375,-0.125,,1004.04,0,64129.5,,0,0,0,,0,0,170.324,-9.81,boundary
2,0.625,-0.125,,1005.27,0,83970.5,,0,0,0,,0,0,133.649,-9.81,boundary
3,0.875,-0.125,,1005.37,0,85725.1,,0,0,0,,0,0,97.4479,-9.81,boundary
4,1.125,-0.125,,1004.97,0,79208.7,,0,0,0,,0,0,70.0595,-9.81,boundary
5,1.375,-0.125,,1004.69,0,74632.3,,0,0,0,,0,0,54.0248,-9.81,boundary
6,1.625,-0.125,,1004.42,0,70363.1,,0,0,0,,0,0,43.1097,-9.81,boundary
7,1.875,-0.125,,1004.13,0,65566.7,,0,0,0,,0,0,34.8252,-9.81,boundary
8,2.125,-0.125,,1003.8,0,60398.3,,0,0,0,,0,0,28.315,-9.81,boundary
9,2.375,-0.125,,1003.48,0,55252.3,,0,0,0,,0,0,23.1834,-9.81,boundary
10,2.625,-0.125,,1003.18,0,50458.7,,0,0,0,,0,0,19.1613,-9.81,boundary
11,2.875,-0.125,,1002.9,0,45990.3,,0,0,0,,0,0,15.9503,-9.81,boundary
12,3.125,-0.125,,1002.65,0,41989.8,,0,0,0,,0,0,13.4012,-9.81,boundary
13,3.375,-0.125,,1002.43,0,38471.9,,0,0,0,,0,0,11.3714,-9.81,boundary
14,3.625,-0.125,,1002.23,0,35218.8,,0,0,0,,0,0,9.69392,-9.81,boundary
15,3.875,-0.125,,1002.03,0,32129.4,,0,0,0,,0,0,8.27463,-9.81,boundary
16,4.125,-0.125,,1001.84,0,29067.3,,0,0,0,,0,0,7.03368,-9.81,boundary
17,4.375,-0.125,,1001.67,0,26355.9,,0,0,0,,0,0,6.01416,-9.81,boundary
18,4.625,-0.125,,1001.51,0,23827,,0,0,0,,0,0,5.14401,-9.81,boundary
19,4.875,-0.125,,1001.35,0,21246.2,,0,0,0,,0,0,4.35233,-9.81,boundary
20,5.125,-0.125,,1001.2,0,18833.3,,0,0,0,,0,0,3.67041,-9.81,boundary
21,5.375,-0.125,,1001.06,0,16746.4,,0,0,0,,0,0,3.11231,-9.81,boundary
22,5.625,-0.125,,1000.93,0,14699.6,,0,0,0,,0,0,2.61083,-9.81,boundary
23,5.875,-0.125,,1000.8,0,12527.5,,0,0,0,,0,0,2.13064,-9.81,boundary
24,6.125,-0.125,,1000.67,0,10513.2,,0,0,0,,0,0,1.71529,-9.81,boundary
25,6.375,-0.125,,1000.54,0,8497.53,,0,0,0,,0,0,1.33223,-9.81,boundary
26,6.625,-0.125,,1000.4,0,6288.8,,0,0,0,,0,0,0.948873,-9.81,boundary
27,6.875,-0.125,,1000.25,0,3886.36,,0,0,0,,0,0,0.565149,-9.81,boundary
28,7.125,-0.125,,1000.12,0,1900.72,,0,0,0,,0,0,0.266735,-9.81,boundary
29,7.375,-0.125,,1000.02,0,287.168,,0,0,0,,0,0,0.0389373,-9.81,boundary
30,7.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
31,7.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
32,8.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
33,8.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
34,8.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
35,8.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
36,9.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
37,9.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
38,9.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
39,9.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
40,10.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
41,10.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
42,10.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
43,10.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
44,11.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
45,11.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
46,11.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
47,11.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
48,12.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
49,12.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
50,12.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
51,12.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
52,13.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
53,13.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
54,13.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
55,13.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
56,14.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
57,14.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
58,14.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
59,14.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
60,15.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
61,15.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
62,15.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
63,15.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
64,16.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
65,16.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
66,16.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
67,16.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
68,17.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
69,17.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
70,17.625,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
71,17.875,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
72,18.125,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
73,18.375,-0.125,,1000,0,0,,0,0,0,,0,0,0,-9.81,boundary
