h/dp :,2
L2norm Pressure,KE,dp,Nparticles
3.08411e+11,2.21852e+07,0.25,2560

t,5.72
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.125,-0.125,,1005.05,0,40213.4,,0,0,,0,0,boundary
1,0.375,-0.125,,1004.84,0,38567.1,,0,0,,0,0,boundary
2,0.625,-0.125,,1004.67,0,37149.2,,0,0,,0,0,boundary
3,0.875,-0.125,,1004.69,0,37359.5,,0,0,,0,0,boundary
4,1.125,-0.125,,1004.92,0,39147.8,,0,0,,0,0,boundary
5,1.375,-0.125,,1005.17,0,41205.2,,0,0,,0,0,boundary
6,1.625,-0.125,,1005.41,0,43189.9,,0,0,,0,0,boundary
7,1.875,-0.125,,1005.63,0,44907.4,,0,0,,0,0,boundary
8,2.125,-0.125,,1005.84,0,46604.4,,0,0,,0,0,boundary
9,2.375,-0.125,,1006.09,0,48712,,0,0,,0,0,boundary
10,2.625,-0.125,,1006.44,0,51520.8,,0,0,,0,0,boundary
11,2.875,-0.125,,1006.87,0,55054.3,,0,0,,0,0,boundary
12,3.125,-0.125,,1007.3,0,58560.7,,0,0,,0,0,boundary
13,3.375,-0.125,,1007.64,0,61337.8,,0,0,,0,0,boundary
14,3.625,-0.125,,1007.89,0,63369.3,,0,0,,0,0,boundary
15,3.875,-0.125,,1008.05,0,64737.9,,0,0,,0,0,boundary
16,4.125,-0.125,,1008.16,0,65633.8,,0,0,,0,0,boundary
17,4.375,-0.125,,1008.25,0,66329.9,,0,0,,0,0,boundary
18,4.625,-0.125,,1008.33,0,67016.5,,0,0,,0,0,boundary
19,4.875,-0.125,,1008.42,0,67739.6,,0,0,,0,0,boundary
20,5.125,-0.125,,1008.49,0,68352,,0,0,,0,0,boundary
21,5.375,-0.125,,1008.53,0,68651.4,,0,0,,0,0,boundary
22,5.625,-0.125,,1008.51,0,68497.5,,0,0,,0,0,boundary
23,5.875,-0.125,,1008.45,0,68058,,0,0,,0,0,boundary
24,6.125,-0.125,,1008.4,0,67606.9,,0,0,,0,0,boundary
25,6.375,-0.125,,1008.34,0,67111.9,,0,0,,0,0,boundary
26,6.625,-0.125,,1008.26,0,66439.3,,0,0,,0,0,boundary
27,6.875,-0.125,,1008.13,0,65411.7,,0,0,,0,0,boundary
28,7.125,-0.125,,1008,0,64349.8,,0,0,,0,0,boundary
29,7.375,-0.125,,1007.84,0,63029.5,,0,0,,0,0,boundary
30,7.625,-0.125,,1007.68,0,61656.5,,0,0,,0,0,boundary
31,7.875,-0.125,,1007.53,0,60439.4,,0,0,,0,0,boundary
32,8.125,-0.125,,1007.41,0,59434.8,,0,0,,0,0,boundary
33,8.375,-0.125,,1007.26,0,58240.5,,0,0,,0,0,boundary
34,8.625,-0.125,,1007.1,0,56895.3,,0,0,,0,0,boundary
35,8.875,-0.125,,1006.95,0,55667,,0,0,,0,0,boundary
36,9.125,-0.125,,1006.84,0,54821.6,,0,0,,0,0,boundary
37,9.375,-0.125,,1006.77,0,54228.2,,0,0,,0,0,boundary
38,9.625,-0.125,,1006.66,0,53364.3,,0,0,,0,0,boundary
39,9.875,-0.125,,1006.53,0,52249.3,,0,0,,0,0,boundary
40,10.125,-0.125,,1006.38,0,51078.6,,0,0,,0,0,boundary
41,10.375,-0.125,,1006.27,0,50131.2,,0,0,,0,0,boundary
42,10.625,-0.125,,1006.18,0,49443.3,,0,0,,0,0,boundary
43,10.875,-0.125,,1006.13,0,49020.2,,0,0,,0,0,boundary
44,11.125,-0.125,,1006.12,0,48915.5,,0,0,,0,0,boundary
45,11.375,-0.125,,1006.14,0,49096.8,,0,0,,0,0,boundary
46,11.625,-0.125,,1006.18,0,49442.7,,0,0,,0,0,boundary
47,11.875,-0.125,,1006.23,0,49830.8,,0,0,,0,0,boundary
48,12.125,-0.125,,1006.28,0,50245.9,,0,0,,0,0,boundary
49,12.375,-0.125,,1006.35,0,50823.2,,0,0,,0,0,boundary
50,12.625,-0.125,,1006.44,0,51558.3,,0,0,,0,0,boundary
51,12.875,-0.125,,1006.54,0,52305.7,,0,0,,0,0,boundary
52,13.125,-0.125,,1006.62,0,52964.3,,0,0,,0,0,boundary
53,13.375,-0.125,,1006.68,0,53503.7,,0,0,,0,0,boundary
54,13.625,-0.125,,1006.73,0,53872.2,,0,0,,0,0,boundary
55,13.875,-0.125,,1006.75,0,54022.4,,0,0,,0,0,boundary
56,14.125,-0.125,,1006.74,0,53950.4,,0,0,,0,0,boundary
57,14.375,-0.125,,1006.7,0,53676.5,,0,0,,0,0,boundary
58,14.625,-0.125,,1006.64,0,53144,,0,0,,0,0,boundary
59,14.875,-0.125,,1006.55,0,52419.2,,0,0,,0,0,boundary
60,15.125,-0.125,,1006.45,0,51601.5,,0,0,,0,0,boundary
61,15.375,-0.125,,1006.35,0,50804.2,,0,0,,0,0,boundary
62,15.625,-0.125,,1006.27,0,50109.8,,0,0,,0,0,boundary
63,15.875,-0.125,,1006.2,0,49578.5,,0,0,,0,0,boundary
64,16.125,-0.125,,1006.16,0,49212.9,,0,0,,0,0,boundary
65,16.375,-0.125,,1006.12,0,48932.8,,0,0,,0,0,boundary
66,16.625,-0.125,,1006.09,0,48654.2,,0,0,,0,0,boundary
67,16.875,-0.125,,1006.05,0,48319.8,,0,0,,0,0,boundary
68,17.125,-0.125,,1006,0,47942,,0,0,,0,0,boundary
69,17.375,-0.125,,1005.96,0,47624.1,,0,0,,0,0,boundary
70,17.625,-0.125,,1005.94,0,47433.7,,0,0,,0,0,boundary
71,17.875,-0.125,,1005.93,0,47377,,0,0,,0,0,boundary
72,18.125,-0.125,,1005.94,0,47438.3,,0,0,,0,0,boundary
73,18.375,-0.125,,1005.95,0,47552.1,,0,0,,0,0,boundary
74,18.625,-0.125,,1005.96,0,47656.3,,0,0,,0,0,boundary
75,18.875,-0.125,,1005.97,0,47721,,0,0,,0,0,boundary
76,19.125,-0.125,,1005.98,0,47820.2,,0,0,,0,0,boundary
77,19.375,-0.125,,1006,0,47961.7,,0,0,,0,0,boundary
78,19.625,-0.125,,1006.02,0,48104.5,,0,0,,0,0,boundary
79,19.875,-0.125,,1006.02,0,48145.3,,0,0,,0,0,boundary
80,20.125,-0.125,,1006.02,0,48135.6,,0,0,,0,0,boundary
81,20.375,-0.125,,1006.02,0,48075,,0,0,,0,0,boundary
82,20.625,-0.125,,1006.01,0,48010.9,,0,0,,0,0,boundary
83,20.875,-0.125,,1006,0,47957.2,,0,0,,0,0,boundary
84,21.125,-0.125,,1005.99,0,47847.9,,0,0,,0,0,boundary
85,21.375,-0.125,,1005.98,0,47744.3,,0,0,,0,0,boundary
86,21.625,-0.125,,1005.96,0,47636.8,,0,0,,0,0,boundary
87,21.875,-0.125,,1005.95,0,47562.1,,0,0,,0,0,boundary
88,22.125,-0.125,,1005.95,0,47550.4,,0,0,,0,0,boundary
89,22.375,-0.125,,1005.95,0,47548.6,,0,0,,0,0,boundary
90,22.625,-0.125,,1005.95,0,47535.8,,0,0,,0,0,boundary
91,22.875,-0.125,,1005.95,0,47519,,0,0,,0,0,boundary
92,23.125,-0.125,,1005.95,0,47512.8,,0,0,,0,0,boundary
93,23.375,-0.125,,1005.95,0,47568.4,,0,0,,0,0,boundary
94,23.625,-0.125,,1005.97,0,47664.7,,0,0,,0,0,boundary
95,23.875,-0.125,,1005.98,0,47755.4,,0,0,,0,0,boundary
96,24.125,-0.125,,1005.99,0,47848.4,,0,0,,0,0,boundary
97,24.375,-0.125,,1006.01,0,47990.9,,0,0,,0,0,boundary
98,24.625,-0.125,,1006.03,0,48164.2,,0,0,,0,0,boundary
99,24.875,-0.125,,1006.05,0,48354.2,,0,0,,0,0,boundary
100,25.125,-0.125,,1006.08,0,48573.6,,0,0,,0,0,boundary
101,25.375,-0.125,,1006.1,0,48771,,0,0,,0,0,boundary
102,25.625,-0.125,,1006.1,0,48769.4,,0,0,,0,0,boundary
103,0.125,-0.375,,1005.28,0,42135.4,,0,0,,0,0,boundary
104,0.375,-0.375,,1005.04,0,40147.3,,0,0,,0,0,boundary
105,0.625,-0.375,,1004.82,0,38416.6,,0,0,,0,0,boundary
106,0.875,-0.375,,1004.85,0,38587.5,,0,0,,0,0,boundary
107,1.125,-0.375,,1005.09,0,40545.7,,0,0,,0,0,boundary
108,1.375,-0.375,,1005.38,0,42943.3,,0,0,,0,0,boundary
109,1.625,-0.375,,1005.64,0,44986,,0,0,,0,0,boundary
110,1.875,-0.375,,1005.86,0,46775.9,,0,0,,0,0,boundary
111,2.125,-0.375,,1006.1,0,48742.1,,0,0,,0,0,boundary
112,2.375,-0.375,,1006.39,0,51115.9,,0,0,,0,0,boundary
113,2.625,-0.375,,1006.8,0,54450.9,,0,0,,0,0,boundary
114,2.875,-0.375,,1007.32,0,58684.8,,0,0,,0,0,boundary
115,3.125,-0.375,,1007.81,0,62766.1,,0,0,,0,0,boundary
116,3.375,-0.375,,1008.19,0,65914.7,,0,0,,0,0,boundary
117,3.625,-0.375,,1008.46,0,68135.5,,0,0,,0,0,boundary
118,3.875,-0.375,,1008.64,0,69577.3,,0,0,,0,0,boundary
119,4.125,-0.375,,1008.74,0,70415.4,,0,0,,0,0,boundary
120,4.375,-0.375,,1008.8,0,70934.5,,0,0,,0,0,boundary
121,4.625,-0.375,,1008.87,0,71526.3,,0,0,,0,0,boundary
122,4.875,-0.375,,1008.95,0,72161.7,,0,0,,0,0,boundary
123,5.125,-0.375,,1009.01,0,72611.4,,0,0,,0,0,boundary
124,5.375,-0.375,,1009.02,0,72747.7,,0,0,,0,0,boundary
125,5.625,-0.375,,1008.98,0,72407.1,,0,0,,0,0,boundary
126,5.875,-0.375,,1008.91,0,71795,,0,0,,0,0,boundary
127,6.125,-0.375,,1008.82,0,71117.4,,0,0,,0,0,boundary
128,6.375,-0.375,,1008.72,0,70246.5,,0,0,,0,0,boundary
129,6.625,-0.375,,1008.58,0,69133.7,,0,0,,0,0,boundary
130,6.875,-0.375,,1008.42,0,67807.2,,0,0,,0,0,boundary
131,7.125,-0.375,,1008.26,0,66451.9,,0,0,,0,0,boundary
132,7.375,-0.375,,1008.08,0,64984.9,,0,0,,0,0,boundary
133,7.625,-0.375,,1007.89,0,63445.2,,0,0,,0,0,boundary
134,7.875,-0.375,,1007.73,0,62113,,0,0,,0,0,boundary
135,8.125,-0.375,,1007.59,0,60912.3,,0,0,,0,0,boundary
136,8.375,-0.375,,1007.43,0,59651.1,,0,0,,0,0,boundary
137,8.625,-0.375,,1007.28,0,58405.5,,0,0,,0,0,boundary
138,8.875,-0.375,,1007.17,0,57487.9,,0,0,,0,0,boundary
139,9.125,-0.375,,1007.11,0,56980.4,,0,0,,0,0,boundary
140,9.375,-0.375,,1007.07,0,56665,,0,0,,0,0,boundary
141,9.625,-0.375,,1006.99,0,56019.9,,0,0,,0,0,boundary
142,9.875,-0.375,,1006.86,0,54992.4,,0,0,,0,0,boundary
