h/dp :,2
L2norm Pressure,KE,dp,Nparticles
35512.2,1.56513e+07,0.25,2560

t,6
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1006.65,0,53260.1,,0,0,0,,0,0,423.265,-9.81,boundary
1,0.375,-0.125,,1006.68,0,53473.6,,0,0,0,,0,0,141.65,-9.81,boundary
2,0.625,-0.125,,1006.76,0,54146.3,,0,0,0,,0,0,86.0524,-9.81,boundary
3,0.875,-0.125,,1006.9,0,55251.6,,0,0,0,,0,0,62.7122,-9.81,boundary
4,1.125,-0.125,,1007.07,0,56642.4,,0,0,0,,0,0,49.9956,-9.81,boundary
5,1.375,-0.125,,1007.21,0,57829.7,,0,0,0,,0,0,41.7568,-9.81,boundary
6,1.625,-0.125,,1007.3,0,58587.2,,0,0,0,,0,0,35.7922,-9.81,boundary
7,1.875,-0.125,,1007.33,0,58779.9,,0,0,0,,0,0,31.1212,-9.81,boundary
8,2.125,-0.125,,1007.29,0,58489.6,,0,0,0,,0,0,27.3253,-9.81,boundary
9,2.375,-0.125,,1007.21,0,57786,,0,0,0,,0,0,24.1569,-9.81,boundary
10,2.625,-0.125,,1007.08,0,56776.1,,0,0,0,,0,0,21.4769,-9.81,boundary
11,2.875,-0.125,,1006.97,0,55850.9,,0,0,0,,0,0,19.2919,-9.81,boundary
12,3.125,-0.125,,1006.91,0,55366.8,,0,0,0,,0,0,17.5958,-9.81,boundary
13,3.375,-0.125,,1006.9,0,55275.7,,0,0,0,,0,0,16.2658,-9.81,boundary
14,3.625,-0.125,,1006.89,0,55216.3,,0,0,0,,0,0,15.1278,-9.81,boundary
15,3.875,-0.125,,1006.83,0,54711.1,,0,0,0,,0,0,14.0232,-9.81,boundary
16,4.125,-0.125,,1006.65,0,53227.2,,0,0,0,,0,0,12.8184,-9.81,boundary
17,4.375,-0.125,,1006.3,0,50410.9,,0,0,0,,0,0,11.4503,-9.81,boundary
18,4.625,-0.125,,1005.93,0,47344.3,,0,0,0,,0,0,10.1763,-9.81,boundary
19,4.875,-0.125,,1005.63,0,44899.4,,0,0,0,,0,0,9.15861,-9.81,boundary
20,5.125,-0.125,,1005.54,0,44241,,0,0,0,,0,0,8.5848,-9.81,boundary
21,5.375,-0.125,,1005.67,0,45226.3,,0,0,0,,0,0,8.36678,-9.81,boundary
22,5.625,-0.125,,1005.72,0,45690.9,,0,0,0,,0,0,8.0766,-9.81,boundary
23,5.875,-0.125,,1005.64,0,44994.1,,0,0,0,,0,0,7.61563,-9.81,boundary
24,6.125,-0.125,,1005.49,0,43786.4,,0,0,0,,0,0,7.10979,-9.81,boundary
25,6.375,-0.125,,1005.31,0,42364.1,,0,0,0,,0,0,6.61024,-9.81,boundary
26,6.625,-0.125,,1005.18,0,41326.8,,0,0,0,,0,0,6.20584,-9.81,boundary
27,6.875,-0.125,,1005.14,0,40948.4,,0,0,0,,0,0,5.92568,-9.81,boundary
28,7.125,-0.125,,1005.16,0,41121.4,,0,0,0,,0,0,5.7418,-9.81,boundary
29,7.375,-0.125,,1005.21,0,41500.7,,0,0,0,,0,0,5.59807,-9.81,boundary
30,7.625,-0.125,,1005.29,0,42169.2,,0,0,0,,0,0,5.50129,-9.81,boundary
31,7.875,-0.125,,1005.39,0,43016.9,,0,0,0,,0,0,5.43316,-9.81,boundary
32,8.125,-0.125,,1005.54,0,44201.1,,0,0,0,,0,0,5.41017,-9.81,boundary
33,8.375,-0.125,,1005.7,0,45528.3,,0,0,0,,0,0,5.40539,-9.81,boundary
34,8.625,-0.125,,1005.84,0,46621.8,,0,0,0,,0,0,5.37406,-9.81,boundary
35,8.875,-0.125,,1005.96,0,47598.4,,0,0,0,,0,0,5.33144,-9.81,boundary
36,9.125,-0.125,,1006.06,0,48457.9,,0,0,0,,0,0,5.27845,-9.81,boundary
37,9.375,-0.125,,1006.15,0,49201.4,,0,0,0,,0,0,5.21605,-9.81,boundary
38,9.625,-0.125,,1006.23,0,49834.9,,0,0,0,,0,0,5.14558,-9.81,boundary
39,9.875,-0.125,,1006.3,0,50408,,0,0,0,,0,0,5.07264,-9.81,boundary
40,10.125,-0.125,,1006.37,0,50927.2,,0,0,0,,0,0,4.99803,-9.81,boundary
41,10.375,-0.125,,1006.43,0,51445.7,,0,0,0,,0,0,4.92694,-9.81,boundary
42,10.625,-0.125,,1006.51,0,52068.7,,0,0,0,,0,0,4.8689,-9.81,boundary
43,10.875,-0.125,,1006.6,0,52816.3,,0,0,0,,0,0,4.82484,-9.81,boundary
44,11.125,-0.125,,1006.69,0,53565.8,,0,0,0,,0,0,4.78291,-9.81,boundary
45,11.375,-0.125,,1006.77,0,54223.7,,0,0,0,,0,0,4.73487,-9.81,boundary
46,11.625,-0.125,,1006.84,0,54812,,0,0,0,,0,0,4.68297,-9.81,boundary
47,11.875,-0.125,,1006.91,0,55368.4,,0,0,0,,0,0,4.6306,-9.81,boundary
48,12.125,-0.125,,1006.97,0,55854.9,,0,0,0,,0,0,4.5747,-9.81,boundary
49,12.375,-0.125,,1007.01,0,56168,,0,0,0,,0,0,4.50724,-9.81,boundary
50,12.625,-0.125,,1007.02,0,56250.6,,0,0,0,,0,0,4.42444,-9.81,boundary
51,12.875,-0.125,,1007.01,0,56144.5,,0,0,0,,0,0,4.3304,-9.81,boundary
52,13.125,-0.125,,1006.97,0,55891.1,,0,0,0,,0,0,4.22887,-9.81,boundary
53,13.375,-0.125,,1006.92,0,55461.4,,0,0,0,,0,0,4.11814,-9.81,boundary
54,13.625,-0.125,,1006.85,0,54901.2,,0,0,0,,0,0,4.00202,-9.81,boundary
55,13.875,-0.125,,1006.77,0,54233.7,,0,0,0,,0,0,3.88245,-9.81,boundary
56,14.125,-0.125,,1006.66,0,53321.4,,0,0,0,,0,0,3.74999,-9.81,boundary
57,14.375,-0.125,,1006.53,0,52292.9,,0,0,0,,0,0,3.61416,-9.81,boundary
58,14.625,-0.125,,1006.41,0,51279.5,,0,0,0,,0,0,3.48396,-9.81,boundary
59,14.875,-0.125,,1006.3,0,50371.7,,0,0,0,,0,0,3.36514,-9.81,boundary
60,15.125,-0.125,,1006.19,0,49528.8,,0,0,0,,0,0,3.25447,-9.81,boundary
61,15.375,-0.125,,1006.09,0,48688.8,,0,0,0,,0,0,3.14758,-9.81,boundary
62,15.625,-0.125,,1006,0,47909.2,,0,0,0,,0,0,3.04791,-9.81,boundary
63,15.875,-0.125,,1005.91,0,47239.7,,0,0,0,,0,0,2.95824,-9.81,boundary
64,16.125,-0.125,,1005.85,0,46714.5,,0,0,0,,0,0,2.88018,-9.81,boundary
65,16.375,-0.125,,1005.8,0,46283.5,,0,0,0,,0,0,2.81019,-9.81,boundary
66,16.625,-0.125,,1005.75,0,45922.3,,0,0,0,,0,0,2.74645,-9.81,boundary
67,16.875,-0.125,,1005.72,0,45643.5,,0,0,0,,0,0,2.68943,-9.81,boundary
68,17.125,-0.125,,1005.69,0,45428,,0,0,0,,0,0,2.63772,-9.81,boundary
69,17.375,-0.125,,1005.66,0,45197.2,,0,0,0,,0,0,2.58663,-9.81,boundary
70,17.625,-0.125,,1005.63,0,44931,,0,0,0,,0,0,2.53501,-9.81,boundary
71,17.875,-0.125,,1005.59,0,44643.4,,0,0,0,,0,0,2.48364,-9.81,boundary
72,18.125,-0.125,,1005.56,0,44371,,0,0,0,,0,0,2.43452,-9.81,boundary
73,18.375,-0.125,,1005.52,0,44074.6,,0,0,0,,0,0,2.38544,-9.81,boundary
74,18.625,-0.125,,1005.48,0,43712,,0,0,0,,0,0,2.33417,-9.81,boundary
75,18.875,-0.125,,1005.43,0,43305.7,,0,0,0,,0,0,2.28195,-9.81,boundary
76,19.125,-0.125,,1005.37,0,42849.7,,0,0,0,,0,0,2.22853,-9.81,boundary
77,19.375,-0.125,,1005.31,0,42329.2,,0,0,0,,0,0,2.1732,-9.81,boundary
78,19.625,-0.125,,1005.24,0,41802,,0,0,0,,0,0,2.11893,-9.81,boundary
79,19.875,-0.125,,1005.18,0,41314.7,,0,0,0,,0,0,2.06801,-9.81,boundary
80,20.125,-0.125,,1005.12,0,40839.4,,0,0,0,,0,0,2.01894,-9.81,boundary
81,20.375,-0.125,,1005.07,0,40372.8,,0,0,0,,0,0,1.9715,-9.81,boundary
82,20.625,-0.125,,1005.01,0,39933.9,,0,0,0,,0,0,1.92653,-9.81,boundary
83,20.875,-0.125,,1004.96,0,39504.9,,0,0,0,,0,0,1.88311,-9.81,boundary
84,21.125,-0.125,,1004.91,0,39075.6,,0,0,0,,0,0,1.8407,-9.81,boundary
85,21.375,-0.125,,1004.85,0,38619.9,,0,0,0,,0,0,1.79806,-9.81,boundary
86,21.625,-0.125,,1004.79,0,38150.1,,0,0,0,,0,0,1.75575,-9.81,boundary
87,21.875,-0.125,,1004.74,0,37697.2,,0,0,0,,0,0,1.71518,-9.81,boundary
88,22.125,-0.125,,1004.68,0,37264.4,,0,0,0,,0,0,1.67642,-9.81,boundary
89,22.375,-0.125,,1004.63,0,36865.7,,0,0,0,,0,0,1.64003,-9.81,boundary
90,22.625,-0.125,,1004.59,0,36508.5,,0,0,0,,0,0,1.60626,-9.81,boundary
91,22.875,-0.125,,1004.55,0,36210.2,,0,0,0,,0,0,1.57579,-9.81,boundary
92,23.125,-0.125,,1004.53,0,35999.5,,0,0,0,,0,0,1.54972,-9.81,boundary
93,23.375,-0.125,,1004.51,0,35840.1,,0,0,0,,0,0,1.52639,-9.81,boundary
94,23.625,-0.125,,1004.49,0,35708.9,,0,0,0,,0,0,1.50473,-9.81,boundary
95,23.875,-0.125,,1004.48,0,35600.5,,0,0,0,,0,0,1.48447,-9.81,boundary
96,24.125,-0.125,,1004.46,0,35472.9,,0,0,0,,0,0,1.46385,-9.81,boundary
97,24.375,-0.125,,1004.43,0,35231.9,,0,0,0,,0,0,1.43904,-9.81,boundary
98,24.625,-0.125,,1004.37,0,34781.1,,0,0,0,,0,0,1.40628,-9.81,boundary
