h/dp :,2
L2norm Pressure,KE,dp,Nparticles
35893.6,1.8358e+07,0.25,2560

t,7.2
ID,r,z,,rho,drhodt,pressure,,u_r,u_z,velocity,,pairAr,pairAz,totalAr,totalAz,Type
0,0.125,-0.125,,1007.53,0,60474.9,,0,0,0,,0,0,480.182,-9.81,boundary
1,0.375,-0.125,,1007.48,0,60058.9,,0,0,0,,0,0,158.968,-9.81,boundary
2,0.625,-0.125,,1007.45,0,59773,,0,0,0,,0,0,94.9297,-9.81,boundary
3,0.875,-0.125,,1007.43,0,59619.3,,0,0,0,,0,0,67.6339,-9.81,boundary
4,1.125,-0.125,,1007.44,0,59729.1,,0,0,0,,0,0,52.7003,-9.81,boundary
5,1.375,-0.125,,1007.47,0,59956.7,,0,0,0,,0,0,43.2816,-9.81,boundary
6,1.625,-0.125,,1007.53,0,60423.6,,0,0,0,,0,0,36.906,-9.81,boundary
7,1.875,-0.125,,1007.59,0,60972.5,,0,0,0,,0,0,32.2736,-9.81,boundary
8,2.125,-0.125,,1007.64,0,61350.2,,0,0,0,,0,0,28.6518,-9.81,boundary
9,2.375,-0.125,,1007.64,0,61373.7,,0,0,0,,0,0,25.6455,-9.81,boundary
10,2.625,-0.125,,1007.57,0,60771.7,,0,0,0,,0,0,22.9772,-9.81,boundary
11,2.875,-0.125,,1007.41,0,59454.3,,0,0,0,,0,0,20.5277,-9.81,boundary
12,3.125,-0.125,,1007.18,0,57540.3,,0,0,0,,0,0,18.2817,-9.81,boundary
13,3.375,-0.125,,1006.91,0,55337.8,,0,0,0,,0,0,16.2839,-9.81,boundary
14,3.625,-0.125,,1006.69,0,53550.6,,0,0,0,,0,0,14.6744,-9.81,boundary
15,3.875,-0.125,,1006.55,0,52414.1,,0,0,0,,0,0,13.4382,-9.81,boundary
16,4.125,-0.125,,1006.42,0,51332.8,,0,0,0,,0,0,12.365,-9.81,boundary
17,4.375,-0.125,,1006.26,0,50096,,0,0,0,,0,0,11.3792,-9.81,boundary
18,4.625,-0.125,,1006.11,0,48843.1,,0,0,0,,0,0,10.4965,-9.81,boundary
19,4.875,-0.125,,1006.02,0,48067.5,,0,0,0,,0,0,9.80104,-9.81,boundary
20,5.125,-0.125,,1005.96,0,47584,,0,0,0,,0,0,9.22971,-9.81,boundary
21,5.375,-0.125,,1005.92,0,47323.6,,0,0,0,,0,0,8.75254,-9.81,boundary
22,5.625,-0.125,,1006.02,0,48104.5,,0,0,0,,0,0,8.50074,-9.81,boundary
23,5.875,-0.125,,1006.23,0,49819.8,,0,0,0,,0,0,8.42746,-9.81,boundary
24,6.125,-0.125,,1006.52,0,52170.5,,0,0,0,,0,0,8.46246,-9.81,boundary
25,6.375,-0.125,,1006.78,0,54343.3,,0,0,0,,0,0,8.46699,-9.81,boundary
26,6.625,-0.125,,1006.92,0,55445.5,,0,0,0,,0,0,8.31162,-9.81,boundary
27,6.875,-0.125,,1007.01,0,56217,,0,0,0,,0,0,8.12006,-9.81,boundary
28,7.125,-0.125,,1007.11,0,56966,,0,0,0,,0,0,7.93882,-9.81,boundary
29,7.375,-0.125,,1007.21,0,57858.5,,0,0,0,,0,0,7.78902,-9.81,boundary
30,7.625,-0.125,,1007.38,0,59189.3,,0,0,0,,0,0,7.70569,-9.81,boundary
31,7.875,-0.125,,1007.56,0,60677.9,,0,0,0,,0,0,7.64733,-9.81,boundary
32,8.125,-0.125,,1007.73,0,62108.3,,0,0,0,,0,0,7.58545,-9.81,boundary
33,8.375,-0.125,,1007.81,0,62783.6,,0,0,0,,0,0,7.43843,-9.81,boundary
34,8.625,-0.125,,1007.8,0,62677.6,,0,0,0,,0,0,7.21071,-9.81,boundary
35,8.875,-0.125,,1007.74,0,62198.5,,0,0,0,,0,0,6.95443,-9.81,boundary
36,9.125,-0.125,,1007.67,0,61617.6,,0,0,0,,0,0,6.7012,-9.81,boundary
37,9.375,-0.125,,1007.59,0,60913.8,,0,0,0,,0,0,6.44855,-9.81,boundary
38,9.625,-0.125,,1007.47,0,59987.2,,0,0,0,,0,0,6.18621,-9.81,boundary
39,9.875,-0.125,,1007.33,0,58821.3,,0,0,0,,0,0,5.91323,-9.81,boundary
40,10.125,-0.125,,1007.18,0,57614.9,,0,0,0,,0,0,5.64977,-9.81,boundary
41,10.375,-0.125,,1007.06,0,56559.9,,0,0,0,,0,0,5.41337,-9.81,boundary
42,10.625,-0.125,,1006.96,0,55740.5,,0,0,0,,0,0,5.20992,-9.81,boundary
43,10.875,-0.125,,1006.88,0,55126.4,,0,0,0,,0,0,5.03445,-9.81,boundary
44,11.125,-0.125,,1006.82,0,54661.8,,0,0,0,,0,0,4.88012,-9.81,boundary
45,11.375,-0.125,,1006.78,0,54301.5,,0,0,0,,0,0,4.74161,-9.81,boundary
46,11.625,-0.125,,1006.74,0,54008.1,,0,0,0,,0,0,4.61474,-9.81,boundary
47,11.875,-0.125,,1006.71,0,53734.7,,0,0,0,,0,0,4.49487,-9.81,boundary
48,12.125,-0.125,,1006.68,0,53454.4,,0,0,0,,0,0,4.37937,-9.81,boundary
49,12.375,-0.125,,1006.64,0,53194.1,,0,0,0,,0,0,4.27014,-9.81,boundary
50,12.625,-0.125,,1006.62,0,52971.3,,0,0,0,,0,0,4.16817,-9.81,boundary
51,12.875,-0.125,,1006.59,0,52753.5,,0,0,0,,0,0,4.07054,-9.81,boundary
52,13.125,-0.125,,1006.56,0,52504.4,,0,0,0,,0,0,3.97427,-9.81,boundary
