h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
172.828,0,0.5,480

t,0
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
1,0.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
2,1.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
3,1.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
4,2.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
5,2.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
6,3.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
7,3.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
8,4.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
9,4.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
10,5.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
11,5.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
12,6.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
13,6.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
14,7.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
15,7.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
16,8.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
17,8.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
18,9.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
19,9.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
20,10.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
21,10.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
22,11.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
23,11.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
24,12.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
25,12.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
26,13.25,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
27,13.75,-0.25,,1010.06,0,81361,,0,0,,0,0,boundary
28,14.25,-0.25,,1010.06,0,81361.1,,0,0,,0,0,boundary
29,14.75,-0.25,,1010.06,0,81361.1,,0,0,,0,0,boundary
30,15.25,-0.25,,1009.25,0,74604.3,,0,0,,0,0,boundary
31,15.75,-0.25,,1009.3,0,75044.8,,0,0,,0,0,boundary
32,16.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
33,16.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
34,17.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
35,17.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
