h/dp :,1.5
L2norm Pressure,KE,dp,Nparticles
20349,248743,0.5,480

t,0.03
ID,x,y,,rho,drhodt,pressure,,u,v,,du_rdt,du_zdt,Type
0,0.25,-0.25,,1010.04,0,81171.3,,0,0,,0,0,boundary
1,0.75,-0.25,,1010.05,0,81310.8,,0,0,,0,0,boundary
2,1.25,-0.25,,1010.08,0,81527.1,,0,0,,0,0,boundary
3,1.75,-0.25,,1010.1,0,81707.7,,0,0,,0,0,boundary
4,2.25,-0.25,,1010.11,0,81820.9,,0,0,,0,0,boundary
5,2.75,-0.25,,1010.12,0,81887.2,,0,0,,0,0,boundary
6,3.25,-0.25,,1010.13,0,81924.9,,0,0,,0,0,boundary
7,3.75,-0.25,,1010.13,0,81946.1,,0,0,,0,0,boundary
8,4.25,-0.25,,1010.13,0,81958.2,,0,0,,0,0,boundary
9,4.75,-0.25,,1010.13,0,81965.7,,0,0,,0,0,boundary
10,5.25,-0.25,,1010.13,0,81970.5,,0,0,,0,0,boundary
11,5.75,-0.25,,1010.13,0,81974,,0,0,,0,0,boundary
12,6.25,-0.25,,1010.13,0,81976.5,,0,0,,0,0,boundary
13,6.75,-0.25,,1010.13,0,81978.4,,0,0,,0,0,boundary
14,7.25,-0.25,,1010.13,0,81979.4,,0,0,,0,0,boundary
15,7.75,-0.25,,1010.13,0,81978.8,,0,0,,0,0,boundary
16,8.25,-0.25,,1010.13,0,81974,,0,0,,0,0,boundary
17,8.75,-0.25,,1010.13,0,81957.4,,0,0,,0,0,boundary
18,9.25,-0.25,,1010.12,0,81907.9,,0,0,,0,0,boundary
19,9.75,-0.25,,1010.11,0,81772.2,,0,0,,0,0,boundary
20,10.25,-0.25,,1010.07,0,81422.2,,0,0,,0,0,boundary
21,10.75,-0.25,,1009.96,0,80576.4,,0,0,,0,0,boundary
22,11.25,-0.25,,1009.74,0,78686.2,,0,0,,0,0,boundary
23,11.75,-0.25,,1009.26,0,74757.3,,0,0,,0,0,boundary
24,12.25,-0.25,,1008.36,0,67237.1,,0,0,,0,0,boundary
25,12.75,-0.25,,1006.83,0,54737.9,,0,0,,0,0,boundary
26,13.25,-0.25,,1004.58,0,36409,,0,0,,0,0,boundary
27,13.75,-0.25,,1001.35,0,10646.3,,0,0,,0,0,boundary
28,14.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
29,14.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
30,15.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
31,15.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
32,16.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
33,16.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
34,17.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
35,17.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
36,18.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
37,18.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
38,19.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
39,19.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
40,20.25,-0.25,,1000,0,0,,0,0,,0,0,boundary
41,20.75,-0.25,,1000,0,0,,0,0,,0,0,boundary
